t_start_s,t_end_s,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_median,acc_x_iqr,acc_x_rms,acc_x_skewness,acc_x_kurtosis,acc_x_zcr,acc_x_abs_integral,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_median,acc_y_iqr,acc_y_rms,acc_y_skewness,acc_y_kurtosis,acc_y_zcr,acc_y_abs_integral,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_median,acc_z_iqr,acc_z_rms,acc_z_skewness,acc_z_kurtosis,acc_z_zcr,acc_z_abs_integral,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_median,gyro_x_iqr,gyro_x_rms,gyro_x_skewness,gyro_x_kurtosis,gyro_x_zcr,gyro_x_abs_integral,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_median,gyro_y_iqr,gyro_y_rms,gyro_y_skewness,gyro_y_kurtosis,gyro_y_zcr,gyro_y_abs_integral,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_median,gyro_z_iqr,gyro_z_rms,gyro_z_skewness,gyro_z_kurtosis,gyro_z_zcr,gyro_z_abs_integral,quat_w_mean,quat_w_std,quat_w_min,quat_w_max,quat_w_range,quat_w_median,quat_w_iqr,quat_w_rms,quat_w_skewness,quat_w_kurtosis,quat_w_zcr,quat_w_abs_integral,quat_x_mean,quat_x_std,quat_x_min,quat_x_max,quat_x_range,quat_x_median,quat_x_iqr,quat_x_rms,quat_x_skewness,quat_x_kurtosis,quat_x_zcr,quat_x_abs_integral,quat_y_mean,quat_y_std,quat_y_min,quat_y_max,quat_y_range,quat_y_median,quat_y_iqr,quat_y_rms,quat_y_skewness,quat_y_kurtosis,quat_y_zcr,quat_y_abs_integral,quat_z_mean,quat_z_std,quat_z_min,quat_z_max,quat_z_range,quat_z_median,quat_z_iqr,quat_z_rms,quat_z_skewness,quat_z_kurtosis,quat_z_zcr,quat_z_abs_integral,encoder_angle_mean,encoder_angle_std,encoder_angle_min,encoder_angle_max,encoder_angle_range,encoder_angle_median,encoder_angle_iqr,encoder_angle_rms,encoder_angle_skewness,encoder_angle_kurtosis,encoder_angle_zcr,encoder_angle_abs_integral,grf_x_mean,grf_x_std,grf_x_min,grf_x_max,grf_x_range,grf_x_median,grf_x_iqr,grf_x_rms,grf_x_skewness,grf_x_kurtosis,grf_x_zcr,grf_x_abs_integral,grf_y_mean,grf_y_std,grf_y_min,grf_y_max,grf_y_range,grf_y_median,grf_y_iqr,grf_y_rms,grf_y_skewness,grf_y_kurtosis,grf_y_zcr,grf_y_abs_integral,grf_z_mean,grf_z_std,grf_z_min,grf_z_max,grf_z_range,grf_z_median,grf_z_iqr,grf_z_rms,grf_z_skewness,grf_z_kurtosis,grf_z_zcr,grf_z_abs_integral,grt_x_mean,grt_x_std,grt_x_min,grt_x_max,grt_x_range,grt_x_median,grt_x_iqr,grt_x_rms,grt_x_skewness,grt_x_kurtosis,grt_x_zcr,grt_x_abs_integral,grt_y_mean,grt_y_std,grt_y_min,grt_y_max,grt_y_range,grt_y_median,grt_y_iqr,grt_y_rms,grt_y_skewness,grt_y_kurtosis,grt_y_zcr,grt_y_abs_integral,grt_z_mean,grt_z_std,grt_z_min,grt_z_max,grt_z_range,grt_z_median,grt_z_iqr,grt_z_rms,grt_z_skewness,grt_z_kurtosis,grt_z_zcr,grt_z_abs_integral,label
0,0.995,-0.006683168317,0.2402832252,-0.72,0.67,1.39,-0.01,0.2075,0.2403761491,-0.2460330854,4.808979037,15,0.165445,0.02311881188,0.3452975123,-0.73,0.9,1.63,-0.03,0.29,0.3460705874,0.5689145846,3.620960198,8,0.2398,-0.00900990099,0.1385033506,-0.37,0.43,0.8,-0.03,0.115,0.1387960966,0.2017099762,4.468926882,11,0.095355,0.009405940594,0.01649012799,-0.03,0.06,0.09,0.01,0.02,0.01898409965,0.3134697525,4.366389,4,0.01383,0.05698019802,0.05518007967,-0.06,0.2,0.26,0.06,0.08,0.0793195068,0.6586127545,3.161388581,3,0.060775,-0.01856435644,0.03500238064,-0.11,0.05,0.16,-0.02,0.05,0.03962072665,-0.2375167177,2.824799779,6,0.031455,0.6271287129,0.005599970591,0.62,0.64,0.02,0.63,0.01,0.627153715,0.03798612419,2.458555205,0,0.62406,0.3255940594,0.004964583912,0.32,0.33,0.01,0.33,0.01,0.3256319066,-0.2393189103,1.057273541,0,0.324005,0.6205940594,0.006939880756,0.61,0.63,0.02,0.62,0.01,0.6206328613,-0.07969430076,2.074811303,0,0.617525,-0.3381188119,0.00390807017,-0.34,-0.33,0.01,-0.34,0,0.3381413964,1.596087965,3.547496791,0,0.336465,0,0,0,0,0,0,0,0,0,0,0,0,23.77475248,14.40612858,-12.2,47.6,59.8,28.05,18.1,27.79883803,-0.7905423047,2.852269053,6,24.9446,-6.105940594,24.14649933,-36.5,46.7,83.2,-15.7,43.9,24.90654413,0.6345877053,2.046453694,5,22.2621,536.9029703,174.0469693,302,845.2,543.2,497.75,314.075,564.4086702,0.2848172996,1.710719433,0,534.68635,4.674257426,2.372184249,1.9,10.2,8.3,3.55,4.1,5.241749765,0.8014565505,2.476004332,0,4.6575,-25.23069307,9.110028666,-41.1,-11.8,29.3,-23.15,16.35,26.82499758,-0.2086778011,1.728644388,0,25.13055,3.161881188,1.478721158,1.2,7,5.8,3.2,2.1,3.490574295,0.6047393104,2.784348412,0,3.1561,"Stair-ascent"
0.102,1.1,0.03349753695,0.2824768768,-0.72,0.71,1.43,0,0.26,0.2844560967,0.06498581417,3.776565226,14,0.2087,0.04980295567,0.3723589568,-0.73,0.9,1.63,-0.04,0.34,0.3756747624,0.4976547632,3.018769033,7,0.27809,-0.003054187192,0.1430130795,-0.37,0.43,0.8,-0.03,0.17,0.1430456884,0.1078685938,3.955534498,11,0.10401,0.00960591133,0.01678148066,-0.03,0.06,0.09,0.01,0.02,0.01933627745,0.287272169,4.07593089,4,0.01397,0.04704433498,0.06916200019,-0.1,0.2,0.3,0.06,0.08,0.08364539273,-0.09917889543,2.946479041,3,0.06862,-0.04073891626,0.0771406866,-0.29,0.05,0.34,-0.03,0.06,0.08723729035,-1.902547554,6.391113156,6,0.05281,0.6255665025,0.004967803837,0.62,0.63,0.01,0.63,0.01,0.6255862275,-0.2280695783,1.052015733,0,0.624395,0.3261083744,0.004875603165,0.32,0.33,0.01,0.33,0.01,0.3261448196,-0.4546614426,1.206717027,0,0.32559,0.6226108374,0.006477036419,0.61,0.63,0.02,0.62,0.01,0.6226445269,-0.3139300157,2.275856032,0,0.621455,-0.3383251232,0.004229000203,-0.35,-0.33,0.02,-0.34,0,0.338351553,0.9642124668,3.975279259,0,0.337605,0,0,0,0,0,0,0,0,0,0,0,0,17.7182266,18.77680449,-50.3,44.5,94.8,24.3,22.6,25.81673761,-1.295739429,4.545225532,7,22.5895,-0.4536945813,24.42301716,-36.5,46.7,83.2,-2.5,47.95,24.42723083,0.2426396786,1.62918738,5,21.8149,576.3068966,162.4376111,322.4,845.2,522.8,594.5,288.65,598.761736,-0.003993675719,1.64317506,0,575.91685,5.299507389,2.439746767,2.2,10.2,8,4.9,4.2,5.834135999,0.4567957898,1.890038476,0,5.29045,-28.0364532,9.139981526,-47.2,-13.3,33.9,-28.3,15.5,29.48867529,-0.07969049158,1.734056452,0,27.9774,3.698029557,1.736594272,1.2,7.5,6.3,3.5,2.15,4.085484337,0.4723424351,2.306000836,0,3.70665,"Stair-ascent"
0.203,1.199,0.00802955665,0.2937326607,-0.72,0.71,1.43,-0.03,0.3,0.2938423893,0.2148480537,3.38104535,13,0.222625,0.004433497537,0.4019472912,-0.73,0.9,1.63,-0.11,0.4,0.4019717413,0.5260139492,2.677923406,6,0.318315,-0.007487684729,0.1456194298,-0.37,0.43,0.8,-0.03,0.18,0.1458118093,0.1651597589,3.722751258,10,0.110165,0.01310344828,0.01858873375,-0.03,0.06,0.09,0.01,0.02,0.02274294131,0.03977264413,3.093246199,4,0.01761,0.04497536946,0.07125458681,-0.1,0.2,0.3,0.06,0.09,0.08426149773,-0.09030417396,2.716159136,4,0.071295,-0.0563546798,0.09072511568,-0.29,0.05,0.34,-0.03,0.1,0.1068030737,-1.283482673,3.67104791,6,0.069455,0.6239901478,0.005983548997,0.61,0.63,0.02,0.62,0.01,0.6240188358,-0.434534705,2.328306526,0,0.621695,0.3261083744,0.004875603165,0.32,0.33,0.01,0.33,0.01,0.3261448196,-0.4546614426,1.206717027,0,0.32495,0.6245812808,0.005270705764,0.61,0.63,0.02,0.62,0.01,0.6246035196,-0.1354513592,1.68636031,0,0.622215,-0.3393103448,0.005483269797,-0.35,-0.33,0.02,-0.34,0,0.3393546469,0.03901139322,3.263811165,0,0.337915,0,0,0,0,0,0,0,0,0,0,0,0,8.495566502,27.425202,-66,35.8,101.8,17.4,31.6,28.71091003,-1.294342969,3.592974856,7,24.21385,7.530541872,26.53406683,-33.4,61.7,95.1,4.8,45.85,27.58198259,0.1487097493,1.778532428,5,23.631,618.462069,150.9709795,363.4,845.2,481.8,657.7,280.25,636.6219973,-0.2800607398,1.713119508,0,617.2692,6.21773399,2.876005849,2.4,12.7,10.3,5.5,4.65,6.850666071,0.4986209532,2.129711417,0,6.1925,-31.73349754,10.48455402,-53.9,-16.4,37.5,-32.1,17.8,33.42066335,-0.3827485546,2.292853527,0,31.59545,4.504926108,2.346357699,1.2,11.1,9.9,3.8,3.25,5.079345794,0.98691595,3.468774358,0,4.49575,"Stair-ascent"
0.307,1.297,-0.03547738693,0.3344592099,-0.82,0.71,1.53,-0.06,0.39,0.3363355587,0.06999572451,2.985159022,11,0.262025,0.03271356784,0.4349119629,-0.73,0.9,1.63,-0.1,0.48,0.4361405656,0.4082395502,2.241808703,7,0.35134,-0.007185929648,0.1573081366,-0.37,0.43,0.8,-0.03,0.21,0.1574721799,0.05681846637,3.105196191,11,0.121845,0.0124120603,0.01965049017,-0.03,0.06,0.09,0.01,0.02,0.02324222461,0.01931354426,2.726796372,6,0.018025,0.04336683417,0.07369106439,-0.1,0.2,0.3,0.06,0.11,0.08550470909,-0.08900294181,2.52099839,5,0.07142,-0.05582914573,0.09219921055,-0.29,0.05,0.34,-0.02,0.1,0.1077849152,-1.258428255,3.543617167,8,0.06883,0.621959799,0.006849303377,0.61,0.63,0.02,0.62,0.01,0.6219975117,-0.2719000525,2.119391404,0,0.615955,0.3262311558,0.004846055659,0.32,0.33,0.01,0.33,0.01,0.3262671471,-0.5081063304,1.258172043,0,0.32303,0.6257788945,0.004938959749,0.62,0.63,0.01,0.63,0.01,0.6257983845,-0.3154083094,1.099482402,0,0.619545,-0.3402512563,0.006374981401,-0.35,-0.33,0.02,-0.34,0,0.3403109722,0.02132026859,2.458467194,0,0.336855,0,0,0,0,0,0,0,0,0,0,0,0,1.159296482,30.00354923,-66,35.8,101.8,11.9,41.45,30.0259377,-0.7724970188,2.214518945,7,25.25725,16.76733668,27.81110346,-29.3,68.1,97.4,20.9,46.45,32.47462171,0.05477195715,1.873432414,5,26.8051,653.6517588,126.4672798,406.4,845.2,438.8,674.7,194,665.7736812,-0.5013349041,2.116061758,0,646.52865,7.270854271,3.220327205,3,13.6,10.6,7.2,5.5,7.952095896,0.4076697308,1.988734336,0,7.1786,-35.3120603,10.70112262,-53.9,-19.3,34.6,-34.2,15.2,36.89790818,-0.2486209171,1.976208714,0,34.86995,5.448743719,2.734680662,1.9,11.1,9.2,4.2,3.55,6.096497883,0.8814991715,2.490022715,0,5.39345,"Stair-ascent"
0.4,1.398,-0.06145728643,0.3452046031,-0.82,0.71,1.53,-0.07,0.46,0.3506325942,0.2253265583,2.726641532,8,0.289715,0.07618090452,0.4449871405,-0.73,0.9,1.63,0.07,0.64,0.4514610564,0.1922311962,2.064993654,7,0.373945,0.00175879397,0.1604560777,-0.37,0.43,0.8,0,0.22,0.1604657167,-0.06240105122,2.926476069,13,0.127265,0.007688442211,0.02424090602,-0.06,0.06,0.12,0.01,0.03,0.02543095886,-0.3198363147,2.983103379,7,0.0199,0.02100502513,0.09768678783,-0.22,0.2,0.42,0.04,0.13,0.09991956564,-0.5223186654,2.920052964,5,0.082895,-0.05417085427,0.09302396598,-0.29,0.05,0.34,-0.01,0.1,0.107647293,-1.26420133,3.518963362,8,0.068085,0.6208040201,0.006601110301,0.61,0.63,0.02,0.62,0.01,0.6208391144,-0.08768721357,2.282446758,0,0.61966,0.3253768844,0.006476371304,0.31,0.33,0.02,0.33,0.01,0.3254413316,-1.083548963,3.01510339,0,0.324675,0.6266834171,0.004708089519,0.62,0.63,0.01,0.63,0.01,0.6267011021,-0.7151168552,1.511392117,0,0.625515,-0.3415075377,0.007617666155,-0.36,-0.33,0.03,-0.34,0.01,0.3415924869,-0.2170391692,2.635984134,0,0.34096,0,0,0,0,0,0,0,0,0,0,0,0,-3.020603015,29.43063777,-66,35.8,101.8,3.4,49.25,29.58524096,-0.4920089636,1.972185657,7,24.83215,22.76180905,25.39958154,-26.1,68.1,94.2,25,40.7,34.10628525,-0.126633553,1.987858953,5,28.784,668.5050251,106.8457159,449.2,845.2,396,674.7,156.6,676.9896422,-0.3678342157,2.278136264,0,666.59505,8.032663317,3.180876976,3.4,13.6,10.2,7.6,5.7,8.639540398,0.129916039,1.763877471,0,8.0602,-37.85025126,10.0851245,-53.9,-21.1,32.8,-36.9,16.4,39.17079596,-0.03015632171,1.850355527,0,37.86775,5.767839196,2.682564372,1.9,11.1,9.2,4.6,3.25,6.361141454,0.7418151869,2.281795646,0,5.7893,"Stair-ascent"
0.503,1.498,-0.05445,0.3521515263,-0.82,0.71,1.53,-0.06,0.49,0.3563362176,0.1514763373,2.516503252,8,0.300485,0.1182,0.4411527627,-0.73,0.9,1.63,0.15,0.67,0.456713258,-0.05867057976,2.102350154,7,0.38265,0.02665,0.1695620167,-0.37,0.46,0.83,0.04,0.22,0.1716435259,-0.2185374025,2.833566595,15,0.13616,0.00555,0.02446829581,-0.06,0.06,0.12,0,0.03,0.02508983858,-0.09722553042,2.818255033,10,0.01933,-0.0153,0.1240681667,-0.26,0.2,0.46,0,0.16,0.1250079997,-0.4409189583,2.36449177,5,0.09793,-0.05415,0.09274307252,-0.29,0.05,0.34,-0.01,0.1,0.1073941339,-1.271175009,3.544064391,9,0.067965,0.6203,0.00623778807,0.61,0.63,0.02,0.62,0,0.6203313631,-0.02079004359,2.566093948,0,0.617265,0.3236,0.007876547467,0.31,0.33,0.02,0.33,0.01,0.3236958449,-0.7299293303,1.986020126,0,0.32203,0.6268,0.004664761516,0.62,0.63,0.01,0.63,0.01,0.6268173578,-0.7717436331,1.595588235,0,0.623765,-0.3437,0.00950315737,-0.36,-0.33,0.03,-0.34,0.01,0.343831354,-0.2177807453,2.13689722,0,0.34194,0,0,0,0,0,0,0,0,0,0,0,0,-4.31,28.50593798,-66,36.4,102.4,2.4,45,28.82992542,-0.4737123376,2.050840372,8,23.50505,25.633,21.89924453,-15.7,68.1,83.8,24.95,37.375,33.71390811,0.08811409136,2.051278497,6,27.8723,658.982,128.2765512,214.9,845.2,630.3,674.45,158.05,671.3509886,-1.081871707,4.284615376,0,657.7437,8.585,2.786480755,3.6,13.6,10,8.15,4.275,9.025890538,0.08147534599,1.904291334,0,8.58,-39.437,8.688079822,-53.9,-23.6,30.3,-38.95,15.5,40.38266584,-0.1258196054,1.876680414,0,39.34315,5.6315,2.834070879,0.2,11.1,10.9,4.55,3.35,6.304423051,0.5582364778,2.3015325,0,5.66855,"Stair-ascent"
0.601,1.587,-0.06170854271,0.3499118273,-0.82,0.71,1.53,-0.06,0.47,0.3553114566,0.2029893666,2.599129566,10,0.291675,0.1648743719,0.4676852647,-0.73,0.9,1.63,0.2,0.815,0.4958962244,-0.1932411282,1.892450707,6,0.422885,0.08557788945,0.256553388,-0.37,1.29,1.66,0.08,0.25,0.2704500251,1.197078921,6.023561478,13,0.185265,0.01673366834,0.04960025553,-0.06,0.29,0.35,0.01,0.04,0.05234692928,2.691715325,12.90962862,10,0.02845,-0.04844221106,0.1355950423,-0.27,0.2,0.47,-0.03,0.24,0.1439884138,-0.1782979924,2.019857988,5,0.111,-0.06738693467,0.09352508077,-0.29,0.04,0.33,-0.03,0.11,0.115273326,-1.033608007,2.974033328,9,0.07545,0.6202512563,0.006215330853,0.61,0.63,0.02,0.62,0,0.6202823964,-0.01669543123,2.585761187,0,0.611595,0.3211055276,0.009656612783,0.3,0.33,0.03,0.32,0.02,0.3212506966,-0.6574600274,2.210216244,0,0.316735,0.6261809045,0.006055641266,0.61,0.63,0.02,0.63,0.01,0.6262101851,-1.342030485,3.710942727,0,0.61764,-0.345879397,0.01112313573,-0.37,-0.33,0.04,-0.35,0.01,0.3460582052,-0.1836112319,2.121685837,0,0.340955,0,0,0,0,0,0,0,0,0,0,0,0,-3.482914573,29.9488074,-66,50,116,2.2,45,30.15065105,-0.288358233,2.12889171,8,24.142,24.88090452,23.51932675,-28.4,68.1,96.5,25,37.45,34.23767137,-0.2003617563,2.443110466,6,28.57305,613.7718593,219.8524245,-71.5,845.2,916.7,674.7,156.6,651.9593422,-1.68692536,5.079640642,1,612.23605,8.444723618,3.120182284,-0.2,13.6,13.8,8.2,4.3,9.00271595,-0.4438756359,2.940291099,1,8.42795,-38.32562814,11.18261377,-53.9,-4.1,49.8,-39,15.5,39.92373508,0.9075804703,3.978674746,0,38.1029,5.279899497,3.291789388,-1.3,11.1,12.4,4.6,3.75,6.221994542,0.1460169954,2.277657132,1,5.34745,"Stair-ascent"
0.701,1.7,-0.1073399015,0.4886412424,-1.67,1.1,2.77,-0.09,0.53,0.5002920329,-0.3472450102,4.149175901,9,0.375755,0.2735960591,0.5499040439,-0.73,1.68,2.41,0.27,0.925,0.614206204,0.1493877341,2.589779883,5,0.50807,0.4356157635,1.013467437,-0.37,3.93,4.3,0.11,0.365,1.103121634,2.36678409,7.35667565,11,0.51236,0.01541871921,0.09536136635,-0.44,0.31,0.75,0.01,0.05,0.09659982968,-0.8121854344,10.75607673,10,0.0505,-0.05714285714,0.1357254338,-0.27,0.2,0.47,-0.04,0.23,0.1472640469,0.000989143437,2.035062157,6,0.117095,-0.1340394089,0.2035363185,-0.77,0.04,0.81,-0.06,0.2,0.2437080139,-1.897137348,5.993720722,8,0.14095,0.6202955665,0.006191630299,0.61,0.63,0.02,0.62,0,0.6203264674,-0.01879785466,2.604350467,0,0.61966,0.3169950739,0.01303027832,0.28,0.33,0.05,0.32,0.02,0.3172627697,-0.874564508,3.182628197,0,0.316805,0.6252216749,0.007382920188,0.61,0.63,0.02,0.63,0.01,0.6252652639,-1.178028412,2.833473609,0,0.624835,-0.3507389163,0.01624764667,-0.39,-0.33,0.06,-0.35,0.02,0.351115043,-0.7351855096,3.083553894,0,0.35024,0.02118226601,0.1231546798,0,1.1,1.1,0,0,0.1249630487,6.649601201,49.32385788,0,0.01745,-1.216748768,31.68218898,-66,50,116,3,48.55,31.70554488,-0.252496481,2.006203306,8,26.24815,20.86256158,28.5270553,-34.4,68.1,102.5,24.7,38.9,35.34175094,-0.4318176776,2.237508576,1,31.6579,531.2211823,309.5682787,-94.7,845.2,939.9,663.2,360.35,614.8401936,-1.08113942,2.636694942,1,556.63005,7.751724138,4.105017293,-0.6,13.6,14.2,8.1,4.35,8.771567368,-0.7504905736,2.643685389,1,7.9452,-34.62561576,16.56106878,-53.9,1.6,55.5,-38.6,15.7,38.3823171,1.044551958,3.006849054,1,35.18175,4.728571429,3.751278459,-1.3,11.1,12.4,4.4,4.85,6.035849388,0.1101765136,1.939898005,1,5.01615,"Stair-ascent"
0.805,1.798,-0.09565656566,0.515458336,-1.67,1.12,2.79,-0.07,0.5275,0.5242589768,-0.1337551256,4.063199703,7,0.389315,0.287979798,0.5344022996,-0.68,1.68,2.36,0.27,0.9225,0.607056984,0.2658809548,2.636361046,5,0.49856,0.5527272727,1.038381431,-0.3,3.93,4.23,0.13,0.575,1.176326245,2.001190744,5.925340752,10,0.606035,-0.04121212121,0.2066337839,-0.7,0.31,1.01,0.01,0.06,0.2107034874,-1.928520611,6.41973382,9,0.10733,-0.05888888889,0.1389926885,-0.27,0.23,0.5,-0.04,0.23,0.1509532003,0.1457885644,2.201869446,6,0.11941,-0.1796969697,0.2307014098,-0.77,0.04,0.81,-0.09,0.2575,0.2924280107,-1.3440564,3.734465846,6,0.187385,0.6196969697,0.006735185082,0.61,0.63,0.02,0.62,0,0.6197335693,0.03588440904,2.203224114,0,0.61533,0.3103030303,0.02027361053,0.25,0.33,0.08,0.32,0.0275,0.310964612,-1.386741272,4.421844715,0,0.308125,0.6258585859,0.008041571409,0.61,0.64,0.03,0.63,0.01,0.6259102463,-0.8629705588,2.86494914,0,0.62164,-0.3564646465,0.01805228832,-0.39,-0.33,0.06,-0.35,0.02,0.356921461,-0.5967469617,2.403481595,0,0.35399,0.2227272727,0.6551571917,0,2.6,2.6,0,0,0.691981491,2.89053755,9.835094982,0,0.2271,0.2611111111,33.2613549,-66,50,116,2.85,60.825,33.26237979,-0.2695528871,1.827871132,5,28.23255,16.37070707,31.46191301,-34.4,68.1,102.5,23.35,62.525,35.46620956,-0.2213096871,1.766782036,1,31.6282,445.4979798,342.5803588,-94.7,836.3,931,634.5,701.85,561.9873239,-0.6335145635,1.690094304,1,481.73615,7.061111111,4.662969615,-0.6,13.6,14.2,7.7,9.05,8.46183052,-0.4762316736,1.862788468,4,7.1196,-30.93181818,19.58473039,-53.9,1.6,55.5,-36.4,36.85,36.61064108,0.6461015903,1.922779848,1,31.29045,4.412121212,4.022230466,-1.3,11.1,12.4,4.2,7.175,5.970356063,0.1661387819,1.728680561,1,4.6536,"Stair-ascent"
0.904,1.886,-0.03060913706,0.5071325126,-1.67,1.12,2.79,-0.01,0.48,0.5080554149,-0.3784673174,4.499421791,11,0.350825,0.2389340102,0.5460874967,-0.71,1.68,2.39,0.23,0.92,0.5960713172,0.4093520927,2.645365419,5,0.48347,0.516142132,1.104248069,-1.34,3.93,5.27,0.13,0.78,1.218920218,1.586723118,5.171836379,10,0.67163,-0.05710659898,0.2153411974,-0.7,0.31,1.01,0.01,0.08,0.222784638,-1.610857213,5.153377643,8,0.124165,-0.05335025381,0.1432754762,-0.27,0.23,0.5,-0.04,0.24,0.1528859434,0.08696960649,2.02429272,4,0.123665,-0.178680203,0.2319751524,-0.77,0.04,0.81,-0.08,0.26,0.2928123739,-1.337004124,3.698327108,5,0.185655,0.6187309645,0.007329358639,0.61,0.63,0.02,0.62,0.01,0.618774374,0.2023115582,1.876671989,0,0.60763,0.3024873096,0.0257557069,0.25,0.33,0.08,0.31,0.02,0.3035818324,-1.024772302,2.764944174,0,0.297455,0.6275634518,0.01042995901,0.61,0.65,0.04,0.63,0.01,0.6276501175,0.09618284585,3.045187719,0,0.616275,-0.3608121827,0.0178074944,-0.39,-0.33,0.06,-0.36,0.03,0.3612513503,-0.2819788518,1.966391809,0,0.35414,0.4152284264,0.8373705362,0,2.6,2.6,0,0,0.934667888,1.702959038,4.190301565,0,0.40875,4.201522843,34.64805278,-66,50,116,11.9,61.9,34.9018675,-0.4905105587,1.794935459,2,30.50025,10.66852792,33.42176901,-34.4,68.1,102.5,19.9,62.5,35.08321724,0.09615666588,1.556286694,1,30.9892,360.0690355,354.4123865,-94.7,785.6,880.3,511.3,768.2,505.230492,-0.2498977619,1.270978638,1,411.56285,6.268020305,5.046830703,-0.6,13.6,14.2,7.5,10.9,8.047271505,-0.1548850591,1.450238886,4,6.32015,-27.14873096,21.56428616,-53.9,1.6,55.5,-33.5,49.1,34.67091044,0.2753374931,1.404542869,1,27.6643,3.91319797,4.232390023,-1.3,11.1,12.4,3.5,7.3,5.764220993,0.366081285,1.646787961,1,4.1999,"Stair-ascent"
