t_start_s,t_end_s,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_median,acc_x_iqr,acc_x_rms,acc_x_skewness,acc_x_kurtosis,acc_x_zcr,acc_x_abs_integral,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_median,acc_y_iqr,acc_y_rms,acc_y_skewness,acc_y_kurtosis,acc_y_zcr,acc_y_abs_integral,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_median,acc_z_iqr,acc_z_rms,acc_z_skewness,acc_z_kurtosis,acc_z_zcr,acc_z_abs_integral,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_median,gyro_x_iqr,gyro_x_rms,gyro_x_skewness,gyro_x_kurtosis,gyro_x_zcr,gyro_x_abs_integral,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_median,gyro_y_iqr,gyro_y_rms,gyro_y_skewness,gyro_y_kurtosis,gyro_y_zcr,gyro_y_abs_integral,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_median,gyro_z_iqr,gyro_z_rms,gyro_z_skewness,gyro_z_kurtosis,gyro_z_zcr,gyro_z_abs_integral,quat_w_mean,quat_w_std,quat_w_min,quat_w_max,quat_w_range,quat_w_median,quat_w_iqr,quat_w_rms,quat_w_skewness,quat_w_kurtosis,quat_w_zcr,quat_w_abs_integral,quat_x_mean,quat_x_std,quat_x_min,quat_x_max,quat_x_range,quat_x_median,quat_x_iqr,quat_x_rms,quat_x_skewness,quat_x_kurtosis,quat_x_zcr,quat_x_abs_integral,quat_y_mean,quat_y_std,quat_y_min,quat_y_max,quat_y_range,quat_y_median,quat_y_iqr,quat_y_rms,quat_y_skewness,quat_y_kurtosis,quat_y_zcr,quat_y_abs_integral,quat_z_mean,quat_z_std,quat_z_min,quat_z_max,quat_z_range,quat_z_median,quat_z_iqr,quat_z_rms,quat_z_skewness,quat_z_kurtosis,quat_z_zcr,quat_z_abs_integral,encoder_angle_mean,encoder_angle_std,encoder_angle_min,encoder_angle_max,encoder_angle_range,encoder_angle_median,encoder_angle_iqr,encoder_angle_rms,encoder_angle_skewness,encoder_angle_kurtosis,encoder_angle_zcr,encoder_angle_abs_integral,grf_x_mean,grf_x_std,grf_x_min,grf_x_max,grf_x_range,grf_x_median,grf_x_iqr,grf_x_rms,grf_x_skewness,grf_x_kurtosis,grf_x_zcr,grf_x_abs_integral,grf_y_mean,grf_y_std,grf_y_min,grf_y_max,grf_y_range,grf_y_median,grf_y_iqr,grf_y_rms,grf_y_skewness,grf_y_kurtosis,grf_y_zcr,grf_y_abs_integral,grf_z_mean,grf_z_std,grf_z_min,grf_z_max,grf_z_range,grf_z_median,grf_z_iqr,grf_z_rms,grf_z_skewness,grf_z_kurtosis,grf_z_zcr,grf_z_abs_integral,grt_x_mean,grt_x_std,grt_x_min,grt_x_max,grt_x_range,grt_x_median,grt_x_iqr,grt_x_rms,grt_x_skewness,grt_x_kurtosis,grt_x_zcr,grt_x_abs_integral,grt_y_mean,grt_y_std,grt_y_min,grt_y_max,grt_y_range,grt_y_median,grt_y_iqr,grt_y_rms,grt_y_skewness,grt_y_kurtosis,grt_y_zcr,grt_y_abs_integral,grt_z_mean,grt_z_std,grt_z_min,grt_z_max,grt_z_range,grt_z_median,grt_z_iqr,grt_z_rms,grt_z_skewness,grt_z_kurtosis,grt_z_zcr,grt_z_abs_integral,label
0,0.997,0.06965,0.8008966085,-1.56,2.12,3.68,0.08,0.7975,0.8039194611,0.1310624351,3.217933593,11,0.58809,0.15865,0.888314515,-1.6,2.13,3.73,0.18,0.8325,0.9023704893,-0.04135498004,2.62208324,6,0.693805,-0.2878,0.8167399586,-1.59,2.67,4.26,-0.27,1.0875,0.8659636251,1.043467146,5.123971066,5,0.64354,-0.041,0.2648206941,-0.48,0.47,0.95,-0.065,0.34,0.2679757452,0.2397378258,2.361432015,4,0.21228,-0.01215,0.05939593841,-0.19,0.07,0.26,0,0.06,0.06062590206,-1.450787144,4.88985808,7,0.041095,-0.01505,0.4202296961,-0.59,0.74,1.33,-0.21,0.775,0.4204991082,0.5513102853,1.770514826,2,0.378365,-0.64495,0.01090859753,-0.66,-0.63,0.03,-0.64,0.02,0.6450422467,-0.1745631902,1.706768625,0,0.643015,-0.3149,0.02657047233,-0.35,-0.27,0.08,-0.32,0.05,0.3160189868,0.5317967059,1.858751384,0,0.31397,-0.63655,0.01155843848,-0.66,-0.62,0.04,-0.635,0.02,0.6366549301,-0.2129272965,2.039683907,0,0.634635,0.27815,0.01709027501,0.25,0.3,0.05,0.28,0.0325,0.2786745414,-0.08967678608,1.636726683,0,0.27742,3.579,3.253683912,0,7.9,7.9,4.4,6.8,4.836910171,-0.03973825421,1.156474166,0,3.55855,46.9455,24.37779686,17,104.5,87.5,34.6,28.3,52.89760817,1.211759499,2.97015901,0,46.8554,-19.561,8.478819434,-31.5,-0.1,31.4,-23.25,14.9,21.31954737,0.6098329991,2.027758876,0,19.5647,86.484,193.373995,-81.5,479.8,561.3,-66.75,394.525,211.8324437,0.6098355994,1.573301621,1,162.29895,1.469,1.824921642,-0.3,4.7,5,0.2,3.5,2.342712104,0.5817636614,1.573576921,14,1.53925,-1.375,3.912272358,-9.3,2.3,11.6,0.9,6.05,4.146866287,-0.9177038483,2.1493929,1,3.0257,0.518,1.268217647,-1.2,3.6,4.8,-0.2,1.9,1.369927005,1.002314494,2.569352991,3,0.9254,"Stair-descent"
0.106,1.099,0.0589,0.7910055562,-1.56,2.12,3.68,0.09,0.715,0.7931954362,0.1548530928,3.36814312,10,0.572575,0.15725,0.8881148222,-1.6,2.13,3.73,0.18,0.8325,0.9019287666,-0.03661119209,2.624162632,5,0.69035,-0.34045,0.8276335527,-1.59,2.67,4.26,-0.47,1.11,0.8949209462,1.167231514,5.147560978,4,0.690345,-0.06635,0.2797055193,-0.48,0.47,0.95,-0.07,0.42,0.2874673895,0.3523364159,2.110442658,4,0.238005,-0.01245,0.05913964406,-0.19,0.07,0.26,0,0.06,0.06043591647,-1.461528624,4.94000662,7,0.04039,-0.0373,0.4343877415,-0.59,0.74,1.33,-0.28,0.785,0.4359862383,0.5802932355,1.730747027,2,0.40226,-0.6462,0.011070682,-0.66,-0.63,0.03,-0.65,0.02,0.6462948244,0.09429676543,1.659557699,0,0.641685,-0.3118,0.02459186857,-0.34,-0.27,0.07,-0.32,0.04,0.3127682848,0.4983490502,1.910663955,0,0.3097,-0.63755,0.01097713533,-0.66,-0.62,0.04,-0.64,0.02,0.6376444934,-0.1325776426,2.17586601,0,0.63304,0.27715,0.01781509192,0.25,0.3,0.05,0.28,0.0325,0.2777219833,-0.006769103272,1.469101104,0,0.27532,4.466,3.367171513,0,9.5,9.5,6.2,7.3,5.593120775,-0.3282752999,1.440140375,0,4.45195,40.036,17.33735862,17,97.9,80.9,33.2,10.125,43.62872104,1.745036362,5.031474357,0,39.37975,-21.0645,8.124197791,-31.5,-0.1,31.4,-24.3,9.575,22.5768853,1.01975271,2.798190068,0,21.1828,39.4625,166.9215179,-81.5,355.6,437.1,-68.3,220.675,171.5228324,1.048330232,2.281241144,1,127.4999,1.109,1.707401242,-0.3,4.7,5,0.1,2.625,2.035951866,1.057543502,2.382946944,16,1.1544,-0.3585,3.105225877,-8.6,2.3,10.9,1.1,0.85,3.125851884,-1.436472819,3.500574507,1,2.25035,0.2545,1.088200234,-1.2,3.3,4.5,-0.2,0.225,1.117564316,1.550978932,4.190294731,3,0.69145,"Stair-descent"
0.204,1.193,0.01879396985,0.7958400339,-1.56,2.12,3.68,-0.01,0.73,0.7960619152,0.2940087147,3.349444657,9,0.580525,0.1062311558,0.8922499181,-1.6,2.13,3.73,-0.03,0.925,0.8985515983,0.1292990688,2.600313152,5,0.67029,-0.4210050251,0.8418464959,-1.59,2.67,4.26,-0.64,1.115,0.9412495704,1.357008375,5.32688942,3,0.76413,-0.09859296482,0.2814660652,-0.48,0.47,0.95,-0.16,0.37,0.298234335,0.648276159,2.303192736,2,0.25527,-0.01477386935,0.05866885283,-0.19,0.07,0.26,0,0.055,0.06050042568,-1.411422141,4.874442383,7,0.040175,-0.02346733668,0.4294246913,-0.59,0.74,1.33,-0.18,0.79,0.4300654385,0.5256425023,1.735462185,2,0.389085,-0.648241206,0.01157983478,-0.66,-0.63,0.03,-0.65,0.02,0.6483446258,0.4308077885,1.703743511,0,0.641005,-0.3074874372,0.023073372,-0.34,-0.27,0.07,-0.31,0.04,0.3083519167,0.2496535308,1.888675197,0,0.304505,-0.6385929648,0.01070528685,-0.66,-0.62,0.04,-0.64,0.02,0.6386826895,0.1113231894,2.378041278,0,0.63146,0.2750753769,0.01848180816,0.25,0.3,0.05,0.27,0.035,0.2756955571,0.2483554112,1.382441867,0,0.27222,5.459798995,3.319652455,0,9.8,9.8,6.5,5.1,6.389796357,-0.6257378501,1.99605182,0,5.35995,34.58442211,9.079127786,17,70.2,53.2,32.1,5.7,35.75629754,1.907609514,6.527013207,0,34.242,-23.08994975,5.837833588,-31.5,-8.2,23.3,-24.7,5.45,23.81650857,1.243693596,3.794195681,0,23.0028,-4.189949749,131.7334086,-81.5,350.9,432.4,-69.1,51.6,131.8000252,1.768168932,4.491452455,1,100.3478,0.6417085427,1.285449727,-0.3,4.2,4.5,0,0.6,1.436722261,1.669379774,4.143639481,23,0.71555,0.5361809045,1.960103958,-6.2,2.3,8.5,1.2,0.6,2.032116504,-2.138163866,6.302835548,1,1.6413,-0.04522613065,0.703876434,-1.2,3,4.2,-0.2,0.2,0.7053278934,2.418472036,9.473237409,3,0.4501,"Stair-descent"
0.3,1.3,-0.04378109453,0.8114256429,-1.56,2.12,3.68,-0.19,0.89,0.8126059058,0.4646705938,3.208891535,6,0.635025,0.09044776119,0.8915553509,-1.6,2.13,3.73,-0.03,0.92,0.8961315424,0.1771389601,2.595136056,5,0.68212,-0.4313930348,0.8385779539,-1.59,2.67,4.26,-0.64,1.04,0.9430338994,1.401767639,5.435403864,5,0.78159,-0.09786069652,0.2803247947,-0.48,0.47,0.95,-0.16,0.35,0.2969153187,0.6422021581,2.310985767,2,0.256195,-0.008208955224,0.06302314287,-0.19,0.13,0.32,0.01,0.06,0.06355551497,-1.191314658,4.497760118,6,0.04475,-0.01114427861,0.4203282111,-0.59,0.74,1.33,-0.16,0.76,0.4204759208,0.4937600226,1.788597755,2,0.376145,-0.6500995025,0.01167512343,-0.66,-0.63,0.03,-0.65,0.02,0.6502043307,0.7696087363,2.044768149,0,0.650145,-0.3039303483,0.02250428648,-0.34,-0.27,0.07,-0.3,0.03,0.3047623656,-0.09189995967,1.938521378,0,0.304075,-0.6396517413,0.01066813311,-0.66,-0.62,0.04,-0.64,0.02,0.6397406968,0.3240925607,2.490220751,0,0.639595,0.272238806,0.01824277098,0.25,0.3,0.05,0.26,0.03,0.272849347,0.620718675,1.688545536,0,0.2722,6.405970149,3.073715268,0,10.2,10.2,7,3.1,7.10522196,-0.8982639788,2.82410202,0,6.434,32.06169154,4.863640624,17,47.7,30.7,31.2,5,32.42849156,1.215563236,5.921464174,0,31.8937,-24.15273632,4.532119201,-31.5,-8.2,23.3,-24.8,4.1,24.57427061,1.68690399,6.885919365,0,24.38685,-40.23532338,82.98176324,-81.5,284.7,366.2,-69.8,5.9,92.22176684,2.888740253,10.57431799,1,77.5614,0.2950248756,0.8636236998,-0.3,3.5,3.8,0,0.2,0.9126256473,2.710968609,9.473107871,27,0.3758,1.062189055,1.001920139,-3.4,2.3,5.7,1.2,0.4,1.460167645,-3.380467261,15.84840434,1,1.3067,-0.2378109453,0.3026634406,-1.2,0.8,2,-0.2,0.1,0.3849145411,0.5375118212,8.31360224,3,0.3045,"Stair-descent"
0.406,1.398,-0.09323383085,0.8215226671,-1.56,2.12,3.68,-0.28,0.94,0.8267962505,0.5949352352,3.180710346,5,0.659955,0.00855721393,0.9123854296,-1.6,2.13,3.73,-0.11,1.13,0.9124255575,0.3608636055,2.524961861,5,0.693235,-0.5082089552,0.8112650744,-1.59,2.67,4.26,-0.66,0.73,0.9573021274,1.770965825,6.76550759,4,0.813535,-0.08189054726,0.2838670559,-0.48,0.47,0.95,-0.12,0.41,0.2954430015,0.4698390728,2.084353487,3,0.250175,0.01094527363,0.08314467395,-0.19,0.19,0.38,0.02,0.07,0.08386200463,-0.1633636404,3.638758101,5,0.05899,0.003333333333,0.4132029164,-0.59,0.74,1.33,-0.15,0.76,0.4132163612,0.4402642949,1.827844874,2,0.360615,-0.6519900498,0.009825335334,-0.66,-0.63,0.03,-0.65,0.01,0.6520640783,1.129966356,3.219416118,0,0.646955,-0.3011442786,0.02235364962,-0.34,-0.27,0.07,-0.3,0.03,0.3019727839,-0.4177557641,2.103094372,0,0.299025,-0.6406965174,0.01113072203,-0.66,-0.62,0.04,-0.64,0.02,0.6407931963,0.4838071919,2.308111797,0,0.635455,0.2692537313,0.01592708193,0.25,0.3,0.05,0.26,0.01,0.2697243848,1.023574828,2.65194262,0,0.266865,7.487064677,2.382467436,0.4,10.4,10,7.5,3.4,7.85698979,-0.8952705512,3.608821348,0,7.44525,30.36069652,3.514192619,17,37.1,20.1,30.2,5.1,30.56340038,-0.4685940377,3.527625855,0,30.0704,-24.81442786,3.014878659,-31.5,-15.9,15.6,-24.8,4,24.99690628,0.14366612,2.754075645,0,24.73415,-67.03283582,20.09653113,-81.5,48.3,129.8,-70.8,6,69.98050901,3.75878753,17.17378366,1,67.9769,0.02437810945,0.2308382654,-0.3,0.9,1.2,0,0.2,0.2321219443,1.796138096,6.590570631,28,0.1373,1.243781095,0.3954638713,0.6,2.3,1.7,1.2,0.4,1.30513719,0.9381475348,3.991752245,0,1.2284,-0.2756218905,0.2038259337,-1.2,-0,1.2,-0.2,0.1,0.342800872,-2.679475933,10.56477785,2,0.27655,"Stair-descent"
0.503,1.5,-0.2986069652,1.234816662,-5.9,6.53,12.43,-0.34,0.88,1.270408717,0.5404716237,15.62006862,7,0.78425,-0.3014925373,1.266900382,-7.75,2.13,9.88,-0.19,1.05,1.302280434,-2.023558895,14.11548256,7,0.82153,-0.2024875622,3.588537692,-13.96,23.06,37.02,-0.7,0.63,3.594245954,3.791049041,27.09340105,5,1.444315,-0.04049751244,0.2714449107,-0.48,0.47,0.95,-0.04,0.37,0.274449245,0.2383356668,2.068774064,5,0.22551,0.01875621891,0.08731452424,-0.19,0.19,0.38,0.02,0.07,0.08930633735,-0.2815754408,3.309464097,6,0.06527,0.06552238806,0.3828121277,-0.55,0.74,1.29,-0.09,0.66,0.3883790783,0.3470237152,1.805848481,3,0.327185,-0.6534825871,0.007317323905,-0.66,-0.63,0.03,-0.65,0.01,0.6535235534,0.8753053914,3.171394515,0,0.65163,-0.3005970149,0.02236383432,-0.34,-0.27,0.07,-0.29,0.03,0.3014277799,-0.4936867989,2.135997691,0,0.300035,-0.6412437811,0.01158766172,-0.66,-0.62,0.04,-0.64,0.02,0.6413484706,0.435160709,2.261658773,0,0.63923,0.2662686567,0.0122781796,0.25,0.3,0.05,0.26,0.01,0.2665515921,1.41551408,4.61464699,0,0.265305,8.185572139,1.639755107,4.5,10.4,5.9,7.7,3,8.348196695,-0.1238112599,1.677207451,0,8.1702,30.51094527,4.445589194,17,56.8,39.8,30.3,5.1,30.83311604,0.8350677383,8.8265573,0,30.2831,-25.43432836,3.901277463,-42.9,-15.9,27,-25.2,4.2,25.73179016,-1.08614396,6.467344142,0,25.5023,-55.36915423,69.81020285,-82.3,300.9,383.2,-71,5.9,89.10223152,4.014964774,17.62679207,1,79.7638,-0.05024875622,0.3069873477,-2.2,1.8,4,0,0.2,0.3110726107,-1.856886615,24.93234288,32,0.1448,1.187064677,0.7199584294,-3.8,4.9,8.7,1.1,0.4,1.3883309,-0.8569608985,20.73528859,3,1.2456,-0.1895522388,0.2035513027,-0.7,1.4,2.1,-0.2,0.1,0.2781423809,4.218850394,28.46123195,5,0.24085,"Stair-descent"
0.602,1.598,-0.2693034826,1.392503209,-5.9,6.53,12.43,-0.34,0.81,1.418305169,1.443527282,15.01500845,9,0.857205,-0.3687562189,1.487364006,-7.75,6.87,14.62,-0.26,1,1.532394478,0.6086946994,16.32648616,11,0.943255,-0.2022885572,3.660286634,-13.96,23.06,37.02,-0.73,0.64,3.665872189,3.659795235,25.21445649,7,1.606715,0.005373134328,0.2360853734,-0.36,0.47,0.83,0,0.29,0.2361465099,0.2889748861,2.266892691,9,0.187205,0.03900497512,0.06654220951,-0.11,0.19,0.3,0.03,0.07,0.07713140561,0.552000408,2.983767633,7,0.05482,0.06656716418,0.3705014173,-0.54,0.74,1.28,-0.07,0.65,0.3764339086,0.409475982,1.945198549,3,0.31248,-0.6543781095,0.005879073133,-0.66,-0.64,0.02,-0.65,0.01,0.6544045183,0.4924983862,2.329800282,0,0.651765,-0.3035323383,0.0200238713,-0.34,-0.27,0.07,-0.3,0.03,0.3041921035,-0.5875119383,2.328697511,0,0.30264,-0.6407462687,0.01096989542,-0.66,-0.62,0.04,-0.64,0.02,0.6408401668,0.6001191632,2.289591141,0,0.6381,0.2626368159,0.006947739373,0.25,0.29,0.04,0.26,0.01,0.2627286969,0.661085319,4.068539034,0,0.26156,8.041791045,1.91961459,3.4,10.4,7,7.7,3,8.267727825,-0.6422684936,2.74368321,0,8.0459,31.06616915,5.242815482,18.5,59.4,40.9,30.5,5.3,31.50545953,2.009095674,11.93411328,0,31.1478,-26.24776119,4.91803539,-42.9,-15.9,27,-25.5,4.4,26.7045322,-1.15118894,4.497544779,0,26.13905,-13.01243781,140.4176843,-82.3,426.8,509.1,-70,6,141.0193235,2.076058661,5.595631003,1,106.52025,-0.01741293532,0.3854896397,-2.2,2,4.2,0,0.2,0.3858827188,-0.03522733815,15.59314831,31,0.20025,1.239800995,1.039234295,-4,4.9,8.9,1.1,0.4,1.617749804,-0.6194933885,11.17089122,4,1.36085,-0.09701492537,0.348116531,-0.7,1.4,2.1,-0.2,0.2,0.3613820899,2.278892903,7.789672882,5,0.2941,"Stair-descent"
0.708,1.699,-0.4153233831,1.435800614,-5.9,6.53,12.43,-0.52,0.97,1.49466281,1.543639517,13.92996198,10,0.974555,-0.5468159204,1.448743429,-7.75,6.87,14.62,-0.47,1.07,1.548504173,0.93451604,18.45534551,10,0.976465,-0.1196517413,3.670140423,-13.96,23.06,37.02,-0.7,0.7,3.672090313,3.566618649,24.62215882,8,1.62489,0.02378109453,0.2279775494,-0.36,0.47,0.83,0.03,0.24,0.2292145359,0.173631862,2.385487686,8,0.17731,0.05169154229,0.07182846051,-0.11,0.19,0.3,0.03,0.1,0.08849487716,0.3940037607,2.304577278,6,0.064535,0.03656716418,0.3465489516,-0.54,0.74,1.28,-0.07,0.42,0.3484728588,0.5568920577,2.388917572,4,0.27606,-0.6534328358,0.006958063179,-0.66,-0.64,0.02,-0.65,0.01,0.6534698812,0.5811366825,2.195406301,0,0.647485,-0.306318408,0.01763020106,-0.34,-0.29,0.05,-0.3,0.03,0.3068253429,-0.8570998603,2.339204298,0,0.303905,-0.6407462687,0.01096989542,-0.66,-0.62,0.04,-0.64,0.02,0.6408401668,0.6001191632,2.289591141,0,0.63485,0.2611442786,0.005295645409,0.25,0.27,0.02,0.26,0,0.2611979673,0.1121780771,3.353054252,0,0.25877,7.530845771,2.686013855,0,10.4,10.4,7.7,3.5,7.995518023,-0.9746244299,3.083697102,0,7.4985,31.77462687,5.814572788,18.5,59.4,40.9,31,6,32.3022626,1.600718452,8.214659187,0,31.63645,-25.74278607,5.256330956,-42.9,-13.7,29.2,-24.9,5.5,26.27394241,-0.9960270507,4.180557777,0,25.5874,28.32935323,174.8844064,-82.3,430.2,512.5,-69.4,169.1,177.1640705,1.242368701,2.69991147,1,134.232,0.2054726368,0.7560172551,-2.2,2.6,4.8,0,0.2,0.7834418259,1.639191833,6.596084831,30,0.3964,1.452736318,1.267467006,-4,4.9,8.9,1.1,0.5,1.927930347,-0.1334321962,6.454393818,4,1.5799,0.08855721393,0.6551885589,-0.7,2.8,3.5,-0.2,0.3,0.6611462984,2.018451758,6.434304912,3,0.43775,"Stair-descent"
0.806,1.798,-0.233,1.529610081,-5.9,6.53,12.43,-0.465,1.225,1.547254342,1.121666699,10.53906643,13,1.033855,-0.3217,1.618843448,-7.75,6.87,14.62,-0.26,1.1275,1.65049841,0.7896106592,12.8374617,13,1.03833,0.028,3.670135965,-13.96,23.06,37.02,-0.655,0.9775,3.670242771,3.469343242,24.177072,10,1.578725,-0.0048,0.195936112,-0.36,0.46,0.82,0.02,0.2125,0.1959948979,-0.02855817253,2.649399112,9,0.15082,0.0487,0.07328922158,-0.11,0.19,0.3,0.02,0.1125,0.087994318,0.4688327858,2.223611309,8,0.06232,-0.0236,0.2761684993,-0.54,0.6,1.14,-0.08,0.31,0.277175035,0.4095811965,2.68307067,5,0.22826,-0.6514,0.007618398782,-0.66,-0.64,0.02,-0.65,0.01,0.6514445487,0.2408837114,1.754438703,0,0.646165,-0.3076,0.01772681584,-0.34,-0.29,0.05,-0.3,0.03,0.3081103698,-0.6779228457,2.075608665,0,0.305165,-0.6421,0.01107203685,-0.66,-0.62,0.04,-0.65,0.01,0.6421954531,0.8631547012,2.560373093,0,0.6369,0.2608,0.0056,0.25,0.27,0.02,0.26,0,0.2608601158,0.02405247813,3.117242815,0,0.258745,6.786,3.516504514,0,10.4,10.4,7.8,6.125,7.643009878,-0.773751487,2.231605126,0,6.77065,35.9555,13.97913337,18.5,84.7,66.2,31.3,7.725,38.57737873,2.110670463,6.68381685,0,35.6709,-24.474,6.832109777,-42.9,-2.6,40.3,-24.3,6.325,25.40973042,0.08854659927,4.113420882,0,24.3701,77.136,205.4004864,-82.3,447.2,529.5,-69.1,385.075,219.4067508,0.723541787,1.661669037,1,167.58485,0.474,1.07639398,-2.2,3.7,5.9,0,0.55,1.176137747,1.218616391,3.625463053,30,0.6546,1.0575,1.906631519,-5.6,4.9,10.5,1.1,0.7,2.180263746,-1.146237781,5.409942835,5,1.7558,0.532,1.407364914,-0.7,4.8,5.5,-0.2,1.125,1.504559736,1.927396227,5.580968462,3,0.83105,"Stair-descent"
0.902,1.898,-0.07845,1.50210389,-5.9,6.53,12.43,-0.28,0.95,1.504151089,0.9500193003,10.87246877,15,0.959785,-0.15485,1.59492601,-7.75,6.87,14.62,-0.18,0.86,1.602425505,0.5623231362,13.31657917,15,0.952875,0.15195,3.672643013,-13.96,23.06,37.02,-0.56,1.26,3.675785018,3.363276105,23.65177245,11,1.59362,-0.03185,0.1615397087,-0.36,0.26,0.62,0.01,0.2025,0.164649628,-0.6412526971,2.404303144,10,0.124765,0.0441,0.07604071278,-0.11,0.19,0.3,0.01,0.1225,0.08790335602,0.5229693755,2.103822276,9,0.06175,-0.0685,0.2335481749,-0.54,0.52,1.06,-0.09,0.21,0.2433865239,0.4136075737,3.352036085,7,0.19636,-0.6495,0.007729812417,-0.66,-0.64,0.02,-0.65,0.02,0.6495459953,-0.08606573234,1.677789254,0,0.646805,-0.306,0.01558845727,-0.34,-0.29,0.05,-0.3,0.03,0.3063968015,-0.681099083,2.384392623,0,0.304815,-0.64465,0.009267011384,-0.66,-0.62,0.04,-0.65,0.01,0.6447166044,1.311258276,4.061171298,0,0.64209,0.26155,0.004700797805,0.25,0.27,0.02,0.26,0,0.2615922399,0.4671223988,3.737156106,0,0.260555,6.1595,4.041782991,0,10.4,10.4,7.8,7.55,7.367187387,-0.4903879689,1.584799045,0,6.14025,39.513,17.33339929,18.5,84.7,66.2,31.4,13.75,43.14769866,1.31979435,3.298179965,0,39.55895,-23.0675,8.213938991,-42.9,-1.7,41.2,-24.1,7.3,24.48628902,0.307971147,3.391934137,0,23.0815,144.491,257.8455697,-82.3,752.5,834.8,-68.3,432.2,295.5706124,0.6517569042,2.078037417,1,222.98,0.755,1.283462115,-2.2,3.7,5.9,0.1,2.4,1.489060106,0.7561072116,2.214627101,26,0.9436,0.4095,2.983464387,-9.7,4.9,14.6,1.1,0.8,3.011436534,-1.588745081,5.476774256,5,2.25985,1.0495,1.978635831,-0.7,7.5,8.2,-0.1,1.775,2.239743289,1.465866295,4.008130824,3,1.3188,"Stair-descent"
