,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.4358513148951255,0.3951268709500125,-0.4415317000038227,0.7492559383381572,-0.381842096439326,0.9473221303059246,-0.43899213327510234,0.5050077878952025,-0.46929406261306994,0.7304666596397873,-0.45356118527072276,0.06119285080085435,-0.3143125889898309,-0.26560446851315717,-0.3237964823631078,0.20851901625135952,-0.39459651365181414,0.5550080378695057,-0.4119770223490207,0.07619081222522223,-0.5204531210148452,0.6484964098748451,-0.49907590576143607,-0.22098849330562925,-0.28898387593598857,-0.3398428805049644,-0.2901441172248746,-0.04620690518347396,-0.28359706766523424,-0.28451784822128734,-0.43077202163171024,-0.3782266219964594,-0.33784167197210363,-0.20863612439275467,-0.27057339335395286,-0.365390824468515,0.12921098781382523,-0.32096258506874176,-0.3646461910594576,-0.2990311304718736,-0.3653908244685144,-0.3620756926128374,-0.1677396173466187,-0.35145605107712424,0.05730522129029709,-0.23771219588355613,0.06442366592677393,0.040062884582133,0.11133908496464866,0.07614295876854099,0.0409675681965481,-0.030706576389252303,0.040062884582131864,-0.394667452202146,-0.27829141451609424,-0.4115917113531556,0.3081425722043045,-0.23172391072767962,0.3311025946838682,0.2813422775868805,-0.16798223597907017,0.16564157106701966,0.2662208919804714,0.2803578235686619,0.28134227758688046,-0.131186713774127,0.06389999838336648,-0.17236864110246883,0.1394513150329403,-0.15681977438844166,0.13772256692902232,-0.02197003164473186,0.11530517136230752,0.07463698028132594,0.02491612759696614,-0.04220498846955972,0.02197003164473191,0.1481380586784852,0.2068250307915757,0.19595469140848787,0.11026956585723838,0.11859296652457639,0.10448210574080467,0.06753106071511436,-0.06804199004274736,-0.049113810129932614,0.0002020099356387749,0.11985156334963858,0.032260165239170226,-0.0364783390441914,-0.01144106015173768,-0.0030690975045969244,0.1355744484079428,0.06403770741467184,0.1397147597605859,0.11966226795744844,0.10816122398275965,0.16937741174319462,0.13333175574338985,0.10481584202170749,0.1250109960107192
acc_x_std,-0.4358513148951255,1.0,0.5138430503577738,0.9556792217387335,-0.8546124305008919,0.8936832824006457,-0.4414958339639805,0.9680533191071212,0.3900891943221582,0.8930831527942563,-0.8539563063799224,0.8111864104970382,0.13523471961475692,0.920959839445874,0.8656836291904618,0.9194552124074371,-0.8047208167164542,0.9280735368308665,-0.49487948401646153,0.702267186550437,0.24736979372611656,0.6712086954573235,-0.7936343716646573,0.6159185209381522,0.19864282204601547,0.6914404912965423,0.5879975418646521,0.552351919591297,-0.38592611351653544,0.5230873432504138,0.6941308875390687,0.7662653594353012,0.767008947153186,0.6844566170747891,0.4768271840766015,0.6296831527648961,0.2619290107975242,0.29455676619483057,0.38802837664524215,0.26572787721444036,0.11344831474902768,0.2619290107975239,0.3078532012504426,0.5703511774659119,0.4484540451109963,0.0748917627466021,0.1108555160323477,0.04222704942027888,-0.23737995112158694,0.33232674473598267,-0.15825853353407954,-0.23695998094789394,-0.2580537469338581,-0.2373799511215859,0.31294198512688753,0.6336980791728284,0.48176359000492047,-0.22578027190651845,0.09154736772911924,-0.2684007962365988,-0.181776424440745,0.5448388539994373,-0.009875214627765947,-0.15384891859551947,-0.30967962867784826,-0.18177642444074468,0.488787128743646,-0.19498746820064258,0.5194884993838673,-0.6150950853560099,0.5115294311328676,-0.6141781099346107,0.15175593124515427,0.090652559403808,0.2403538625279632,-0.1471473135722302,0.06120683703147864,-0.1517559312451537,-0.6663398918722053,-0.1462821905281267,-0.6591901631102693,-0.582506007557174,-0.6441705860177942,-0.572846006859338,-0.28317003503740185,0.07568255072092633,-0.07455895705202868,-0.1943280043489986,-0.4050481265393082,-0.23732901264718023,0.34337294898870724,-0.01308201086626042,0.30364978648707314,-0.31032511813270436,0.23441363043588323,-0.3328433099387482,-0.5500642265818193,-0.24079449955429563,-0.5682206857351941,-0.560418775596146,-0.4221060749324604,-0.5512005584969853
acc_x_max,0.3951268709500125,0.5138430503577738,1.0,0.43060490469675233,-0.04415629063097018,0.39078361131112344,0.2972191267804061,0.4801223789938593,0.8892741224324934,0.3451643931374228,-0.11656429845318718,0.2654689822321666,0.3295396792599178,0.6324816055830952,0.663692601745683,0.6249921057643782,-0.5964909167702611,0.5051736460111045,0.11235914930645406,0.23646558941077256,0.3060968007613496,0.13128232704702872,-0.07591324092187421,0.11305298149421458,0.12440518345214936,0.3364691573975842,0.2751191569912753,0.29222326407394045,-0.27672127515590145,0.2677239664134087,0.13731479562630342,0.1447478249821979,0.160985402426959,0.10746999905266127,0.03382673226894489,0.11137569129368952,0.032627485981052355,0.10948056383564381,0.0986807262699294,0.03448170894143126,0.018050663384940335,0.03262748598105237,0.09231362557158622,0.13657383071613033,0.15653532633552739,0.06226448915601561,0.0679367766548816,0.0536601761900754,-0.10615145490031644,0.2354711013212092,-0.0379005636908734,-0.10557856102874297,-0.15330380317926295,-0.10615145490031717,0.09302817675620839,0.12212845458357446,0.15881596564716743,-0.09617349657174586,0.0766708297827955,-0.10462253009846928,-0.03767978946677863,0.11104477709703575,-0.021164293335716927,-0.0338319782616403,-0.08868810080809506,-0.03767978946677864,0.3395834149277646,-0.03767323921979154,0.35512684544766754,-0.44584965884413624,0.3210156761678927,-0.45033310999613746,-0.08598316817043015,0.3774217904559461,0.12794937837522835,0.09609483727044461,-0.22637663483548745,0.08598316817043072,-0.3983160968355266,0.2853837085973244,-0.2989757174575615,-0.38627343422338056,-0.448287357882266,-0.38674515388496716,-0.1935000550017033,0.1554889706288043,-0.036595040080334686,-0.10428366311753677,-0.41489170473178183,-0.1326380494477098,0.3836104578920283,0.12695738403965304,0.4556307642736306,-0.06255846065656946,0.3243979853810055,-0.09655285833470681,-0.41241098156403394,-0.004629855037001314,-0.34461676802306385,-0.378233794664464,-0.37119038069128785,-0.3823642720519733
acc_x_rms,-0.4415317000038227,0.9556792217387335,0.43060490469675233,1.0,-0.8435750750172752,0.9785880189907618,-0.4594206457420316,0.9388094883560306,0.3231295327474584,0.9633481844427157,-0.8338662122735732,0.9260978046453754,0.0056186826257517255,0.8735887901465184,0.7926760305421854,0.8810991535335194,-0.7840923824320817,0.9174287427657793,-0.5412860463069266,0.7191159382134694,0.21386328291319343,0.6928455991882001,-0.8270678252252087,0.632723849173646,0.18066072305513484,0.7053300457740602,0.5818001332988564,0.5557744282528938,-0.4184938914459463,0.5241498208491187,0.7019897100263706,0.8194105346473904,0.7955827208435795,0.6644045693932631,0.43262425852735753,0.5894874016150117,0.2820494483601717,0.25921558438893183,0.4089298418607365,0.2857450022081256,0.1444303547891912,0.28204944836017143,0.34365691929979614,0.5189042969314446,0.4695601843436199,0.11363760984110825,0.15631247331027642,0.08293368587526982,-0.2649704097289711,0.3418155182198963,-0.1805835692700563,-0.2644859261546195,-0.2714635739456804,-0.26497040972897,0.340768872990859,0.5816253075314799,0.4912366437364326,-0.2475518509662307,0.1271408460829396,-0.28579505317974174,-0.2219197457492928,0.4905517992864191,-0.057189053896887505,-0.19573019341871767,-0.3383307069093282,-0.2219197457492928,0.5006561286090588,-0.2625538238146765,0.5117440661585191,-0.6292527266116938,0.5373991601737294,-0.6247237433958571,0.24563295878123212,0.01229986878794488,0.30180702964342715,-0.24220654370865374,0.164799287372141,-0.2456329587812318,-0.7117441239412252,-0.24699903382962238,-0.7232208200980952,-0.6180750516630552,-0.6674799656686852,-0.605779997345031,-0.2933169747432814,0.01511201287146174,-0.10598925370972251,-0.23670135860793498,-0.3501315410086481,-0.2779674774812235,0.3019532554683146,-0.09691750623531754,0.2231746956719135,-0.36487155422244516,0.23777473834966611,-0.3808994460167294,-0.5504858694231584,-0.3072664654999994,-0.5957030270315378,-0.5901267146491763,-0.3905747175551002,-0.5777491025809162
acc_x_min,0.7492559383381572,-0.8546124305008919,-0.04415629063097018,-0.8435750750172752,1.0,-0.780099318368114,0.7075227367663085,-0.8507579133830344,0.05595566442573853,-0.8292869347721927,0.9599860813902334,-0.7729502856709851,0.03685511450984672,-0.7251274552197781,-0.6470011757146553,-0.7272280644830639,0.6399862930887309,-0.7985558804091529,0.6265793714433839,-0.6594123966787802,-0.11375367967669966,-0.6633283339367073,0.8569435659937578,-0.6081885204551479,-0.1841377323092749,-0.5989983704886725,-0.5465046642200188,-0.4726307996611518,0.2491814866883619,-0.45071695450177374,-0.6763272652968907,-0.7792861503186688,-0.7643105099473491,-0.6944067094766688,-0.4819870069091942,-0.6246757729024717,-0.30013957305986544,-0.233273222127044,-0.39939578457337854,-0.30304818182331567,-0.14902664068656093,-0.3001395730598651,-0.30939249975224264,-0.5358613295365245,-0.4225413443126417,-0.022415521376682738,-0.10531244980603169,0.008194739641877257,0.19496497087620773,-0.21509713837876324,0.1434569906710936,0.19486212838933936,0.1835673810714899,0.1949649708762063,-0.323206241511236,-0.6155024067094386,-0.46622635327551754,0.2235174222379755,-0.08687289533075783,0.26500650520960733,0.1925829189956731,-0.522134600227099,0.01142156905874694,0.16484334567733946,0.29958620423718074,0.19258291899567304,-0.368334783757776,0.18409449990137183,-0.39799146815954706,0.45411930644057036,-0.39929894353291917,0.4516802395802836,-0.14977611196698687,0.059495772994218654,-0.14193770163955258,0.149714655968896,-0.12532230292982813,0.1497761119669865,0.5019064430970027,0.2983164092122301,0.5474325766855753,0.4129314327607474,0.4559240712464807,0.4022063369319754,0.21216437188193862,-0.04516643808554699,0.0346438977953728,0.1333372638650508,0.25760212598483495,0.16837096224633016,-0.20303074579540215,0.030583562526899095,-0.147755783863947,0.2735064898766142,-0.08478590813410274,0.2836516526443632,0.41914502053975744,0.2557870421333963,0.47424080901217647,0.4356726651942685,0.3067911726544831,0.4222759845042641
acc_x_abs_sum,-0.381842096439326,0.8936832824006457,0.39078361131112344,0.9785880189907618,-0.780099318368114,1.0,-0.40190870740746215,0.8770898850613571,0.2980489424965119,0.9513858350721157,-0.7622821952134569,0.9469041117068296,-0.09825241153605423,0.7985670340943428,0.6995670370341422,0.8137050697400918,-0.7495917491508505,0.8703465225066148,-0.5519817299297873,0.7089829233206651,0.16877078440459503,0.6837607915667739,-0.8197236388997041,0.6208047836151768,0.12298871772930786,0.7028348574063064,0.5371116945205994,0.5359659488583093,-0.4709269954683045,0.5058366270989387,0.7154699689028873,0.8172902317564428,0.7996047501832718,0.6533943831721495,0.44580039758221757,0.5800148529174317,0.2374929635888582,0.30141511866442644,0.38168565925854864,0.24161874060965147,0.09965623493408948,0.2374929635888578,0.3073843028347738,0.5118117996864097,0.439027891577971,0.1563850060291945,0.12992351142518296,0.12464001271537402,-0.303266022621239,0.38772546412262754,-0.21244564738098443,-0.30261654525330817,-0.3149567942895787,-0.3032660226212379,0.29494882103818654,0.5623185230186886,0.4482200434093219,-0.20180837277258837,0.09447118692106458,-0.23693006964247182,-0.190835783179214,0.4784492074994962,-0.03741536193850061,-0.1660683170397932,-0.3115270266902416,-0.19083578317921404,0.4901621331674975,-0.2774480574890775,0.491911086470057,-0.6215429998827049,0.52924330522801,-0.6160106620551181,0.3240865453424046,-0.03835401645436107,0.3634677679642565,-0.3209624066691173,0.24498215674308932,-0.32408654534240433,-0.7351271577602349,-0.32016952050840464,-0.7606420884516866,-0.6359068371186254,-0.6734484859546249,-0.6218525508267453,-0.3103215106525396,-0.02702956548195063,-0.1481645254496468,-0.26675943398786395,-0.3240957443115299,-0.30400773326628944,0.26487728813148714,-0.15382114344496184,0.1641559671002185,-0.4053039701696876,0.23967179383732623,-0.41606921477529263,-0.5380042496393691,-0.32906455200572565,-0.5925521656880818,-0.5875582194189521,-0.3629337257048628,-0.5745233202604105
acc_y_mean,0.9473221303059246,-0.4414958339639805,0.2972191267804061,-0.4594206457420316,0.7075227367663085,-0.40190870740746215,1.0,-0.45243920895923934,0.4916916351019126,-0.5121972154997368,0.747284705692218,-0.5022616079118658,0.16186041496716674,-0.34850937596012377,-0.2906295724121167,-0.3738490150625381,0.25510282598807854,-0.4360620856709978,0.5743272777865865,-0.3759464898924775,0.10741749054668083,-0.4399326242130045,0.6405857575522811,-0.41494597709663994,-0.31839986006892135,-0.32387746831650227,-0.4071918486696933,-0.36763297582213655,-0.09421628715004836,-0.3492485899412049,-0.24064621380493456,-0.4067383952796262,-0.3494072734586338,-0.2568979510456676,-0.1592526764343783,-0.17699630393809532,-0.4750471518555831,0.22216439153601295,-0.4188441402597616,-0.4740631221754805,-0.42396279190104047,-0.4750471518555829,-0.4840948655866717,-0.07699804209808254,-0.45258915429134766,0.09269579028792148,-0.37704034395112695,0.09425659597887745,-0.01978861292046279,0.16677389857092142,0.014728317440632478,-0.018852949719327897,-0.10082374787832928,-0.01978861292046314,-0.5244263074365835,-0.18317682528820334,-0.515260419804706,0.43654706339299354,-0.38079924012256133,0.4545950155347431,0.4015009707749287,-0.06580070485954984,0.29983812014411104,0.3897649360089713,0.3823718891582154,0.40150097077492847,-0.17452604757763412,0.14390619716985673,-0.19656994496439217,0.19226769855120912,-0.21812078210943778,0.18632301173063276,-0.012760200073464099,0.08394382081447467,0.08779902618610207,0.014583683125389612,-0.015121577101856671,0.012760200073463967,0.1849644752822923,0.22840306490357695,0.23391423411134363,0.13061217665778238,0.14516158836135779,0.12217215320004077,0.08599530928119806,-0.04105775013198577,-0.009756789881463024,0.03947359142965297,0.14640381801137548,0.07076118626678302,-0.04075949992572382,-0.0061984107984198135,-0.004862311257765734,0.16613663921881233,0.04211749728499753,0.17290515691623665,0.189575576927895,0.19945501244993014,0.25875029591785254,0.20889353928396387,0.12304159476421372,0.19089711035431317
acc_y_std,-0.43899213327510234,0.9680533191071212,0.4801223789938593,0.9388094883560306,-0.8507579133830344,0.8770898850613571,-0.45243920895923934,1.0,0.3964701053342968,0.9267963647395862,-0.8732908353012162,0.8397258153389726,0.07433313616760964,0.9039549415989876,0.837032414001167,0.9072229765338791,-0.836305696041651,0.9225115602368109,-0.539637294932863,0.6973284059703752,0.24481871953966364,0.6683007132617376,-0.8016620117502095,0.6203561785819838,0.16344235313489042,0.6808476169351316,0.5588713137847626,0.5423819718849208,-0.41057805394356156,0.5147838785172156,0.6767973035522441,0.7647140095329412,0.7536876577964483,0.6500109161026556,0.4422131432295898,0.5896813912511011,0.28373999164455155,0.23832229738973504,0.39464953871592773,0.28688276704981996,0.1478928002302301,0.28373999164455144,0.3265863265488957,0.5319694386710079,0.45164398235230957,0.05435825175295226,0.13669437073074694,0.024566699993022443,-0.217812986396424,0.2919233652162679,-0.14324433919311402,-0.21750606892612298,-0.2240936298685295,-0.2178129863964235,0.33295846135223045,0.5986295742128488,0.4854999344975308,-0.2491407011100528,0.11805718090138002,-0.29066001752923964,-0.2043592514905706,0.49925142126817756,-0.039280115625077175,-0.1774225396876944,-0.3166091930335107,-0.2043592514905705,0.49040961063168753,-0.19779197898899403,0.5153303509319638,-0.6226570617716359,0.5127947688461192,-0.6224951895094534,0.15034196272736203,0.08682225081338324,0.2366871087873271,-0.1457639541467502,0.06192852855633298,-0.15034196272736142,-0.6631544401148124,-0.18796063683150926,-0.6667073979706298,-0.5679222698953293,-0.6282532953391335,-0.5564115199638824,-0.2751641465471939,0.06781247359706415,-0.07621659566449211,-0.1965592095287049,-0.3716157368699253,-0.23706398750229934,0.3336976599492678,-0.0064537701894745855,0.3009600651625083,-0.3034355251714891,0.22868291331988203,-0.3251075922112149,-0.5765989733138072,-0.2504928478368701,-0.5963504497169462,-0.5816980723005624,-0.4380571104215014,-0.5728097496893313
acc_y_max,0.5050077878952025,0.3900891943221582,0.8892741224324934,0.3231295327474584,0.05595566442573853,0.2980489424965119,0.4916916351019126,0.3964701053342968,1.0,0.2509514202794988,0.050839853631439585,0.18023980081757565,0.357199235838256,0.5273509811119014,0.5679110785839336,0.512217923678241,-0.5170828473817555,0.39036458480622366,0.18414898568305968,0.20620246152072452,0.3511903062077188,0.1437208179980395,0.02544030742527861,0.14587350121182957,-0.026471595507721716,0.25159223598660657,0.1382683950254837,0.17445793824315775,-0.3738436492387098,0.16874865717555387,0.11437745296651831,0.08983866506008865,0.10921157638039736,0.07457658116971341,0.018023443375039114,0.09517923617487752,-0.10976202774784313,0.1816600838892903,-0.0270860787309396,-0.10782214667009378,-0.1145944683656249,-0.10976202774784283,-0.05324793771165111,0.13763020874241458,0.019941024303456414,0.12230562988926351,-0.05777506068579015,0.11216255833945436,-0.16088110892435786,0.31244435178493707,-0.07708804129031009,-0.1600857885033295,-0.22131605129863652,-0.16088110892435825,-0.06177495420342036,0.10812436057713132,0.00854586749760037,0.04092180507158351,-0.05590298021427801,0.03525825674348049,0.08752210430897665,0.11076600406246534,0.08341338923938801,0.08944431559137338,0.03276592816675556,0.08752210430897665,0.29445576284878716,0.005655938719668913,0.30429160091323065,-0.3905234377545217,0.2633199662153303,-0.39739156190389147,-0.011879506862046885,0.32315484200371536,0.20701159990488716,0.021125790366086222,-0.14337839773670372,0.0118795068620473,-0.36923380159248936,0.31063690051959963,-0.26326064276753364,-0.3738780852869503,-0.4211318694936028,-0.3757166522871432,-0.12768375943672625,0.1709542892897654,0.05940509311302183,-0.053566259688035446,-0.28228039079160416,-0.0888821774926571,0.3510434858583151,0.11066490253765783,0.42997163904025076,-0.04729725896902171,0.320530421236611,-0.07811398451072112,-0.3508204484728186,0.061281358086073545,-0.2642738774186884,-0.310050489405343,-0.3424559591278227,-0.3250002459233053
acc_y_rms,-0.46929406261306994,0.8930831527942563,0.3451643931374228,0.9633481844427157,-0.8292869347721927,0.9513858350721157,-0.5121972154997368,0.9267963647395862,0.2509514202794988,1.0,-0.8444028230706211,0.9762794046075118,-0.1569941027395074,0.8208297173660943,0.7105524728656203,0.845712838132025,-0.8056865562692581,0.9050312250774034,-0.5636759026840753,0.7154929623754981,0.21671937764443985,0.6948793650040865,-0.8326477961218411,0.6421024568589323,0.2032141419169155,0.703064834229885,0.5896882164154528,0.6019379732852966,-0.39366761148695395,0.572051352465462,0.6705216363572332,0.8280119163218972,0.7883508693137942,0.6116528006806947,0.3804182148240578,0.5244761221147917,0.2779093558206935,0.20042971443678625,0.3897736803086835,0.2809105455082271,0.1621416867600638,0.27790935582069337,0.347022932793123,0.4436118301271411,0.44884431636470845,0.14011263742749025,0.17741510399528027,0.1135644261907673,-0.2960559703071164,0.3155552800793722,-0.21846082628176097,-0.29575052820618436,-0.28000136459762714,-0.2960559703071159,0.34821428657872877,0.5086957027331991,0.4727232910004282,-0.2499130085795798,0.15159306870595649,-0.2841705107803366,-0.22286244440296585,0.4074542998699866,-0.07668934364601189,-0.1997970348602334,-0.31553160287426757,-0.22286244440296568,0.49328808377702604,-0.2754487939170608,0.49240563187761954,-0.6337343179683627,0.530639520273246,-0.6292587113172968,0.27315218128614305,-0.04312483453173391,0.30503880809071393,-0.2710222429953768,0.2047504533449988,-0.27315218128614255,-0.7313135380199585,-0.3414390197588225,-0.7629548840685665,-0.6251460794877889,-0.6659452297337325,-0.6102478886958169,-0.2969834277142687,-0.019661970124334825,-0.13833708276034287,-0.2621489461187941,-0.3202604117622793,-0.29938395418626024,0.27901783794271595,-0.13881453845450814,0.18359040789169537,-0.3859871909856226,0.24116432874121177,-0.39642600874340445,-0.5556881465317541,-0.31922915048966105,-0.6043294955391202,-0.5966046204938238,-0.3813614598185696,-0.5854363537621294
