,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,0.25290532982597724,0.3804859425567739,0.06001457097935126,0.5612185577977462,-0.0944684878389687,-0.9158180523836676,0.20300633643887292,-0.05480922982819553,0.14025677630134803,-0.32299764459972724,0.0652961729925297,0.4741979997753497,0.0917308618887124,0.18218814695996116,-0.04886916981458087,0.14217609486638738,-0.2122741637290615,-0.11035134789152226,-0.044915001246024926,-0.05688883145354639,-0.04626656714104336,-0.043354091245436446,-0.07326092012360037,-0.3531624621856405,-0.29753845537777773,-0.43295325563718595,-0.20121730212624106,-0.32468518948946473,-0.17968862257131932,-0.1889367459114616,0.13883748905387944,-0.026888379841764933,-0.06351964419667307,-0.287897658307917,-0.07008184961407862,-0.7509221687397882,-0.08702640480255654,-0.6260035668051454,-0.7504575264130795,-0.7010271673783854,-0.7509221687397877,-0.4019542690917365,0.09489027873880028,-0.3414021746407304,-0.40195155580147296,-0.33025775042589867,-0.40195426909173443,0.6063226077696855,-0.11106889221536542,0.5041422624586713,0.6055874666564589,0.5293277249109598,0.6063226077696882,-0.7088984840838866,-0.07578717249271433,-0.6393490735936724,0.7084083229739209,-0.5928677493540387,0.7088984840838861,-0.249924033988854,0.24978423625601334,-0.14063532870994988,-0.2220602320062543,-0.37292178840232176,-0.24992403398885354,0.08535023647430132,0.3142658521570716,0.1785462517808198,0.15016546426011126,-0.007629055968095979,0.1318465975018669,-0.1425042950013359,0.21030970471686647,-0.09638373393973446,0.14656417692991905,-0.2117287044793854,0.14250429500133605,0.123194074741295,0.34850744389122706,0.2539729107268494,0.08844629703183408,0.04768698425938453,0.0688986320737614,0.1531735747934294,0.407823483724248,0.35931739299260135,0.27781969557575065,-0.07491854184810867,0.22294751543207678,0.037600167761057415,0.2911337777334047,0.1881229222063733,0.16031478613991784,-0.1755692597597767,0.13998282126800127,0.025675860195002887,0.2143221714007391,0.12355419978205098,0.0887516311713238,-0.14382967973561087,0.06974075336236744
acc_x_std,0.25290532982597724,1.0,0.961706845773673,0.8791670162372377,-0.5662813734317109,0.6426388607801946,-0.2859720546941823,0.8262208459521573,0.6038153236875228,0.7857249616760674,-0.8088785574425792,0.6968211670033665,0.3828550949623715,0.6309265775882718,0.6200230871827007,0.5906738928666239,-0.5469104467739815,0.5011440605544222,0.053925463476447874,0.5243003689821415,0.4267335256573183,0.450740280132763,-0.4514425372424795,0.40210265313893506,0.3869141760536505,0.3632877735784859,0.4376619221226757,0.33458667092422684,-0.14500820932885847,0.3306155397601517,0.08231171795499641,0.5942853285886752,0.6221828392081309,0.45989928583732065,-0.23974992799140596,0.3821769888223363,0.10763598836552683,0.32135955009739736,0.22494366695398849,0.10912909864512096,0.01339129128527198,0.10763598836552722,-0.04558547421974647,0.24048154110059194,0.02415041563348551,-0.045049904446786866,-0.0783891882943348,-0.045585474219744584,0.02530614495067692,0.2590526975318549,0.07718375456610868,0.02705932333856634,-0.11948273767307023,0.0253061449506785,0.1254396126012036,0.36216511956920433,0.2644274945886616,-0.1238307212619628,0.03189454845358522,-0.12543961260120473,0.30528716776131315,0.4823331372622761,0.44271112222001857,0.34749073805234676,0.19449815267915882,0.30528716776131304,-0.1263390819321414,0.412821886907183,0.11467815469324344,-0.09403034023900328,-0.22037222066678508,-0.1245937972536646,-0.041060104666762326,0.400992207555808,0.07369926789009101,0.0510243589781121,-0.21022848838490055,0.04106010466676207,-0.20701180491269075,0.12350788839790339,-0.12997023079315245,-0.2610045915603127,-0.24239653793353905,-0.263217972631768,-0.34255943437712333,0.3969271984209391,0.10929139052582278,-0.055537759437737,-0.6759606292720627,-0.132041279855688,0.39298439841897453,0.42594642653618225,0.5827058695326683,0.32056921463583987,-0.1991346702221887,0.3034663772458446,-0.3854453257979105,0.17223271216704983,-0.20411382151259982,-0.10377982908447154,-0.5945035745528255,-0.12512802388745364
acc_x_max,0.3804859425567739,0.961706845773673,1.0,0.7780829331704331,-0.38757380636743677,0.48541647502554075,-0.4025367009730008,0.8129835944884143,0.5670075320276705,0.740776613165685,-0.8514365847683648,0.6029307065763438,0.5135006490721165,0.606335417874083,0.6444432244387408,0.5287570224295433,-0.4224609967056516,0.38482804862104003,0.11578674934607888,0.4846386205341456,0.4486175198256634,0.3896663017059698,-0.3606619204383784,0.33591660788123584,0.3416424651413841,0.23718407201277655,0.3407169191321992,0.23088036101071932,-0.1466001254328382,0.23307968052783842,-0.060637605834318944,0.4770084856886665,0.47241860590840984,0.27567160792609513,-0.2600347973266186,0.20160273558019667,-0.0021451279872717454,0.1527392981281629,0.08461262539936744,-0.0015755629146814315,-0.029499161168556814,-0.0021451279872715173,-0.038818571081855484,0.09898256733055266,-0.0068158551709692865,-0.038637821064178825,-0.0245020122301429,-0.03881857108185446,0.10988948079255594,0.08710589442259414,0.09767490062598064,0.11032806879730568,0.007764020211069246,0.1098894807925573,0.0655217533733912,0.1886753907862178,0.15644255076839378,-0.06481293740561997,0.04275399121886282,-0.06552175337339194,0.17902008556985388,0.4365144659222185,0.32118982124165596,0.2208045787831188,0.07735364921150943,0.17902008556985377,0.012974501618197286,0.4825037400413958,0.2508395657725635,0.046770984843781976,-0.09633701022570484,0.014596825656019994,-0.1622200914943214,0.4764649618822296,-0.033051681554874195,0.17319573782179462,-0.3435395029882079,0.16222009149432148,-0.05687336444659062,0.21132449642247894,0.03156775574655483,-0.12263257612434897,-0.11318915858158574,-0.1274863668047781,-0.25345843382076183,0.49325656328192297,0.22240727391299472,0.07178383330375376,-0.65474965915738,-0.009338499628582856,0.3886907102355591,0.497613707810568,0.6150757659746485,0.3889608446202648,-0.24599982879473767,0.3684010272525171,-0.2991194773523189,0.28878317662450853,-0.08934419514308307,-0.009054265124343399,-0.5773422837656853,-0.036953413294063514
acc_x_rms,0.06001457097935126,0.8791670162372377,0.7780829331704331,1.0,-0.6558630950603991,0.9198046457463871,-0.13737314429439054,0.7320268487325412,0.5404195421167427,0.812287820725531,-0.6611081169062722,0.8446351648123321,0.12963717437539812,0.5850336672568461,0.5017715751121672,0.6100701893621577,-0.6545197381480746,0.6336751872974203,-0.04269162433780046,0.4567691203779662,0.3037618713497315,0.4551865845826507,-0.4823827047320025,0.4195615389841479,0.38194329225621565,0.575975615613067,0.5433748719107986,0.4986507166932664,-0.19815722453512952,0.47800649275006724,0.17063525069867802,0.831657057991026,0.7795022849035298,0.6258456641072271,-0.3572490650533979,0.5288663114499441,0.2893159291749169,0.41523855487090716,0.39439964547296136,0.2909542053520558,0.15071351585900405,0.28931592917491794,-0.09840362635600804,0.31323275856331284,-0.01506981506069178,-0.09774866263746998,-0.15790269000121698,-0.09840362635600534,-0.10661365383517872,0.3729885725721916,0.008367207329452163,-0.10435670082952099,-0.25033701931211727,-0.10661365383517764,0.20644985793449133,0.4078080052404718,0.34474208543231755,-0.20468131710212076,0.0702745773490854,-0.2064498579344929,0.41007117592148196,0.4995729022934508,0.5349054819431234,0.45080776270324063,0.30226645480498093,0.4100711759214817,-0.3741570386480678,0.21296656125517827,-0.15806642497852147,-0.3439332687730059,-0.42239972574959467,-0.3669552440065634,0.22145550601472846,0.16906027034795268,0.2837473362283316,-0.2153653078246705,0.09503179849155997,-0.22145550601472835,-0.47467218286875307,-0.03919010183261157,-0.4094881697677402,-0.497389823214818,-0.46483627255301463,-0.4951278554454808,-0.4397019882802102,0.20784590227039468,-0.06612172960427141,-0.25649212260332177,-0.6209098363010523,-0.32372816965274237,0.29130187358273046,0.2288625752027404,0.378339069984122,0.08589029328143594,-0.14163747495546197,0.07492559672923584,-0.4823299792030542,-0.07955118966187545,-0.37819640125135434,-0.2676363673238272,-0.539126126056918,-0.2719634436551874
acc_x_min,0.5612185577977462,-0.5662813734317109,-0.38757380636743677,-0.6558630950603991,1.0,-0.6363765894878181,-0.4830173834117987,-0.4529196132272483,-0.5106284215236916,-0.49192719431615317,0.3125559908054455,-0.521630773340075,0.14538683486968082,-0.41208164591674723,-0.3041006760745684,-0.5012914912301057,0.6032656152609709,-0.5898610766490844,-0.05341253815717042,-0.46471297465140937,-0.34502443527058496,-0.42898800283610433,0.3891965458775743,-0.41859207204647353,-0.5623981209738117,-0.5454692911018253,-0.6872765037231129,-0.4376559726876581,-0.15130049055260908,-0.41719865915816806,-0.31418391479646524,-0.42900411487789475,-0.60019540567233,-0.49863425079833584,-0.052292418724719555,-0.4510961222011582,-0.6575844656456774,-0.40798745544550147,-0.690486147057192,-0.659044815922236,-0.5187318570142496,-0.6575844656456772,-0.22122031567679876,-0.21633372066160558,-0.27133074585383393,-0.2218690181936928,-0.12233634485459086,-0.22122031567679956,0.43330112297528833,-0.36924403066772904,0.2980903227887452,0.4306211312494289,0.5252912449780491,0.4333011229752876,-0.6094468826150564,-0.42529261205225805,-0.7058379239929381,0.6073472438525513,-0.42766238349435426,0.6094468826150581,-0.5090122691057059,-0.22899817102981143,-0.525001708302607,-0.5186859171063066,-0.48374783593486764,-0.5090122691057055,0.25587151461767854,0.014978285165073239,0.1582979821260519,0.2782991976141677,0.24302310721185194,0.2836196249641952,-0.13575061150244025,-0.08097428880473462,-0.17931052554500185,0.13265235343080006,-0.07382640435634022,0.13575061150244047,0.34572419044141006,0.23900342315072837,0.39691137846349234,0.35687595784741644,0.2974252774180174,0.3406233159045643,0.4548046968742453,0.08592516787379664,0.2833512823337446,0.371576292149989,0.4762535074942514,0.3863719146265676,-0.3157970322629503,-0.04750791803947418,-0.32952188318394343,-0.1039606017531296,-0.06676665210121421,-0.11017894914773874,0.36288947331432414,0.12042339964568256,0.3217359462982557,0.23137664247467996,0.3397519554467629,0.22811913490601954
acc_x_abs_sum,-0.0944684878389687,0.6426388607801946,0.48541647502554075,0.9198046457463871,-0.6363765894878181,1.0,0.0031831563810337596,0.5371376951940076,0.40627977674636784,0.6933412513833946,-0.42128512213074676,0.8280793563043597,-0.1140198894016755,0.4630396564367071,0.3266486071892621,0.5383665684465935,-0.6555278416091292,0.6520948136833834,-0.14882283105062094,0.340306892416473,0.14090233456391638,0.40801061003783684,-0.46728373570900994,0.3910211041311869,0.29286101611289966,0.6495943994402538,0.5153125214968974,0.5645637872448613,-0.2265220220374261,0.5365654726825905,0.2799162430853437,0.8912447829275236,0.8071426758793195,0.7259641381942568,-0.35768248858207624,0.6386612468833878,0.3609286334547248,0.5105125157044704,0.47142250684210724,0.3630783610006804,0.17655307800769893,0.3609286334547256,-0.1520563163468787,0.40820703717402285,-0.043550563045454155,-0.15120060058512683,-0.24243796256805594,-0.15205631634687453,-0.17723957877498997,0.482024169509597,-0.010632056035547587,-0.17421577944841704,-0.3274075584407923,-0.17723957877498886,0.19701425078676904,0.4766876762431399,0.34969342303074713,-0.1948505774183368,0.017242645974673825,-0.19701425078677023,0.4463941030232284,0.4451255904915847,0.5360087357131822,0.4788996121748953,0.3479817177495541,0.4463941030232287,-0.5346861918362101,0.010479036131172258,-0.3744936319070376,-0.5089566862309505,-0.5387015170715959,-0.5225778083982211,0.416713622866178,-0.050469440369601166,0.4259321919988256,-0.41475222052689686,0.3468945978833805,-0.41671362286617863,-0.6285724181708967,-0.182759984124576,-0.5885090795307704,-0.6191049935331236,-0.5805889026615928,-0.6130377737724745,-0.4385502898559538,0.010961771597870904,-0.19509820797546054,-0.38233031444062937,-0.4575727881118102,-0.42866727684558176,0.1594471259496316,0.02808776172433104,0.1456533061675778,-0.12212766236356264,-0.06002506113473324,-0.1267753082194495,-0.4780656994732198,-0.27947647399976383,-0.45838613369841086,-0.35735035266787385,-0.3923393655960214,-0.3459650144367223
acc_y_mean,-0.9158180523836676,-0.2859720546941823,-0.4025367009730008,-0.13737314429439054,-0.4830173834117987,0.0031831563810337596,1.0,-0.30543912935670803,-0.006093019571760989,-0.23699846335937225,0.4326927473012558,-0.13355386802193348,-0.5968909538396949,-0.18623682015610843,-0.28105306525018153,-0.03665364956666208,-0.12321049998615988,0.13134470138402915,-0.013503455172813528,0.02311892751039552,-0.04284054920405129,0.004927642802474937,-0.06250761129997395,0.024196107255402406,0.1526078922162212,0.21460450046922144,0.25592812989125074,0.05393760893245671,0.23672902674914478,0.03106542993477988,0.37915658387856127,-0.22117436971900445,0.0751311925476807,0.020031897767979118,0.49948636844685673,0.036956716560440875,0.6389722577635829,0.0574161778085453,0.5213782500406928,0.6386027934472057,0.5936407848522407,0.6389722577635841,0.3697169271847881,-0.12213017100609984,0.30651458498769135,0.36965417874611906,0.3103220759036918,0.36971692718478544,-0.543301918591223,0.052088857347945064,-0.46808502111448463,-0.5428827179145955,-0.4552664220806388,-0.5433019185912253,0.5990576514187185,0.07618358090591894,0.5423338959795515,-0.5985119579655794,0.4928208478239293,-0.5990576514187185,0.17571057243740504,-0.2392748766681531,0.07477969513198954,0.15012591358260297,0.2806296963756616,0.17571057243740493,-0.009154086965342511,-0.2794940582626689,-0.11087747227318155,-0.07128518933411841,0.06722445722284871,-0.05130575439601943,0.07736360641268956,-0.23075944745030752,0.03383768617540352,-0.0828987563234239,0.18358699026973088,-0.07736360641268954,-0.04483009911471602,-0.34038467065149564,-0.19167376475976844,-0.01759165789953824,0.019625852576703424,0.0009517226149586517,-0.12321575403513717,-0.4214408090681605,-0.3859421869689232,-0.23509522227002427,0.12155420964096318,-0.16778758669730215,-0.009598108123322227,-0.2673552951541102,-0.15237788069003796,-0.09643547785582268,0.17820847006812027,-0.07180059588990033,-0.00032353298747976985,-0.16607568083301566,-0.08535164406721629,-0.041094766693470175,0.165009002248795,-0.022472342244295476
acc_y_std,0.20300633643887292,0.8262208459521573,0.8129835944884143,0.7320268487325412,-0.4529196132272483,0.5371376951940076,-0.30543912935670803,1.0,0.8525518373952317,0.9576080673157209,-0.9554679581842401,0.8258330335031898,0.5868249040225922,0.8775871306987023,0.8767013202752493,0.8402677826623367,-0.6638369622300969,0.7179991064712775,0.2273582699039972,0.5647408207218066,0.5594843636351642,0.5209349398370962,-0.2775367407997426,0.48294691987923155,0.44912208439996393,0.4467951974914576,0.5061763248208121,0.4818036888486486,-0.29407711608650633,0.48800370418210764,-0.1221496183552161,0.5523718718861313,0.46220178062839906,0.40578979663135195,-0.42570713480426103,0.3484729680961253,0.12177750666840188,0.27926601630533926,0.2319360935574552,0.12279428924982771,0.04810793342300001,0.1217775066684018,-0.06715016840639568,0.23002756783325304,0.012107611474879751,-0.06673536243857064,-0.08271218785775676,-0.06715016840639255,-0.006677165509079243,0.2357832084241375,0.046174237037761884,-0.005199653184614131,-0.1427410057731498,-0.006677165509077532,0.08340649015486025,0.23123080727641207,0.19599954700406252,-0.08254485927472538,0.03683518984830501,-0.08340649015486096,0.46539377839565665,0.31368238162412415,0.5153843357118826,0.4816374605889854,0.39630270621557084,0.4653937783956567,-0.2836125363169804,0.20303193279204632,-0.11322516239909743,-0.2668952769683731,-0.3269339994403676,-0.29200771484526516,0.12685994298951692,0.42811746524523253,0.24496671825276287,-0.11364646174273209,-0.09544182850738653,-0.1268599429895171,-0.3328501006895762,0.14463834259959996,-0.2370847590147687,-0.39123252960158805,-0.38050086820841794,-0.3950812944146283,-0.17948094202289,0.3843157207848225,0.32016184703101136,-0.04728351254643643,-0.523919938245365,-0.13319132913493956,0.2897158838705647,0.25864257276927066,0.40268800680997824,0.17285246560239145,-0.05909333870833387,0.14900456217275798,-0.30959059421533985,0.10992616904421237,-0.18712818029696146,-0.14521210566931725,-0.5239673009942547,-0.16967744512966887
acc_y_max,-0.05480922982819553,0.6038153236875228,0.5670075320276705,0.5404195421167427,-0.5106284215236916,0.40627977674636784,-0.006093019571760989,0.8525518373952317,1.0,0.8246472663624069,-0.7308994592575855,0.7104067258085274,0.5074631966121493,0.9107723798004667,0.894001811415845,0.9071256389064049,-0.7859004237142813,0.8071650521317851,0.2486551702785572,0.5552249962701741,0.5537237687704465,0.5027780152580106,-0.22490577351771426,0.4756879946565547,0.501842099356114,0.4054512264011014,0.5525784788997438,0.4149074855267887,-0.1543523533352847,0.42169370067682,-0.1283608738467605,0.3775592214538897,0.3574993996946055,0.3268784471807126,-0.3142627777696096,0.29709244694976794,0.25097809080510014,0.2366066097952461,0.32798513235285265,0.2515949181527905,0.19326896351213313,0.25097809080510025,0.04369867432608686,0.1535511416987787,0.10197034901347453,0.043966397267993354,0.02719604247702411,0.04369867432608881,-0.14011072315011222,0.19364515840090363,-0.0969473335203798,-0.13896316155219843,-0.23525441472902514,-0.14011072315011175,0.20298852746736784,0.17456493160351372,0.29054626756754787,-0.20233657535802363,0.1622992277216056,-0.20298852746736865,0.6014411547313022,0.13369374031725426,0.5630063935444204,0.5951989398569135,0.5909286626108203,0.6014411547313013,-0.3020788834206029,0.024558637171482815,-0.2026604354994533,-0.30872241896570596,-0.2999241871807676,-0.32437721017161947,0.1728702809321471,0.35871402156367427,0.28341791239447006,-0.16091586890463985,-0.01866755167218533,-0.17287028093214704,-0.3218232175327072,0.06646001933278961,-0.26879492288835133,-0.3762042025658016,-0.3561164534652475,-0.37322661655157197,-0.11170880263950135,0.25187092082973644,0.3244795911888867,-0.0882756717573444,-0.3360759078748302,-0.15721383200508804,0.23968582110144077,0.15843707971521329,0.3115341757755686,0.12416299066987997,0.05016824882038154,0.09909949292534366,-0.2244007223113589,0.0578613309985874,-0.15821141813575568,-0.13884680989020082,-0.39758903956045627,-0.16181602119434604
acc_y_rms,0.14025677630134803,0.7857249616760674,0.740776613165685,0.812287820725531,-0.49192719431615317,0.6933412513833946,-0.23699846335937225,0.9576080673157209,0.8246472663624069,1.0,-0.8910131383061239,0.9423328273791327,0.43880753210813345,0.863038360807765,0.8211008748117882,0.8696159285505839,-0.7419769313084204,0.8126947104071456,0.12953306130852332,0.5306196064241328,0.47155600685743154,0.5150830290460132,-0.332318013952359,0.479135016889946,0.3982385825384446,0.5617212499690922,0.5280572245598038,0.5454557165363482,-0.3811162966361985,0.5388460008710739,-0.028825043333146432,0.6867929738279016,0.5890093130877014,0.5249525203039601,-0.4483324119044225,0.45840939415817006,0.1992299269481037,0.3494964796313842,0.31344372894664485,0.20046107879222158,0.09371710786900343,0.1992299269481039,-0.13063653172161488,0.29789597174334903,-0.03625777832401122,-0.13011270149305204,-0.16103608873722033,-0.1306365317216118,-0.053853538887838295,0.31707272407460646,0.03760390532745315,-0.051953046844306294,-0.19906977909102366,-0.053853538887836644,0.09306359580640701,0.2912207261076903,0.22156749656065552,-0.09195522298502899,0.01452040730408483,-0.09306359580640812,0.5172061216250293,0.34424353490433846,0.5659861694433879,0.534692228351018,0.441221021735255,0.5172061216250293,-0.4277294342575428,0.10644897836407148,-0.2634323087646342,-0.4101979937211197,-0.448540119292896,-0.4323741095595516,0.27305611576774186,0.31512985410281413,0.36462619038661065,-0.2615309452392611,0.06793142614131613,-0.27305611576774186,-0.48846281099176003,0.06511686764863972,-0.3930122442039251,-0.5302428466678417,-0.5126373923339632,-0.5320165747398338,-0.23962776545072062,0.2994617689396367,0.2340600649228067,-0.15492071555791037,-0.5100800717514049,-0.23996364668431677,0.2396590458374036,0.16441694012309113,0.30194071941370426,0.04832055336558596,-0.03822982446857299,0.027193362165340924,-0.3776148943264897,-0.0275052940570945,-0.29329392281924527,-0.23903793808575247,-0.5138483807074268,-0.25443738867087307
