,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,0.06307017227590764,0.48151932135060577,0.14098731153767935,0.5057352439730896,0.15663595886683598,-0.5687551025131182,0.2936596814147297,0.24564659250728257,0.30114108667345757,-0.42071650445832615,0.2609285819033255,0.3437274460133212,0.011034805577289185,0.31391217334922294,-0.2666087036019859,0.34740060671745365,-0.3556510365923399,-0.3424210435740165,-0.015299799960435722,-0.24391341939122044,0.1324086887740196,-0.2937253805781289,0.13723122335532084,0.5155811743514929,-0.24211677716045993,0.322374460306816,0.22674774418479648,0.5034144063986785,0.2672283517950021,0.4098447693066888,0.15957406737496693,0.3057939493695347,0.30987097083139786,0.2782659869333219,0.29071787895838663,0.4662212642556271,0.31019886178771894,0.5363573785690756,-0.4644539434784651,0.30175323209012794,-0.46622126425562666,-0.5316206967398726,0.21976231901531204,-0.41490170034924334,-0.5303210080000538,-0.5358995637837194,-0.5316206967398736,-0.46091601598984583,0.12875138437997805,-0.3401125115715922,0.461804938701286,-0.4985959256163936,0.46091601598984533,-0.5127403129137247,0.2448778305815375,-0.3429250031889024,0.5159007914200837,-0.5663605935238595,0.5127403129137238,-0.003717599758856766,0.09212164693633562,0.037899064930933785,0.005579113701998268,-0.04920886356040287,-0.0037175997588567134,0.06702652513967065,-0.017563743906691503,0.07321043022487342,-0.017378227383185462,0.08872754135871291,-0.01873098156353981,-0.15213143372177193,0.03808765989232576,-0.1422073693209142,0.14760015043687078,-0.2406503207089874,0.14623134525774342,-0.07349952006050162,-0.010975421675116092,-0.04635270345698848,-0.0957260779285005,-0.06066031593349066,-0.09237580952338321,-0.08831493076952457,-0.013642558227743806,-0.04108544736094977,-0.0779379038052968,-0.15050916239846768,-0.08059058825510454,0.10053342244744058,-0.12457517216416836,0.05641969446265584,-0.11662424764949736,0.11710614168259492,-0.10768227940156735,-0.04446259751310675,0.06062876660360431,-0.009296941008035386,-0.018399994384382157,-0.10187320603529063,-0.028363646345784907
acc_x_std,0.06307017227590764,1.0,0.7774045555775284,0.8331733881063212,-0.7301923296251657,0.7705068200687395,-0.10193920559289979,0.5640493260901315,0.3404356612328355,0.6350576869066196,-0.5837779438075621,0.6575280210568224,-0.33607224082421866,0.4706960650427492,0.23756188892913185,0.4475053659565733,-0.5974770666171562,0.41862413333077064,-0.19024815356319652,0.4517236526584866,0.18231583250648137,0.5156716670450848,-0.4849814467546366,0.510000549126049,0.33072766278516613,0.5346073520413752,0.5356098347155395,0.5600227880247848,-0.026594163938505007,0.5340885208865859,0.411004954549595,0.6076579634376041,0.5952041969937695,0.5924489801226356,-0.20808929145628952,0.550741016280664,-0.4289397263068702,0.49313140588509413,-0.2948540879411928,0.4301904830193191,-0.5175178686517627,0.42893972630687055,0.10892864165972897,0.5128923544383648,0.26328788161791133,0.11150480918485853,-0.08350453206977132,0.10892864165973117,0.37787177242089237,0.5579418719329096,0.45890895171965146,-0.37662304366177274,0.22333738233627476,-0.37787177242088893,0.3787633028592406,0.5412990585744365,0.5026704196919856,-0.3758156818897391,0.20748337294907312,-0.3787633028592393,0.6429027368418218,0.6464244425014702,0.7229103075841798,0.6676617352875596,0.46346407053536515,0.6429027368418219,-0.23898273787391214,-0.29246688500746865,-0.293494631000841,-0.37207962688154433,-0.15123230161002477,-0.3786234296437216,-0.08567904628127518,-0.14772250981026008,-0.12907773328230582,0.07939118633491775,-0.059476375115041225,0.08880617361922491,-0.6934416626686577,-0.2986293461135499,-0.6803594748913636,-0.6731641232233527,-0.6163941805990616,-0.6655225370265465,-0.701557511495889,-0.1580001431577211,-0.6057627833048713,-0.6620922349644012,-0.6728131985765148,-0.6753101993648146,0.5309081307025254,-0.2885790414828218,0.4722764484353214,-0.48368971973114183,0.5437944306027945,-0.47997072709487915,-0.3396684934849485,-0.36188155343734163,-0.4149884817428047,-0.5598010797686063,-0.18809047662391823,-0.5471568880364169
acc_x_max,0.48151932135060577,0.7774045555775284,1.0,0.649378169039641,-0.22064797389787857,0.5820714495720402,-0.39281050420971225,0.5265328910813014,0.2670782731385734,0.5469462232686717,-0.7214455637609183,0.5160284956694654,-0.08042958032953369,0.3420579685372168,0.34570384290817563,0.19197965734813205,-0.2756314799349397,0.14378788663572817,-0.20156257838039465,0.2958500736712724,0.077204156664121,0.3829237120025744,-0.39264136306516045,0.3710341737707119,0.34903998672961173,0.2410544778076588,0.42063839617503146,0.4033764494269923,0.13663248765291844,0.39974955430776604,0.3150155764508561,0.5048355557476627,0.4652246252736012,0.49719182114914373,-0.2908024015107815,0.44600349535756545,-0.11998891137732641,0.39378949459391294,-0.026977336315043985,0.12132302033958307,-0.22984449083247496,0.1199889113773272,-0.03541757610481267,0.3807061535075234,0.0958776421615495,-0.03348455053724442,-0.15315089683619695,-0.03541757610481167,0.12301087579537574,0.35687595017233137,0.20893591698969644,-0.12209084503460574,0.01892232290810559,-0.12301087579537379,0.08382270826913402,0.4269667870270444,0.22625211568489687,-0.08085590106894686,-0.025617216736044682,-0.08382270826913363,0.4326413949690696,0.5455981030222589,0.5358634524763267,0.45993580577911164,0.2611301864920874,0.43264139496906934,-0.1431016495573701,-0.11187564987922013,-0.15542925602442006,-0.20060678487036585,-0.1401731952428361,-0.21180868074360804,-0.18092409809678464,-0.06057808915961415,-0.17133831286380388,0.17698436697924216,-0.20596153068672207,0.1803812674212447,-0.45044421861447104,-0.17671213547300207,-0.42838815303180733,-0.44195693359756993,-0.40229463484808126,-0.43793725417344315,-0.4762447334001259,-0.08185932554508252,-0.39761134044858387,-0.42821536613298755,-0.5045954151747369,-0.4375088861869892,0.3795646752107506,-0.2107921339236154,0.3340378054215565,-0.3416902631050049,0.38380587232019686,-0.3370803043832365,-0.22011954960596897,-0.13759530969958875,-0.2224465282125908,-0.3302441887306322,-0.1742414349095741,-0.32951867899029125
acc_x_rms,0.14098731153767935,0.8331733881063212,0.649378169039641,1.0,-0.5879289098648359,0.9906870005182202,-0.14974718978586096,0.49284476422979656,0.3276506267566693,0.6324751666208983,-0.4840814594332612,0.7103090117366714,-0.4584198424302838,0.3646022128615825,0.09994310992934995,0.4344166915017708,-0.6358379522083937,0.42253006186855785,-0.3618234310410832,0.43279071201919705,0.05226382457192439,0.5819500805553692,-0.5946092982901325,0.5860266672126551,0.44164750687827187,0.5801242244104164,0.6757360256358776,0.6838190942973494,0.07812773601340962,0.6665502903101976,0.5701869176734159,0.8223689437576267,0.7974795232292821,0.7287187905592871,-0.1227919257588292,0.6713228366338135,-0.41187001041468746,0.6195450909100163,-0.2517995445722922,0.41361975790340477,-0.5475380347184,0.4118700104146868,-0.036571416842323255,0.5507901109018731,0.15337247394211642,-0.03387445364959657,-0.2159338673665322,-0.03657141684232171,0.31708740600881585,0.5991270213731748,0.427079348285513,-0.3157697916034444,0.15544792239511293,-0.317087406008813,0.33927863035906314,0.6320685552470466,0.5109291996228669,-0.335611799865625,0.15410508595646874,-0.3392786303590627,0.6733935187116125,0.8197804530395695,0.8108315186305458,0.7147925929465809,0.4281292214020817,0.6733935187116123,-0.262165951779844,-0.4122867046410601,-0.34815097442660303,-0.4532763829626809,-0.10844317138925016,-0.45299877214215095,-0.04582727359227189,-0.2001356402283209,-0.12618709313742912,0.03663977633727957,-0.008083972341223048,0.049424104055894674,-0.7617757781824838,-0.3943326806411878,-0.7796765332970054,-0.740158254528794,-0.6517072659971161,-0.7248963940452102,-0.7643116662378815,-0.24304121167818304,-0.6875340861276975,-0.7415261972751807,-0.6892028566620794,-0.7483546661584716,0.5588264654866019,-0.34160217856438446,0.4811171014068307,-0.5213752149491594,0.5911455432408217,-0.513707190046592,-0.3788303245156923,-0.4878933682669601,-0.5091878373421844,-0.6220589761109508,-0.18146096945900667,-0.602949724383203
acc_x_min,0.5057352439730896,-0.7301923296251657,-0.22064797389787857,-0.5879289098648359,1.0,-0.5387108364511464,-0.34904032502524773,-0.41853347912699446,-0.3386591776865554,-0.481046403140845,0.2533862376195025,-0.5124024051272297,0.4381187031503216,-0.47744315575400054,-0.12044667294401123,-0.5864392328475883,0.6884509365646277,-0.5828622441591819,-0.05316974364142577,-0.4217826097329833,-0.327740286280789,-0.40387855311016885,0.2689895655575291,-0.40073505885871336,-0.016219431120769415,-0.6154038531257611,-0.30219513203902315,-0.3641412862530282,0.3201213583059859,-0.3173017225990752,-0.11105783199075608,-0.3916666744809176,-0.3174095453791259,-0.2665021509397898,0.2537864581778256,-0.24833530861149913,0.5801013031070593,-0.18912209246947853,0.5237455050361177,-0.580036171833208,0.5597611511037861,-0.5801013031070598,-0.34054821124398293,-0.2894130035881044,-0.39675694362673164,-0.34190804850389855,-0.18925499769880674,-0.34054821124398493,-0.5440189803473632,-0.36469378694123283,-0.542351146041166,0.5435800632479756,-0.454895080898474,0.5440189803473598,-0.5570523869949077,-0.27064207480185376,-0.5576196012230069,0.5566652683591709,-0.4477131692610331,0.5570523869949057,-0.481282046477433,-0.4450010024047229,-0.5296565695783586,-0.4982516740747901,-0.37376974307958105,-0.48128204647743256,0.22643407477983166,0.20033115117361186,0.2527319635867923,0.29569523700323885,0.15148751221328513,0.3047923333950033,-0.047508779355813456,0.08958361142631957,-0.013039199803717615,0.04563634426140518,-0.08679333495223722,0.03888237241522935,0.5727869519511543,0.18934209067361718,0.5421988087567237,0.5454448071565311,0.5368599534443547,0.5478886681003742,0.5612318728959769,0.075903553633309,0.4735006863126924,0.5315677954216891,0.5434053706209465,0.5490030333257462,-0.4085758854300098,0.17266097304661626,-0.38657050172945884,0.36122418456624167,-0.4065475092800527,0.36479620964243703,0.2785302116223457,0.32171560232494356,0.35441233618749574,0.5044353202327201,0.13791302638048297,0.4909976474705465
acc_x_abs_sum,0.15663595886683598,0.7705068200687395,0.5820714495720402,0.9906870005182202,-0.5387108364511464,1.0,-0.16736755903846162,0.45542612082329526,0.307468307500857,0.5989560543269301,-0.43342725334176535,0.687884387090466,-0.4551959507264243,0.316125200410141,0.05673907587458637,0.4018845110492742,-0.6070637274894073,0.3951560435859264,-0.39459889668062803,0.4100208010265368,0.01129851972755229,0.5756886761290897,-0.6056864509699302,0.5825321549987712,0.47603454390182537,0.5718110806088678,0.7009768463228286,0.6982954850340402,0.11490966748897963,0.685200871738798,0.6213280672436307,0.841970903690669,0.8325932600680811,0.751191931093577,-0.05692749754866522,0.6944573547659884,-0.3951899853498587,0.6468026262607928,-0.22646696003523478,0.3970652387909764,-0.539616753219412,0.39518998534985894,-0.08138289221565487,0.5599897774856122,0.11694449582646912,-0.0786169714500964,-0.2585119372860385,-0.08138289221565342,0.28561361902424565,0.6067368620314111,0.402006860007454,-0.28423849645711746,0.12044348530803896,-0.28561361902424287,0.3180528366538177,0.6491579769438188,0.49801815355023316,-0.31420087195414076,0.1273453543122334,-0.31805283665381706,0.6748958545850169,0.8171629736111348,0.8084181984462242,0.7158850544917347,0.4314236946471995,0.6748958545850163,-0.25191649387910375,-0.43579662614480896,-0.34744600516089125,-0.46453740433456236,-0.08442797198593041,-0.4619988069575865,-0.03771554122401954,-0.21707414411564335,-0.12833346556070635,0.026211232981773084,0.00610081953662956,0.04004583389691423,-0.752121791861312,-0.4086727330793265,-0.7770262741768144,-0.7301277770750862,-0.633373198015167,-0.7129804636381303,-0.7546717881696874,-0.2621158693889943,-0.685171223818445,-0.7383279391460719,-0.6640022373075581,-0.7435484644010766,0.5492669414341097,-0.34337568915771555,0.466003341812563,-0.516790637354042,0.5826293761651817,-0.5089383058295318,-0.3711059694379118,-0.5127741158297823,-0.5138102656249695,-0.6177577882493497,-0.16351290909577618,-0.5967724058530459
acc_y_mean,-0.5687551025131182,-0.10193920559289979,-0.39281050420971225,-0.14974718978586096,-0.34904032502524773,-0.16736755903846162,1.0,-0.03184828893310959,0.18556380743639703,0.010213070399535,0.3436025390487835,0.024544163464855155,-0.23710976160953126,0.3244514041206614,0.043373196956591614,0.3803932170632238,-0.4386931059117882,0.41253949010804564,0.40241931903472217,0.04860231892655019,0.28696346623860786,-0.0022515128442723996,0.2592825914824666,0.008802305370068663,-0.37869116667500047,-0.002903166437311612,-0.30729834864924205,-0.2730596832318777,-0.31134794880150357,-0.2956294623944054,-0.4472439679176878,-0.14003354290599443,-0.30180631418717113,-0.34692904160655746,-0.2926241545158063,-0.347087895248303,-0.24755003211753113,-0.36574490583968766,-0.35629070245268724,0.24594962577479873,-0.12252051602598027,0.24755003211753032,0.27909351488592166,-0.25535661080267785,0.17382378156010472,0.2777963944792534,0.33130725111835946,0.279093514885922,0.2259614418727431,-0.23678580891505932,0.13453833471515533,-0.22689487787987891,0.3205739403461089,-0.2259614418727427,0.2908968119168983,-0.31161224633535,0.14413397128147168,-0.29392843268674285,0.3709056615731775,-0.2908968119168983,-0.16203935559591712,-0.06771430588611621,-0.11958285079056699,-0.1525736031627152,-0.12768610809453187,-0.16203935559591703,0.030848063965237295,-0.12153492179352242,-0.00852216962637014,-0.09122148261081693,0.07918669452316317,-0.08665042108022113,-0.060484037047957455,-0.18908805601471956,-0.09848319150885267,0.04365525709265058,0.06096937085674196,0.05508329146181843,-0.13491718485894966,-0.14939307195916354,-0.14493042953626506,-0.14129119397441664,-0.07159709385462831,-0.13200176055313192,-0.1590403819909844,-0.17509584649247692,-0.179407553015193,-0.1899441729072812,-0.051819076466799834,-0.1764129422514733,0.12984476719598767,-0.18726245391343802,0.03529124615754789,-0.13666425685797162,0.14470658622659519,-0.12612991275958008,-0.08948377213763191,-0.15912015370152677,-0.13785627280087426,-0.14009942088581467,-0.014254176997471947,-0.12617892063551703
acc_y_std,0.2936596814147297,0.5640493260901315,0.5265328910813014,0.49284476422979656,-0.41853347912699446,0.45542612082329526,-0.03184828893310959,1.0,0.907703097508774,0.9229115999935998,-0.8406727950353119,0.7872665473651623,0.08616343982915493,0.594191687027129,0.7006793264810964,0.4235678751166414,-0.16174906532286884,0.27382377996275936,-0.15960993293050263,0.437741509508003,0.19264139204974934,0.39784593254795936,-0.4953593140984988,0.3917543862626331,0.2575712316981465,0.4000924867877887,0.40881014529056775,0.32117325677096653,-0.06855907912852256,0.28838655227485427,0.0960633791507052,0.3514841641914136,0.2894338638840311,0.12947528046346019,-0.2610864190067538,0.07711506398711543,0.12010816676936265,0.06700645969723279,0.14006429135255338,-0.1199575829808619,0.07489420589448484,-0.12010816676936284,-0.2402478239869259,0.16487372354746443,-0.20365081712095393,-0.2397672574513616,-0.29337998044053665,-0.24024782398692426,-0.07881676939526167,0.059753120821366155,-0.07585762869226148,0.07885425960120049,-0.11260724527348585,0.07881676939526491,-0.17359193072523244,0.10262626789938005,-0.1083191676263469,0.17414227634612175,-0.221109218454223,0.1735919307252333,0.13134498188372415,0.2663664036139893,0.21792818710989728,0.15338855888480607,0.03803080655716759,0.13134498188372398,-0.05840779251513231,0.09816129416602223,0.012685453529386163,-0.12984286956646193,-0.08268561350414351,-0.1612071968317926,-0.1729481483461971,0.158189623473171,-0.09589104436583093,0.1862218217628629,-0.31496027487029743,0.17821211335182563,-0.44957373014309754,0.05952548006874965,-0.30320230853814895,-0.46242550880538436,-0.4800264141200918,-0.4803283135003981,-0.4791377044684567,0.15051894788071926,-0.25289064856491295,-0.4015454026109557,-0.6831616512055922,-0.44810024213458216,0.3960440686110068,-0.1263120249639691,0.37995478143112094,-0.3572133511873834,0.36018184235277423,-0.3648571405367055,-0.22339037617423707,0.027641752821702954,-0.1582627224672359,-0.33894102193117454,-0.2683389481968281,-0.3545339162092057
acc_y_max,0.24564659250728257,0.3404356612328355,0.2670782731385734,0.3276506267566693,-0.3386591776865554,0.307468307500857,0.18556380743639703,0.907703097508774,1.0,0.8346352321152513,-0.6253777117582967,0.6847774253400511,0.041853884632577866,0.5438435291661193,0.655535733814564,0.3439538666767642,-0.1369379108149822,0.1845793157013483,-0.15986098124315568,0.3644982820511512,0.14250574471136285,0.323383262780528,-0.4479153644522231,0.3306873786503961,0.24656686432470284,0.24945816876308666,0.33867130015631514,0.19425800261622037,0.0067550520077681205,0.17233050202603342,0.02078854077542811,0.2237225618257784,0.18595410150611166,-0.030046178382739805,-0.13676893734610468,-0.08226040144924635,0.23578990747099302,-0.07546699870520654,0.21269071932930922,-0.23597344872803974,0.21186390519596202,-0.2357899074709931,-0.3338149365923081,0.05079561387443574,-0.3264515294503914,-0.33397934592633843,-0.34100917596326047,-0.33381493659230793,-0.20442238479911531,-0.07034386645499963,-0.2157382482381788,0.20418509490620776,-0.19420930747574947,0.20442238479911656,-0.27347331612701775,-0.05343764764079342,-0.2431246558080585,0.2731826575478993,-0.27788855879521374,0.2734733161270179,-0.03375039584712033,0.13180011867040217,0.055320376642726016,-0.011868015267255467,-0.08266819957503742,-0.033750395847120356,0.04681731939969598,0.1207933096609178,0.11987327093408232,-0.05902747203905022,0.04103121885929405,-0.08701472013173536,-0.20061998298274122,0.1320449964125095,-0.1378004102817727,0.2104547273932301,-0.3434365845332788,0.2037892647103305,-0.33489891898622065,0.07647595186141178,-0.20413323185311533,-0.36181186463858983,-0.3659046980147376,-0.3775498255497827,-0.38518827561544344,0.091376817803541,-0.21297864705880068,-0.33431346035649356,-0.5722033822329082,-0.3657193190941955,0.33353209819516794,-0.1858329992486737,0.287349872794354,-0.3194284793845755,0.3335815801746807,-0.3168843526117505,-0.1936857665073719,0.07304444193902941,-0.12574547738525405,-0.24415685237806362,-0.2667457303013623,-0.26191170688834
acc_y_rms,0.30114108667345757,0.6350576869066196,0.5469462232686717,0.6324751666208983,-0.481046403140845,0.5989560543269301,0.010213070399535,0.9229115999935998,0.8346352321152513,1.0,-0.7596481341200492,0.9503494705537949,-0.06678668958124376,0.6574161720651853,0.6330708037918032,0.5295057114415946,-0.351776607071345,0.40565669990955294,-0.16420807766169687,0.44482303018146563,0.197110533108963,0.44788257136732923,-0.49042123124384146,0.43923440538004754,0.25548112427703756,0.3939124608859985,0.4167209977541272,0.4314355329614725,-0.055538846085248506,0.40739097982724015,0.17590313025639864,0.4328259941978767,0.3767671036601498,0.28422090684257706,-0.2558918035496026,0.24476853574985938,0.0065026965215858185,0.2312843069373143,0.06383488171279915,-0.005919656267963531,-0.07688650064524744,-0.00650269652158591,-0.2248379467992948,0.22027712648697503,-0.1511575069753634,-0.22406299181358763,-0.28362455758478633,-0.22483794679929184,2.066568994389588e-05,0.1961102995365961,0.03843839444780211,0.00025482727443948666,-0.055586363088201286,-2.066568993972211e-05,-0.08084165397236721,0.23483703606202097,0.021831519033233333,0.08200015765338707,-0.15840543034116078,0.0808416539723683,0.19518005300379077,0.40392342231857664,0.3198715422043049,0.22563239811960653,0.052156095148428276,0.1951800530037907,-0.12020165217672042,-0.08319355496925475,-0.09998839108217877,-0.27009078378008017,-0.07638486109632256,-0.2931097844891406,-0.13707781313348946,0.02929749940818609,-0.12322493158314153,0.13976807296742558,-0.22510198863574632,0.13954728143538883,-0.620382258934111,-0.07082179420074024,-0.5050216646134058,-0.6193901948704249,-0.6177509545628792,-0.6309710749160259,-0.6370552008856291,0.034328652929420854,-0.4422376323041323,-0.5744980798344453,-0.7720178401592899,-0.6130820876809757,0.5121289550180127,-0.22134173227831413,0.4754193158788453,-0.4719330597002202,0.4982835710465098,-0.47479595772834515,-0.2842351351252482,-0.15519474587595133,-0.2825576667579261,-0.49353190495143456,-0.23957326520139177,-0.4972918500335053
