,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.1124505429265092,0.19789163766755916,0.011897439344168467,0.4143493254458936,0.08876909219460165,0.769908636678065,-0.16222305090551742,0.23013035669311455,-0.02774830268985754,0.40853336093708303,0.03451752807744771,-0.3710677287817979,-0.09068110796889896,-0.18808493773009294,-0.062025317123154,-0.025765220823305384,-0.019515542367527297,-0.2878916672822741,-0.03346233951000851,-0.13406446469264155,0.0036469451341034757,-0.10007471238977537,0.01416671242051793,0.35650494005404404,0.029502171183329772,0.34524440831978753,0.18289786896703386,0.29667767385407895,0.1900495220048852,0.7263548135736947,0.049383632580037064,0.4427726641725777,0.2809799659926878,0.6045348680580628,0.2810008967340185,-0.2636020792421551,0.338429577428379,-0.08341189194830899,-0.2318896356612871,-0.3507090310836492,-0.2691448529570781,0.2951835687672186,0.16686098008169153,0.29978823224977896,-0.2948518961933012,0.27098394157892397,-0.2951835687672185,0.3526766348296068,0.27455500921971554,0.5404088152923706,0.19912132826829346,0.13736925306814637,0.17167422853117748,0.4471243274712523,0.0126732752931821,0.4429849840254603,0.4489543902532881,0.28103240187060635,0.4471243274712503,0.013471721581739282,0.029186763968470638,0.03168807691602282,0.013453021498515839,0.00951950848912421,0.013471721581739215,0.1002835518243402,-0.43189408008949925,-0.031097213872642734,-0.26232152487037025,0.2285299873032874,-0.20966041497154406,0.04752723319463304,-0.2794634802945245,-0.09708299814929641,-0.14840986706211823,0.18169668496710922,-0.1239801449961754,-0.12738568063721423,-0.39049986117750224,-0.2941528329892463,-0.06910662309541529,0.0014323078521118263,-0.038738902996749355,0.051680336111264366,-0.29941253140271396,-0.11330279457390753,-0.1397369480945302,0.2078720561171362,-0.10595342251876388,0.09897257703559806,-0.3443252263153865,-0.024671501033950965,-0.14626520468120097,0.25406601897510617,-0.11382491853315307,0.04142728676601216,-0.24858277529838194,-0.07534843771256261,-0.1265556197769357,0.1242450036435138,-0.10339434838512417
acc_x_std,-0.1124505429265092,1.0,0.792117085949225,0.9243650706709257,-0.8450588080803322,0.8104415206537133,-0.019450254779003032,0.9361897258187436,0.74660116262613,0.8452380936105502,-0.7320223481010039,0.694773405353016,-0.15193084818954156,0.8350904952622131,0.6974907398725094,0.8337236417648582,-0.8722077495258007,0.8606590005842185,0.3655970886245426,0.4523071299324592,0.6729726742674901,0.48013367599355866,-0.09200431176009093,0.48985510516292796,0.11409188848600399,0.47881097801723127,0.3888970028839772,0.32977083893266695,-0.2679569166658085,0.2979027449371665,0.12165255343838545,0.5806067000663251,0.42309707149721876,0.4907750426475745,-0.48771465613084364,0.47177600585098006,0.0532425851424115,0.3762786195001647,0.17094334593819385,0.13418863226273392,-0.1264787256712292,0.11724207816898362,0.1342910366874863,0.42126262186225705,0.27313506311808056,-0.13335567301008847,-0.024478238003734994,-0.13429103668748316,-0.34311562944801816,0.4443309490830498,-0.1350820769849681,0.055868165743007674,-0.4076425924747288,0.01217111553793717,-0.17180823238120194,0.5274228603693611,0.15329048718500424,-0.16774566572505026,-0.3617842620323686,-0.17180823238119852,-0.21029848515964958,0.36676148741221876,-0.1411092712103455,-0.19815228071488847,-0.3015864153076405,-0.21029848515964955,0.1314919908156912,0.23363046524692763,0.2480083895581916,-0.20264360642462836,-0.011473502036281329,-0.25650235208217614,-0.046288797343435356,0.07484679135578835,0.0019423544816564667,-0.11690599013600317,-0.07236315766862493,-0.12056076897301721,-0.3861398703383373,0.10758151719736377,-0.24201670740471756,-0.24906455068603117,-0.479445394569529,-0.26546654597379793,-0.17244770193992892,0.1229750489036966,-0.023533789389882116,-0.210610609995087,-0.2641110896653516,-0.24268673475363037,0.25386014681629215,0.13622570681693386,0.4442484181659077,-0.18583914144247418,0.10773376181576566,-0.21844518525532267,0.012847102726881516,0.06873217771003896,0.13764296349957464,-0.2057900548992099,-0.0007497149363129329,-0.23845808480024389
acc_x_max,0.19789163766755916,0.792117085949225,1.0,0.7365747602461293,-0.41437689080315343,0.6664274189984346,0.20999135684148867,0.6916620185524401,0.9546016244385779,0.6208295095590156,-0.3000071850888754,0.4705950603196864,-0.39350704367660216,0.5695880119308218,0.3792088658239484,0.5774994654136312,-0.7479460408247364,0.660812580178582,0.3535373987652872,0.3278041588815073,0.6440153413559857,0.4546627137502703,0.01996462714576078,0.4675868477346293,0.17006054693872188,0.3284277090902669,0.3318990836126425,0.23628976519359232,-0.13699587130423335,0.21357631162695215,0.2906705913169691,0.44084093552214126,0.43283615552735455,0.4050359617989217,-0.20085509201232069,0.39502231583392666,0.12495373696378356,0.2934717974329071,0.21879097281058205,0.1802710359159088,-0.02023934809974447,0.1646800687422002,0.11654236870869941,0.2455809289202564,0.17845965330987737,-0.11603549239334936,0.010548445763797331,-0.11654236870869678,-0.2957279509669954,0.3779160765889038,-0.12984125120382992,-0.013343416505949461,-0.3592866516035943,-0.04812379619285634,-0.16394659942502876,0.402330104337851,0.09579354651971396,-0.16139247548181063,-0.30453558188353463,-0.16394659942502726,-0.061027519748648076,0.28681277565076646,-0.014991758272487816,-0.05411529355634662,-0.14746036258427042,-0.06102751974864804,0.09208968659319015,0.047441943094730384,0.10682772704423846,-0.23281536887990825,-0.028924270481398475,-0.2610537650519441,-0.007430699902803801,-0.07122756186258863,-0.031615228202444993,-0.14344545991612395,0.03180630414709583,-0.13628909981303405,-0.3121190134701571,-0.11461671418978973,-0.287038511336352,-0.19983935784734844,-0.309309547224292,-0.19631137492681688,-0.0969540182813764,-0.030083335614761255,-0.024556179110567542,-0.18392495049410992,-0.08999510755883598,-0.19485543812484152,0.2111007431197011,-0.007331133149869506,0.3774775091373754,-0.16503763784468078,0.16745191727458195,-0.179214139761479,0.0287001368161877,0.02051220816352822,0.15480602886800768,-0.15776269176179902,0.02538074404348762,-0.18635584287186993
acc_x_rms,0.011897439344168467,0.9243650706709257,0.7365747602461293,1.0,-0.7209274347030526,0.9632184176046642,0.062326710684877176,0.8415643139633537,0.6895364135930012,0.8838606384227069,-0.6100203187393456,0.8003964227473469,-0.25294061395874967,0.7773212637796149,0.5892128989350033,0.7884616599372046,-0.8456314495217335,0.8390016045303477,0.2855681350895326,0.4849862309584529,0.6571358869930125,0.5180483027885503,-0.14640831734070286,0.5361677570574791,0.18230043840095372,0.559274315481784,0.48701899303033164,0.40794210376180373,-0.25456738301044746,0.37333558032488534,0.24917228302669164,0.6928878749493745,0.5744180840561053,0.6658475122955849,-0.44531012122834845,0.6474469329888735,0.06283279615133534,0.5744552369095945,0.2687691815196085,0.16176979447663947,-0.17521905157207757,0.12890493450476528,0.20060520991690275,0.5372370423508455,0.35364251057164,-0.19942203071195586,-0.00807700174047061,-0.20060520991689967,-0.3559105733584567,0.5864479645024461,-0.09643894044743555,0.07052583812041023,-0.48145855206542293,0.006862942516277486,-0.1586122925982461,0.6496248425872352,0.2106615272322421,-0.15357705792961795,-0.430347608222469,-0.15861229259824222,-0.22979358832692562,0.5793525760042811,-0.10991017723522332,-0.2070189715300151,-0.35689687816810944,-0.22979358832692579,0.11551512449474445,0.2257050509832424,0.21767627083116253,-0.257324676832181,-0.013761029955511149,-0.3117470391079104,-0.04343017515123628,0.04157563727137274,-0.003302126717193768,-0.15554654011201527,-0.04397606578357539,-0.15556875340720644,-0.46599560141231067,0.07112289249404945,-0.316760211356777,-0.3009079789577348,-0.5495987214653509,-0.3167091947731125,-0.20011017324476127,0.09139275497729492,-0.0638876248588122,-0.25558846067987334,-0.25838388706618076,-0.2873367784359492,0.2862138502877139,0.13098627585211486,0.45867301936110316,-0.22299114024928843,0.1279036327323221,-0.2564896996332324,0.015350728339010328,0.014532312819638684,0.1043172776153945,-0.2597972462982295,0.024600468247926343,-0.28858891286272437
acc_x_min,0.4143493254458936,-0.8450588080803322,-0.41437689080315343,-0.7209274347030526,1.0,-0.5535248280103974,0.25491102423260337,-0.8773084134982946,-0.3907714729998693,-0.712721708720475,0.9330408468242154,-0.5489840815619712,-0.1582374365673687,-0.8157185716073208,-0.8157035704276974,-0.789457211950163,0.7363029787862843,-0.7382943178656277,-0.2950640649359375,-0.3666900801670229,-0.49388439285648916,-0.31865148786884223,0.11247070010082161,-0.31553584375444355,0.0009147472689900348,-0.3526610936614985,-0.21807900563236876,-0.1982108368063395,0.28069269412748615,-0.16965901968374897,0.16862887793805217,-0.3420337906964682,-0.12206057614070093,-0.2207007641585208,0.5219398591667258,-0.20756769168706526,0.02752841873272383,-0.14276318850762323,0.0038039096148819378,-0.016737548547416464,0.11408300354999545,-0.01578664202925182,-0.027847986909941162,-0.309680106742201,-0.1605126963909162,0.02713304176556839,0.08004725918329188,0.027847986909938227,0.22223540019769647,-0.20146376976566802,0.11606283494028666,-0.07855897597933727,0.21743123761890065,-0.05861675255206813,0.12770634723502525,-0.29901264884352063,-0.0661718044471664,0.12548204146152814,0.2118504750000884,0.12770634723502178,0.2389170898547832,-0.16878712447155475,0.21085400135134078,0.233688598726057,0.2789753402705775,0.2389170898547833,-0.14949538261407105,-0.3228759245074836,-0.3180436192657435,0.06683736383070295,-0.015204583183028184,0.12620358218885666,0.07324729517117384,-0.14904632844125543,-0.003187182004057029,0.019695663548431167,0.1456492322277464,0.029768062902191524,0.2591502491972579,-0.2552440940035965,0.07502404752274307,0.17886854776324132,0.3949567444839395,0.2032496543735933,0.1620325898232841,-0.19279701530955315,0.008375674969367565,0.13232567852020047,0.3074847400146155,0.16791933840088197,-0.1899184612442117,-0.1794984430863811,-0.34047962916335683,0.12860141356887703,-0.026577812921017515,0.16194374529628813,0.003995394091788125,-0.10370755145863263,-0.0932435462628116,0.13912418741712165,0.033340998160573065,0.16623285038650756
acc_x_abs_sum,0.08876909219460165,0.8104415206537133,0.6664274189984346,0.9632184176046642,-0.5535248280103974,1.0,0.09722875372454987,0.7001005766874908,0.6107473841725461,0.8244476065401015,-0.4390999802592079,0.8025621564739938,-0.3647691803148045,0.6397593505757935,0.4095381773758245,0.663966889046372,-0.7399838735403804,0.7430578884527003,0.24573439176844156,0.4872572259923393,0.6302851041633737,0.5235332484948937,-0.1576636220292501,0.5460887961229476,0.20009352537447328,0.577287936373354,0.50933517269647,0.4293993980980947,-0.2362612856764982,0.39413599137291633,0.34612499956474974,0.7720966423935167,0.6770639452513242,0.7739922460123033,-0.41328924816884915,0.7582721591177798,0.11900333397123916,0.6942820471770654,0.36958158193547913,0.22699822732073283,-0.16421256254852434,0.1855270817496322,0.2445687304006473,0.5796295816465141,0.39385823207688536,-0.2432809317981257,0.016322964750539088,-0.2445687304006443,-0.41353148531150663,0.6847231096910703,-0.11975187606020986,0.04955440922534596,-0.5640460311567949,-0.02568086971295732,-0.18510452739021702,0.7600797465547449,0.23957474379735924,-0.17902067447205788,-0.5056416813233235,-0.18510452739021363,-0.20368522033387612,0.704032257030886,-0.05790537949369007,-0.17560363016214192,-0.35772363795310674,-0.20368522033387598,0.08656954513631876,0.19166363341298348,0.16070014937239152,-0.29776784554229613,-0.024606954673853428,-0.3480611469847432,-0.0387616223638202,0.012326757762350985,-0.007741313573296097,-0.1717661159434564,-0.022743223355756265,-0.1701487588257849,-0.49506903253331963,0.017667237783759657,-0.36010475996330377,-0.3168333609012315,-0.5552109340236148,-0.3294177540035566,-0.20896559923601812,0.06283941594949284,-0.09014475643690814,-0.26712032180298134,-0.23822522157546708,-0.2971604454483365,0.2897222054874354,0.11317651099423039,0.4391659856756649,-0.23252405851139976,0.13791912430788647,-0.26339797188442066,0.008080574691946098,-0.017699371097171623,0.06851911585241914,-0.2687680782185893,0.028808719841619475,-0.2943204223929948
acc_y_mean,0.769908636678065,-0.019450254779003032,0.20999135684148867,0.062326710684877176,0.25491102423260337,0.09722875372454987,1.0,-0.04636756376998272,0.3983195421847922,0.09520912048592708,0.3675459374093619,0.1575958767021234,-0.49992994140350966,0.12119067336123984,0.004476706846665029,0.16548506948546157,-0.22740363666220428,0.19318993346900218,-0.06380950357185614,-0.11000940043618085,-0.01496335109710243,0.06635946915929894,0.09352335065190795,0.09291318714446546,0.6621283208580074,-0.04618644545303764,0.5348437366796767,0.17122904906919165,0.5554019779977976,0.20942552542830575,0.7278813460958147,0.14977917520717968,0.5517580202692295,0.2522067029941125,0.5810790603679682,0.2317121825681266,-0.47035703027874953,0.24837646246808284,-0.3138214754369166,-0.3113392375180252,-0.5101539587494147,-0.33894505436673444,0.33083408608872594,0.06346392885219644,0.2796630425289764,-0.33130095308072716,0.34667110284039165,-0.3308340860887268,0.5868437183251543,0.18904353612247307,0.77530777251231,0.4216590170314676,0.3491967020897224,0.40035998258168526,0.4101393079003129,-0.08131021895122369,0.3853475291590395,0.4108278542088919,0.3317288752132278,0.4101393079003116,-0.012873611961918179,-0.05493948451236006,-0.014442127007992592,-0.016269440872306338,0.0001766469407185798,-0.01287361196191816,0.21911398108314759,-0.4830169081613398,0.07920894940040522,-0.38914093041389763,0.3510379026782731,-0.34218315083035067,-0.055034275136354144,-0.5091615381479634,-0.2655565333195491,-0.19737030879757686,0.19827419136712784,-0.14885578757044976,-0.3052868367444167,-0.5025638234883184,-0.46171146313786027,-0.24686729389100928,-0.12725323810123387,-0.2077209113569958,-0.08656729570891762,-0.5258809873463921,-0.31706351319853426,-0.35904984965156705,0.19976227652573988,-0.313364582538642,0.2876442492265369,-0.5398481714560968,0.09368340477170822,-0.3432688880700546,0.4574131839073515,-0.3021634586536286,0.02224558958180469,-0.48447007417708415,-0.16331609256736693,-0.24648524417171438,0.19187718563602574,-0.21102413904220538
acc_y_std,-0.16222305090551742,0.9361897258187436,0.6916620185524401,0.8415643139633537,-0.8773084134982946,0.7001005766874908,-0.04636756376998272,1.0,0.6867015483460464,0.8692110708292252,-0.8536475231765358,0.7004362246141503,-0.047187752485592344,0.8756820111049665,0.7994367099375181,0.8656356497966788,-0.8685221790213717,0.8660274286884898,0.3752639315242274,0.459738971937308,0.6649458815737095,0.483312409074513,-0.10231540650225839,0.4870872295321631,0.0969497855720499,0.4959283171805879,0.3929001649560536,0.35628845445917684,-0.2899328085251765,0.3200176599354771,0.07799272345557061,0.5144421191419346,0.3643960180739044,0.4411160712112672,-0.46856363960692116,0.4277212656197833,-0.027179961495722958,0.3418368554739263,0.07783316951932692,0.06537732087357093,-0.1928217432599597,0.049624168188055075,0.125498226192367,0.44378881315671237,0.2791909261347996,-0.12438256239744373,-0.03387373327960078,-0.12549822619236276,-0.30162940242497366,0.40512884238648356,-0.10421409978308283,0.11267751610801052,-0.35983758495807555,0.07235404069332138,-0.10389542056782015,0.40506794659139694,0.15445863063898005,-0.10093685184087867,-0.2522272403234963,-0.1038954205678171,-0.2340233894379044,0.3022726857226294,-0.1808325973953513,-0.2250782370562721,-0.3117008205799034,-0.23402338943790432,0.14803568252600416,0.23832211481563076,0.27725283456805994,-0.18338997652467723,0.016717357917954704,-0.23820431236223483,-0.028640547987698807,0.10246589027556886,0.012039929148729988,-0.10603398877650728,-0.08114971925413902,-0.11210008388755834,-0.35440885893012186,0.1270170180803325,-0.2150819202879211,-0.22715793530520656,-0.4577252831296267,-0.24198728568461256,-0.1513135055277082,0.13414365508174347,-0.02114542807529377,-0.1898846875499726,-0.2640048816674868,-0.22122323822611434,0.2272551873508651,0.12680766130902474,0.4044549703366603,-0.16467136839860222,0.09257172151436094,-0.19432388832099684,0.03242480865230766,0.10024958262304069,0.14756346936010953,-0.19590674652380488,0.0007168453285661123,-0.2270620528802329
acc_y_max,0.23013035669311455,0.74660116262613,0.9546016244385779,0.6895364135930012,-0.3907714729998693,0.6107473841725461,0.3983195421847922,0.6867015483460464,1.0,0.6254190859138687,-0.2584069586860238,0.4853816969139266,-0.44173901696992923,0.6114460500202009,0.4244449995137943,0.6255487337649301,-0.7825662571292411,0.6999010810646478,0.3987829083023069,0.28149715787307233,0.6472007437120737,0.4574045893670092,0.08799988512864787,0.4773270863839376,0.32876760250426157,0.28453047321601965,0.4392072624439914,0.24350885776816983,0.016693994771309277,0.2351683472571615,0.37741155553534494,0.43122935618861524,0.49179032566290604,0.39832806624154143,-0.09707282629224101,0.3839145055295434,-0.01216488037253375,0.2883203515867051,0.09145168656212357,0.09747767294370045,-0.1431455372471395,0.08046633710843208,0.14672233511959476,0.20863422690626665,0.18726476635846404,-0.14648299013395694,0.0660838415929122,-0.14672233511959226,-0.12722747946600738,0.3618202847138938,0.06031505276383077,0.10161399606492742,-0.22772737827738815,0.06755888983802062,-0.09897861763687037,0.31607907113246153,0.11569495176523283,-0.09699693199576966,-0.21463725398651243,-0.09897861763686884,-0.06388963848290015,0.22068436797962315,-0.030098218373963218,-0.0595241248824031,-0.13477072685695393,-0.06388963848290014,0.14959590026981523,-0.04759708240861689,0.14089701612346436,-0.2995866879595906,0.060998327612347615,-0.31926119240534756,-0.03406412740381163,-0.19353749768139422,-0.10406363214800783,-0.17931261909537946,0.06905784490755636,-0.15876903053802655,-0.3727777212826565,-0.19946973901127582,-0.3703768940299756,-0.26160100694482963,-0.33594757164466765,-0.25121082109219567,-0.13339080039398127,-0.16573467214162055,-0.12012413826504315,-0.2812737976155065,-0.04821507253230978,-0.2808534993847571,0.28052625683938626,-0.12731773649465772,0.39445064515097056,-0.24735372536544165,0.2696871592567069,-0.2533304981342656,0.03555015018715304,-0.10752518426209795,0.1121174986391573,-0.2162450214881753,0.07812206821073116,-0.23404150804096807
acc_y_rms,-0.02774830268985754,0.8452380936105502,0.6208295095590156,0.8838606384227069,-0.712721708720475,0.8244476065401015,0.09520912048592708,0.8692110708292252,0.6254190859138687,1.0,-0.652260352296855,0.9537867710255883,-0.2834212683704908,0.8004356961423579,0.6172914304627424,0.8325539041887949,-0.8548638721718118,0.8862223614703291,0.32071515837972836,0.5053590484344287,0.6640007421458808,0.5385278484872359,-0.15443424079833537,0.5506678218279707,0.2060187581279927,0.69964074455492,0.5830935897131363,0.609907265230152,-0.33183115845113936,0.5709471612283008,0.19830377940065902,0.7526777571503591,0.5849847015475916,0.7080292280329388,-0.5248838493027652,0.6795474284164498,-0.10038025321386372,0.5903424432366546,0.13931089273360686,0.07182604369925825,-0.31970865967650297,0.041544435620266974,0.27549371823854013,0.6539020263800869,0.45061960368581233,-0.2738920968479946,0.016441541398130283,-0.27549371823853547,-0.3326710895999665,0.6081595062158419,-0.07737919755712552,0.19161621420386865,-0.48880630258964225,0.12387018928891301,-0.03445841502348092,0.5429908367795779,0.2808780938789418,-0.030556990172440464,-0.27944419795594355,-0.03445841502347765,-0.3087655558847589,0.5779889369563616,-0.17655899850634987,-0.2828396486152092,-0.42035172112134167,-0.30876555588475874,0.10283190438863074,0.22381142158468953,0.21674392099529016,-0.2631385275278822,-0.005142628381208392,-0.31632231416277573,-0.007412523897696512,0.150147169752656,0.05824353732069172,-0.1551464292384618,-0.06785429999711207,-0.1660538104647611,-0.457600688411206,0.12922832385052377,-0.29264420176718464,-0.2759611013797574,-0.5729181778445209,-0.29695569678466394,-0.182948761701572,0.18255652255762994,-0.02199746008047956,-0.21457738942765417,-0.2962226791246553,-0.2541138690097008,0.23916468937626892,0.19696266307567128,0.42393198367523804,-0.1770635048632194,0.06626457406892493,-0.21492693109881042,0.04328877051932994,0.10719903942676796,0.14866706088338716,-0.2511590453146921,0.018972302379117546,-0.28449419441336776
