,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,0.010650041386604284,0.3999928799534154,-0.0690132802784197,0.5804120187150417,-0.10966124346396133,0.886241649850609,0.16342621957198636,0.6171513621275394,-0.052670875186915836,0.5802063048913128,-0.10995457717091069,0.5664519641654218,-0.023312121211495136,0.09794517028250967,-0.11033813598073546,0.21248839698514735,-0.19549760750735432,0.33429493541233807,0.02885312658596136,0.21049050360244564,0.06694145776127476,0.20137217923458559,0.06033304879977611,-0.16143860417781375,0.1550788114571316,-0.02108298715375746,0.016819216043457548,-0.24588287961922214,-0.016575164038884458,-0.5649947706159397,-0.15624450619248906,-0.3925915185613647,-0.33638579223586373,-0.5598359915345182,-0.31547065528619345,-0.3758942806017672,0.06829939231113219,-0.3670615850367835,-0.3767907782508656,-0.27629051316926234,-0.37589428060176444,-0.4093770988824966,-0.27939732111854954,-0.47388916867254544,-0.3624008555757637,-0.2235300806122869,-0.3331821500531129,0.38227920716729685,-0.43109941008891656,0.24641222805797233,0.3798178371606726,0.4277561304977043,0.38227920716729313,-0.39058475368070633,-0.3582914992014581,-0.4881911479937678,0.3037681996784311,-0.1838013471613938,0.33844111163129637,0.10808952213435283,-0.10300518079207037,0.037583223246814026,0.0983807489556941,0.11893776898393037,0.10808952213435273,-0.08331950170272581,0.26652998501180886,-0.04110308662775207,0.11287777920876274,-0.1665774891219344,0.08944122658291227,-0.04738944118311538,0.2698458248405082,0.06931853128445557,0.15039362722491398,-0.19603805514788045,0.11613977646099684,0.08694234712972028,0.32515571860512205,0.2281771066616125,0.04619560657810871,-0.006231057273109443,0.020659536625255135,-0.04417271084991413,0.31951745347439386,0.09960099146252528,0.11712613466395695,-0.20936765906445987,0.08475094413750732,-0.05283731390748842,0.2881169346679661,0.05669653908889613,0.12213603043807733,-0.16539048459691766,0.0934413819489716,-0.024477201859541466,0.3084915188014274,0.12609268350111794,0.14885631519633777,-0.1652495321573293,0.110312947949724
acc_x_std,0.010650041386604284,1.0,0.8144818070251382,0.9075836456890205,-0.6871618626179274,0.7995069871902789,-0.11040703005227527,0.8545721259413311,0.6090049505284539,0.7367315175327688,-0.5611191933817833,0.669408658213934,0.006487434715897805,0.8136904416193416,0.7247462251664837,0.8338944466447985,-0.698508898379298,0.8175828507733388,0.10419153251410422,0.5116236451041501,0.5013777141530182,0.4145526983198059,-0.34596656476128546,0.38759191874474497,0.264195292808941,0.6078614372918693,0.6290535274499273,0.5742054666007155,-0.3125607257525522,0.5569318750803165,0.30669166741418435,0.5881359588093531,0.5355440111782673,0.5405214624422258,-0.2557934703574399,0.5145713475862287,-0.01794932223273621,0.4109166182976385,0.16740973623823643,-0.01456370221273701,-0.15937746786828552,-0.017949322232736178,0.08133797839516374,0.4766475834677452,0.2740658515099237,0.31324827879716577,-0.0687584803047002,0.27223372553316705,-0.5140533542297147,0.5728295313809155,-0.3701537646398196,-0.5128754934506127,-0.6194823159041224,-0.5140533542297103,0.049831892067063455,0.4666446974263882,0.24252908669016585,0.1006907467494665,-0.09861332527738638,0.0728666586871872,0.07345868773608524,0.39883656027341324,0.1740983817838737,0.0957618486780155,-0.05049792422601009,0.0734586877360854,0.10119309879844342,0.009391458615026941,0.12683581251306095,-0.26847869471295777,0.09566933499605418,-0.2844538832722666,-0.17596523984044143,0.060787401799493566,-0.12072018310029245,0.012850432224916553,-0.2485539169965249,0.010323432502767248,-0.5503065794598156,0.013945118836351427,-0.44694674662304634,-0.46501881793699174,-0.5843388501757025,-0.47330922416473903,-0.40579726354217815,0.11810236538291627,-0.2717811122383111,-0.3889644960258555,-0.5274904609127785,-0.42350196605933216,0.2625250912126198,0.006038000559312112,0.3075644917662389,-0.22669658761231504,0.18682249007633006,-0.24572225493778738,-0.28409890267291593,-0.0722609358989647,-0.24414792386675596,-0.41246832336643124,-0.23489765728735912,-0.4326847617315687
acc_x_max,0.3999928799534154,0.8144818070251382,1.0,0.636907001859606,-0.24735854212800643,0.46558125609530365,0.2095576411492677,0.7015849101539242,0.7929698191721818,0.4605554470577353,-0.16498698645404355,0.3729015166320104,0.37929000380154815,0.7674248545184316,0.8244656856828456,0.7211068966607903,-0.48821067815647046,0.5971569917866798,0.16818694547544394,0.36791678152247115,0.40553923771944483,0.2797154167763479,-0.19449074539248962,0.2516285817978096,0.18017577418902464,0.3985737903740841,0.4011613023209342,0.35911107183013774,-0.258149068899764,0.3372832939973714,-0.10914022734149324,0.20759788840235666,0.10613129410404176,0.10971337577550357,-0.376931965857186,0.10465596631267887,-0.07774175391229998,0.1477475072388442,-0.0024998047068715045,-0.07677020035801711,-0.09700632710985874,-0.07774175391230022,0.04125705638618135,0.09996466118507215,0.11632279053829417,0.23831970941688843,0.03162063428698611,0.22931196870741846,-0.30882174275220986,0.25464065647841616,-0.28078533027169866,-0.3091835680075646,-0.3531734746512379,-0.3088217427522061,0.039827494568424514,0.06160299668145958,0.09799250374457423,0.0570640373583478,0.040068512311494296,0.05690584904609812,0.011869252829637977,0.08525398565009813,0.024848450810344893,0.01637538913099271,-0.02772682631373163,0.011869252829638102,0.08280680261620994,0.13754464392164792,0.13694803471850925,-0.15147977188248182,0.04012287796457441,-0.1739123568254958,-0.18232359583201127,0.15771572910986265,-0.094630300664939,0.13080329863641732,-0.3288762505692918,0.11586539744513248,-0.35210772356247844,0.18965601143386204,-0.20225841817684714,-0.32884639658090253,-0.43389098522687003,-0.34637466318778315,-0.31452622106449335,0.22629094264202346,-0.1528870133188866,-0.2411358813903833,-0.525530313288733,-0.2864449235791161,0.20229688469349646,0.0840072354777874,0.28357059318192496,-0.13478253440979684,0.11999646769553085,-0.155798452073394,-0.21305576412277152,0.0542049489147129,-0.1172953740161626,-0.2732214508540774,-0.22651589920337076,-0.3009084161702789
acc_x_rms,-0.0690132802784197,0.9075836456890205,0.636907001859606,1.0,-0.698022867804438,0.9669194985196797,-0.15511771075162034,0.8224143247654055,0.4941454302424416,0.8864783750973404,-0.5910361318659922,0.855976919372726,-0.1764093150436959,0.72029077789817,0.55285291003431,0.7827694146548051,-0.7265726391566611,0.8334763943876966,0.10106566010009743,0.5373711102330176,0.5342175307444061,0.4561060032795619,-0.3476914234862394,0.4325100060120178,0.3281337992232981,0.718457240750819,0.7358038444401854,0.6854704640195265,-0.34096749234608537,0.6641085176405178,0.4247363486208223,0.7578449218895942,0.6785734543437746,0.6984235822819963,-0.26805788337622155,0.6657599893283394,-0.0497170552643688,0.4856651699697914,0.1554179581520417,-0.0462517001910436,-0.21764879857026512,-0.049717055264368454,0.0459410445561499,0.5861713806632578,0.25841553456013155,0.2929954633036083,-0.1479405758767877,0.24157112975144207,-0.5621366072804086,0.6863846659776058,-0.34287626110748726,-0.5600306790879187,-0.6682024756340395,-0.5621366072804063,-0.007777689812990547,0.6093484818332234,0.21389573850548166,0.1744890534434246,-0.21040251929564077,0.14035239305920463,0.10259557812586981,0.6020609362647752,0.2570578647781863,0.13964436176423187,-0.07191756834287813,0.10259557812586992,0.0862563478549772,-0.03746412377421424,0.08654775107313678,-0.3011295959636891,0.08788614616692281,-0.31637405756861064,-0.16339056447294925,0.03693590061805196,-0.11827563015361336,-0.04672800064873828,-0.20870090123953988,-0.048536177324657204,-0.6187374534280705,-0.05661223213414556,-0.5269867658813588,-0.5106730812047002,-0.6247421240277253,-0.5156162383837917,-0.4382049351872547,0.08372186229999617,-0.3205120136587254,-0.42274605692950146,-0.512110858694619,-0.4524141084367372,0.2644009073559364,0.007886902361925565,0.29502157102747983,-0.24948040785363879,0.17337414815455304,-0.2716334345851579,-0.30702871601209913,-0.08971152212430047,-0.28201250919131293,-0.4323368735957663,-0.24485740557743874,-0.4555662297592957
acc_x_min,0.5804120187150417,-0.6871618626179274,-0.24735854212800643,-0.698022867804438,1.0,-0.656315657254088,0.5846364833844684,-0.5478609958657876,-0.007869005052674032,-0.5833996112022846,0.877842867423889,-0.5560321941356667,0.35164919073002576,-0.615687961014917,-0.4472129809777777,-0.662440066253194,0.6674602394056335,-0.722292974782306,0.164238741689726,-0.35561638181735983,-0.2441019755592219,-0.2814562233709734,0.4167343008892454,-0.2676889976316792,-0.32563592911574046,-0.3401641618843837,-0.48084037027968357,-0.40030026562069443,0.04636937807451654,-0.4083360974344096,-0.5845734865160817,-0.635483509137621,-0.7185457885874694,-0.6580405792001969,-0.11388268236461765,-0.6107322667828451,-0.20085093773249957,-0.31235212996237577,-0.35576634957384484,-0.20430084907435897,-0.020009175093238053,-0.200850937732498,-0.2522519930772294,-0.546223911652828,-0.4340699801674445,-0.3742905476286356,-0.024529784144631295,-0.3271248059842381,0.5636764765423481,-0.5931178534399419,0.403121316908415,0.5620883967593676,0.6391320419818628,0.5636764765423401,-0.21746165207218482,-0.5848431323846377,-0.4181043656246322,0.08265878182036446,0.02238887750663991,0.12912728168244222,-0.03474614013957688,-0.43520927005009846,-0.16808352126191575,-0.05873127865562831,0.08095800135570226,-0.034746140139577074,-0.10733514818091945,0.13146750421900102,-0.10946146811925343,0.262572298739437,-0.14620588463146522,0.26325617127629547,0.11968962865523655,0.15298643606262308,0.15824130535779363,0.048596550314221165,0.06626197246823104,0.027424805791187973,0.46321197131715325,0.22398681729916384,0.48391754768449236,0.369372243069245,0.4188635056528254,0.35729758692672303,0.2719991329471934,0.15264023992073325,0.2713860292576984,0.37861673487826475,0.22700657775314798,0.379999833375056,-0.24034168441406345,0.17751767550673708,-0.19942976835736986,0.24561552991983743,-0.24105845485550167,0.24030383573654202,0.20424785207322907,0.26327509761417967,0.29161413968112904,0.4092421247954205,0.08919863425875474,0.40265121247015506
acc_x_abs_sum,-0.10966124346396133,0.7995069871902789,0.46558125609530365,0.9669194985196797,-0.656315657254088,1.0,-0.16374649617284032,0.7429574233819644,0.3768110542268787,0.8872836512248814,-0.5566903749016399,0.8856024255489743,-0.30931670950821577,0.567997859291156,0.3606162038763646,0.6518642723715415,-0.65677325342209,0.7497742319182965,0.11894254521130634,0.5244990365286253,0.5336337466059281,0.46670322348126375,-0.3124214418658918,0.4489088259943375,0.3096529959723729,0.7492407785151667,0.746292810683384,0.7054521774230286,-0.3541834275905549,0.6831810294072824,0.5077347368633204,0.8147294130119989,0.7381640352015612,0.7723493177750188,-0.2331276146630561,0.7438318521031545,-0.09367491510001404,0.5603420340973617,0.13885171797031726,-0.08982577748608281,-0.27686427068743547,-0.09367491510001281,-0.02080086043361134,0.6609071961479649,0.21344557447560036,0.23243932389628255,-0.23119215209019078,0.17480396815256527,-0.5346237699896547,0.7196836030718264,-0.28745887004110804,-0.5319603327883535,-0.6536125691564593,-0.5346237699896539,-0.0876525309189999,0.6865061807887978,0.15894876695698262,0.24608367035419684,-0.3060276197151164,0.2095101141018621,0.15084319935178797,0.6851795980664243,0.3167794282489328,0.1918323393585559,-0.050284805182558664,0.15084319935178797,0.06693218513644542,-0.06889825541682973,0.047628667266709813,-0.3004229272139643,0.07357148077156939,-0.3134292675091118,-0.13158029645480435,0.004571064811898216,-0.10464234732837294,-0.10433277180198972,-0.14845180042926148,-0.10356875071895218,-0.6193411912612539,-0.12094901881882238,-0.5518049486238693,-0.5013823067542403,-0.5978547637797029,-0.5020317052522593,-0.4194473662271099,0.04200776688091985,-0.3280351155656466,-0.4138791055846303,-0.4470976924990547,-0.43675160681241215,0.24460780579343464,-0.009816626546917076,0.2574455050860243,-0.24773185537241227,0.15991189269623646,-0.2682578003711842,-0.298635831906934,-0.10549887032208949,-0.2924947319604227,-0.4091050814614683,-0.23239230120673587,-0.43159278966024456
acc_y_mean,0.886241649850609,-0.11040703005227527,0.2095576411492677,-0.15511771075162034,0.5846364833844684,-0.16374649617284032,1.0,0.053149581820963646,0.5418085790119004,-0.11318700148255642,0.6884621580999457,-0.16359726793028975,0.5663352785370589,-0.1963480624130664,-0.07838094141770723,-0.26887762877756016,0.3473161641063831,-0.3149259185395727,0.3329269953367412,0.09093697527496701,0.2500611348480141,0.08085560023725764,0.16918296149633144,0.08003114531983238,-0.3904783024158612,0.21796618387888692,-0.1336518057497767,-0.0007435746322813773,-0.4344082881402441,-0.04095648603130478,-0.5527877400359371,-0.21831965391845848,-0.4461157927900618,-0.2895974411559341,-0.5149082026022745,-0.2559974114556926,-0.3921354896124615,0.1218225942680104,-0.38682795459612296,-0.3926364431405908,-0.3266619027973181,-0.3921354896124593,-0.5345608637285019,-0.21665698941401665,-0.5944395007909,-0.5009762990368206,-0.3627034806817323,-0.4765444372281626,0.5016864052003067,-0.40556301024908403,0.4114812169398477,0.500229505255507,0.5173461716046733,0.501686405200302,-0.49424160948409074,-0.2592518963079427,-0.5713481688812371,0.353888692034828,-0.3147555427584231,0.3826057001406221,0.11500609375196963,-0.002455705342919381,0.07708543155042422,0.11242834443031151,0.1051995556246611,0.11500609375196967,-0.13571322022156865,0.31947732783186733,-0.0796838156636364,0.17874505447519418,-0.2270074023317437,0.15630547849020215,0.08274398397952491,0.4198656822725211,0.23939125357279456,0.15815256022195073,-0.10519251565659317,0.1092243230295635,0.23603308777943163,0.42048233109037253,0.37916797856718115,0.20404777319827339,0.1033185328488945,0.17072621619415682,0.08059272965118396,0.4519996389669652,0.26510952542558697,0.26956015870715977,-0.12350299652474965,0.23734942911782186,-0.21230730027583783,0.4570455537296943,-0.04970888827998893,0.2926409886616235,-0.34924273816258783,0.25591498310788113,0.051726070302668514,0.4785090167574873,0.2545595175008256,0.2975577907532829,-0.17086546348758402,0.2535461903740095
acc_y_std,0.16342621957198636,0.8545721259413311,0.7015849101539242,0.8224143247654055,-0.5478609958657876,0.7429574233819644,0.053149581820963646,1.0,0.761224007403476,0.8384764894088954,-0.5739356673137488,0.7386505943546982,0.058269427929444007,0.735221601233006,0.6061933839651794,0.7368086725036699,-0.6888587342038196,0.7491045857029941,0.1895090147226734,0.5302863751366658,0.5984032144222236,0.46108604678310133,-0.2839724779457074,0.4304295893040723,0.23430605342740565,0.6179758696795624,0.6153022725725673,0.6104517901919828,-0.3158608130944798,0.5902224334564921,0.26247113320945453,0.6350478619844668,0.527451844549747,0.570318894211566,-0.3595495172197148,0.5478153238139544,-0.034100078897007516,0.4329327998863275,0.15484787620493817,-0.03085507470692728,-0.18383224684020336,-0.03410007889700702,-0.022733249905006987,0.5131552343969507,0.17890152993916217,0.12023632313285187,-0.17005396095108927,0.07966403688399816,-0.3366580294372188,0.4432023031294124,-0.2186082614379315,-0.3360483238346357,-0.43088965739802765,-0.33665802943721707,-0.02895174755269702,0.4906792424320601,0.16871657316574945,0.14211941424890293,-0.1756517749048581,0.1134022496368631,0.06841260697313145,0.48284541461998487,0.1898317793292326,0.09568357660442922,-0.08361837348268587,0.06841260697313155,0.10093157673805687,0.0020610567304474585,0.1151761786387573,-0.2727850145761018,0.09228469455339966,-0.2893313665163681,-0.1557727027585083,0.1677425778302449,-0.06903271825298757,0.033086559603579646,-0.26957250784027464,0.02079489042456119,-0.5172425585366331,0.07224524287867864,-0.4060808015879247,-0.41230545781567823,-0.5757425853954964,-0.4254150178516782,-0.38845869055005794,0.21827787168372334,-0.23687764563585523,-0.3484773990184492,-0.5338047269747654,-0.38681739483531163,0.21605300701165892,0.12958114161179596,0.3125593143191634,-0.16130971598164323,0.10184482823526184,-0.1901103470308507,-0.2997515930764615,0.035768486838118216,-0.22891669411715743,-0.3959828473851319,-0.2981408583723442,-0.425494981850272
acc_y_max,0.6171513621275394,0.6090049505284539,0.7929698191721818,0.4941454302424416,-0.007869005052674032,0.3768110542268787,0.5418085790119004,0.761224007403476,1.0,0.48626152010270096,0.01953392356053144,0.3661682735433241,0.4658847675442961,0.5123230399298455,0.5454448736967601,0.4660736543530834,-0.3265756169648712,0.39308472634238767,0.29683408139851986,0.38206910245527625,0.5037673421286846,0.3201845715528856,-0.07901222587145271,0.2959777439047957,-0.03492716341912167,0.4813259229851134,0.3128193805249396,0.380646646677724,-0.43117255652147773,0.34772738267086645,-0.20785908167266204,0.19168013722710897,0.00785733328126024,0.09806342847885212,-0.5231326758536735,0.10491387384968506,-0.18784813196262826,0.2317765315459279,-0.10049255048668726,-0.18677148820977071,-0.21305911957808768,-0.18784813196262706,-0.20146016517708754,0.11427544051734709,-0.12734430783389564,-0.09507565166769437,-0.17998047104470444,-0.10096308109296781,0.009857388786227102,0.08026406298033814,0.026558319657910986,0.00940322802811799,-0.04452202229581973,0.009857388786226188,-0.17900357255084026,0.07125140030468312,-0.11999907228112452,0.19470634678112944,-0.15040099866245457,0.19863874599587575,0.03692386293981717,0.17087979011725532,0.06583774655590113,0.04697850909090421,-0.030452557073471106,0.03692386293981731,0.02424772811241815,0.17718770047126667,0.0721932775804502,-0.09358147861831531,-0.03147649900565589,-0.11652552967136931,-0.08642536747523817,0.3518991202081278,0.05732089291282882,0.16439485933472106,-0.29106061347696277,0.1301652261845276,-0.21097549664766754,0.3253287666911431,-0.04376919202654065,-0.1758616388879923,-0.3452993146443696,-0.20348324630834363,-0.23030377714525666,0.41495749418301336,-0.022113025003427808,-0.08691988563648911,-0.4844223379917094,-0.13688096028736096,0.05115546850218408,0.303689184235387,0.21010452563117182,0.03936938101097341,-0.0801709911164205,0.0033935467632170316,-0.17207958844498697,0.2904164161260387,-0.0029044329784809197,-0.12019527161259169,-0.28873581889674593,-0.16231617186796002
acc_y_rms,-0.052670875186915836,0.7367315175327688,0.4605554470577353,0.8864783750973404,-0.5833996112022846,0.8872836512248814,-0.11318700148255642,0.8384764894088954,0.48626152010270096,1.0,-0.5876761616960136,0.9822896743343973,-0.2660091358336823,0.6103429502463243,0.3785093561225197,0.6874391564646601,-0.7318322077144008,0.7869282842453492,0.15602455952041147,0.569164876876659,0.6065088439742661,0.5089597477622684,-0.3128517432810016,0.48576774960430924,0.3220149017889296,0.7083392344793161,0.7244619369575491,0.7631057158542498,-0.32091680294285296,0.7484598328157078,0.3667637792371102,0.8078457740854152,0.6639577889355774,0.7214658219286729,-0.37279469720042385,0.6824087434817003,-0.022487997260551545,0.44798217555444214,0.16298588812496995,-0.019564222187877348,-0.18660190059953127,-0.0224879972605506,-0.0012992003815977416,0.5875426505146015,0.19747389875380988,0.20507240866878151,-0.20111680958532435,0.1548531923221191,-0.49300584439517986,0.629314531572479,-0.2688236709416717,-0.4913491275719189,-0.5797334743337911,-0.49300584439518086,-0.008852914089251962,0.6217746762277861,0.20211186278978743,0.17988394650617884,-0.2280700802100482,0.1473050881975087,0.049716644057542995,0.6559381518787376,0.23703471043066368,0.09487721323622322,-0.13147639306730166,0.04971664405754302,0.062454829826014364,-0.061717909895752564,0.048847467772329144,-0.30868403562772845,0.07151767468326443,-0.321918650418352,-0.09810569099656921,0.15084829219050158,-0.01741392680621969,-0.0700720143074588,-0.17656306551933104,-0.08229271276329937,-0.5861806531998146,-0.010016269592184174,-0.48932370906825695,-0.455112211202996,-0.610736239125733,-0.465276744298142,-0.40104449063208336,0.18342551885229624,-0.2540114428958507,-0.3640024302214481,-0.49499856255549646,-0.39649680611546595,0.17617837878825038,0.14485105966145176,0.2529199599214842,-0.15831552929208664,0.04986810624181227,-0.19111799266303853,-0.29859232241364053,0.021933338933296256,-0.23498663760555694,-0.3874274538768397,-0.28272302562506896,-0.417051767848387
