,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.19193604258245406,0.7594881626368869,-0.03787267932316327,0.6240893652665656,0.019162006945005684,-0.7454941036510025,-0.021796621602271905,-0.22891736699738868,0.026491588434245615,-0.4436658799699193,0.05011357094357626,-0.11454573899956093,0.16022496758228832,0.1573340318384333,0.15863371096048878,-0.20162194832628544,0.15632869144100892,-0.2439496939340784,-0.2500860402800042,-0.2897517958996204,-0.17580479222352566,0.019574421964019508,-0.17802511579645566,0.4215146470886834,-0.11243161948087879,0.27787730452711784,-0.0016131472830810036,0.35519280901016953,0.030852287249282843,0.6693230576908921,0.042263220706201435,0.44664001763349864,0.16617812792264858,0.6921389513727011,0.13809975024607177,-0.49565894789757836,0.3341732878611245,-0.339186471483054,-0.4894849598641603,-0.5613870698849426,-0.4956589478975786,0.627061307693972,0.24972465113711384,0.7180027788520459,-0.6138933473295414,0.43651903097967093,-0.627061307693972,0.5651147559301091,-0.03632381457029396,0.6636677028120014,0.5712414012334589,0.40447979833420394,0.5651147559301094,0.5457677486822932,0.06973476021130157,0.6010731317106479,0.559636676320973,0.3960275005534931,0.5457677486822933,-0.04286200662163457,-0.12862543840702795,-0.06027404403449274,-0.0491516642893939,-0.011465736896369266,-0.04286200662163457,0.19117391317867616,-0.47761477058076185,0.08987505259892538,-0.3123748714196447,0.33052296293338945,-0.2678720594777354,-0.13846464963925345,-0.5240737455804809,-0.3048284511702538,-0.13597094087574874,0.06886791713410453,-0.07414516339835053,-0.25647438494994934,-0.44971832531453043,-0.40643248097335344,-0.21705593286979288,-0.11778418728574218,-0.18143978441256017,-0.09541856625166097,-0.4912313979733039,-0.3175732512296079,-0.31205739501276036,0.12001056305956538,-0.26794584008860867,0.26774419213332934,-0.5329267584515051,0.0964350828235543,-0.32221846630141016,0.42187656892547076,-0.28257236221934073,-0.0753997436056831,-0.5323542767339212,-0.2678737226270279,-0.335620254867908,0.1474079313650848,-0.2781386647134567
acc_x_std,-0.19193604258245406,1.0,0.44693167320336813,0.8452968496492562,-0.8226274467063098,0.7736521500588881,0.21628589060237308,0.7933684197611858,0.717209247895004,0.707726872879751,-0.4585692441449437,0.6583280092542518,-0.20578838488623458,0.7003799763504286,0.47300050350138884,0.7229404812790953,-0.713997581928887,0.7528650152130383,0.13501673013299753,0.5899546758148495,0.50186055812395,0.4583967223212729,-0.34462459641125864,0.4367004879984016,0.03423831943738682,0.5896853047838467,0.4808185804795642,0.4574694179648753,-0.36486710268865225,0.416412295677467,0.1627078907690324,0.6528046453654992,0.49031276792127987,0.5821302764822474,-0.502214632327977,0.5714879559084814,0.05474322158589898,0.42084372432855205,0.17746396567155556,0.058713114751231234,-0.12080605508440435,0.054743221585898894,-0.31268434462000116,0.46168701541739965,-0.11731492468478515,0.3203923594253914,-0.4203933028061503,0.31268434462000005,-0.45547919807934206,0.5870976070813646,-0.25021952282263393,-0.4501300946613917,-0.5332420599715045,-0.45547919807934173,-0.16491432376279597,0.5225663668125173,0.07127771300323339,-0.14232764307298695,-0.3043946092670925,-0.1649143237627959,-0.09514558964059174,0.5616235599305216,0.029856147644152748,-0.06915554224993326,-0.23535775278527943,-0.09514558964059186,-0.059877012970606054,0.3955406515935197,0.06913572255812979,-0.048843711815644356,-0.1591516605198946,-0.10278395657702356,-0.041171058899764,0.22109757858975618,0.04768769882077441,-0.023481740362842632,-0.14947938976319947,-0.04755204860037629,-0.37371049703300413,0.1698470604393883,-0.2457476542546463,-0.24836359435337785,-0.4598603756763781,-0.2689828124560047,-0.2692001124989125,0.2520129325270284,-0.11840119397543684,-0.2320602925247336,-0.4133695229023815,-0.2681408430627171,0.15431425743230612,0.2429950754386794,0.3038890844934016,-0.08988993953332484,0.01555583854707272,-0.12057489610240106,-0.05150072801306682,0.12593742717990464,0.00493793190480976,-0.18555429448667923,-0.11742546500196921,-0.2261560996543835
acc_x_max,0.7594881626368869,0.44693167320336813,1.0,0.5303106475499739,0.08652835819321168,0.5464639731405835,-0.49962868861102144,0.4806666028350628,0.22175649451196636,0.49189870622278464,-0.6997236457628857,0.48934562743363835,-0.3155838308059076,0.5872717589665856,0.40698479319580105,0.6118599871124498,-0.6856925348758567,0.6440765517891403,-0.1270113720534404,0.18399377060664207,0.07885698710790312,0.19865036765303762,-0.23074427919500062,0.18284360699859725,0.4080742048341948,0.3248912904763926,0.6081465563226783,0.323402034540612,0.06566181792872867,0.32028166147781967,0.7087979367481835,0.5161581589467441,0.7608266322149632,0.558692796599579,0.26234960365387966,0.5227545241980581,-0.3983352506800818,0.5892576708066486,-0.1729694598834528,-0.39016600505755894,-0.5772282589519522,-0.3983352506800818,0.3272408357302131,0.5339269689443239,0.5394214421212288,-0.31061800110863524,0.08690832054434326,-0.3272408357302139,0.17037473254985017,0.37519665719965783,0.3983993702561283,0.17928365726941245,-0.019891502436798148,0.17037473254984978,0.3613600486714042,0.4296438991131724,0.5745351242925814,0.3892396454927763,0.13227440579657024,0.36136004867140437,-0.07649563367584958,0.2928359003234816,-0.0044856501199086515,-0.06386888359611481,-0.15106684518387986,-0.07649563367584965,0.11918553750905365,-0.18846764828519405,0.09751853928369682,-0.3158020818700702,0.17563839273686258,-0.3100601433588203,-0.1548224904961089,-0.346780090329221,-0.24840475886392616,-0.17158937277864308,-0.025212778896667818,-0.12868698620008673,-0.5021704474979647,-0.3212881855913894,-0.5513841731822566,-0.37913938361048166,-0.4197023818903795,-0.3597044519379539,-0.254906659140871,-0.2967637276216591,-0.36382453334284465,-0.42851630021235737,-0.14294388747999034,-0.41144796164685726,0.3526108146295806,-0.34323092801136423,0.2807277873677959,-0.3655969619064321,0.39998449507446243,-0.34932393152046104,-0.10883932843438117,-0.4120673675572595,-0.24702544097682252,-0.45456049114886876,0.05664169135295771,-0.43070283365049816
acc_x_rms,-0.03787267932316327,0.8452968496492562,0.5303106475499739,1.0,-0.5461013090336009,0.9893872596243881,0.056584050952283825,0.7103812084601642,0.5210390566199075,0.7804550679803925,-0.5276683724355425,0.7672301072172923,-0.35902338170910725,0.6956655839091802,0.3696143621437471,0.742533945871651,-0.8544653420684781,0.8349393583359614,0.12383107755439612,0.5614632517836536,0.48455556738942823,0.47102438248651807,-0.33160611403051093,0.45516003239948377,0.08957740789074345,0.6973629832463171,0.5871101862351041,0.5864957234876359,-0.4040744040209353,0.5447901882058183,0.24882745411023163,0.7909647915424516,0.6296117839045507,0.7568757309914715,-0.4985802755959695,0.725939040381906,0.009929774319044628,0.6406285774402988,0.24019038480747873,0.016957297863735763,-0.20128248933598838,0.00992977431904421,-0.27490516417023775,0.5806955285563971,-0.07032496544271098,0.2876972560626396,-0.46067324859385567,0.2749051641702364,-0.44062859242591873,0.674134691012122,-0.227567444338827,-0.43499370511631946,-0.5783720935326324,-0.44062859242591845,-0.12791233908493263,0.6538794155689966,0.12319273945958864,-0.10290871469561781,-0.3535074763763795,-0.12791233908493252,-0.11649279623426023,0.7341596666885974,0.06578390989094948,-0.07700285181323867,-0.27335649141063045,-0.11649279623426027,-0.15872651952334094,0.33437263836920084,-0.06140452132233205,-0.16089695884012786,-0.23408276173095202,-0.21455684513304152,0.03322759655363452,0.265461463129794,0.13251288761008215,-0.11856324982571763,-0.06406510455808176,-0.14729282468569685,-0.4557105284020251,0.13403437354258077,-0.3203752418108652,-0.28725586498811245,-0.5253322537648222,-0.3077485646250286,-0.28835316310652237,0.25351510011785905,-0.1265047028211655,-0.24104173459138914,-0.40907849277046526,-0.2820146018083052,0.10836310817510991,0.28426716133681584,0.24965282168994088,-0.06224148179564934,-0.04911191248935408,-0.09867789392737544,-0.00487866601625592,0.1474602152812338,0.0591432361483024,-0.21161049235074494,-0.06718664088529727,-0.2614785995072025
acc_x_min,0.6240893652665656,-0.8226274467063098,0.08652835819321168,-0.5461013090336009,1.0,-0.4429238829186323,-0.5164167637789097,-0.5721800145483014,-0.6980365516020699,-0.43652108945511753,0.07387562719072771,-0.3657227069520279,-0.04482804519675383,-0.42799869994502165,-0.3572349736970805,-0.42021377846105445,0.3195982526551238,-0.4029079988133833,-0.19394956866396415,-0.49472345004515383,-0.45200196337902243,-0.33789900700280395,0.2280323209290501,-0.3238281098116394,0.19992833195375892,-0.36394624598139,-0.10811455696309522,-0.23513457967566115,0.3917329734012568,-0.20010176018533393,0.28001074918038577,-0.30643677566176564,-0.008339739392377619,-0.1952177993993071,0.6456819175763714,-0.20483403459051697,-0.22146258353392592,-0.027244135300869686,-0.19612023217716534,-0.21991039521848135,-0.16722336897888657,-0.2214625835339261,0.4533603306106074,-0.10113575341644959,0.3980954795766555,-0.45001694491834665,0.40770592213450796,-0.45336033061060727,0.5001166243121714,-0.31165305203517496,0.44099381122969755,0.5004048695037441,0.4588127793086922,0.5001166243121707,0.3079227246766966,-0.21466318744925197,0.2117475489609586,0.30191517222302167,0.30103512708298835,0.3079227246766966,0.0865898290058116,-0.3331939624190375,0.014932571090551022,0.07039894081771567,0.17031438721583958,0.08658982900581158,0.08254275652210466,-0.5479362481389458,-0.08638525138307757,-0.17360471336303232,0.2268251374113745,-0.11357085348899411,-0.0160825779601491,-0.4055562141197314,-0.156864410026413,-0.12945973988647488,0.17495078593929997,-0.08211652254766741,0.06847125099262828,-0.3639854095564077,-0.08999834508396197,0.024437490442910978,0.2049843181701417,0.056244662146516786,0.13307774286093843,-0.4193748406691034,-0.07756674860623865,0.007807559525298881,0.3551593682241353,0.05279040567304085,0.02516792723525465,-0.4228043497406715,-0.16926454065113117,-0.10771946090699198,0.1884526974442867,-0.06975566001107725,0.011380015626166886,-0.34463486939599797,-0.12023014551386525,-0.07564263702405448,0.16978971579260438,-0.025688824013667826
acc_x_abs_sum,0.019162006945005684,0.7736521500588881,0.5464639731405835,0.9893872596243881,-0.4429238829186323,1.0,0.004590421772098653,0.6705754829422663,0.45418241736689036,0.7667443504949331,-0.5383294526552798,0.765181784074493,-0.3806569415776769,0.6860800803089395,0.350787142655213,0.7345553488912689,-0.8570621849189862,0.8360290227986047,0.10988538938969089,0.5348484394262009,0.45712738695814076,0.4564770101940529,-0.32324834412473336,0.44182812418908063,0.11323138996133988,0.7043453602138116,0.6079783140456464,0.5966941457911447,-0.39320465432750873,0.555368819333368,0.27519729052321856,0.7927273437178735,0.6473469208176745,0.7718971033921267,-0.4658413480849614,0.7383312083211774,-0.00827297035834774,0.6710049614793553,0.23772030251773954,-0.0007312082835039467,-0.22329858116176254,-0.008272970358347993,-0.24567874309498383,0.5954508747950955,-0.040551797243524694,0.25931649424741826,-0.4451262756799963,0.2456787430949825,-0.4144453716146178,0.6746915189080653,-0.19992428796502287,-0.4085887551852813,-0.5621606110553712,-0.4144453716146177,-0.10711828712531542,0.6658483002849543,0.1440028932717579,-0.08197774660808375,-0.3453673825859161,-0.10711828712531518,-0.10970234550485118,0.7445599530748347,0.07688209524387746,-0.06922722227444543,-0.2655605464464871,-0.109702345504851,-0.17414946727941016,0.3047870138809312,-0.08909421766311264,-0.19189399338524854,-0.239288194020207,-0.24416722959654588,0.04774564746654859,0.24614644545759984,0.1394710434341428,-0.1521799126739665,-0.03553498836488185,-0.17821520348884398,-0.4708795445001073,0.1085127318549604,-0.3405826471627145,-0.29760786553080637,-0.5297222337365831,-0.31614112537611117,-0.28219049495135834,0.22610324863926615,-0.130622642042407,-0.23704675901241243,-0.3860214630767048,-0.2765258573463497,0.10312723182143638,0.2643678484845691,0.22932625513307694,-0.06528401988632083,-0.0482430696633601,-0.10041382250698509,0.008197904886328522,0.12890147019894058,0.06434054324955689,-0.22619642408590088,-0.04503835263948664,-0.27521430310006895
acc_y_mean,-0.7454941036510025,0.21628589060237308,-0.49962868861102144,0.056584050952283825,-0.5164167637789097,0.004590421772098653,1.0,0.13960194919453825,0.4559673999602417,0.034029519333843135,0.5330893261992634,-0.010222916650172895,0.010742002834968935,-0.011122553888871843,-0.02710726823379264,0.0028646340904944227,0.031523236804231275,-0.005727226921120042,0.45345113743927884,0.1984878860289514,0.40439184464439504,0.2898873134741966,0.1323062236138651,0.30058982328443457,-0.08599442234657101,0.013177373088763175,-0.0783224677638405,-0.05489003393164046,-0.09215141162962348,-0.07360469216718298,-0.6466709573941755,0.01900754979280669,-0.36439621609231987,-0.20158088895739795,-0.662709527918191,-0.1900975601413424,0.21607440920214463,-0.35404940382639877,0.07601244749930522,0.21105538164413995,0.3087970009505365,0.2160744092021444,-0.4914786179848146,-0.3152722446399537,-0.5979929281093052,0.4743601102540185,-0.2888766592755714,0.49147861798481485,-0.34625031058615735,-0.043286807350339955,-0.4247026638115723,-0.3512354319728895,-0.20882798442689327,-0.34625031058615663,-0.3962679687980351,-0.15342796066597902,-0.46238293515885903,-0.4062620111940759,-0.23464206072165492,-0.39626796879803483,0.03264080110418125,0.05745471813723936,0.028248305451372795,0.03452854745010372,0.010404458137343463,0.032640801104181216,-0.12087156120074681,0.3757961733083829,-0.03745168170245917,0.200768610311214,-0.23877730054567595,0.15932429639383264,0.08399043370655143,0.28198280054791475,0.19547529662410376,0.026815066731840188,-0.00755803168140702,-0.0033224578109162417,0.10464637382605442,0.32859066606202153,0.2384686688788829,0.06494130284082013,0.0038945772621789376,0.03937394020818004,0.0070220001340371326,0.2017501757210575,0.12308227211371481,0.09221097149932453,-0.08171137411411508,0.06797788622484997,-0.10787285973472013,0.35067891224578074,0.011869350521049178,0.15530714933066847,-0.2412431060696257,0.1256473219663305,0.08772611786384953,0.2767836220759339,0.20896741892972284,0.1681208465219576,-0.02838300501135262,0.13124497721604167
acc_y_std,-0.021796621602271905,0.7933684197611858,0.4806666028350628,0.7103812084601642,-0.5721800145483014,0.6705754829422663,0.13960194919453825,1.0,0.8626714330253825,0.8888311956722821,-0.7028068367164689,0.8232386606227329,-0.14493543983697743,0.8393324309652215,0.6442633592218368,0.8425739221024423,-0.7403191362157058,0.8354895484740849,0.273543707246398,0.5676053231455408,0.5621011732577608,0.5117963016764004,-0.2321413254677439,0.4923026135780536,0.10125451667086852,0.5219542583872288,0.47726163016597173,0.32018029027918715,-0.30538944251938244,0.29720573550720725,0.20963168814479013,0.6394887903390333,0.5051195427189286,0.5613338496146277,-0.4531249780428573,0.5475792128329516,0.04845372670550979,0.3161748796000149,0.13715770422867982,0.050815995909699305,-0.08768654246071132,0.0484537267055098,-0.10905146026888483,0.5097427877696814,0.12398948234675215,0.12011177767467585,-0.2528450242070694,0.10905146026888371,-0.22537713870539722,0.48901686029641145,-0.0028271456918380544,-0.219892129372242,-0.3203569488607711,-0.22537713870539713,-0.2122736352155866,0.5465761071136458,0.032910341960202205,-0.18254551458035795,-0.34880995741964155,-0.21227363521558648,-0.06885064179302329,0.5131623697600717,0.04287593803586302,-0.046019459686112,-0.19984843752922343,-0.06885064179302325,-0.060964800515804066,0.2931742141135372,0.035610340042917424,-0.18882528453382413,-0.13061272863611392,-0.23798575803160918,-0.0026983547739263753,0.08301635161330576,0.042358580619574836,-0.19541032344976939,-0.03167297570633123,-0.19898772408017862,-0.46901375756152,0.08209324517291797,-0.3548471444931011,-0.3475677465232742,-0.5226587399709441,-0.36060783111914246,-0.25231036275967544,0.09370290548020724,-0.15580799928581618,-0.30003627471851885,-0.3412979360756781,-0.32623106712237177,0.20359369374211617,0.12094858495563245,0.2975801769859186,-0.16180635878485153,0.09039665937088373,-0.1863088208557031,-0.00775585125613338,-0.030225696585247486,0.009108650454313232,-0.3022773103501786,-0.007600309288410632,-0.33338880037705354
acc_y_max,-0.22891736699738868,0.717209247895004,0.22175649451196636,0.5210390566199075,-0.6980365516020699,0.45418241736689036,0.4559673999602417,0.8626714330253825,1.0,0.6645383834597323,-0.36792137195426466,0.5563805547259196,0.09708307329179404,0.7662564599856195,0.7311909996653564,0.7375110745997241,-0.5061689212081125,0.6620341478109,0.3588778691136961,0.4591851783977726,0.548395077649667,0.43142442947446924,-0.10480419635894185,0.4179978510783711,0.0738795970916802,0.31928952283108475,0.2922465288653076,0.15454923949204707,-0.22933519906522354,0.13586330539721145,-0.15460471820284086,0.32147761391960944,0.12054664022145263,0.19675489122527548,-0.5016694124368503,0.19676258754013637,-0.03418811965276411,0.014483699122685012,-0.04680413194263895,-0.035231901104717835,-0.06605794729787831,-0.0341881196527641,-0.10303592826740285,0.1491062780248919,-0.009216014876209612,0.10272043514345157,-0.1139853139941845,0.10303592826740202,-0.13752419762800538,0.20562467504663456,-0.03327250722971421,-0.1356969602828484,-0.14726641278347957,-0.13752419762800536,-0.14020362756009896,0.21791810017814445,-0.02691218308563996,-0.12417478684932536,-0.16214806349932054,-0.1402036275600988,-0.11477815808336879,0.2656548583077547,-0.06065684063814666,-0.10237259569054785,-0.18712796220294303,-0.11477815808336869,-0.010778139961603886,0.3847145360161964,0.11962673928017264,-0.04301041259286276,-0.11009848371032929,-0.09754048493801397,-0.022791507991686034,0.14058749167302606,0.04501831855154309,-0.06568760021898563,-0.09328991195004696,-0.07732945519721428,-0.30618962530035526,0.2087690487208839,-0.16555037142087842,-0.24876272289677873,-0.3942135910449244,-0.26691824897237937,-0.2194733456618683,0.1442404010471886,-0.10185560520960812,-0.23181013367861358,-0.35212621125309723,-0.2610289494975616,0.15651563411430716,0.17621555282363233,0.2709565731056557,-0.09938520353773637,0.03471674506612444,-0.12546975224185164,0.004572454781697928,0.044646350334343235,0.051821359423819546,-0.17990028788766163,-0.029759306216303287,-0.21140446159760323
acc_y_rms,0.026491588434245615,0.707726872879751,0.49189870622278464,0.7804550679803925,-0.43652108945511753,0.7667443504949331,0.034029519333843135,0.8888311956722821,0.6645383834597323,1.0,-0.7049551006654273,0.9861707134517733,-0.28649793252311445,0.7329698088118837,0.45747193809757525,0.7542827357262036,-0.7763832673355829,0.8049750296350713,0.26283239360467175,0.48530961494027,0.5198788414136644,0.5194680001758615,-0.18239158695558064,0.5140782719529442,0.13589330741755418,0.5489149583765196,0.5148258892483464,0.3494337061436982,-0.2901694290318691,0.331970538438173,0.3052724699736489,0.7468916110422453,0.6306849096291955,0.7191380864432051,-0.42364635697409925,0.7014947899977794,0.11715234054471851,0.47704453635278454,0.26849360778677195,0.12151753578609367,-0.057168380194809194,0.11715234054471849,-0.12462541963124568,0.6508770847000661,0.13652813409528836,0.14207560290782612,-0.3355738926735315,0.12462541963124459,-0.23265944446915035,0.5734791205123889,0.007324645518480547,-0.226861854531407,-0.3703761325525737,-0.23265944446915007,-0.291609837142818,0.6954560624797497,-0.020399826981387786,-0.25850959257560324,-0.49011923849224853,-0.2916098371428181,-0.0508825268666053,0.6972200471249894,0.10793140345767373,-0.0168767096898852,-0.21170064921681858,-0.05088252686660543,-0.11573458555828886,0.25712234780003984,-0.04518210160589663,-0.22066804105330573,-0.1768688261045386,-0.2685451212606245,0.053819815034689265,0.07192650457422259,0.09478498907941041,-0.2699871161227909,0.05666600699259523,-0.27226654855375837,-0.483065074397608,0.04084927336012033,-0.37587051707611313,-0.3416727459587067,-0.5206582276633658,-0.3531907954433591,-0.24390634013303594,0.03445868679259753,-0.17277177792452503,-0.3132397912914788,-0.27835030187758014,-0.3332931290898546,0.1717296742936768,0.1359085780004848,0.2579690205311913,-0.1441010775442155,0.05206069264516596,-0.16951558978215722,0.02683897488254023,-0.03872214137136381,0.036390071125031204,-0.29877726457341736,0.03575008837454301,-0.32957944627304014
