,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.19245745170077178,0.6215698129237146,-0.056959284850007605,0.45544227162830125,0.007427100137251097,-0.8015330276216222,-0.005394954878223195,-0.15042891317283072,0.021237038372911573,-0.34377116972345745,0.04170592508568629,0.016370520134572568,0.0655030763620756,0.07591875486567666,0.038936778666593425,-0.045015300935150805,0.020496108694269516,-0.34793658556874907,-0.055349621623945876,-0.26547589451115455,0.0037280498070898327,-0.18978160139895411,0.00875722042859337,0.40296355942365814,-0.051539033108669315,0.29693395670105033,0.11245680235498681,0.32369341410997626,0.13429190790431567,0.5081293698320232,-0.00815617660615865,0.3174411488435733,0.11569862299979453,0.5646789870909034,0.09406082976627111,-0.4365195551226852,0.2600484857246324,-0.3061810808018898,-0.43252929653376276,-0.4759625204098382,-0.4365195551226851,0.5670625333337178,0.16471634110952046,0.5995315807910427,-0.5581929365715832,0.4195135687122622,-0.5670625333337164,0.47331897502840925,-0.060879605473875276,0.5110353833291511,0.4774127789393292,0.352640544035508,0.4733189750284054,0.4770182761165401,0.07069717086073252,0.5004405589462678,0.48531597075663996,0.35167139142345716,0.47701827611654085,-0.015106984424699942,-0.13010974836764444,-0.03385253191402935,-0.02146512368176672,0.018125132549547493,-0.015106984424699994,0.09580278983534325,-0.2942554309876204,0.026745835203871807,-0.17454239747432906,0.20790760533170696,-0.15468253337730392,-0.07277727858103628,-0.35037948251202966,-0.18614476825311121,-0.08684008275000087,0.05440503201809163,-0.05764956319373082,-0.15534613547633178,-0.1999317959783596,-0.2160895452343678,-0.14392511262167015,-0.09086382174108887,-0.12745788741545866,-0.07347342083127387,-0.28653083373697613,-0.18212323743942002,-0.17575896133177277,0.01602974084185779,-0.15480688853842337,0.16520886027726917,-0.31963530795042283,0.04931765216011575,-0.21749730851968602,0.2560721206244152,-0.19469196463109556,-0.060746527803707547,-0.3340661812685817,-0.18468587322857902,-0.20426837140585366,0.07306784720177517,-0.17202629837053657
acc_x_std,-0.19245745170077178,1.0,0.5355003808335876,0.8309531751325525,-0.8898240289287697,0.6837438458190973,0.21329822580267427,0.7929855319179134,0.7458776269174432,0.7293086674317709,-0.5270110102235436,0.6161141920938854,0.013428715819763608,0.6192088154671069,0.5039733493278996,0.5974487602104658,-0.600734132065161,0.5279419735277476,0.023317197331533365,0.4612247455423824,0.3486528038988348,0.33175137843029273,-0.33295473596400893,0.3116129089309332,0.16609126564632026,0.3670540829437416,0.3747990378980393,0.31060357383965553,-0.15796350219987407,0.29362807348428044,0.1520946533226936,0.5113747521312638,0.44986721801774027,0.43008716446586764,-0.34386437387200486,0.41672161131645846,-0.038416406668335186,0.3158141727503689,0.04386845829519469,-0.03639005876442361,-0.15864516892729996,-0.03841640666833562,-0.09361560905387918,0.36854725268001326,0.06462097716090663,0.09833711575838021,-0.1914725383739838,0.09361560905387742,-0.188652386694307,0.3840476997761026,-0.03544167496071451,-0.18509355650873155,-0.2604794744842295,-0.18865238669430576,-0.005880365216005367,0.3705263463009152,0.15204555027540445,0.007044007121898675,-0.10944089587816104,-0.005880365216006624,0.012601526260266947,0.42056570028299517,0.10210890604643565,0.03190410320714178,-0.0870118718508866,0.012601526260266846,0.01190933320720167,0.23213809538523072,0.10871838768509591,-0.0252975536371152,-0.054022854085430075,-0.053126415584635094,-0.15075355595642734,0.14584198103505064,-0.07662157693346196,0.18773090485560187,-0.2608521014109638,0.17812747520996625,-0.32385324948531363,0.033843606144043685,-0.23773967916993596,-0.2838236462134294,-0.35976342646600395,-0.2915138624506473,-0.4013256800766266,0.14967475164411867,-0.2277539417400681,-0.36113371963465385,-0.4979276631955151,-0.38964408054761673,0.2948648671013508,0.0294470416692077,0.39688738799039813,-0.1850906066805063,0.1985036872320615,-0.20070821875746783,-0.23945089703755207,0.04448428447426792,-0.18716810149699326,-0.24623289188138392,-0.26721355367638455,-0.2694360239457587
acc_x_max,0.6215698129237146,0.5355003808335876,1.0,0.5730983539796421,-0.1763485720643591,0.55212713532432,-0.4413580565186328,0.5492579871543,0.34624436588746266,0.5577911399818701,-0.66731647150344,0.5327561716809525,-0.10987550152932675,0.46190307541055886,0.32099449833405774,0.45856592443894695,-0.5420212132423976,0.43752851092862144,-0.22612067074042572,0.3476949482633455,0.104758538730334,0.32474074681953985,-0.4060249477808589,0.31181378997675757,0.42102326677771235,0.29764857616874857,0.5481250894608926,0.3548484410914021,0.10642689788399344,0.3528109868384688,0.5543571431396366,0.4360409997201128,0.6342522841585779,0.45360701861136415,0.1642534724984788,0.42337108938863666,-0.29232671799516635,0.47540404725475166,-0.12070556439803852,-0.287400828444544,-0.4254807870557737,-0.29232671799516696,0.32810321112564883,0.42889840884914854,0.4840939158946646,-0.31728615888541745,0.1353191711640322,-0.3281032111256491,0.1771479229849454,0.2813255985854401,0.3341850863517335,0.18300814870897403,0.030654874946517915,0.1771479229849449,0.287278238184236,0.3707714845187187,0.4343588179104898,0.30316453940469507,0.11194008072696182,0.28727823818423487,0.002098961827835016,0.24799713078298788,0.05817105256401204,0.012533582774600625,-0.05831046642600277,0.0020989618278349632,0.05852358255471075,-0.08596634921421296,0.06214806460687896,-0.18545672307540895,0.09631653915338653,-0.18883218697676285,-0.14837327286173196,-0.19759996562414295,-0.19405089542264778,0.016889550485081034,-0.10655678879189136,0.03495381599915689,-0.40902368441498266,-0.1505562734009904,-0.3882505283376727,-0.35522906861901576,-0.37833343837888883,-0.34975774340893667,-0.3670973078555161,-0.13351341464010089,-0.34107497766419237,-0.4274599018457488,-0.3536284647686036,-0.43150745336272234,0.35733252087985334,-0.2305882552030099,0.34232339225104136,-0.329392877262042,0.3550408225082931,-0.3250036837602945,-0.23494745901046477,-0.2450322889972116,-0.28715031680253433,-0.3780905571042073,-0.13164734770188347,-0.3706533277630431
acc_x_rms,-0.056959284850007605,0.8309531751325525,0.5730983539796421,1.0,-0.6178920163981522,0.9674649865237511,0.08851018106236574,0.6959379430308603,0.56735297690279,0.813756724889603,-0.4895088280295976,0.8008053434877439,-0.2123183436859704,0.5949805266815908,0.35986058096504203,0.6234164785833864,-0.766820189558386,0.6360923708327281,-0.024804406005676797,0.4892301209171606,0.33456036684784257,0.4393927772031143,-0.38219371286359977,0.42721410735866644,0.1986650252965094,0.554276572361566,0.5114755260506707,0.4778081613169099,-0.23211651013443185,0.4524384396688546,0.25901380594122814,0.7455538448779565,0.6400791923062877,0.6557905429694643,-0.4276944985711481,0.6231481572616279,-0.021468072269346074,0.5365329345384492,0.1467390819874696,-0.01704801804452267,-0.1855800932614513,-0.021468072269346723,-0.09744430583633243,0.5244693156776302,0.09448907489216452,0.10664665716740733,-0.2729992275131838,0.09744430583633044,-0.2746567868864725,0.5322780656801751,-0.09335806303880016,-0.2702435814029172,-0.39246216178748317,-0.27465678688647077,-0.02234730130531479,0.5524978584752637,0.17454006599555474,-0.005073466499015363,-0.2046403028887561,-0.022347301305315863,0.019408277631338813,0.6212165525077457,0.16149778103089205,0.050971433476425784,-0.11284805324982236,0.019408277631338997,-0.13725269574868704,0.13592082592446453,-0.07073011671330359,-0.1636360632503894,-0.1708999264422625,-0.1907993632862701,-0.04450387703681651,0.16772160458451224,0.026112741071005818,0.06596159105398025,-0.1352153029626325,0.05460325759640775,-0.48461190089505435,-0.0691307669145847,-0.4046813026056646,-0.40227435309140147,-0.48701590334668143,-0.4067170081349147,-0.467479780114674,0.10652262636401892,-0.3171601820084132,-0.43151386873883807,-0.5247614428524086,-0.4587174671553546,0.26750196990377184,0.03766360373348772,0.35308139298580427,-0.19763960367588848,0.16858802224620734,-0.2172676560514395,-0.24243018988656978,0.02437027830009239,-0.19713019602575793,-0.2861129778305475,-0.24805565606910912,-0.31378770072085466
acc_x_min,0.45544227162830125,-0.8898240289287697,-0.1763485720643591,-0.6178920163981522,1.0,-0.42431610480561766,-0.41318464224190316,-0.6543485646723799,-0.7456338250707394,-0.5335095511667655,0.32326957373033915,-0.3727388218786874,-0.15991669487060897,-0.5037738541213482,-0.5023949800826066,-0.45607753697721415,0.368727510264489,-0.34879058387971096,-0.12235732156920168,-0.2999580151637719,-0.30253384869954647,-0.15360934112573554,0.15696334594555356,-0.13634542395380422,-0.022743497072505177,-0.16266106973147076,-0.12404124656651876,-0.09993113340574364,0.15237410080928682,-0.09197748919855539,0.13331182545948822,-0.2701667761847257,-0.13843279187329516,-0.15082281313821533,0.401000416903423,-0.14793948075500946,-0.003536973683794725,-0.03200911990389624,0.008854140906220867,-0.002747615838995096,0.034613467220886186,-0.003536973683794641,0.1688848758755383,-0.11365482303696887,0.10124332284871441,-0.16760091119731704,0.16307486356827916,-0.16888487587553688,0.1785717188942725,-0.17159472430432135,0.11744226823453596,0.17807010772697368,0.17552238527067654,0.1785717188942708,0.044330636982086315,-0.12224825620625278,-0.024337772633639575,0.03967826298486948,0.05383494242223882,0.044330636982087855,0.003376447074628498,-0.2608082866054377,-0.05259223219926132,-0.00933194190478605,0.06355186332491988,0.0033764470746285584,-0.05288903774803339,-0.3070458039938895,-0.16479821942568174,-0.10495401304503191,0.04078067952865798,-0.07791688438070006,0.145688567164887,-0.22187190792025727,0.04746680189343651,-0.25779387960779065,0.29019636169172486,-0.24118773348038533,0.10919368877427725,-0.11287136212773166,0.03406248497140237,0.11076128947571125,0.16232049717983074,0.11876774444348684,0.25616224812408867,-0.21412152212028637,0.07078287748357966,0.1876606533615367,0.37550360253930176,0.21604847650480155,-0.1770885205795106,-0.10971453631560997,-0.2933482322293816,0.04875052543952076,-0.08022166668802945,0.06376153581032218,0.15544828167801703,-0.1490658223407373,0.07647182734079652,0.09064387514114514,0.23432105826638555,0.11584092600190933
acc_x_abs_sum,0.007427100137251097,0.6837438458190973,0.55212713532432,0.9674649865237511,-0.42431610480561766,1.0,0.0270354998461276,0.6014598633460589,0.43367698715386555,0.7770671223624278,-0.4414789616059323,0.8168729865490238,-0.29997943590999765,0.5466566192540206,0.2713096084735934,0.5971031679600413,-0.7828837859261898,0.646850818917172,-0.043534471863569096,0.4773916538700669,0.31077665329689164,0.4654396279016039,-0.38198729997457176,0.4565820030213175,0.19474623240417438,0.6103071468084635,0.5393092481314332,0.5247963671916711,-0.25790653229942606,0.4959378219186547,0.3038964253324277,0.78241658025924,0.6750778690225052,0.7125324390916239,-0.4179022746570765,0.6779118884155528,0.008710520273255922,0.6032350092866257,0.20088378255171233,0.013840869215432096,-0.17030979174875563,0.008710520273255069,-0.10015298224815522,0.5704847731229317,0.10225156793755243,0.11065206197121231,-0.2988671441138898,0.1001529822481538,-0.3033321428688734,0.575678517623843,-0.11264806495639597,-0.29863262469063273,-0.43267787791212914,-0.3033321428688715,-0.04739113392538288,0.6083955565867376,0.16211880799099385,-0.029325939195963834,-0.24997432993296761,-0.04739113392538362,0.028914649520404963,0.6498300750533753,0.17725327775424807,0.06187523131916044,-0.10830129637888461,0.028914649520405105,-0.1995440161099873,0.07802934280562354,-0.15428406545754342,-0.22521746646453325,-0.21449293495656238,-0.25063437566412644,0.013794851408334873,0.15173848089740197,0.07033714796233552,-0.014758245923052424,-0.05567937184420482,-0.024742532557926328,-0.5315587492318481,-0.11639219040206655,-0.46130223156378675,-0.43414346214243826,-0.5170533517529932,-0.4367036424229977,-0.4562220038369588,0.06971070598025117,-0.33165945679546904,-0.4289497832505266,-0.4871989344437383,-0.45306572301869374,0.2375883650733973,0.03053504724286175,0.3046221665138336,-0.19759498202922837,0.14863468580970712,-0.21730365129879606,-0.22441746095213883,0.0031032943982924597,-0.19059912666224715,-0.2882387674460622,-0.2168279000481482,-0.31484243838577575
acc_y_mean,-0.8015330276216222,0.21329822580267427,-0.4413580565186328,0.08851018106236574,-0.41318464224190316,0.0270354998461276,1.0,0.1315753779283147,0.33450141737693967,0.07278875561212088,0.3180492963532438,0.023486445951616183,-0.031056171777571213,0.08777225440930783,0.05055486088577204,0.09768252705358325,-0.08717907569303122,0.10162039649434876,0.4653476128038808,0.058943752647195265,0.36035310419283334,0.11476464589904446,0.2543032171674685,0.11863589361807142,-0.2011687725664602,-0.01750511644584894,-0.17940582259257917,-0.14683007638744178,-0.15526645851931237,-0.1614539004931558,-0.5471884883303083,0.0541787882838715,-0.28021843006084385,-0.16063852082476807,-0.5918186071007556,-0.1535488575345366,0.2562565966755281,-0.30392847495495967,0.13407916460794073,0.2528982750521058,0.3233636429244118,0.256256596675528,-0.4680894861358914,-0.2280722026576178,-0.5193666896028926,0.4563369742519245,-0.30364495123332524,0.4680894861358907,-0.3301163714765366,-0.023779284859358686,-0.380428204669991,-0.33383935115888586,-0.2131073218427802,-0.330116371476535,-0.3722296108743149,-0.14392455266240775,-0.4115410982610455,-0.37888093702979425,-0.2357444781692127,-0.3722296108743143,0.014789314165011742,0.0818459494567899,0.02042406326973237,0.01829187386596529,-0.010598345985922695,0.014789314165011743,-0.0748450943193268,0.21343910907079894,-0.02225848241293593,0.08971162184927908,-0.15854992557009384,0.07012489975977507,0.02228253705220377,0.17585506672878626,0.0929057285227114,0.059844957183305875,-0.040105577082938784,0.047589161941789485,0.021116279033648506,0.12109740673865683,0.08480263135838242,-0.00046719887319601636,-0.01600783651613213,-0.011333792151046738,-0.021042357042777227,0.1077431802242259,0.05249694476165443,0.02059244069532295,-0.0527780713721305,0.009028760469559631,-0.02779107307119534,0.160989463734885,0.03635014147038635,0.0656937011026147,-0.10274173608941943,0.050787379243622366,0.039602028811908815,0.1712697969091008,0.12155903952679363,0.08593606078886658,-0.030634303610841927,0.06421977246861436
acc_y_std,-0.005394954878223195,0.7929855319179134,0.5492579871543,0.6959379430308603,-0.6543485646723799,0.6014598633460589,0.1315753779283147,1.0,0.9121281494328068,0.8932998499376918,-0.812709444788815,0.7465703240988457,0.14976202512146133,0.8043547091925658,0.7207850695922496,0.7392201956054595,-0.6022952689755419,0.6102036360125236,0.017812978199648104,0.5523234651562424,0.40792231963057707,0.459935628684424,-0.39688468463032867,0.4396696318353587,0.2853563004509664,0.4078937778978409,0.4834846256357761,0.32610889172587765,-0.1443401588674701,0.3142282172015252,0.1468272343729983,0.4982092889416646,0.437880151581754,0.3985427166209401,-0.3339360665695531,0.37917677250008086,-0.023631202066788235,0.2262046883865301,0.03797596056078227,-0.02240636058096062,-0.10992095266645559,-0.023631202066788533,0.016655482867473235,0.3839932928887877,0.19056468516074904,-0.010111494761481219,-0.09302326658648377,-0.016655482867474983,-0.07078792594983904,0.3107883377710135,0.07514077591960683,-0.06727838331516069,-0.1428493311707083,-0.07078792594983746,-0.04133275662954328,0.37125583697409,0.11240301846161442,-0.02489095162929538,-0.14267133386790695,-0.041332756629544956,0.02727463296360975,0.35590954843364225,0.10052718645263821,0.042289497279941704,-0.06018390176254166,0.027274632963609796,-0.0514731108794958,0.18284267260161158,0.03385522168174418,-0.1434058592232911,-0.09456259298098565,-0.1744468780015312,-0.06592873210100299,0.10920423783948813,-0.022069724497099992,0.030533446754955233,-0.17213229566652702,0.02690265683375692,-0.4011674108580855,0.058160339942107904,-0.2834159417211589,-0.3661538987925957,-0.4497432104202703,-0.3772355863362225,-0.3502271950660071,0.16294214890658337,-0.14169913104461804,-0.33736158128813737,-0.5125255621876856,-0.3718755895287118,0.27909298600364135,-0.006996521923346396,0.34961139964192395,-0.21207261967260138,0.19613251919662544,-0.2271607712976121,-0.2012357632342107,0.018899180245814978,-0.15338921787606513,-0.2874348108422629,-0.2362343170341948,-0.3109288414656474
acc_y_max,-0.15042891317283072,0.7458776269174432,0.34624436588746266,0.56735297690279,-0.7456338250707394,0.43367698715386555,0.33450141737693967,0.9121281494328068,1.0,0.7441728144829682,-0.643004513705702,0.5383479586853152,0.2686853837796156,0.7653042716773887,0.7829350317797108,0.666172755681889,-0.4487638244256302,0.48716477428617855,0.07402700008856211,0.43233222741847255,0.366402849831011,0.34200217286320583,-0.28385614528505243,0.32512190901605803,0.24962663846388353,0.23128772064774547,0.33958827440394557,0.17886563278594292,-0.08616860260364338,0.17430190145348948,-0.10161717859714595,0.28252425914006224,0.18137124675657526,0.1412127795756801,-0.3562103227138532,0.12904918360523707,-0.09247996055442678,0.008987738382857522,-0.09482978217325534,-0.0930330869390482,-0.1102967824932042,-0.09247996055442664,0.013686725981642766,0.13536962370312822,0.09709108490823277,-0.013527064722581065,-0.003257832965977117,-0.013686725981643885,-0.006122405750832565,0.10405672955458871,0.059570125763500244,-0.004833937051837567,-0.020598338710615685,-0.006122405750831411,0.023586507633759586,0.12389215036461557,0.09223025452927683,0.03198656368532507,-0.001723227706890988,0.02358650763375805,-0.010975408757018103,0.19534365622295236,0.02959305968878126,-0.002199972246409545,-0.059553257132781735,-0.010975408757018015,0.013317097755178885,0.230098583850498,0.1126462168951763,-0.045286892365690404,-0.044264792353671346,-0.07628536222092301,-0.1077648808337794,0.13409660203065835,-0.051636274319311205,0.11915523473979457,-0.24066523235374757,0.11321894684167091,-0.2672601521060213,0.1094674303838192,-0.1517872834199195,-0.26895481047891945,-0.32461354603548853,-0.2792186075100409,-0.28142662842349303,0.18060717992672448,-0.06827564719894984,-0.25347688387340495,-0.464862463808023,-0.2862524133656872,0.24433475514335914,-0.0050874913151105206,0.3116771414622092,-0.16632435620255973,0.16949804042962055,-0.17740370575888634,-0.15290506789210623,0.06646153280336967,-0.09419324652417382,-0.19503014063889812,-0.21629361787081475,-0.21755301260926782
acc_y_rms,0.021237038372911573,0.7293086674317709,0.5577911399818701,0.813756724889603,-0.5335095511667655,0.7770671223624278,0.07278875561212088,0.8932998499376918,0.7441728144829682,1.0,-0.7304052720387552,0.9537959070359315,-0.06958291153702419,0.7433334319085447,0.5560601427829359,0.7360931916737034,-0.7296632372264223,0.6890877438576247,0.034931111324005934,0.5217531350697423,0.4043348033326871,0.5200287353882932,-0.3619658116405882,0.5083570522269952,0.27096802057740543,0.4943060519022016,0.5267309213589129,0.390650010007185,-0.17971897985029758,0.3787057305645032,0.26192060970102654,0.6746890292539657,0.6034044263862289,0.596683762186865,-0.36971301332550943,0.5730854955532759,0.06464872894557422,0.4020810335601769,0.17964729638323093,0.06738962371276566,-0.0669513752882737,0.06464872894557377,-0.009999689464958644,0.5400691238090509,0.2053107866682837,0.021759349655787224,-0.1866414351887859,0.009999689464956534,-0.137165583546352,0.44236230457467757,0.04254424976887811,-0.1330272370222836,-0.24667177958766218,-0.1371655835463494,-0.13809533078943703,0.5568451173942717,0.06139638362605102,-0.11652542643586156,-0.2987829584011478,-0.13809533078943895,0.04395816605284485,0.5520947635812113,0.16104990817450254,0.06936844506288169,-0.08163542627114713,0.04395816605284501,-0.13898570185208411,0.10659368853581108,-0.08270515552466964,-0.2331398800550328,-0.1616999352417648,-0.26213343233569086,0.004211928822635925,0.07144163517309493,0.033292236658083924,-0.06471191106447578,-0.05417331813352636,-0.06566788867670595,-0.5108987846547612,-0.03460855260391954,-0.40983481746648565,-0.44254821806306777,-0.5309932543670933,-0.4499349538401089,-0.40353309789391517,0.06753990216936644,-0.24647088573382078,-0.4190637892884619,-0.4892589827990011,-0.44562852235780065,0.28224932609476355,-0.016717082856324103,0.34209470964857197,-0.23759825127781664,0.19957616550335405,-0.2539758492704361,-0.20389590034905072,-0.045648609144673565,-0.18051509191587065,-0.33809550217774725,-0.19934670545704047,-0.359556116541836
