,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.01719505881961676,0.2397655085264431,-0.043559679323441104,0.5230146329935056,-0.07013767689214546,0.9515061638519546,0.12764756246753112,0.3157563275361304,-0.021432370619103844,0.5214253946353645,-0.055038904174953794,0.6542308195540347,-0.22352232862808538,-0.10330130945250697,-0.3349373542811484,0.4079225762283112,-0.37520930554772775,-0.18727303324307848,0.4117475849996316,0.30390445048468223,0.4133141881614778,-0.32590699530949446,0.40665882434939116,0.11032189460036235,0.36206166121395256,0.20627897300390033,0.4276771423686739,-0.22135670566182267,0.43948653945890553,-0.45598184933241925,-0.054583570489913094,-0.2974887216159573,-0.17555684049046316,-0.48751233498572105,-0.1538374914565751,-0.6154268605368458,-0.146766758531775,-0.6359728629070537,-0.6188673098614668,-0.4592015584169745,-0.6154268605368453,-0.662112578585983,0.13771558306157922,-0.6360924496349462,-0.6658606056302173,-0.5163556612762975,-0.662112578585983,0.4792776063594445,-0.0008595969779399765,0.3700678455477744,0.4772614254587711,0.4315807779172422,0.47927760635944516,-0.6702534007870963,-0.23724142909180868,-0.6836408380956704,0.6618442670075753,-0.5134756212642119,0.6702534007870965,0.0725882101568121,0.058984620586494785,0.05718115356525214,0.07322218972063242,0.024578205766124038,0.07258821015681198,-0.04558630068320824,-0.013359702666225305,-0.09509465986574665,-0.046767585416125114,-0.07835745463941768,-0.04483448257640154,0.08978668933468473,0.23456523626854311,0.16938677986481218,0.0826477813382724,0.024921977524761666,0.06398156194523348,0.058248549996291483,0.1776910680079142,0.13671746629579234,0.07717800885850597,0.00786905641254801,0.05921549017936927,0.08191473741367114,0.27073718774831346,0.18917997987198676,0.12035098230614436,0.014065630792374353,0.09479410650677288,-0.09534450371824577,0.29653320450297527,-0.0064056474302146655,0.14580207673652437,-0.2033800018595563,0.11921358741291332,0.03093280820810598,0.21840827700057186,0.10824851435348248,0.07227942373844302,-0.04406505427568803,0.054768371063517604
acc_x_std,-0.01719505881961676,1.0,0.9134476622023466,0.8795457147589284,-0.8161231226259339,0.7978372746509591,-0.06200473448288088,0.9415029877807269,0.8571292076790804,0.8174081721923244,-0.757716117336585,0.7430770480398888,0.17160362144828314,0.9256032499853879,0.8740721156895291,0.8766745251464363,-0.8430314530440367,0.8167704920954056,-0.350762201534467,0.38963243629092514,0.20883824727096723,0.3178928806934183,-0.4047030770555654,0.29748325058065395,0.34385399400795125,0.39827144494594774,0.4717579612685369,0.34027804718553045,0.047151495193311306,0.3217071025981672,0.20026783267643564,0.5048229714886123,0.4374059521959899,0.46326970934384565,-0.3817390782364935,0.4410760035232628,0.1305836352951132,0.33501411254800495,0.2792787318650966,0.13349822060351732,0.013267648061304562,0.13058363529511421,0.01887422815499169,0.43888951346841876,0.2577152119327812,0.0272082145385803,-0.14004457856983035,0.018874228154991735,-0.13657584956343555,0.4434545151217561,0.05459198907466234,-0.1323878637152124,-0.36053434837712417,-0.1365758495634354,0.1538034471853793,0.37238275758474004,0.29998333450602516,-0.14734751827533724,0.05578754964353892,-0.15380344718537942,0.3032266766292579,0.27750827960330093,0.332468762359125,0.3155872243451183,0.25442181321109175,0.30322667662925834,-0.029692244840570658,0.41086247415814053,0.20021550863415596,-0.0922821868329357,-0.12479994695323927,-0.13511460942166895,-0.410002881479768,-0.10043320090418192,-0.3485586283741852,-0.2630864453073621,-0.4041420063015642,-0.2614717297013541,-0.5735881674416653,0.09887334325976299,-0.48774322452805646,-0.5382510195221404,-0.6001659415345663,-0.54590403640604,-0.486752082096469,-0.113521034168005,-0.4175677991024809,-0.4638137626175798,-0.4735383543487999,-0.47494622444579637,0.45191198462002324,-0.01878714606834128,0.4686866346783175,-0.4149685692513261,0.3341128001790898,-0.43862968426458265,-0.46332158257499434,-0.2273222682647182,-0.4771725049037361,-0.44264089589404126,-0.42828482345763486,-0.4406972790518216
acc_x_max,0.2397655085264431,0.9134476622023466,1.0,0.736638613302853,-0.6181462397703469,0.6298866201432197,0.2313125165222874,0.9006944814885826,0.978402399191138,0.683714576741491,-0.505212959943731,0.5842787837634215,0.40457211579450486,0.838144942291988,0.9014245252370113,0.7351920697839273,-0.673879506115746,0.6385746075008379,-0.24186535292914424,0.3796257452336315,0.3475152163197258,0.30009654581755446,-0.3423781606030985,0.28407480435709115,0.1820684686411693,0.3362425241071173,0.3172767523437287,0.27295275016983284,-0.08449125996877686,0.2637924384774978,-0.1110717754330968,0.31098444324356395,0.1464914726940295,0.19635296906885027,-0.5210267986418088,0.18265308054962556,0.019283674395406014,0.0932792798816827,0.07961749946413396,0.019601907509838316,0.003251444396076413,0.019283674395406847,-0.07804333125031097,0.2643818554162113,0.06971436145621734,-0.0745126543472415,-0.1402715050995089,-0.07804333125031127,-0.06467378167609125,0.2500013441000175,0.028433637206563694,-0.06309625504406471,-0.20065732439238373,-0.06467378167609104,0.02307216989771494,0.102392989757684,0.09286577747094923,-0.023146448395565802,0.023741595371568006,-0.023072169897715007,0.13964906147737938,0.14984696649212062,0.16919821738618468,0.15124525537984887,0.09937470161071894,0.13964906147737943,0.04160321952936074,0.49108554711814195,0.28835295956169843,0.024973663013572935,-0.08667298312108597,-0.022887868845832018,-0.2934724955045545,0.02083291133056579,-0.20631247671829384,-0.1772913097459254,-0.3202145751881994,-0.1848768080705288,-0.39749194164754686,0.20994369129580515,-0.27773676042897855,-0.37630548584574014,-0.45805251694406485,-0.3913912848148767,-0.35458386565782685,0.016412670349756707,-0.255271920714807,-0.3213769736302689,-0.3730386477789816,-0.34010929201142204,0.3127773431699875,0.11296298781311875,0.3656503255445989,-0.2690077006195494,0.16607167112054744,-0.3006870817294472,-0.3558037212068783,-0.09325626239940002,-0.3366449650708934,-0.32228817729091996,-0.3649345301231688,-0.3274346641944732
acc_x_rms,-0.043559679323441104,0.8795457147589284,0.736638613302853,1.0,-0.7253804937951783,0.9826498965889517,-0.11850625949382446,0.8905875576387244,0.6932773426660286,0.9742480628769615,-0.780792251436749,0.9519698675827577,-0.12487771403059787,0.8342624480201749,0.6837136030510887,0.8835996066266742,-0.8252593222411919,0.8919479781931838,-0.6401653674465649,0.598603803383853,0.10914105865073319,0.5807961859790948,-0.6539597258252617,0.560900465593249,0.41366051312748275,0.665881554603179,0.6574098643053412,0.5008951242297722,-0.08677030216398429,0.4677866613297409,0.31296087404133305,0.7722023958987762,0.6540472415107683,0.6695737653872946,-0.49574278554893175,0.6346512787880624,0.05657040419315079,0.477105828812127,0.23730533027455988,0.06019919043639778,-0.12222896333934928,0.05657040419315215,-0.07441482692899042,0.5701597910391754,0.20485399214708858,-0.06537563811407172,-0.273646629469858,-0.0744148269289903,-0.11926931812079189,0.6701229695442432,0.185829682047924,-0.11249142779438202,-0.4229157431729898,-0.11926931812079185,0.08171604463827917,0.5058516189376939,0.254190169342229,-0.07208369619780622,-0.06967628013553931,-0.08171604463827928,0.43215521067502144,0.5395060606586755,0.5493939557353826,0.4724176652838869,0.23206927305278113,0.43215521067502105,-0.16141180349279724,0.18438242616568606,0.00019370196549937536,-0.2891717799569224,-0.18180668149102172,-0.3148356840538816,-0.47123431166368573,-0.12035074869806096,-0.4035635862017279,-0.31106894659584094,-0.4604559091303211,-0.30815857281398906,-0.7505796479306586,0.005991283852577078,-0.6738380165363391,-0.6844279899784275,-0.73826685964684,-0.690090388021769,-0.5761557592368939,-0.12794438360479896,-0.4944507652131194,-0.5477030224916564,-0.5564380140415693,-0.5624222137733328,0.5364636565188896,-0.03273139480602169,0.5486622299573726,-0.49208733421092815,0.4075826030770427,-0.517832861808716,-0.5471380676584652,-0.2682338518081409,-0.560994630941239,-0.5227675875537726,-0.49316929549020977,-0.5215182029132657
acc_x_min,0.5230146329935056,-0.8161231226259339,-0.6181462397703469,-0.7253804937951783,1.0,-0.6521275758351713,0.5117684425030675,-0.6942069140832597,-0.548036847735253,-0.653383125088959,0.8961956836461423,-0.5954899834706364,0.16376408144607366,-0.879128489849209,-0.7985321823859285,-0.8838062337375993,0.9473681247512241,-0.8292136400306861,0.1373854065594299,-0.049047104943033625,-0.013741644503973744,0.004140793782461268,0.0919291697222993,0.017405373237662416,-0.1940100356065213,-0.06671130395865416,-0.20593754132217015,0.01964047918582468,-0.16431599996277352,0.03913302572366587,-0.3586401614926396,-0.43797719367055465,-0.483942187041715,-0.42003858041115555,0.08312666605760753,-0.3829353840540105,-0.44348102943590273,-0.2942450121047701,-0.5529756409594997,-0.4471745957006971,-0.279781932536715,-0.4434810294359022,-0.3786969954982602,-0.21173531321035163,-0.5328847329685031,-0.38602221166339634,-0.1995216691124866,-0.37869699549825997,0.3556374583627011,-0.30669916821491994,0.16696325100338172,0.35167074162771444,0.4856033033016235,0.3556374583627014,-0.4892983237469088,-0.37113240000448855,-0.5938411564786502,0.4808831414136432,-0.3421663130618728,0.4892983237469087,-0.15942959019769765,-0.17733034926483565,-0.20431844275163916,-0.17321142822958344,-0.13768516989690555,-0.15942959019769765,-0.04828219208177434,-0.35955909567806354,-0.2596328132535574,-0.012613314329769636,0.0309494350971153,0.022561039783735408,0.3642686249228562,0.21462915803727092,0.36612580265608485,0.2523959583301744,0.32433543393246256,0.24084416161719385,0.44432824999156945,0.01926817097450592,0.4279488535347282,0.43471324949949086,0.4449692220841064,0.4298507543334947,0.41967518862016195,0.2526381894656187,0.43323244146720613,0.4242518112651665,0.36794335319326255,0.4161736022309054,-0.39772569926597673,0.19451216368329838,-0.36002370761811736,0.40007681440015813,-0.37332310664546997,0.40124456434269845,0.3672893754336424,0.2974081922326356,0.42455377117387316,0.37788055661474335,0.29944168827384493,0.3656254815710799
acc_x_abs_sum,-0.07013767689214546,0.7978372746509591,0.6298866201432197,0.9826498965889517,-0.6521275758351713,1.0,-0.15828820462746201,0.8222614826935597,0.5871293021706608,0.964995010397304,-0.7507659246731756,0.9695858262338954,-0.23020391882472735,0.7649385514809092,0.5774158470035695,0.8384486914377612,-0.7670945802424607,0.8759688942700625,-0.7059066838623688,0.6234435062388135,0.042298578296411794,0.6233703717146517,-0.7009745805649207,0.602811593759004,0.43962079748682725,0.7101885227864085,0.6959017131657665,0.5418891332587549,-0.09554191477173533,0.5063949005787683,0.3674330062975711,0.8253555710088639,0.7145101164538953,0.7201162727725061,-0.47776430818376703,0.6842420104297093,0.03502785644200359,0.5147267187174623,0.2255959380767254,0.03892782568770353,-0.15739384778387808,0.035027856442005026,-0.09596806678872287,0.6070198481826975,0.19545557812877482,-0.08648298937936176,-0.30640866483074664,-0.09596806678872269,-0.1060592910181811,0.7161094664771386,0.21905537579467635,-0.09872449811347464,-0.4286027199021736,-0.10605929101818104,0.06301666519704915,0.5485831567489593,0.24521278514742947,-0.05230511985937648,-0.10487853878802991,-0.06301666519704925,0.47430586864357643,0.5942692217511671,0.602506323563107,0.5181903763362369,0.2507530940177258,0.4743058686435768,-0.21796501310125277,0.09914969124741772,-0.08143854288787404,-0.3645186135456928,-0.20177603772706668,-0.38477943532768333,-0.4722859283864167,-0.14196125145898325,-0.41385895563155595,-0.3131232029405861,-0.4537296890136241,-0.3078110464545693,-0.782736600301103,-0.04051803983485028,-0.7177958154632375,-0.7081454284365725,-0.7500885271241954,-0.711365488415956,-0.5794979184042354,-0.14764623307803082,-0.5061929915045221,-0.5536461054434212,-0.5528618609895188,-0.5668102760331768,0.5435868618461375,-0.05807318223506359,0.5460435949539029,-0.5002039476278196,0.4266047686059118,-0.52321565341725,-0.5464394059939558,-0.2841397257086461,-0.5659081669513258,-0.5244926628062562,-0.48332938981638035,-0.5224287397340813
acc_y_mean,0.9515061638519546,-0.06200473448288088,0.2313125165222874,-0.11850625949382446,0.5117684425030675,-0.15828820462746201,1.0,0.07204456856123004,0.33006663464436165,-0.09564192840515008,0.5848514036634143,-0.14197992038529,0.722801487729362,-0.21874009153506213,-0.05691431741218304,-0.35233908909342704,0.41396838989262336,-0.41243259585784736,-0.018728255531862432,0.2984668182404238,0.38270182468869596,0.29030138546931505,-0.17212753241954343,0.2905607279814531,-0.09428105189305286,0.25932360179607666,0.019059268514336487,0.27976901129702775,-0.3456144994515248,0.2939059943303937,-0.6147044219258495,-0.17311020141853758,-0.4548864315793028,-0.3395698911255075,-0.5216361121047421,-0.3242642969056084,-0.5228213059602957,-0.3192437241341836,-0.6247739467371496,-0.5277196983828935,-0.33416963944160577,-0.5228213059602952,-0.572352225762314,-0.04522144585953617,-0.6307377590083085,-0.5795969576599616,-0.3822063833496814,-0.5723522257623136,0.38447718220961175,-0.14515171679688949,0.23564713984449417,0.3811218446740699,0.421063257097767,0.3844771822096124,-0.6099459262641934,-0.39498444427396195,-0.6868833559386301,0.5982494988814778,-0.41755570834932,0.6099459262641939,-0.14948858501909634,-0.06469293880552576,-0.12184232074977605,-0.13852131830976214,-0.18822016740159145,-0.14948858501909604,-0.017709637254555016,0.10693223751413419,-0.021988904416595723,0.04863128796218846,-0.08481913994414793,0.04158020054927706,0.20008842093868417,0.297324068399936,0.282796201378558,0.1917759962275186,0.11433615352544173,0.1710627404859888,0.20011178716958222,0.27370784863267444,0.30036077786230586,0.20976260869078583,0.1161321368864554,0.18780245213988622,0.20259990517580137,0.3399737007766869,0.31609012500323824,0.24425834301269,0.11114255608648485,0.21650366268383212,-0.21493123858942045,0.36281549106528543,-0.10645891043463131,0.2629163395786376,-0.3278208903602799,0.23410218603977856,0.13393551290061906,0.31028277280748756,0.2224292053418791,0.18077819784391738,0.01795572646287241,0.1597221866613368
acc_y_std,0.12764756246753112,0.9415029877807269,0.9006944814885826,0.8905875576387244,-0.6942069140832597,0.8222614826935597,0.07204456856123004,1.0,0.8949914647592191,0.8779223360485036,-0.7033573135216252,0.8085072887307795,0.19638621354627292,0.8690461733413268,0.8208966255195047,0.8357959087685197,-0.7813080748768009,0.7883339996022711,-0.4625370943343717,0.5877397234683333,0.3383987165959176,0.5186058123142201,-0.5741830317622504,0.501045273007993,0.2919208516797855,0.5135298614934398,0.494636093909074,0.4475337472121622,-0.1029210841973716,0.4320291497275,0.08392743386888266,0.5434501696691494,0.3947390526028173,0.45164583285495424,-0.5441315807368557,0.4273846729992925,0.016898228545050003,0.27853146756064406,0.14017435063607198,0.01853559424538578,-0.07367481485458316,0.016898228545051252,-0.09698398054923443,0.4776090508965108,0.13910582609446603,-0.08973000990493661,-0.24575209930247677,-0.09698398054923438,-0.09482775208029783,0.482393825050266,0.11409157617623479,-0.09064562216328467,-0.32339326126192797,-0.09482775208029774,0.017072081624531804,0.31753227915935756,0.1473511680728541,-0.01232567915103003,-0.05696710120930564,-0.01707208162453182,0.2900917443925616,0.3172006142438805,0.35052332091629645,0.3115982091636322,0.206518124260591,0.2900917443925619,-0.06355794906789591,0.36129073948637525,0.14028118324415667,-0.13736590701863652,-0.15084755247060447,-0.1757846688013873,-0.3824912469116488,-0.008728611334123332,-0.28665419319231167,-0.23568595085993488,-0.4062151224033262,-0.24201090663644537,-0.6053001375541704,0.14715238817233356,-0.4908915570088894,-0.5583256367225607,-0.6421505511979165,-0.5723685980132515,-0.4703453524703627,-0.008605603756875923,-0.3581019295974852,-0.4336514402203724,-0.4875814120114915,-0.4551351966768907,0.4247801989123019,0.09335325861178541,0.4772931451544299,-0.3733961568122508,0.2673477785888159,-0.4072874058684371,-0.4733535533891559,-0.1576372371336284,-0.45526026787234636,-0.4336300017193031,-0.4565303578604396,-0.43726438142486873
acc_y_max,0.3157563275361304,0.8571292076790804,0.978402399191138,0.6932773426660286,-0.548036847735253,0.5871293021706608,0.33006663464436165,0.8949914647592191,1.0,0.6629284479178961,-0.42691690096684637,0.5612727126134311,0.458533453879405,0.7888581732315182,0.879577829184206,0.6847887022756609,-0.6215395845635967,0.5823054157028119,-0.22058179885899745,0.4269567585018649,0.43285233441837717,0.3431081934148351,-0.35959242868776375,0.32939180924279293,0.0951695237284075,0.3373647823650368,0.2558817527696057,0.28060449727078723,-0.1772267203778429,0.2763353365860792,-0.21989917016262753,0.27999217823584577,0.06477583335639923,0.12924313574899982,-0.6050212115386668,0.11333928728380044,-0.03089784801258536,0.008750188083649413,-0.007475599382361573,-0.03170648692627235,-0.01772279145114214,-0.030897848012584474,-0.12514615786307165,0.22233743169324874,-0.006906729530214952,-0.12338356502564221,-0.16196018182077598,-0.1251461578630717,-0.04609199354958385,0.2038333182522727,0.030481780503750798,-0.04521144693433971,-0.15290031316959773,-0.04609199354958353,-0.04662544591352519,0.024494033479378074,-0.003223299855337166,0.04451876747888133,-0.020067165705622846,0.04662544591352496,0.0684751384014119,0.11719747288647905,0.11590615056853863,0.08470595999338672,0.027060007070265835,0.06847513840141187,0.03475988121638087,0.5108326032522207,0.2806581516309062,0.04269959397446804,-0.10595832128661535,-0.005991655637254544,-0.22350871701446318,0.09284330426711865,-0.12029205544290751,-0.11438863682488719,-0.27089048317912345,-0.12658389764639444,-0.3417123388000884,0.267609889872262,-0.20417384208239542,-0.31758326527397607,-0.4206723185871325,-0.3374226069096196,-0.28629289897862936,0.09557431043052991,-0.16592282229386046,-0.24599082285537235,-0.3260951418746057,-0.27027299852981335,0.2409223864181359,0.1930055354731674,0.317644497440442,-0.19130702376501452,0.07709315709505957,-0.22830044396126953,-0.3073651377785486,-0.020912228272769423,-0.26848398757451514,-0.2642646462035523,-0.3403730500828926,-0.2730559776153474
acc_y_rms,-0.021432370619103844,0.8174081721923244,0.683714576741491,0.9742480628769615,-0.653383125088959,0.964995010397304,-0.09564192840515008,0.8779223360485036,0.6629284479178961,1.0,-0.7455727735631263,0.9872754431258374,-0.15017275544072922,0.7794457524995386,0.6240387063440183,0.8529583155293302,-0.7801580634545509,0.8750988647116456,-0.6682474402976599,0.6842749687767318,0.1897660509515864,0.674106337222937,-0.7183744264153461,0.658380285504689,0.35775373296090274,0.7409222536287742,0.6660894999695305,0.5688314739018601,-0.19394361072350066,0.5347462077757897,0.30619237830736423,0.7597194297434676,0.6377469591077665,0.6941393919647155,-0.5043327919578237,0.6654905562368942,-0.00631028402876095,0.4980967175210682,0.17437627414513537,-0.002689307950839835,-0.19170092272886946,-0.006310284028759496,-0.1304702233431902,0.616954079678554,0.1542728192449644,-0.12120658919314081,-0.3416724825236254,-0.13047022334319008,-0.09288490119532433,0.7138083211702353,0.23328480753686695,-0.08572966372190735,-0.40941191235532787,-0.09288490119532411,0.0034035809102096835,0.5347633994330586,0.18239840202554752,0.006841942004319071,-0.1560759656486165,-0.003403580910209848,0.4334493996839856,0.5486940652035666,0.5551894607910141,0.4748111085474421,0.2238338677580714,0.4334493996839856,-0.19791060095441132,0.1417359294809536,-0.06048838663666367,-0.31558875257011726,-0.21286082354332508,-0.336890973218908,-0.41311635887649845,-0.047103112073306926,-0.32845801341571706,-0.2506944861492153,-0.42558698299215464,-0.2526805368581304,-0.7459108758513964,0.04039152332685989,-0.656737497422174,-0.6686975817362921,-0.7468670242604902,-0.6789380285796767,-0.5280389442869777,-0.04641260297220954,-0.4241119586815939,-0.4919943956167578,-0.5349780415243762,-0.5132504279169399,0.4818430956100285,0.050666797425098,0.5225672694373343,-0.43047087219950253,0.3354566915559987,-0.462329617155912,-0.5226893888760383,-0.19664137025963996,-0.5147050860971926,-0.48663695329393397,-0.49319515312495565,-0.4899115247443043
