,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,0.371711048943852,0.6847247593470586,-0.006166239190612835,0.40908742391002945,-0.22448880418809394,0.886035640423221,0.3914681925439616,0.5947632299071948,0.17128057517562703,0.3198757670211892,-0.029838686930584783,0.7018629068338935,0.2092224784801059,0.534430212752008,-0.07986309676566905,0.4288079537072233,-0.2734186667308888,-0.525518167463742,-0.24990514286737434,-0.5480151408630235,-0.1597709277663926,-0.22706781683583233,-0.1858464197637321,0.09961588324551178,-0.07369680620087286,-0.004540239034619174,-0.005590010706137386,-0.015133273678741172,0.01031052190893324,0.4218621489447489,0.1163892976663827,0.2890513769261565,-0.0070574625735530475,0.2678383131316763,-0.06388007107166774,0.5995725642973008,0.020794388675538737,0.6834794597413049,-0.5944976901804817,0.4309696946644868,-0.5995725642973004,-0.43817784718201147,-0.14195088633242767,-0.44538118462261,-0.4385001888986512,-0.3390593985207104,-0.4381778471820134,-0.5850705588253865,-0.12328593059748388,-0.4654956167206961,0.5916031499457051,-0.6093378646543697,0.5850705588253875,-0.6268180203280699,-0.12232659696898378,-0.4852029878398761,0.6283885447354836,-0.650673452136818,0.6268180203280681,-0.3788847520694798,-0.29265264401973334,-0.3642009176024364,-0.374277412170595,-0.30343700246426475,-0.3788847520694801,-0.09592846482599934,0.3729296623238502,0.11580112154498892,0.09678833625766275,-0.2353218577630894,0.06634765142072269,0.11202794229249938,0.3233468748429934,0.22585697739761418,0.12016067591279914,-0.05228092444326695,0.08493454779608628,0.14270592248312278,0.40960322339297817,0.28236194103147805,0.1249315521502487,0.018750886554944744,0.09481983051201572,0.1650970556081464,0.4107419345897237,0.30804399168532004,0.21529368280786473,-0.05571518893828154,0.16873022763358964,-0.15560342083291798,0.3756486719680357,-0.009188874065307604,0.17416502455664273,-0.27928319832294984,0.1373088613332093,0.09379422038973832,0.3767378222426678,0.24040242962846853,0.17460629435644143,-0.11839133452370258,0.13154102028518647
acc_x_std,0.371711048943852,1.0,0.8773026108695148,0.8388616515493288,-0.49440152953997,0.6980148510211347,0.40880283784170474,0.813342627922553,0.7548579999690778,0.7256728317306074,-0.5144037658092921,0.6340112578683736,0.4048419451053641,0.8179232162093609,0.8147128271922551,0.7217070638225368,-0.3203857401724479,0.5966605953666697,-0.18751745999046712,0.5271021549261221,0.2478289541866531,0.49479723041635176,-0.5464828166768272,0.45090776159609036,0.09752746602685533,0.45148759397195615,0.34789580424021027,0.3727783405688125,-0.4048944665538806,0.3719928050610147,0.04917048284150955,0.588853164085634,0.3617600383788952,0.50055065822349,-0.4732760608844641,0.44456812582851973,-0.15940631770302624,0.4117478941531933,-0.06194741804117867,0.16340231612255685,-0.29146043220031886,0.15940631770302602,-0.0243180567118063,0.32069703796118554,0.1274933126060395,-0.02356265739502226,-0.12301367560119277,-0.024318056711808395,0.1304566883088846,0.3378754112707359,0.24627180806063162,-0.1283640817056645,0.0383392089835493,-0.1304566883088845,0.068026764073759,0.38159286020655897,0.21211936812081625,-0.06640234835260712,-0.05042733749157849,-0.06802676407376125,0.06719023877252084,0.22687987784563535,0.1897171862614012,0.10593237833428712,-0.00533102192171137,0.06719023877252092,0.23372409449681447,0.1241016228939616,0.34549407480584754,-0.10955507387936726,0.10697928487549681,-0.11941024412418162,-0.4295403084950891,-0.022509925450797025,-0.30166503377570475,-0.1663585852820361,-0.5079952436487667,-0.16834136397546634,-0.5400006124017203,0.0647779282650543,-0.39634810927945313,-0.5459142880432447,-0.5804415833579966,-0.5662592223176084,-0.47305719673592317,0.10224203052076104,-0.2858990705777141,-0.4124323692055626,-0.6193879938532821,-0.4648499292577996,0.40515903780780976,0.1063754006598207,0.4898715942635446,-0.365384614173759,0.24297689624505833,-0.40632894464557373,-0.4859409323678913,-0.0005436676427645453,-0.33744259583064673,-0.406031927186227,-0.5735642377436219,-0.446411917814319
acc_x_max,0.6847247593470586,0.8773026108695148,1.0,0.6459349856299953,-0.09934002368899586,0.4312425684599837,0.6655292029092267,0.8273756328815832,0.8932695874458331,0.677488566180098,-0.2636985168323473,0.49368729162136815,0.5982517883969712,0.721549173344067,0.8739073108636208,0.5228851739578289,-0.06712346687755595,0.3341267594745258,-0.3623419306371775,0.30364548367679534,-0.03956119325766286,0.306080374995061,-0.5162953773074763,0.25875015867044115,0.08330657601839142,0.28470704256463336,0.22408254480510703,0.2563917156912532,-0.33065586333067254,0.26072136461924,0.2110416780743595,0.4800893086149496,0.37983413889239825,0.36734506309550513,-0.25718853192573815,0.30215878094533294,0.14323875944358974,0.31265588008393885,0.2518867148484202,-0.13797493578425393,-0.029511665837675668,-0.14323875944358977,-0.17214414146895715,0.1609639932158022,-0.07154487358336031,-0.17171214402799298,-0.19649178293854738,-0.17214414146895948,-0.15502532442356082,0.18082845980851148,-0.021149468536483657,0.15900549751755574,-0.2212484709048108,0.1550253244235607,-0.2100739689031501,0.221112697173979,-0.04402290545809638,0.2118794851044396,-0.29462155107682936,0.21007396890314728,-0.1220112921311053,0.08421449000537788,0.0018814084562472123,-0.0838137096869095,-0.17144804133589792,-0.12201129213110533,0.1386083962657364,0.2968953675821579,0.3353990098727407,-0.05512156058656755,-0.03443780601331658,-0.07937248035321277,-0.2608856322665973,0.15080231608216318,-0.11234478369819251,-0.04123153414593596,-0.4053338244516794,-0.061490402885367515,-0.32370480537615975,0.23278517926014813,-0.1617038699900149,-0.3324633357913229,-0.41031994918948883,-0.36132389572076007,-0.26205817124783237,0.26444253472669416,-0.06653438907711351,-0.19484929889967842,-0.4779087733728801,-0.2529946030530995,0.23298401798055693,0.24594170942253216,0.3669935214681019,-0.1943887280554226,0.06282347067198045,-0.24083301072127009,-0.3013617121624184,0.18697746980541624,-0.12880696641476808,-0.19840114235047304,-0.47050418764772556,-0.24877475390219406
acc_x_rms,-0.006166239190612835,0.8388616515493288,0.6459349856299953,1.0,-0.6094190948337301,0.9606491839392387,0.11079095492332869,0.7492227083603855,0.6174771745361504,0.8393076330451138,-0.6769919885793986,0.843227238698521,0.046803060650074474,0.8103873461561746,0.6349020983156481,0.863173900202985,-0.5897697671611022,0.8159968632477873,-0.04073377528257764,0.7792210439946404,0.5228456651755266,0.7546775824031031,-0.6083690592752431,0.7151390651330166,0.07348824231630889,0.5955444624814417,0.44745953453336174,0.4718310400565546,-0.484232371196646,0.4529064204535969,-0.06148033511205771,0.6872830504667997,0.3584743607541166,0.6297615179743199,-0.6573259748555552,0.5831196318442834,-0.47181455709261083,0.5132243351932049,-0.39065605126811936,0.47463902660366997,-0.5706322217492297,0.47181455709261105,0.10180125330442075,0.47149518751546976,0.29275125367633825,0.1028527970266195,-0.06252967433520112,0.10180125330441916,0.406264414367416,0.4680024278118281,0.502400369308024,-0.40602968151061497,0.3021177297670587,-0.406264414367415,0.36696100941594817,0.5117320169570012,0.4848051952643059,-0.36580983797863165,0.2500082505368547,-0.3669610094159494,0.2761612185965313,0.5012978616515205,0.45567557603541997,0.3314830858615232,0.08779659256502287,0.2761612185965317,0.37672903454439677,-0.026632236931489753,0.4118927310261198,-0.19541520782757785,0.28799158544152786,-0.1914004160022262,-0.5793599823760389,-0.16958239434686406,-0.4826968935248381,-0.25009681943038375,-0.6039286301185237,-0.2374767305789934,-0.7393936240040627,-0.12077358376296998,-0.6417415392137391,-0.726553926674453,-0.7317144036671034,-0.7386430728929873,-0.6582095633870005,-0.07006661823369113,-0.5121995466255369,-0.608380647637935,-0.7412576601382156,-0.6493548597077918,0.597756122897941,-0.07637789481619664,0.6353720126850806,-0.5597460863094386,0.4784397804363105,-0.5898307991235404,-0.6321964767460937,-0.1716510593905506,-0.5275535171411966,-0.5722687051394506,-0.6366029101784048,-0.602969832006988
acc_x_min,0.40908742391002945,-0.49440152953997,-0.09934002368899586,-0.6094190948337301,1.0,-0.6836673930541208,0.2564025668097395,-0.2831732256517957,-0.077717468760161,-0.38041960547891795,0.6379362662303212,-0.4887995403387708,0.25186266313687705,-0.4638783446905598,-0.21992875078128085,-0.5464466234553017,0.6174533695945842,-0.5887427464844085,-0.08829317319734989,-0.5472165202384385,-0.45070584234071503,-0.5132529237643103,0.34878573186103795,-0.5088704430940926,-0.1149952934300613,-0.30032980319475117,-0.287499422763742,-0.2042975448336715,0.1700866320223365,-0.19947550328417055,0.15271636453833065,-0.3231057988310899,-0.12550126538809514,-0.3430438941572943,0.4011464140341417,-0.34626852028817884,0.4860597196903706,-0.23898938193664732,0.4821485092147781,-0.48547366122027447,0.4573104018728948,-0.4860597196903705,-0.19363778837979484,-0.3271928094706876,-0.3024178468609492,-0.19437532297859134,-0.04986718705201349,-0.19363778837979445,-0.4619429314119531,-0.35994309030613475,-0.4709659692826106,0.46267215145741397,-0.3726117554730216,0.4619429314119526,-0.4225663594630746,-0.3278515626072428,-0.4232488350327964,0.4223283395437233,-0.3398522799716833,0.4225663594630744,-0.3384298953525276,-0.36525151217570306,-0.3974972053137184,-0.3589920773560997,-0.2320879667316566,-0.3384298953525277,-0.25377455000186766,0.28185460638511467,-0.1378703654501099,0.20471348939092937,-0.3003870980441065,0.18443496836760037,0.4791909477051029,0.37840540240584714,0.49904739637518064,0.2834759470742031,0.3796022556150949,0.24575500593892988,0.5609967396563692,0.32939983560294367,0.5728157823450201,0.5784700091462278,0.4801598765215705,0.5648311495454249,0.53931404867064,0.3173197992206271,0.5252964302937495,0.5414479325951191,0.46420201799179156,0.5374903631801428,-0.4694914679781202,0.28692075662913813,-0.39077287337273525,0.46571003862339727,-0.45826061093103915,0.46103224859571557,0.5030220604443727,0.3859185345358746,0.5269283006933537,0.5221187791082558,0.37279751394127364,0.5084783755717771
acc_x_abs_sum,-0.22448880418809394,0.6980148510211347,0.4312425684599837,0.9606491839392387,-0.6836673930541208,1.0,-0.07210461485080596,0.6052804661272435,0.43048316262273234,0.7625339530784941,-0.6953003350823215,0.8359483027359027,-0.12387206045365269,0.7188216835905735,0.4648580249192967,0.8382857920609614,-0.6705662143939554,0.846556065637063,0.06448518837189768,0.8197350318944356,0.6236747217283021,0.7994147645286477,-0.556003667990525,0.7719730226944542,0.0679115073480755,0.5923665302777841,0.4444064650622656,0.4559658486999308,-0.45099080704721717,0.43432922348680536,-0.15968983763060016,0.6357330541356878,0.28220106527979033,0.6230154936691148,-0.6862887204086505,0.5915389527124983,-0.592702878100089,0.509786177489013,-0.525521558425109,0.5943459889524331,-0.6564952953908444,0.5927028781000895,0.160597137644123,0.510802193031845,0.35971320106139604,0.16173615837502991,-0.026328958155809986,0.16059713764412167,0.5161071375258911,0.4933578522811533,0.5880699286716043,-0.517213027632372,0.4116583162981327,-0.5161071375258907,0.48700165311455895,0.5382788786769227,0.5782610655273188,-0.486154886175701,0.36922349841325325,-0.4870016531145602,0.34162089486084574,0.5594396427584597,0.5211665162773416,0.3966714207071147,0.12801816163734034,0.3416208948608459,0.39827379323098583,-0.14868878951546033,0.3706296980909195,-0.21232698832896132,0.35997568224747284,-0.1980430255334001,-0.6069198673971349,-0.275884149523544,-0.5491091742981096,-0.294187515253855,-0.578470447643856,-0.2696719131255437,-0.7745679592808671,-0.24543759166462806,-0.7197863386280706,-0.7580447794036119,-0.7295192487717205,-0.760329429635591,-0.7038128934120835,-0.20039003828021734,-0.6035277303717265,-0.6708345680524294,-0.7178122279238272,-0.6969488170264844,0.6354842530739144,-0.1912874195705895,0.6273741168115631,-0.6055538028778801,0.5538380671529677,-0.62370251789322,-0.6575192836639995,-0.2942161295607282,-0.600894467106782,-0.6257330355858013,-0.5948769209780979,-0.641496221731735
acc_y_mean,0.886035640423221,0.40880283784170474,0.6655292029092267,0.11079095492332869,0.2564025668097395,-0.07210461485080596,1.0,0.5018040423001765,0.6982535966675036,0.3112308422716029,0.23007915552896802,0.11961989020418953,0.5485784183913862,0.2690591803972064,0.5282821784591382,-0.027396574681873453,0.22731462347426287,-0.19016703775040675,-0.5462141783170792,-0.11506595052275025,-0.4932718116573066,-0.011888218044492723,-0.371809413501785,-0.03727120767073493,0.25621074230034363,-0.06664218865934474,0.11388716532654027,-0.0008810110042214416,0.058300479385941475,0.013317493019618497,0.46829623439931733,0.16124639279305866,0.3625838106459229,0.09113204115641296,0.28575947215870556,0.03945573812104861,0.5406487867638822,0.09294219677312454,0.6380463402950954,-0.5347081519788107,0.3559714883726507,-0.5406487867638824,-0.38300891623997396,-0.0460419774815966,-0.3560828416460117,-0.38305516455067795,-0.32642576943603724,-0.3830089162399757,-0.5687824666815962,-0.030124180772727892,-0.412308103187278,0.5760185906851408,-0.6207185030506931,0.5687824666815959,-0.552528720367587,-0.04894614254092658,-0.3988901169329592,0.5542858935977932,-0.594453371828048,0.5525287203675855,-0.3438345721216452,-0.18827692447890557,-0.2736575363343226,-0.32300195152389527,-0.29700456648969886,-0.3438345721216453,-0.020577294424220058,0.20141674852887098,0.12282240726718624,-0.010539549556702983,-0.10665128603681427,-0.03379942806733332,-0.03412292151974253,0.10622051844424582,0.026587056283990117,-0.012185692151937188,-0.13076724530686124,-0.028776667998671405,0.020041594972171065,0.17938414595612007,0.09470297055994016,-0.013224915807343453,-0.034087263922426225,-0.024927402540189134,0.008307722433296496,0.1652771082068368,0.08715336255550478,0.03018909516813989,-0.13895082650352092,0.008985220612354293,-0.014867188635946098,0.1551884883391625,0.05893297530745107,0.014607710641641583,-0.084743987596211,-0.0026162710528013547,-0.049461009221440574,0.1538538804614634,0.031660638481483906,0.009318106183807228,-0.1799590811617466,-0.012190217877508198
acc_y_std,0.3914681925439616,0.813342627922553,0.8273756328815832,0.7492227083603855,-0.2831732256517957,0.6052804661272435,0.5018040423001765,1.0,0.938610685563975,0.9293583640653126,-0.6401302971074457,0.7987792929984688,0.2188526319651327,0.7506424912656229,0.7300265516448081,0.6241416395480981,-0.45117178966660476,0.49516796270493335,-0.27994497183830996,0.41505271007379635,0.07818997065239974,0.43059761691728704,-0.5685559816118442,0.39082833977096515,0.18621614945832943,0.4936111302415672,0.4346425712198654,0.4386572247073319,-0.4233717302843676,0.4324116893861392,0.24166285012539787,0.6127317905477662,0.5103742761284766,0.5173674955344668,-0.3267385966570224,0.4633336000035984,-0.1193158831186407,0.42586033965998127,-0.00513036322631285,0.12412439958221406,-0.26737280114173556,0.1193158831186412,-0.017516112294407794,0.1705292962045056,0.07842722811784736,-0.01713246949067989,-0.06173120241089201,-0.017516112294409036,0.10378948357974156,0.34568063917838127,0.2254885078577845,-0.09700163111590379,-0.005474105902603043,-0.10378948357974158,0.07635016745721097,0.32282839089290305,0.20659284977067383,-0.07485793194539134,-0.0008920778725614037,-0.0763501674572125,0.13912180524938303,0.33285284631955486,0.2885857514744241,0.18622045236208584,0.018275783979031283,0.1391218052493833,0.2506970266445385,0.03433184384043836,0.31595354493258676,-0.20659407880130026,0.15341813686755892,-0.2145459279789329,-0.44137933975369725,-0.13269127163942668,-0.3707567931054024,-0.1657148421977209,-0.4979247982540301,-0.1562162686243339,-0.4834722475022713,-0.07697010245282623,-0.4152860011627446,-0.5085756428463201,-0.4824574191391924,-0.5137010361073984,-0.4427479248413627,-0.05200451304901403,-0.34092971087636365,-0.40822230298912393,-0.5580626882767099,-0.43115818620646185,0.4192122189281484,-0.06506505993238348,0.4511204551937047,-0.4038371571890368,0.3343254448569191,-0.42206647430071764,-0.44508675153231914,-0.09890221976660088,-0.37096166977759576,-0.37754561024953914,-0.5076461626986348,-0.39693344098324196
acc_y_max,0.5947632299071948,0.7548579999690778,0.8932695874458331,0.6174771745361504,-0.077717468760161,0.43048316262273234,0.6982535966675036,0.938610685563975,1.0,0.8251753143737554,-0.3878058080250013,0.6325339679697148,0.36783008203359185,0.6664024978030095,0.764574434697365,0.46195491247567694,-0.24224468264069265,0.29459327730354196,-0.41863558844059967,0.287692958109434,-0.11581259760774311,0.3176024753930568,-0.584719142853222,0.27558130283977855,0.19371744115373707,0.30850573737174586,0.31447199242082174,0.2612520265611539,-0.31145625490735473,0.2606595560538155,0.3373557188191928,0.514006558909738,0.5037656037713126,0.38814861964201,-0.15418027934164347,0.3252464940005649,0.12040611098027089,0.31174706607191793,0.2273736244981865,-0.11498506023792707,-0.04555353397489308,-0.12040611098027068,-0.1223388428902044,0.09161095943553088,-0.05079809265491941,-0.12207627326977251,-0.12684765574699128,-0.12233884289020618,-0.13699188839181342,0.19629736608575826,-0.004999580530249253,0.14279687394192236,-0.21441796368780636,0.13699188839181328,-0.14485972742618244,0.19323532351262446,-0.003048680439700794,0.14642763557470395,-0.19931271201657277,0.1448597274261801,-0.029975819238410358,0.187589286842736,0.11460066181272979,0.01462417256320644,-0.10818500740002972,-0.029975819238410376,0.15617470097578404,0.1319141402535376,0.27459585546250814,-0.15290260914466544,0.04437718726744733,-0.17024276120039122,-0.31831399047745607,-0.03081662879544781,-0.240834173208612,-0.09372495929419929,-0.4101781069060859,-0.09496562153273215,-0.3246205185508803,0.03735863310035564,-0.2428391805585533,-0.35430004128602194,-0.354172905502143,-0.36424666175093373,-0.3001902443567221,0.04580537468106787,-0.19499755597544696,-0.26426897203375954,-0.45674567382984543,-0.29010648103385483,0.28147565012066905,0.030701021969036343,0.342720535329818,-0.2677858988732097,0.1924888276535402,-0.28851634333381626,-0.3270275641747162,0.019568935343937555,-0.23567590103432948,-0.24643495852228198,-0.4432518702828647,-0.27146422953406346
acc_y_rms,0.17128057517562703,0.7256728317306074,0.677488566180098,0.8393076330451138,-0.38041960547891795,0.7625339530784941,0.3112308422716029,0.9293583640653126,0.8251753143737554,1.0,-0.7252720972792722,0.9521438384077013,0.001088450090905876,0.7326540009797126,0.604187829957897,0.6942157440621378,-0.6148673095163758,0.6143140201331221,-0.21250128368198012,0.5603100661271037,0.22330946249949976,0.5869137730699173,-0.6178937291664149,0.5491835458043768,0.2035415518944387,0.6170958339237241,0.5421984608238858,0.5227686770585412,-0.46960601523551265,0.5030810609246039,0.1824430431643667,0.7106943979970036,0.5403493732784569,0.6143577294903783,-0.4409675891060913,0.5646289676922412,-0.3209426375938038,0.4976581838394133,-0.21332122449935814,0.3250506320904436,-0.4482286319481268,0.3209426375938042,0.033633418092831525,0.27982320611270284,0.16398789398972582,0.034235766989251126,-0.04924468364402182,0.033633418092830526,0.2822766212892554,0.4370097441009002,0.39221253661544625,-0.27631036375139273,0.1608136221274301,-0.2822766212892553,0.2690966209556241,0.4245262212595041,0.38485153812806716,-0.2677902662870727,0.18140582292985297,-0.26909662095562475,0.28722405768309456,0.5228787043954936,0.4690676850926486,0.34478744068281203,0.07699983247149125,0.287224057683095,0.3412843222075677,-0.08417118912280548,0.35196401179953035,-0.25146988863374425,0.27871036718767056,-0.2494429297097745,-0.5325116927370344,-0.24745381890884102,-0.4894209013041814,-0.22185712548657469,-0.5427347544623425,-0.20011964595837314,-0.6084990081336554,-0.21565926702413457,-0.575773731350677,-0.6225592444925231,-0.5690358629499042,-0.6201277792127639,-0.5615679064334838,-0.18536017249373465,-0.49283751824194894,-0.5361115491213331,-0.6235813479618298,-0.5490036402056677,0.539177428610866,-0.2001946050549697,0.5301669618518005,-0.5272540086314658,0.4867678320626984,-0.5364027331955085,-0.5357836457156441,-0.22975123020753227,-0.49968056961170054,-0.4855946678484874,-0.5345201986127891,-0.49578711067101516
