,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.23938914443403334,0.35005921556293645,-0.18411621711707324,0.4130023076292631,-0.09106898912164588,0.9023647278147502,-0.17072778501657102,0.24147398204704598,-0.12913645192749482,0.39326990040201926,-0.040155651917701866,-0.49417488245316027,-0.1294334841170319,-0.1573611073470274,-0.0480478545237905,0.08468496451660733,0.02069001755736951,-0.12160722608673917,0.059810675213243784,-0.04158162601071618,0.11120552718494227,-0.10841881120524417,0.12917495147829255,0.3605400776105934,0.03811935609326528,0.27537901597233944,0.2049376974533944,0.2589374715113466,0.21308646007539264,0.3857098051935355,-0.28284585931808753,0.08417609495336983,-0.019003269122145783,0.5058760878062015,0.014778337021085459,-0.5002725716957342,-0.010491714156058101,-0.43484102326027035,-0.4987750174177539,-0.48980374729727416,-0.5002725716957331,0.4682637299910472,0.10037805153555435,0.4195700653359202,-0.4681547532232447,0.39645476730785073,-0.46826372999104415,0.6022094287931202,0.10275696878328663,0.5159796440788877,0.6019259479734067,0.5693387548079062,0.6022094287931193,0.1561574427242455,-0.22577169496181604,0.1076529102065966,0.15594761801795395,0.18640363406550528,0.15615744272424947,0.2153957478206517,-0.35018411886065787,0.04449225835295551,0.16661448138620713,0.3999983916051336,0.21539574782065174,-0.027192437846638825,-0.07280708323751857,-0.07425122203434394,0.12050237517879182,0.06139967564034955,0.1394067895029238,0.014384365358086517,-0.15125510454435345,-0.05639156625406415,0.05786154156610811,0.08037406384362024,0.0702783433243787,-0.055287311827222865,-0.26825179713304514,-0.13582502410436284,-0.027370880284528904,0.01339297214545587,-0.011215103759073301,-0.0014450542790091555,-0.22929637182361134,-0.10117707610462649,-0.048664804089150755,0.1111193297558003,-0.02487479776651069,-0.016629465884183795,-0.16806766133883372,-0.10344488252655448,-0.02178846354019863,0.06735678711357176,-0.003668908448914292,0.026560520027844422,-0.09387332414679647,-0.04294473215965737,-0.01618561532560099,0.09734404723830384,-0.0019192086367368596
acc_x_std,-0.23938914443403334,1.0,0.7041269498166495,0.9309836719946482,-0.9292713459477012,0.8450827387637113,-0.1930288863574258,0.9300074041524691,0.5986269481709336,0.7992048132711892,-0.9102759207476245,0.650553995156583,0.507942013487944,0.6850127992404625,0.6850013847356525,0.6531844224924158,-0.6131424269496689,0.6375822668009635,0.1919015017836672,0.1454157144039127,0.29617936946445883,0.028417011159998916,-0.033582673164794866,0.001050859896544218,0.10650762548183564,0.009710370562896626,0.07422686566323335,-0.12076998542376857,0.028956094132258775,-0.12643303447360724,-0.01603608480739774,0.4208848481832171,0.4008712620363094,0.23708443618926686,-0.28378094398682546,0.17494370998846445,0.017080119743650587,0.04291366468165044,0.0033689787501388875,0.017020249587919235,-0.019997477607799175,0.01708011974365151,-0.2600260601353463,0.16490926762341956,-0.16441901015393118,0.2602982131448402,-0.3093506909101425,0.2600260601353519,-0.009308962811225056,0.057254241235962455,0.03397242508836432,-0.008866952094727583,0.0019701161200014554,-0.0093089628112255,-0.1588373190996701,0.2520048493592196,-0.10315171469820786,-0.15866832625448957,-0.18499175291573808,-0.1588373190996695,0.047838591161565205,0.341175723237646,0.1677597339705749,0.08916092230582859,-0.09816083189684251,0.047838591161565164,0.040254919129521956,0.5982168447732216,0.5216170806677951,0.0033029887342214286,-0.23126662758096436,-0.08276255477611269,-0.11659962856572603,0.19190698586434246,0.008309394360806022,-0.20990103859945666,-0.27735084707890856,-0.24614774387297494,0.2853325827692532,0.5729705195248033,0.4300526056303381,0.2900480639489825,0.14499193481466904,0.27000175385894915,-0.15188150756055166,0.2096081843150316,0.014417785380552122,-0.08957014302558379,-0.3669929579241116,-0.11508316084964229,0.05331438412223046,0.3806880482561351,0.26837353139799786,-0.013718679731018998,-0.1535986746682432,-0.05090604344484689,0.09370385573288235,0.21466926520106183,0.14815422921599966,0.0983708374931166,-0.08592428896550489,0.08300330330495591
acc_x_max,0.35005921556293645,0.7041269498166495,1.0,0.6744293699798971,-0.4942327401241112,0.6571489775998569,0.3342139052194755,0.7416796474903545,0.8492409099684658,0.6618965636070132,-0.5257472920031026,0.5784125852275406,0.24656441774942878,0.6856386686705186,0.639842364818218,0.7068206506134246,-0.670172593100884,0.7262985211337936,0.1335079191199256,0.28057625547797194,0.38032815484732796,0.16211620676823263,-0.10844949628606569,0.14820628290272295,0.26835731317277345,0.18595768676978397,0.27850549196672625,0.10628591704000574,0.016719471766818508,0.0902081430044096,0.12736952945322624,0.18313634882770274,0.34354166391976004,0.16484636612330336,0.0065936749683574445,0.1331320023844505,-0.2936557445931637,-0.0021292129103287795,-0.2777092938069234,-0.29309160864868217,-0.3151915861325625,-0.29365574459316296,0.020604038924720194,0.18889649450724993,0.07401882282984328,-0.020382571868669763,-0.061186699515957094,-0.020604038924713238,0.28614508194111204,0.0760738197308729,0.2789760494912219,0.28616089088308055,0.29592312222797623,0.2861450819411109,-0.01888624057733158,0.10924310112751526,0.0024980787946148643,-0.018830730405129937,-0.033745455713449196,-0.018886240577330297,0.22644554280810741,0.03657404369892306,0.2007195127615275,0.22419951935128382,0.22657880004445533,0.22644554280810755,0.0010308520121489674,0.45236396081584757,0.33798337988500765,0.019213906901618248,-0.19752911962304304,-0.03538290079617286,-0.11750651878172325,0.03409482365721851,-0.06396295237922504,-0.09678502977590185,-0.21451103468486774,-0.1132890744755001,0.19687628585777303,0.39207342406428963,0.27506705980753954,0.22176879994926077,0.08770508283823485,0.210848889855644,-0.16390880783454628,0.017071373962533037,-0.0716006648765085,-0.1302883808896961,-0.3029276223386144,-0.13528853240083377,0.04920081561377897,0.21038757459808005,0.1881548478996983,-0.03505139480601162,-0.06669198070968224,-0.053038180064945914,0.07160698699632101,0.16603172714263006,0.12336608208412025,0.05356845964215937,-0.05721826572775607,0.03972934327613612
acc_x_rms,-0.18411621711707324,0.9309836719946482,0.6744293699798971,1.0,-0.8571690426021523,0.9626363546139896,-0.1392467863082608,0.8739555487704936,0.564071736100221,0.884671273761232,-0.8378429428329343,0.7958190381329752,0.35484627565701254,0.63207422142405,0.6055503423124051,0.6306928457127376,-0.5779385669942347,0.6658475146233436,0.23461679550755102,0.2607832844147627,0.37446847425788593,0.14361933942113556,-0.06372440519494463,0.11410930087605317,0.18759853969264761,0.11158386572494787,0.20275084933590007,0.0021147799636097456,0.04041805945969528,-0.006326457320014971,0.07541166929257426,0.5765089384583425,0.5714316078669681,0.41672868360274884,-0.31774833106391764,0.3460089484617566,-0.002770993571467717,0.1902441418840109,0.050821180835603136,-0.0016677398955004061,-0.07214873352323287,-0.002770993571466649,-0.165339798300545,0.24736489338550863,-0.07092461828024653,0.16571453791214796,-0.27416695466019364,0.16533979830055223,0.11533169502565625,0.18301383205613814,0.1695824253194513,0.11646859392639988,0.05497991619765679,0.1153316950256558,-0.19779418204423396,0.27384322612246575,-0.14171123828888768,-0.19759723034494872,-0.2329486887349458,-0.1977941820442314,0.2026449483689293,0.5150288001353164,0.36165609287127304,0.2538070915670836,-0.005682225466329003,0.20264494836892913,0.13708121681947888,0.461558582409507,0.5203342656361761,-0.13660241536807521,-0.09715140765159906,-0.20901513029202906,-0.24925135020261036,0.05677544622181246,-0.1309689780137438,-0.26129698443633487,-0.36722859104520794,-0.2818266643936736,0.1027647832961065,0.42509082428665845,0.23827913299541323,0.11581668387974445,-0.01268021447137647,0.09984718444244489,-0.3096831528013401,0.06294173295431586,-0.15043084849661745,-0.2571191148557605,-0.47109063061394296,-0.27973706485657407,0.19032298396051697,0.24629711108211558,0.36861139801255743,-0.15357210325114137,-0.00184264238466305,-0.18637677388545348,-0.05252199897034625,0.0538274827768974,-0.013373921501610651,-0.05836619571514539,-0.17272240907575165,-0.0678027627354389
acc_x_min,0.4130023076292631,-0.9292713459477012,-0.4942327401241112,-0.8571690426021523,1.0,-0.711171852392278,0.31715495732899246,-0.8321598969953483,-0.44181479230265874,-0.6962764329590407,0.9043056842096993,-0.5247178105473059,-0.5797600380535377,-0.6443060062925275,-0.6697966198876203,-0.5979527338539202,0.5563521713822561,-0.5570920592129739,-0.11265080955119441,-0.06920654483622392,-0.16658598851576742,0.013848541488296028,0.08006125984807262,0.03790507933694704,-0.019723584906511812,0.04560174502931162,0.006960472134892971,0.18378662379319854,-0.006939139000199457,0.18666010733498736,0.12549133354523992,-0.4103889306066979,-0.31069249089690915,-0.19685162806378773,0.3525312072650169,-0.14355218551418297,-0.08574912948069473,-0.01533190784007779,-0.05677314054270958,-0.085201271545388,-0.054939585731574155,-0.08574912948069541,0.28454185341467436,-0.1408467181652213,0.18853048545846143,-0.28476995162678953,0.31371505183301257,-0.28454185341467686,0.10991259324023656,-0.02624450773655175,0.05571274628520759,0.10968999446708766,0.08430094216699005,0.10991259324023657,0.13975984802738897,-0.22998473679128048,0.08245535455314788,0.13960742106639848,0.15805686832001195,0.13975984802738822,-0.0019091457469826427,-0.3711107740649907,-0.12941358487916169,-0.0473072555293268,0.17108765160468586,-0.001909145746982632,-0.0820167218922453,-0.46459627220843114,-0.481660843230331,0.01799237744920924,0.15021056879331574,0.09215326490161856,0.11956805105263733,-0.1741336458970204,0.004730248068315407,0.19112975761235138,0.2760263385649955,0.22304330874945819,-0.22862598365150566,-0.5412384257064012,-0.3820697550923462,-0.22913781370668726,-0.10563566710025156,-0.20938331594130766,0.14533770961382467,-0.19874403483266292,-0.011927905366121951,0.08320626135998041,0.3549598503884646,0.10973542578195027,-0.07170767564202069,-0.3199435766937874,-0.2602673439020058,0.0309794971483157,0.11731529518452549,0.06455545567218186,-0.03184566530670377,-0.15208830939510024,-0.07860609191377681,-0.056633280572238306,0.1316167127077362,-0.04571862557602354
acc_x_abs_sum,-0.09106898912164588,0.8450827387637113,0.6571489775998569,0.9626363546139896,-0.711171852392278,1.0,-0.08907439764526207,0.8092842766641646,0.5206539715135126,0.871337384360925,-0.7444309431490337,0.832639103599657,0.2054733142975604,0.5228134148147553,0.4770448985093735,0.5331962621720707,-0.49320241152735345,0.5975030612342422,0.3014566457557962,0.2947836414352736,0.4339749256002298,0.17133881145732732,-0.0014086718990256163,0.1392958417841498,0.2629975994335357,0.13129536379108037,0.2688812033553484,0.06174289540310704,0.09292623849457483,0.0536846690784557,0.17495481698714235,0.6119546050806179,0.6544279581528157,0.48298707575066124,-0.2697776133079318,0.41137715546104286,0.005453038906540077,0.27090594922906663,0.08671898135344284,0.007262194897730532,-0.08222184780342143,0.00545303890654114,-0.13214479782802577,0.2733134335319093,-0.03873221429723117,0.1325703384697162,-0.26399755111436557,0.13214479782803343,0.14686738982312694,0.23880343091069658,0.20655083703551824,0.14856270305408348,0.05178525027295524,0.14686738982312622,-0.2148573486095139,0.29785889164664714,-0.156964208486107,-0.21461530565748527,-0.26084445820799435,-0.2148573486095116,0.2644646314660598,0.569648806404837,0.4352080328165398,0.31776658183614853,0.03745332098475825,0.26446463146606003,0.14190221932797972,0.4537121369296932,0.5135429690048714,-0.16024034333779907,-0.07624482969759439,-0.2309070097436094,-0.2793844440571738,0.003743922286046919,-0.16737189959418378,-0.2831097371338609,-0.3661494577448593,-0.29789366951961754,0.0649898304818503,0.31775591071743076,0.17218771633844163,0.07735800272387425,-0.03128534869130199,0.066223515725187,-0.3422114873372796,0.006321315973879907,-0.19635170540912925,-0.29979473009572954,-0.4619739292414565,-0.3181939789211977,0.21924952877017043,0.20757967179261072,0.3851247959460303,-0.18745704241956113,0.03880903234482674,-0.2180594925981382,-0.06467704599974404,0.012004526484026251,-0.04238975676793972,-0.08528130171799386,-0.1614649924418168,-0.09087653086994549
acc_y_mean,0.9023647278147502,-0.1930288863574258,0.3342139052194755,-0.1392467863082608,0.31715495732899246,-0.08907439764526207,1.0,-0.1407979752724534,0.3293081929677988,-0.04607890517144206,0.3626160987571866,0.03706495597320193,-0.43378043469476096,-0.059373636785637285,-0.09009426532128692,0.028542138081503406,0.004111879728647767,0.09866872010558343,-0.3145184453498184,0.11125531628546245,-0.13753052434487079,0.18102190120380157,-0.30788577088057356,0.1961761103230779,0.25752364810567197,0.09725276002403188,0.2432558469128861,0.2065085568208608,0.1201657799638403,0.20816386530477093,0.21148119615296473,-0.2642122478915794,0.0037297247502696236,-0.061821219525938845,0.37734347007692,-0.033887416456050104,-0.6042848134395415,-0.04880160112027155,-0.5260963782287897,-0.6032786642725648,-0.5720328735067173,-0.6042848134395408,0.5002793488347699,0.04461422458053422,0.42662234515741476,-0.5003899670419374,0.4548000824443998,-0.5002793488347652,0.6941807785778892,0.04153644940859149,0.5641838628590294,0.6923710663441184,0.6887566612333861,0.6941807785778893,0.18503031763117384,-0.24079503069212185,0.1420812595442254,0.1848015173309048,0.22346089413760545,0.18503031763117822,0.19158645957097747,-0.3242433659481759,0.04685906951408888,0.14758481905941334,0.3825246075831195,0.19158645957097756,0.02240103124765566,-0.1331843584954384,-0.05365212485620921,0.07537720290468748,0.1228427126432035,0.10454915434432913,-0.03993207222263687,-0.18101991531331993,-0.10516955322116349,0.029387550575627024,0.024849145724016804,0.04703740258596106,-0.0874850450742847,-0.24939348984696794,-0.15723334369527167,-0.060227095741846814,-0.02531502790031283,-0.04594758807179949,-0.051566960526088196,-0.2522269734978122,-0.1454520397536118,-0.09616435500607592,0.04065761886742372,-0.07565408297032672,0.025566847338562487,-0.21239492024672554,-0.07752399988260644,-0.06507123462004662,0.11239610991766591,-0.046084962321407595,-0.03311692966007997,-0.14582773809367516,-0.1014498138957281,-0.07181450605489725,0.05054821750417251,-0.056057388161353396
acc_y_std,-0.17072778501657102,0.9300074041524691,0.7416796474903545,0.8739555487704936,-0.8321598969953483,0.8092842766641646,-0.1407979752724534,1.0,0.7158683004707957,0.8817552592915098,-0.9217069800857022,0.7346522885539679,0.4955030901624343,0.7442045249894139,0.7287399017104446,0.7199014379069972,-0.6600630628041014,0.7115008142243562,0.18402290073801403,0.2674490689312921,0.3862892219126699,0.16628249898448788,-0.09131307873314307,0.14034570539597446,0.1402408245486311,0.12443383884204168,0.1600779009462841,0.043860208288644856,-0.04225482836783398,0.038287500174234754,0.008175801199965258,0.41338885947784243,0.4356667865354815,0.3106513665203344,-0.24236693140292015,0.2551121915123965,-0.057694106976909264,0.14194815255429788,-0.031455870010870426,-0.05679943813526106,-0.1307954347176074,-0.05769410697690886,-0.17237287675334328,0.20481466166743106,-0.07012526748192272,0.1726535107612929,-0.2329168777450304,0.1723728767533494,0.020139994900510234,0.15888154942741492,0.09892051492422453,0.02146497835778024,-0.01456375311908116,0.020139994900509564,-0.07769644700173375,0.2100649714410381,-0.031163351598795932,-0.07754576911458896,-0.10952183466891108,-0.07769644700173425,0.16694030908052698,0.31314850173941283,0.2504703391198791,0.19902000810156806,0.037667382363018136,0.16694030908052698,0.10618450539654982,0.5556101866719588,0.5490959276522652,0.033973089776822854,-0.16489773129714577,-0.03823884324573599,-0.208182089912045,0.061221909727691995,-0.10642696332970875,-0.190550937029527,-0.3456724735346398,-0.21333581942645424,0.20037370051937195,0.4788857521950339,0.3298122265217746,0.21366824333966028,0.08287703110078667,0.1984219501470745,-0.22812853378275505,0.09202426166291781,-0.07819049254820505,-0.1701243029377511,-0.4186064865351986,-0.1872615292964131,0.12583463443482767,0.26627196953054155,0.30697678870664663,-0.0862326983632228,-0.05453643725111171,-0.11533990907725583,0.047079849594849905,0.1483029075444341,0.0886139830469523,0.04442353583328801,-0.1101185091724501,0.032750667080407726
acc_y_max,0.24147398204704598,0.5986269481709336,0.8492409099684658,0.564071736100221,-0.44181479230265874,0.5206539715135126,0.3293081929677988,0.7158683004707957,1.0,0.653559025408786,-0.46700644838062255,0.5673082531950635,0.4087346683714833,0.8376881710270796,0.7792711867307851,0.858210376430557,-0.8428856336057039,0.8549100429001172,0.017512079582906185,0.42606980667764655,0.4257912282593789,0.3147041944852852,-0.26723103159500644,0.2845333561008229,0.18982432943369146,0.2977629106985715,0.2741376328177212,0.22460138650859487,-0.16247783696696225,0.20332720497781595,-0.05502765099949698,0.11171385711004887,0.18788871765703904,0.13263839593825646,-0.07476917674421206,0.11334447671283258,-0.3091334795929492,0.03608794175441452,-0.2764519193907965,-0.3084673744652193,-0.34771595289712,-0.3091334795929487,0.09180384250217823,0.18933680332656716,0.15304241652160955,-0.09167801440595123,0.03266246872074441,-0.09180384250217097,0.270005027717495,0.04540020467541043,0.2565206997782681,0.2693075528790134,0.28349973372039144,0.2700050277174938,0.06583563386057997,0.13259058425212192,0.09537665260101763,0.06595192465778736,0.03675547666200798,0.06583563386058248,0.3016948947951285,-0.00010376714355122983,0.24688139157794853,0.29009430796819696,0.31898974786272233,0.3016948947951284,0.05796329908552131,0.2855290652979716,0.2518156321817743,-0.033854703016388835,-0.09695070429156986,-0.0465148093055183,-0.2667107074051682,-0.0686556534850588,-0.22474051048656957,-0.01346717089031419,-0.3808568155657469,-0.012534220158273752,0.028942664987562605,0.3737565539249511,0.12864890729485035,0.04743908365596246,-0.10266115286525057,0.03242081743397747,-0.28456833387809555,-0.07623506665882844,-0.20621655567534933,-0.2361232678191677,-0.4564034969267684,-0.23998370348990583,0.1593462855345355,0.04581005207247452,0.23342193034247968,-0.14122528368505277,0.07693821308727403,-0.1497483008541031,-0.05457594950115312,0.08256471996301132,0.012007197453355397,-0.053727622503942724,-0.16703835850952925,-0.07093422506407586
acc_y_rms,-0.12913645192749482,0.7992048132711892,0.6618965636070132,0.884671273761232,-0.6962764329590407,0.871337384360925,-0.04607890517144206,0.8817552592915098,0.653559025408786,1.0,-0.7747287515299085,0.9565227894287393,0.2722138125114834,0.6411427463482205,0.5932102996467762,0.6579464734451556,-0.5797737079469066,0.7159626647811487,0.17121852998193735,0.4024813989491524,0.42895345377568267,0.33515911813627286,-0.17476843829375432,0.31417766846574285,0.17521724037818592,0.35638768512322666,0.34205354090682694,0.2254684969782932,-0.1305084347956414,0.21142431939346742,0.05119015414978118,0.6369819783893756,0.6032894598967383,0.5156266258429011,-0.36657133064279845,0.45077186482377274,-0.11171088364895224,0.30280451203006176,-0.007374287386479588,-0.10962828919151153,-0.2176365053126794,-0.11171088364895154,-0.04039719417114358,0.2876619651297319,0.061498986057788016,0.04073266912944573,-0.15172116761330356,0.04039719417115291,0.20289765581962135,0.31530972765015736,0.2964422036810263,0.20486506964595858,0.08828023442798498,0.20289765581962063,-0.11943369749453624,0.21888544949167713,-0.07471378010184332,-0.11926337834214185,-0.15422664854868737,-0.11943369749453525,0.3548692380948287,0.5046787112320938,0.47899042335241643,0.3961967592455539,0.1577165931807589,0.35486923809482884,0.24494031707033043,0.3426254598916015,0.5313384174881701,-0.15351032583052235,0.034296100310880345,-0.20204703178593633,-0.38575715981553665,-0.13852035621825337,-0.30088318071960524,-0.26623034548244245,-0.4526447630547891,-0.2646653452367782,-0.06269546047618965,0.24496038117179286,0.04639239721390746,-0.03799373617490884,-0.13632613869735488,-0.04683054585647809,-0.43423695690920683,-0.11766231395473088,-0.30348900990747574,-0.3933690894952615,-0.5420189410235586,-0.40549132886069195,0.31524538583577083,0.06003453633344812,0.4305407220023161,-0.27908799307764837,0.1643655496265094,-0.30059019921842867,-0.1530982245970178,-0.07895601323116963,-0.13611748153240444,-0.17592488739576279,-0.21516931368689873,-0.1794271539016695
