,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.39798195980435513,0.014260543437206548,-0.5597909646423448,0.7343177597357917,-0.6036316280202952,0.9399985260848922,-0.43106113928572154,-0.00968233909958709,-0.6604545794228471,0.7903203498278664,-0.7316193559840558,0.3489480382984331,-0.5802541399262148,-0.3828653625337365,-0.5631793642396047,0.6622971191694342,-0.6147103242640202,0.3655999069468712,-0.5299947262743293,-0.17365355272569985,-0.47254522275845123,0.7189663013700889,-0.4827289837498341,-0.08264918393849709,-0.4744898379062928,-0.5727273572778944,-0.6236607100677054,0.34650181414848596,-0.6156660952355495,-0.7394399382802809,-0.7314567591406913,-0.787889797879371,-0.794605961865686,0.32745525228373523,-0.7724721382540439,-0.00429319690023825,-0.6757837325457294,-0.25058060558608836,-0.009008351772026192,0.3009993358549174,-0.004293196900237244,0.17148106590774495,-0.6770169252789037,-0.31496763096638825,0.1431798133689218,0.5062282611183261,0.17148106590774478,-0.17984545560551654,-0.6249734799010309,-0.4055023861441949,-0.18178034003204946,0.020241755050399143,-0.1798454556055183,-0.15168330156544155,-0.7397916816529145,-0.4950788186897469,0.12225121025824197,0.3388608137113436,0.15168330156544121,-0.4744975283390574,-0.5872604589978689,-0.633833172109033,-0.5215199748925552,-0.25914756826758045,-0.47449752833905706,-0.13357765014497444,0.008428459230224984,-0.18489404889792552,0.17317084416963704,-0.19135404537530848,0.16702117174174294,0.15877107011233305,0.015527249316759818,0.08541995613129388,0.06433333750248665,0.13572451535761942,0.06271228080684102,0.44838555086524456,0.04239143468121897,0.3984918668339075,0.3003227648446132,0.4426079939865797,0.30337921215181984,0.3787180249278405,0.007535756319957966,0.3456009682919225,0.38105610024810554,0.3220329437849213,0.3813323262312376,-0.31195569338686924,0.01698728845033342,-0.2802892227195242,0.2962433756938064,-0.2901103967233729,0.29527855837659006,0.21212543680745682,0.10358290476137194,0.26735186873459094,0.29552142707505263,0.13923804175650645,0.28377597588250786
acc_x_std,-0.39798195980435513,1.0,0.8470663993568928,0.9784928818897124,-0.8421276408114341,0.9479845086412952,-0.31536190513931267,0.9218599930937581,0.7841393293561314,0.8756373726012521,-0.7664268279695459,0.8361603241951209,-0.23794168658017842,0.883651624387052,0.84159131686221,0.880467882204915,-0.7940989966287131,0.8470247322198029,0.23198962177724325,0.750995592223048,0.6849353175197527,0.7528147933447467,-0.6343678600119247,0.7560534737427699,-0.25794229660047047,0.8184674579155918,0.4674688427662873,0.8305594611513443,-0.8708138723302354,0.81348291712561,0.22822867863951557,0.7238739156241868,0.6104551637444156,0.6643378241406239,-0.8045695314084303,0.6451480918105578,0.3068524960537353,0.6075200000996626,0.5234167707044058,0.31073098545931105,0.04551855415013737,0.30685249605373244,-0.13854683764305106,0.5792972674148343,0.31054084512550706,-0.1208139134593365,-0.40143442517924993,-0.1385468376430508,-0.1979546083154446,0.5899498493365818,0.028053077719471305,-0.196745747928585,-0.32617567219166643,-0.19795460831544331,0.2880757880175501,0.6696347076368002,0.6111580909416268,-0.2702467398599101,-0.11763678007697402,-0.2880757880175499,0.5136471171333168,0.5771129063090996,0.5726168256223085,0.541716059363456,0.19066737844206533,0.5136471171333165,0.5100438579925124,0.22545062132414737,0.5314379200651667,-0.020206321805030347,0.5137066992350865,-0.03578286229069652,-0.5381147180619829,0.16652724541996522,-0.5117227922601032,0.3284822244564638,-0.5240767421614883,0.3266606895385705,-0.5718391668208046,0.15224311435853288,-0.44104324233935815,-0.46153869309646955,-0.6547142058279786,-0.47732014365503467,-0.7062294931270796,0.2510868765249283,-0.5633630990477259,-0.6852712771543028,-0.6990046620441078,-0.6970376016448201,0.6870091797382549,0.10543827273598505,0.649143371420156,-0.6732579155592883,0.6778602475390985,-0.6706404064011425,-0.556819070377851,0.08624228982687673,-0.5538923166853723,-0.59062051588295,-0.494666472874775,-0.5858197002764683
acc_x_max,0.014260543437206548,0.8470663993568928,1.0,0.7556295595382819,-0.48841860049412483,0.6675126888074451,0.051665054547122675,0.6809359278505199,0.7441868704845562,0.5429235171758425,-0.37168918896952674,0.47652387875775537,-0.13997145263559116,0.6070021059747513,0.6206201310070293,0.6178933309388175,-0.5084042311286853,0.5831753956566303,0.2795212149044321,0.45144220140972946,0.49134146413652524,0.442571319922752,-0.31592692649787985,0.43734720504336644,-0.172246036661858,0.5436129485973672,0.2370445888798408,0.5231050004102809,-0.6356934975570767,0.5195243040191772,-0.0421661538939383,0.3874381187610847,0.2671777521245613,0.3160374645025322,-0.618185859178038,0.3107642405225334,0.2670966506442265,0.3163467581879624,0.38977263892544656,0.26900395213809275,0.14317006904007107,0.267096650644224,-0.1003334503187881,0.2923400135921553,0.16011113136081578,-0.09356637694475403,-0.19655560033049604,-0.10033345031878792,-0.24554052085958955,0.29469647935485116,-0.1310520648382683,-0.24516660832155715,-0.29646748133420425,-0.2455405208595889,0.18260539349219745,0.33233270558074657,0.3675237491328309,-0.1771635995567418,0.011401209864227668,-0.18260539349219734,0.33940465048124946,0.316867285585392,0.30578459283578757,0.3369561588777612,0.17397432466998736,0.3394046504812495,0.4075903072863941,0.17619933592132153,0.4071168807540767,0.04002701947675784,0.3957321630637239,0.028426134777870652,-0.4416434620603743,0.21334699064749127,-0.4435438265101752,0.3689408657776735,-0.45248741485850424,0.36474532110384894,-0.34618574858988377,0.12892648070707854,-0.24884656623339863,-0.3063049240788065,-0.40977494443316104,-0.3187144511757291,-0.5014118516486943,0.25681783573739486,-0.3907691048398692,-0.47850738543497784,-0.5343315648343431,-0.49094761647751134,0.5028722873108805,0.12306636572004138,0.48350621367412183,-0.4928358096688156,0.4932658609310514,-0.49061221975988456,-0.4191701500206043,0.11389637558090329,-0.3963700797712312,-0.4227148974428459,-0.3887660619983026,-0.42286504294438243
acc_x_rms,-0.5597909646423448,0.9784928818897124,0.7556295595382819,1.0,-0.9083054829874897,0.9808971930743864,-0.49202040186767054,0.9163054969174681,0.7009914117368379,0.9361037740379223,-0.8571574715567423,0.9172767112213619,-0.3025157021688077,0.9289599267039383,0.8386587667528916,0.9234731480778927,-0.8633308991445159,0.9062231171875437,0.11190621910812677,0.8082517497102252,0.662654517402042,0.7969171312569668,-0.7396482902470874,0.7992634257741004,-0.18275868114745134,0.8508739951228285,0.5731772737036748,0.8842774568082178,-0.8552089387619544,0.8652926745056898,0.395615973290629,0.8114553405779911,0.730366172332544,0.7840270433964578,-0.7828903372958264,0.7643924552808867,0.26927137090688413,0.7169177273785509,0.5274348838442362,0.2740088166765019,-0.04057483191090014,0.2692713709068813,-0.17085699508471167,0.6948999960862962,0.3542464984584465,-0.14725010490120816,-0.49226290381927046,-0.1708569950847117,-0.137627959398823,0.686282860476195,0.12203621136523499,-0.13605351385846842,-0.3022370102362626,-0.13762795939882136,0.2784379644575117,0.7841251874812113,0.6568641058675209,-0.2549353298111942,-0.2034797181620717,-0.2784379644575116,0.5859551158131987,0.6721591436993517,0.6753129692804197,0.6227364972435604,0.22337726816718173,0.5859551158131985,0.5020552645601288,0.19670383865417415,0.5277658964797967,-0.050019459581313784,0.5199276855466911,-0.06257955095255138,-0.5257828287497064,0.13122997551987867,-0.4884558978215432,0.28039404617056835,-0.5058153299479673,0.2797147179902641,-0.6253004398694417,0.10824178870967072,-0.5035551413004015,-0.495954767515652,-0.6959770754589206,-0.5094985852095639,-0.7357169434604106,0.20740850715819725,-0.6081267854296494,-0.7194237621442966,-0.7103743605574182,-0.7280887223376912,0.6958083102026129,0.09076654540620005,0.6541536369302965,-0.6802213792133376,0.6821566301313616,-0.6777228163337535,-0.5613341518932082,0.040755867782093724,-0.5777469132097733,-0.6113782060480328,-0.48230964826227357,-0.6032323089221178
acc_x_min,0.7343177597357917,-0.8421276408114341,-0.48841860049412483,-0.9083054829874897,1.0,-0.8931580523453947,0.6639930376979187,-0.8535354355334654,-0.5590076418143691,-0.9362154815569776,0.9686614719947898,-0.9234440394822735,0.12383621499798583,-0.8957740018040773,-0.8618440409652203,-0.8589832196941599,0.7979482517087724,-0.8274854432434054,-0.08583003170983629,-0.8142651913016017,-0.6618036570837373,-0.8233539475866177,0.7481276600761242,-0.8305926400069268,0.24917557112019784,-0.726735776571135,-0.5126670478044728,-0.7934124829021408,0.7487944623900574,-0.7626482668305534,-0.4493764625091016,-0.7732969148365958,-0.7256281577062421,-0.776976327867611,0.6222845001343977,-0.7478335944777639,-0.3341617727608792,-0.6592386039872883,-0.5482411924702155,-0.33860383237529995,-0.016425025224960837,-0.3341617727608773,-0.03517067454886426,-0.6406745897737597,-0.5038877157233885,-0.06116147753687309,0.3508177120148351,-0.03517067454886418,0.18789275644182404,-0.7389219395898787,-0.0870407824640564,0.18606395392436828,0.35634386582875305,0.18789275644182254,-0.42891872956438737,-0.7688063059969843,-0.7436590313411383,0.4038143094995265,0.08841991151510613,0.42891872956438687,-0.4167155822530232,-0.5600565879398033,-0.5760584685117796,-0.47029909537751274,-0.1297425501855556,-0.41671558225302313,-0.48979847734083276,-0.16065992711588398,-0.5208275351319942,-0.006948315290343959,-0.5333158411967138,0.0010972344529018322,0.46590085255478697,-0.04508272097300899,0.41783338953838883,-0.21239447724593427,0.43231287284091713,-0.21467080628520285,0.5939668334561661,-0.0656001044970192,0.49259754470162764,0.4581921466296209,0.6480584879684458,0.46850204397535494,0.6902703883598629,-0.13714290610502872,0.5815114128872355,0.6855270678611267,0.6396039982766553,0.691215859589074,-0.644758085766135,-0.08691323198235366,-0.6041264244964645,0.6293368113950684,-0.6271777386796507,0.6279692332328108,0.5097411805827292,0.022853669662371377,0.5516521432738172,0.582685575335008,0.41902244521377413,0.5708025788696355
acc_x_abs_sum,-0.6036316280202952,0.9479845086412952,0.6675126888074451,0.9808971930743864,-0.8931580523453947,1.0,-0.5137244398725556,0.9135143864252749,0.672019276828686,0.9438154556359364,-0.860956711065066,0.9411028222776644,-0.39449758081363656,0.9270621378887448,0.7953693777044953,0.9318123689083068,-0.8931289460623181,0.9250425219916111,0.08562415861101237,0.8197988449820987,0.6487158941584754,0.8104772156541901,-0.7769475085858023,0.8148595409197894,-0.17197542881168207,0.897521572791653,0.6047855750780573,0.9405702876745616,-0.8852091048169172,0.9234730236562728,0.44397473967805506,0.8582128967034341,0.7824013454942708,0.8309473519891422,-0.8217243975438555,0.8121807850288908,0.20785223697713928,0.7687810239318169,0.4912338839147039,0.2129454950135404,-0.11161460369774653,0.20785223697713626,-0.2729311102204476,0.7555353416179676,0.2939006738861245,-0.24865445772101372,-0.5893453954730723,-0.27293111022044764,-0.05686721859705192,0.6920075262195985,0.20372237479316416,-0.055265588457232395,-0.2361610470081643,-0.05686721859705037,0.2045565588808251,0.8354241590085221,0.6269445755090068,-0.1792293870440428,-0.2970923528456908,-0.2045565588808248,0.662193036266077,0.7410142311250778,0.7427071729709208,0.697536973206357,0.26613363533718615,0.6621930362660776,0.46820038490748306,0.21356945695559346,0.49778228276365677,-0.10867618854653117,0.47227307931569906,-0.12372331933074741,-0.5126834686001318,0.13252740425687315,-0.47177119171190596,0.24464148303071162,-0.4912816864287169,0.2436586826815048,-0.6497074476060557,0.13216721602008577,-0.5167751149088274,-0.5080469323011001,-0.7265749727034706,-0.5235004272951491,-0.7330161724840375,0.2228192589641634,-0.5913079504545274,-0.7129678573285083,-0.7087610360283262,-0.7232726183217237,0.6945962097979433,0.06125071523877818,0.6492764905978308,-0.6800644933375505,0.6873412689940733,-0.6771156062043754,-0.5614480552377958,0.0632775003856394,-0.5641201307317028,-0.6007091087369706,-0.48720524192667725,-0.5939734375981762
acc_y_mean,0.9399985260848922,-0.31536190513931267,0.051665054547122675,-0.49202040186767054,0.6639930376979187,-0.5137244398725556,1.0,-0.32178016211422505,0.1196976538532391,-0.6096003983263887,0.7497485696283956,-0.6910116226933677,0.33636655953455846,-0.5003724434523944,-0.2926949878247786,-0.480196333605212,0.5919397084024208,-0.5449362718115871,0.4922099183608991,-0.5100512977889144,-0.1162270055986781,-0.43837510246910605,0.7137838893278321,-0.4416412622682153,-0.16038976243487926,-0.4591580283854648,-0.6217463728226323,-0.5334417447729466,0.27627133917949415,-0.5223163740429158,-0.8327583175014145,-0.7051001936488069,-0.7913456118953304,-0.7848198838888674,0.18979406272352528,-0.7664658231536738,0.02044954680849682,-0.6825730448924543,-0.2130188970318947,0.015510318105647033,0.3488192299284244,0.020449546808497865,0.18562912075859941,-0.6689802054954471,-0.2632013913985674,0.15746511548881717,0.5308674353123892,0.18562912075859964,-0.18999659216154513,-0.6386367400126506,-0.4286515333557699,-0.19211399688066352,-0.0010691613587637998,-0.18999659216154674,-0.09512444063065403,-0.7200816119073116,-0.4178687615713655,0.06441504903004741,0.40217079897712305,0.09512444063065369,-0.450388787236975,-0.6100794458631458,-0.6505079191759193,-0.5110257047397969,-0.18021472879707412,-0.4503887872369757,-0.10530451466941845,0.08299120727445305,-0.1448394815420724,0.21930209179204463,-0.18683311364672123,0.2092202701179329,0.14146764721663563,0.08150301779138777,0.07071871551058123,0.07215683529387629,0.11007650797260243,0.06730481547603755,0.4968876803697663,0.1797213655913409,0.49008929963837156,0.37449572147706145,0.45618340465562285,0.3694482729405522,0.3992121840746756,0.10982269456440963,0.4159923329417311,0.41270720058228627,0.3119570696943388,0.40409879047759323,-0.2855689378147638,-0.0008286016439795495,-0.2552885155204275,0.27089465571444804,-0.2502868706253577,0.27127659324234416,0.20841190691891545,0.1833688382871715,0.30258120933563765,0.30297113683818006,0.10937306402880388,0.2853949404563507
acc_y_std,-0.43106113928572154,0.9218599930937581,0.6809359278505199,0.9163054969174681,-0.8535354355334654,0.9135143864252749,-0.32178016211422505,1.0,0.8770334398854245,0.9335533896613593,-0.8306949011248257,0.8805208688178809,-0.15833113540010008,0.8959215906997469,0.8969331056385188,0.8889515160077305,-0.7440899027507888,0.8251054956455651,0.382375661368912,0.7960113725280845,0.7877359520257852,0.852793426644814,-0.6203382249139526,0.8612979821022821,-0.3073021470194962,0.784475628785002,0.4310479686600287,0.8428718748638999,-0.8715368896967188,0.8209657291420707,0.25770719984238794,0.7349321686006188,0.65382891250533,0.6484704768270073,-0.7728342825030303,0.618069755005454,0.2503125747739573,0.5504996707755793,0.4508610286356188,0.2538071453211534,0.014748207431071018,0.25031257477395424,-0.12125413491848235,0.5521204071994308,0.3098949073430659,-0.10338152225088666,-0.3729271567144725,-0.12125413491848254,-0.15953314429988505,0.5540943360724909,0.0624796749989391,-0.15843353505223967,-0.29166296858139973,-0.1595331442998841,0.24559270244035697,0.6592828764079012,0.579606244936939,-0.22819781349131685,-0.14279840868812643,-0.24559270244035686,0.4893091295201898,0.5258442014775372,0.5374254312377857,0.5101432678092329,0.24159134281604286,0.4893091295201899,0.48806509986962193,0.12148739691388201,0.47709491592491987,-0.046458696156674105,0.5264007733502275,-0.0522475778173793,-0.4810702932466215,-0.015519260921425956,-0.4727905381790171,0.2287518571330598,-0.4456694641531269,0.23385435713636174,-0.6840888361038221,0.020982283830690632,-0.5872685908035642,-0.5783993709533864,-0.7275146874385866,-0.5880775524292624,-0.767840182870224,0.10833301053849709,-0.6776761944170072,-0.7555727401990989,-0.6930534594301809,-0.7609778952352451,0.663508334228594,0.089864089954406,0.6227037106863658,-0.649410508299232,0.6590124428088451,-0.6476423301226825,-0.5481481580992982,-0.07275154674403655,-0.6270350793896474,-0.613227192657209,-0.44488220408003615,-0.5999141690851727
acc_y_max,-0.00968233909958709,0.7841393293561314,0.7441868704845562,0.7009914117368379,-0.5590076418143691,0.672019276828686,0.1196976538532391,0.8770334398854245,1.0,0.674422294393909,-0.4957604980913014,0.5686983452424179,0.053687506474941825,0.6768768182373147,0.8043812088256158,0.6749030031058821,-0.4361476382444178,0.5657911675768241,0.6793683056888017,0.560623100757307,0.7671733264592691,0.6790931521684093,-0.25356326179286043,0.6849938018292606,-0.38438967333622337,0.5222734905996143,0.10648647554930228,0.5795786582590717,-0.7207364859877949,0.5583699851341415,-0.0863574449356971,0.38443996852811013,0.2927709795529192,0.2675436769715447,-0.6225412662784994,0.2419096067083187,0.22912152498799676,0.21502171624289754,0.3185570752440625,0.23025323506413772,0.15478385943199904,0.22912152498799437,-0.03083199724234251,0.2264418753086671,0.18166474896854595,-0.02520346332816157,-0.11226170228972165,-0.03083199724234276,-0.22748447343872177,0.24981007387998622,-0.1227333560178576,-0.22733947061428866,-0.2771570491426348,-0.22748447343872136,0.16982133319612794,0.3245019141072646,0.3671450320211528,-0.1659957078163117,0.022565383948339037,-0.16982133319612797,0.25964043989315944,0.20966145784833778,0.21089924478633756,0.24865347121946516,0.17480579493596443,0.25964043989315966,0.39109386415784336,0.0989953921152388,0.36011310357802523,0.00990733646978645,0.41201533965242004,0.005448131169667382,-0.37561363260063796,-0.042962358403599785,-0.40490787118771354,0.21578576921771114,-0.35016435052561296,0.22074738446050693,-0.49752207965456335,0.043002061899828706,-0.42005186441852466,-0.4560368174542898,-0.541283451509379,-0.46645162376882376,-0.5830292528299078,0.1146104847640816,-0.5060150278015513,-0.56768916130208,-0.5330189167922722,-0.5761030274718865,0.49976174422318626,0.07073861992816328,0.4710848166048826,-0.4916646068334553,0.5095054609277566,-0.4899556465655736,-0.4165641906185169,-0.04834633374375796,-0.4807010037287443,-0.4594919803001017,-0.3478571785439569,-0.4507930678808027
acc_y_rms,-0.6604545794228471,0.8756373726012521,0.5429235171758425,0.9361037740379223,-0.9362154815569776,0.9438154556359364,-0.6096003983263887,0.9335533896613593,0.674422294393909,1.0,-0.9457469083655444,0.9870365286742039,-0.25961086349657764,0.9417258206031079,0.8578214465274014,0.9286432490292376,-0.8440055277872238,0.8992457427478894,0.11402416571281498,0.8509337601369031,0.6959936209577067,0.8852661778793859,-0.7817312339830657,0.8916019983579585,-0.16834103014451393,0.8527382756131184,0.622944668292593,0.8948394645233703,-0.8324734582768084,0.8683795071574518,0.5310292931696623,0.8595713592889119,0.8225473040117509,0.8389691887063216,-0.7075043418041153,0.8122359126322859,0.21045387473888982,0.7381006885478596,0.4704063894848364,0.21545646272137609,-0.11896463739334039,0.21045387473888702,-0.1553543006046001,0.7361115420068252,0.3817089954075494,-0.12844082592811076,-0.5186327050100201,-0.15535430060460034,-0.07728546174328664,0.7355376226065956,0.20723925895151346,-0.07547460496951894,-0.26249056526935605,-0.07728546174328504,0.25457599119689045,0.8356365845362824,0.6538748873511178,-0.2276591216399126,-0.2705832150163661,-0.2545759911968902,0.5865708880082668,0.694294870207916,0.7084362864151396,0.6310507188433715,0.22772632996554876,0.5865708880082672,0.4838676352027892,0.09829370631433709,0.48573236789775,-0.06426592042805902,0.5361770736748808,-0.06770925030073811,-0.46502230402593087,-0.053114104726014515,-0.4352840851781723,0.17144476340373951,-0.42003553586701253,0.17793414381075484,-0.7231651357898123,-0.029048194787178447,-0.6405770127033734,-0.58836655071083,-0.7540319203154463,-0.5943364588361906,-0.7870274469518163,0.05303666683378674,-0.7153992211815254,-0.7826473605886827,-0.6919562378459624,-0.7827870646286905,0.6689320660106042,0.0700146007087572,0.6232618429502311,-0.6529095698119775,0.6537919748479666,-0.6514830991395627,-0.5515161874375114,-0.11918206033263107,-0.6467937068804007,-0.6313859604386594,-0.42750607201860125,-0.6140698662376226
