,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.21095966749531836,0.5611311108578899,0.11004613597288486,0.4947917475815508,0.25847040683259354,0.981966792708246,-0.11151195823557108,0.5826047749734317,0.1652405352440381,0.3389800317900541,0.29215733798696525,-0.45636969609724604,-0.017420549191403744,-0.008217422447053825,0.15884812834282142,0.03509492447329298,0.2620428134801667,-0.24182809610944586,-0.16431711860589845,-0.2656701424581049,-0.08020311125430234,-0.07169093552964426,-0.10808106811211166,0.12104157156697595,0.23108846282730394,0.21351744258969418,0.22148360643450954,-0.029355951801479707,0.200931838203499,0.2601304024824314,0.08557175775474453,0.2504785262371084,0.21499348537640472,0.2097066383384493,0.17131589656163082,-0.7596066165920524,0.12379517640982174,-0.6147252760234722,-0.7561540310675099,-0.7313401131402271,-0.759606616592054,0.6062449023294846,0.4548302547127055,0.684006346411867,-0.6039227111579819,0.3857446082749615,-0.6062449023294866,0.7132012859977873,0.10798353498497149,0.7427535225828538,0.7165293163638531,0.5362712808268885,0.7132012859977884,0.6499248355589682,-0.18998207875714862,0.6312093576059653,0.6503167524317927,0.5515756509466682,0.6499248355589686,-0.03877707056960019,0.15796455382821878,0.04987189360543343,-0.03245669113184493,-0.08392853671057728,-0.03877707056960016,0.06299042477591978,-0.4980100523303252,-0.055034753044221243,-0.26597439554283386,0.2743066825306536,-0.22796685086321267,0.32164156774890656,-0.3677012872102309,0.1838360455357738,-0.3511771509428668,0.5054328110624429,-0.32220768991666837,-0.26686417833469017,-0.2945177857954746,-0.31519195135305567,-0.1890357810166287,-0.18663408215001243,-0.1783076999209662,-0.09278580693181032,-0.4410300429037358,-0.2108502311525737,-0.3089418614734994,0.21135020198162366,-0.28446407200560536,-0.0451219362776659,-0.4370871851433148,-0.358144072252496,-0.49505182863189023,0.1738338110228497,-0.4798704121588733,-0.07637805870023162,-0.257753187462192,-0.20680346408521413,-0.2892818817805872,0.18313758018795537,-0.26600606799997195
acc_x_std,-0.21095966749531836,1.0,0.5983786698848085,0.7992252229751776,-0.8980413401088153,0.6552425351003928,-0.2654811913605667,0.8658939150284337,0.5472093516167533,0.7064748909364484,-0.8176329129323681,0.563576529197312,0.560873472502443,0.8557809198115169,0.811805546396141,0.7835298819190175,-0.7006485956703729,0.6786601442870981,0.16959968792575658,0.521847333693322,0.5886817781226171,0.533062351063791,-0.27337184575775797,0.5405585312897737,-0.003546373919318449,0.2740178811294129,0.1533065440671207,0.2590717004534691,-0.2308194836318392,0.23189497113194937,0.07028760851166103,0.48423492595877476,0.43280247356158735,0.3118717712550672,-0.2685795003118272,0.24803563501279,-0.08549249938378557,0.2645047538330553,-0.04022125973365827,-0.08249664033571374,-0.20646195895082806,-0.08549249938378582,-0.07954796662966365,0.1629115972634759,-0.009065665193563572,0.08032080372920423,-0.13257789752647145,0.07954796662966028,-0.06744944467707145,0.22816852062721008,0.052002711755324935,-0.06376529474302366,-0.10737841270178965,-0.06744944467707184,0.07290830372928314,0.21860632975549738,0.17873784627774109,0.07457293170040462,0.022153576031459857,0.07290830372928402,0.20368402257956225,0.25736049750473977,0.247468285715446,0.22297035511545557,0.13272773972031177,0.20368402257956197,-0.1576018498628402,0.3666120541934959,0.022948011383006877,-0.1457089989186065,-0.2381885393039832,-0.1919141069778948,-0.13035511297059313,0.214629892668781,0.07815541090221535,0.14569886587502093,-0.2904829023289344,0.13360300840981965,-0.332684248374544,0.2757743137657199,-0.18375018853430106,-0.3219307405317944,-0.47986785697125,-0.33822825057516487,-0.3835884628751026,0.22002820699201364,0.0016054258111078375,-0.21338899216850732,-0.6340947018824763,-0.27072482623344696,0.031291363496733914,0.27024623982421403,0.29783471233284414,-0.06836051082878551,-0.30700360508820834,-0.15646121942500796,-0.13708152493825715,0.02555770915814898,-0.06608512258783089,-0.19182385408679264,-0.20552230797926457,-0.22531738505223575
acc_x_max,0.5611311108578899,0.5983786698848085,1.0,0.680697060220179,-0.27743153538179677,0.6631884931861226,0.5041716317338341,0.5643019391481421,0.9511646544250024,0.6447868218916659,-0.34043287996439386,0.618704141002129,0.10707948105032729,0.6164742130549392,0.6181793164039315,0.6840179950320678,-0.5423492043320692,0.6772935080110041,0.04718059941190129,0.2773644677197092,0.3183507865519169,0.3754756656472839,-0.19448594795287288,0.3546345568006323,0.07270975655834398,0.35193555520402997,0.25270365927711425,0.32140799423575184,-0.18438403622647825,0.2811571563137142,0.2524799036139533,0.4684093064290557,0.5430424068510459,0.3987028874933691,-0.038735497373049384,0.2983254272509506,-0.602624004974677,0.2569529050330937,-0.4690904783516896,-0.5983425275272364,-0.6670648073995573,-0.6026240049746783,0.41934546926141053,0.43765316120670783,0.5175814427048006,-0.41711203244765105,0.20838525731749377,-0.41934546926141386,0.47030822191082133,0.2028226116422226,0.5623510662138116,0.4749127367709713,0.316925384262311,0.47030822191082144,0.5522474468685343,0.029146373882371193,0.6197436675979484,0.5538258936470019,0.4294831727065724,0.5522474468685351,0.047817286354693116,0.32537102127268885,0.17942560545153674,0.07593468297124617,-0.029006466672629155,0.04781728635469307,0.016481910409481403,-0.04291295934697128,0.07143890047058639,-0.1936960078658077,0.06722620250847339,-0.20171567163321938,0.11184259222352383,-0.06267953110759068,0.1901646596562372,-0.11976976962951079,0.10714891656157513,-0.11088928336901879,-0.3587050812502128,0.01280923780724013,-0.30825065991760686,-0.293846362220912,-0.4296016801038015,-0.2984033468076328,-0.32993814119609916,-0.15103194349132765,-0.14437134922992306,-0.3720996734471836,-0.33118165065685456,-0.3932668357308416,0.020081788519551193,-0.10045516679679749,0.010667799921857169,-0.3777253021933163,-0.10342414673133948,-0.43589601887082186,-0.04505278906343653,-0.11673123001450976,-0.08121421820540746,-0.26701437994312016,0.022316175487909415,-0.2714190554897548
acc_x_rms,0.11004613597288486,0.7992252229751776,0.680697060220179,1.0,-0.5615859397229827,0.9688389130407218,0.08778698218817471,0.7113570212591488,0.6576078126290196,0.9026587605448952,-0.5384988359932417,0.8824072261732135,0.0331552798246452,0.7700297477117203,0.5721860530267397,0.8269801031111748,-0.8788945832289634,0.8639599350345222,-0.028276831439709778,0.4719164136137641,0.35431569583881295,0.46198729156387486,-0.4011908684895027,0.4453290475861185,0.21761463819214805,0.7040342937512923,0.5394168188360347,0.47969960306814313,-0.24648421927281788,0.4190467985931105,0.3233177807011543,0.7919128354423729,0.7451084689156109,0.543895129350286,-0.22234792663680175,0.4549592893698252,-0.25696395844028186,0.3917157588861299,-0.12700708213595302,-0.2519493958105725,-0.38954656835084395,-0.2569639584402824,0.0033345826278876442,0.3286199911888437,0.08405381204920814,-0.0016372997226155915,-0.13259141079236436,-0.0033345826278920144,0.058783263245182765,0.3366750986385789,0.20267371273995854,0.06382957552322374,-0.056972948798536746,0.05878326324518236,0.11584595906355163,0.30597182314053845,0.24625239348349698,0.11794270429175471,0.02382785375438979,0.11584595906355288,0.4398566710774263,0.4570415750970444,0.5231554537424665,0.46086942442392387,0.3396350548179517,0.4398566710774261,-0.31438380021173384,0.1241591659990062,-0.24134962656903616,-0.4320623107275692,-0.3059242952855568,-0.4627678959096784,-0.1010182532626628,-0.0034007943188603617,-0.0037877489856551184,0.09620744282157705,-0.1664710479791938,0.10290696401166373,-0.6145912869544434,-0.04993936623195228,-0.5232202117988088,-0.5526999870073123,-0.6767790349961295,-0.553560202762932,-0.5668847491421873,-0.00241074515625788,-0.25403232667317444,-0.44316643894397273,-0.6141322426751874,-0.482146404322143,-0.005204952617977782,0.05520696298156552,0.05345166555379499,-0.3449515896760937,-0.18745843324879,-0.4072750748179464,-0.25016609324453365,-0.24066365548685623,-0.33988159795528555,-0.4554277939040656,-0.09322807123179468,-0.47362553632303106
acc_x_min,0.4947917475815508,-0.8980413401088153,-0.27743153538179677,-0.5615859397229827,1.0,-0.3726972648136117,0.5311136320378981,-0.7619365099153858,-0.24282334223761365,-0.478722161092924,0.8510210759665154,-0.29443885820618676,-0.7140027507966646,-0.7545153499584295,-0.7702754783283347,-0.6331078349269633,0.5409209377826716,-0.4743192377306198,-0.27732117905987125,-0.4895726802980019,-0.647465908753635,-0.4819199400220085,0.1607612443678755,-0.4990579061059939,0.17689296378236072,-0.04975422392850937,0.09406469801844168,-0.020070184041004628,0.2629328144050762,-0.006940469398826964,0.15645794006611266,-0.2585314343292693,-0.14030721844619964,-0.026083729371966506,0.344619137418691,0.008962171383332242,-0.0797633164385507,-0.05159081204241791,-0.031052768180711333,-0.07928034172494557,-0.015142728667437594,-0.07976331643855054,0.1533872261478852,0.10288256974040105,0.14874213167884195,-0.15279348894139622,0.10224667529267603,-0.15338722614788297,0.17743614812914524,-0.01972846028279958,0.1311879707949086,0.1772357481138391,0.11823467633937237,0.1774361481291456,0.035274262939789476,-0.07087252125757566,-0.01687301355021453,0.03468737843987616,0.01579628858094621,0.03527426293978917,-0.04020393014434925,-0.06598093450466051,-0.03463868121630152,-0.04832766886913005,-0.00679927479029996,-0.04020393014434917,0.025495656523680944,-0.4619263559200226,-0.16982391101120287,-0.08156450634155869,0.1650156029291673,-0.029104664598238718,0.14923823890515037,-0.27774725397374245,-0.04418218780873702,-0.16983319963198845,0.34698261496382177,-0.15226521120369946,0.10265387331543625,-0.3857361197456325,-0.048995595577488,0.13877768333925491,0.25491132115485304,0.15516697627964052,0.2545057021642364,-0.35332252119110774,-0.10906902299205305,0.048623155557952734,0.592422004364846,0.1065762946941597,-0.04683566252443728,-0.3439952051093187,-0.3849269707550349,-0.11410674801166378,0.2958028575770463,-0.03227756767658957,0.012683671266063077,-0.104284074469705,-0.08986336263437222,0.028321892118847312,0.17791604669651961,0.0611775192430942
acc_x_abs_sum,0.25847040683259354,0.6552425351003928,0.6631884931861226,0.9688389130407218,-0.3726972648136117,1.0,0.24252537410538538,0.6146641546342207,0.6588653109444171,0.900965124828089,-0.4068478475994286,0.9300888874298326,-0.13481931332731528,0.6836530258003879,0.4569250753396189,0.7816649830711895,-0.8266436371198699,0.8579172452207765,-0.13150585509156318,0.41668130832874267,0.22265630981023998,0.3822705681473614,-0.4366916592651333,0.3584575927088032,0.26641576325905203,0.7869595605566244,0.6158294279013246,0.5345841898240887,-0.2367816225767986,0.46954534266416315,0.37233293215803687,0.8161619299126109,0.7747522462626458,0.5894972321675215,-0.19150831979139343,0.5020174869185428,-0.31938459306517886,0.4131706769817518,-0.16595830851795468,-0.3139125882799024,-0.4478364528058032,-0.3193845930651794,0.03627572752883232,0.38810876358344554,0.12419832982149238,-0.03430647355088662,-0.12404818873362347,-0.03627572752883702,0.11640673620004857,0.3723080611959896,0.2673877760523161,0.12186015766396485,-0.02652622555560643,0.11640673620004809,0.13651835923959046,0.2992045107007937,0.26390695299557093,0.13853487704309056,0.037715550919576735,0.13651835923959166,0.4928542139338736,0.5076418464114433,0.5839025981688349,0.5131654103516714,0.378782732797528,0.4928542139338735,-0.36907060255469487,0.034309757134200085,-0.330336241941479,-0.5286856050978432,-0.3196171403342951,-0.5516139373153608,-0.07142073590277456,-0.06263804247428083,-0.0030330293323670163,0.06187948896823497,-0.09567902154079819,0.07325129783012786,-0.6687129195523545,-0.12670135846726757,-0.5906491198326966,-0.5882106076955861,-0.7032101550582384,-0.5861034039565027,-0.5649210521439543,-0.07598045442874443,-0.28488927083657944,-0.4687938105915106,-0.5359802700828734,-0.5025460686786614,-0.013276608793835194,-0.022541459568477286,-0.03369902100448082,-0.4106030258746216,-0.13587811287415968,-0.4600132932960665,-0.3022886681512575,-0.2882378159334458,-0.41664696238831933,-0.5111981266861453,-0.08384687864333984,-0.5250277930688507
acc_y_mean,0.981966792708246,-0.2654811913605667,0.5041716317338341,0.08778698218817471,0.5311136320378981,0.24252537410538538,1.0,-0.16664690214419756,0.5403037812426678,0.14070610889496635,0.38484685353994574,0.2779665927065272,-0.5225550155006112,-0.06999266334731125,-0.06479822400008865,0.11714119257926216,0.0471103132521478,0.2235630664271757,-0.2175696784739056,-0.19148948817985983,-0.28089629673187827,-0.10328908198615336,-0.041785395893915285,-0.1350246603594976,0.08043556612243899,0.24943709157408422,0.19583731386661327,0.17418305126403708,-0.07564984274241211,0.15077331501656824,0.2168756805384455,0.0926108277451138,0.21885859618779754,0.17079252144902798,0.16627166458676654,0.12452507894129429,-0.759561383156866,0.07326320181550909,-0.6261185777856648,-0.7569479345524884,-0.7106266755632558,-0.7595613831568665,0.6292934795627406,0.4090763565586392,0.6841994176998739,-0.6272077034987227,0.4189870674353534,-0.6292934795627416,0.730574285334571,0.045752654808189616,0.7320975859326998,0.7326801529078043,0.568443666630243,0.7305742853345709,0.6445373869698338,-0.21603969549348873,0.6178878893173463,0.6446780929176017,0.5545679849185572,0.6445373869698344,-0.0886517908745578,0.17821958980936725,0.016410259952046594,-0.08141618888853955,-0.14001584339408496,-0.08865179087455774,0.09091302567114216,-0.48732341331384094,-0.03088452148387403,-0.22724238926362259,0.29077973991773765,-0.18944503307155203,0.33161466947737317,-0.3661101672217277,0.1907128689166288,-0.36171299750950536,0.5090730049617953,-0.33229560173329104,-0.22079369212159883,-0.30165290691787705,-0.2828192293401318,-0.1512760780242442,-0.13483214069059318,-0.13843125451652868,-0.05953164905891646,-0.4034467822626139,-0.17625257254201482,-0.277284320645665,0.23359882397272705,-0.2542515433643945,-0.04280338067746335,-0.4293461594247396,-0.36792113465532605,-0.4603011960929117,0.18133203171152815,-0.44136359067899866,-0.03932718658213173,-0.26665588885527247,-0.18428574814807394,-0.276911459171132,0.21123732868265063,-0.250692527790667
acc_y_std,-0.11151195823557108,0.8658939150284337,0.5643019391481421,0.7113570212591488,-0.7619365099153858,0.6146641546342207,-0.16664690214419756,1.0,0.6272186816326392,0.8353969475396151,-0.940063321684335,0.6902291374835958,0.508609107155073,0.8982464394675724,0.8370299642753839,0.8421303656124207,-0.6639822616472848,0.7257048905821178,0.035771332845627925,0.6339521120829891,0.6023062160792854,0.5997164684321239,-0.438025982290926,0.5997979917503765,0.004169925899042759,0.36770307833813287,0.20771770378190693,0.3652816436018222,-0.2843504703428659,0.3300333074997696,0.09635459075677048,0.45833416155206175,0.46272810972280604,0.3341348568991225,-0.23296608267851582,0.27623698575967004,-0.17179405765145936,0.2840629335750685,-0.1046490882857184,-0.16823552668626085,-0.2909491845300181,-0.17179405765146002,-0.08837338284418916,0.22891353472877693,-0.003963604505153429,0.08939992652069621,-0.17849272241577324,0.0883733828441839,-0.005575489877718726,0.28497983577691605,0.13163358750194384,-0.0013072533462000497,-0.07542119935368392,-0.005575489877719088,0.09274498786010663,0.15400074834052135,0.17688348893112563,0.09401407752432397,0.04863007383359523,0.09274498786010764,0.26206860818052297,0.2548592110242036,0.2910478702385076,0.27593770107868765,0.18337299736560256,0.262068608180523,-0.1410417894393617,0.26185903456636134,0.005583984917114072,-0.16939586152948985,-0.1824933270379675,-0.21198211736208125,-0.08184817812548566,0.2570117359614444,0.17032174035056513,0.09668271293781174,-0.26583964618597294,0.08754157203211481,-0.3414955959809793,0.2318047655095335,-0.1958403373269299,-0.3219616466959631,-0.45292293114221105,-0.33224188745095673,-0.38403479010958363,0.2897033105127025,0.13669144969674585,-0.21130803993761443,-0.6363430477736272,-0.2939433524522699,0.010880842182738276,0.15079119625200446,0.23406458853018894,-0.15420658387392494,-0.22895665365438403,-0.2299185391306952,-0.13065322228867018,-0.0014132828320373872,-0.06886908787108469,-0.17430327022512065,-0.2052069970203341,-0.21139112642176056
acc_y_max,0.5826047749734317,0.5472093516167533,0.9511646544250024,0.6576078126290196,-0.24282334223761365,0.6588653109444171,0.5403037812426678,0.6272186816326392,1.0,0.7141710697805094,-0.39446007460931715,0.6887906589205591,0.09594578846619933,0.6767640445963484,0.6533364377480192,0.7488862206466486,-0.5610544720905655,0.7333522459474555,0.006539809539938809,0.3414038578141328,0.3382761539367273,0.412568676510353,-0.2758399184331938,0.38831013691154964,0.08539852455378583,0.4183451620489653,0.29288118285592774,0.3630759565024843,-0.21574000190917528,0.31777859452544666,0.27566099124086,0.46815807366951984,0.5719586956611658,0.394234189189237,-0.01844329385714869,0.2972650769549203,-0.6497116667052705,0.2559521790119902,-0.5098404257573903,-0.645314201261906,-0.7097965500234156,-0.6497116667052716,0.4160184399004774,0.4326848340395563,0.5074112147365399,-0.4138017131247126,0.19979034763019018,-0.4160184399004821,0.5041417043511819,0.2034224853954098,0.5961183989191488,0.5088354307126312,0.34681119337425315,0.504141704351182,0.5598743855298974,0.0013027263232102582,0.6181250297003342,0.5613202833934684,0.4412209205604363,0.5598743855298989,0.08507275428012512,0.33362981452066126,0.2091960882740974,0.11004797934069993,0.0020529989434463426,0.08507275428012503,0.044229640582582004,-0.08597896141796789,0.07842950724828274,-0.19029147199071156,0.10769828569802581,-0.19912623725547224,0.1409803205613197,-0.008556836172610178,0.2533636220533643,-0.14682373369356091,0.10892983225574401,-0.13854457253852,-0.3595363423865644,-0.012535194392303148,-0.3158313929894302,-0.29549079060775624,-0.4099566384858561,-0.2941517333863343,-0.37276366887754,-0.06840418857118898,-0.08909301078218343,-0.3830679108260189,-0.40165985643528995,-0.4238166052254848,0.043562737336777166,-0.15178040010026514,0.008363678098966397,-0.4007610600872663,-0.04854638690557718,-0.4546161893271064,-0.022179227873285096,-0.1740283927464835,-0.08386276030375603,-0.28815487473199886,0.06583881698008424,-0.2907419397842069
acc_y_rms,0.1652405352440381,0.7064748909364484,0.6447868218916659,0.9026587605448952,-0.478722161092924,0.900965124828089,0.14070610889496635,0.8353969475396151,0.7141710697805094,1.0,-0.6660729464225561,0.970268389658128,0.0437525101081248,0.8091343825182679,0.6130265717383055,0.8729091766434726,-0.8211152488190515,0.8884895971037572,-0.1306268258191009,0.5820121391385787,0.3870035675995111,0.5337467252815237,-0.5433376144274442,0.5118943538127914,0.19927856971112407,0.7665339149869992,0.5563282871767212,0.5547032328929765,-0.31414399945516996,0.488151128015157,0.3264468485804223,0.7471988442864942,0.7410208515340889,0.5383848190200515,-0.2071086746993476,0.45507555922325876,-0.315423507261966,0.391768785959599,-0.17694440251079982,-0.3102919684620556,-0.44502112783628917,-0.3154235072619668,-0.02332292092552788,0.3530975189457173,0.06357228897457183,0.025052881705400123,-0.1769304242483547,0.023322920925521566,0.09947103786277232,0.3734964231525365,0.2560296145580898,0.10502517695801519,-0.033416127263040135,0.09947103786277206,0.12119767221540644,0.2529445900657221,0.23306963547260273,0.12300632487304305,0.03912891809352763,0.12119767221540775,0.47582659003966876,0.44021222051241343,0.5462315005663267,0.4926062979321923,0.3744820105939139,0.47582659003966854,-0.2788318472029841,0.054449559075319065,-0.22685267398675418,-0.42004857189175515,-0.2467373856563982,-0.44813675897542715,-0.04995839469821443,0.05203306519096167,0.09329788076452168,0.04679655769561872,-0.1457979392694636,0.054028794126293515,-0.5899908632679666,-0.05291513091071191,-0.4966828193220573,-0.5255040854061765,-0.6321720860252733,-0.5234615204558828,-0.5368212429656996,0.06274871604941987,-0.11746975437048242,-0.41002494397694184,-0.602373636247455,-0.4692953323177543,-0.02132659063959278,-0.03390481465067867,0.02029214106034537,-0.3943934776180871,-0.12734463715517616,-0.448052535252854,-0.2333871062244705,-0.223147147885285,-0.30878836937893595,-0.4022765897122917,-0.11174386715053658,-0.4255517617677223
