,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.10287924607340772,0.5333034769965933,0.037434672017915095,0.4098342482526812,0.09951439706522332,0.9426017496000324,-0.10311627523009918,0.4993906570731526,0.07487948382080604,0.3856245368332349,0.13899517833887426,-0.3818896020016601,0.08669941578365223,0.06527210598700077,0.17487003766656123,-0.12440889305393596,0.22534752626933072,-0.04350739846430088,-0.2575460074154907,-0.20855522724558,-0.2356073186046205,0.1318724221449311,-0.2464592792716522,0.11758012744467816,-0.14803210288226312,0.024391036796975685,-0.10412096816582303,0.20586362391076138,-0.11750554119721902,0.5124848481396139,0.12815255407230075,0.37689358661227224,0.227109980261089,0.462631979163923,0.19746978544105265,-0.6368073517232171,0.23502767380987377,-0.46617565620768586,-0.6281035533951954,-0.65914707915871,-0.6368073517232195,0.5090564099768646,0.27947273590806615,0.5630223970892585,-0.5042000682472847,0.3046003637210976,-0.5090564099768669,0.6126510774351023,0.09913800474372364,0.6706326557715818,0.6219087622037588,0.41670156286434695,0.6126510774351024,0.562070121681447,0.04550047990009581,0.5879405547983189,0.5682370436929735,0.3989518358966108,0.562070121681447,-0.027454510565540716,-0.0076045846833940715,-0.007813431690190446,-0.02767690454162552,-0.016752360400061794,-0.027454510565540675,0.07660540691639128,-0.2690258105782206,0.051448768934549874,-0.07242754919646446,0.1897326906578654,-0.05464986918512808,-0.10003595969289707,-0.28668768311629583,-0.19760988806849877,-0.17782906439228569,0.04890701392289712,-0.15973147456989,-0.16491485950563026,-0.3046614116030842,-0.27062892728511057,-0.1592251410781731,-0.07384792022992981,-0.1351914454357703,-0.13225880166753776,-0.30027416453810546,-0.2346444946154853,-0.1817026635134171,-0.011735218260747513,-0.15413058633332197,0.13849237959634478,-0.32617254585386585,0.016842805661073275,-0.20292925849096755,0.24344896255087137,-0.17249394706170224,-0.10560127637251507,-0.25436396772035286,-0.19147695874697496,-0.16712447827189422,0.07140103319463692,-0.1427723977001239
acc_x_std,-0.10287924607340772,1.0,0.7228293373753717,0.8736886109793035,-0.886632427755875,0.7875011444402539,-0.06855219142186489,0.7837823329243179,0.49823721459349624,0.7089368671099177,-0.688106171423455,0.6450430377367956,0.2191519029244764,0.8306212336023358,0.7739050150129385,0.8007258711705822,-0.7641341472997718,0.739126350381024,-0.16706632252674275,0.4602027544149971,0.2993395673920786,0.44676670754424463,-0.4407495092163838,0.44135215808036377,0.14083807991694577,0.44183748351710306,0.36020923685747774,0.3844561983729709,-0.24421904642323555,0.3584825205472867,0.12624278673722092,0.5128542424096454,0.4288588321025236,0.4429392524306821,-0.4166226347343265,0.4200542072167784,-0.06975122854489013,0.3591646557801849,0.039997642620938,-0.06439180589741964,-0.22763743885698898,-0.06975122854489026,0.038249927915224,0.3843343082963911,0.22357141720305473,-0.03475435587584964,-0.12059559692202981,-0.03824992791522367,-0.07531956772089038,0.40121960273448093,0.13443814104307936,-0.06739704541382442,-0.18907822890286038,-0.07531956772089048,0.029762934630601527,0.3591794460998142,0.22263660152298576,0.03487797072034314,-0.10868453992363787,0.029762934630600688,0.3676340044274132,0.33583126536356184,0.3974336242196391,0.38399933935498504,0.24372300718078796,0.3676340044274132,0.05430938053562511,0.30978182412962124,0.17411455761565808,-0.19947733387645147,-0.005292838970382874,-0.23361069242991941,-0.29609753449815596,-0.0470179052989704,-0.2083608627745404,-0.0704109136499481,-0.35978393172737355,-0.06465606121627139,-0.5777323162557546,0.11092860032330248,-0.4515616989604623,-0.5415907173236194,-0.6374636683400354,-0.5575585677468891,-0.3751916942561524,-0.038057443781121116,-0.26340352359395564,-0.3282109087600208,-0.46935771861683984,-0.35454132244048897,0.3621341698719848,0.035887704470549266,0.44288869136822967,-0.3157556113139597,0.21619362600915262,-0.3495018087229356,-0.291188364446034,-0.1553855141268033,-0.26100692877560006,-0.3159122096675074,-0.2843496233450923,-0.32817441578736284
acc_x_max,0.5333034769965933,0.7228293373753717,1.0,0.7321396954528254,-0.4084990327523607,0.7004339879424893,0.5377420419227402,0.5371497410621853,0.7552564419432073,0.6011341293277952,-0.2569139615594303,0.5905602903514293,-0.04345900731490917,0.7078554797394588,0.6612754913361142,0.7384581065358227,-0.7037519282924057,0.7262038211938093,-0.1716773160886018,0.25827138463515203,0.12615664930129716,0.2768814615778572,-0.31968679989163507,0.2611693789401359,0.20318906719204485,0.26779372731017836,0.30643854485746885,0.21819941789873928,-0.06359467390975589,0.1848959988484739,0.4337184618813038,0.5239194697436389,0.6072709392317103,0.5097347332386934,-0.04499147696244846,0.4645942293077136,-0.4602986838335691,0.4284958802069893,-0.262386180427367,-0.4504080627638621,-0.5931514883831546,-0.4602986838335698,0.39001647036044645,0.510864745140686,0.5788756660390288,-0.38360234144887906,0.11915585811092111,-0.3900164703604471,0.3395785511109645,0.3688762576571978,0.5346458192918149,0.3514994562476283,0.12529990489445736,0.3395785511109642,0.4036433440207518,0.3283646655403081,0.5770015015833744,0.4119119986502515,0.17668741172004415,0.40364334402075164,0.2306147662263941,0.28879449404732865,0.30111059395066486,0.25497783328327284,0.11075515935712492,0.23061476622639449,0.13886349110846002,0.07780333334173295,0.21739995174777937,-0.16281534311594645,0.15609661037648612,-0.17764377849064739,-0.30189698700212747,-0.22865658043812415,-0.2937551019217256,-0.17742561843092117,-0.252132709408864,-0.1613084195248795,-0.5526936568678291,-0.12162349841060105,-0.5303962805153628,-0.5223509493859676,-0.5434958722868717,-0.5181637613302764,-0.3833268343704307,-0.22429083740954964,-0.3597515347853444,-0.37845291636333467,-0.3805321765953599,-0.3816531109914929,0.37788366177351596,-0.18787159304409234,0.3616458541660604,-0.38298889118649043,0.3263855983811023,-0.38943048169656447,-0.29328817904389654,-0.28970396241836754,-0.3256313033913025,-0.35828581552016836,-0.1674693769246324,-0.35187103781213525
acc_x_rms,0.037434672017915095,0.8736886109793035,0.7321396954528254,1.0,-0.6700951374307265,0.982166513421765,0.08937496110629853,0.7020565792693242,0.5493175011665427,0.8453823061053327,-0.5104833945261396,0.8520039304520665,-0.13814868738120892,0.7846897037423942,0.6014386458200183,0.8258380196231162,-0.8951025174922307,0.8534497070125348,-0.3335330635947449,0.5097446942944477,0.17594081053310384,0.5031083719877363,-0.5810596716550098,0.49274149273512846,0.27484141315484817,0.6595008097464279,0.5839889231271678,0.5324532497592968,-0.2561726341008451,0.49319897708886085,0.28610027280507555,0.7378268088297337,0.645488272398541,0.6559949541870094,-0.4408175330765228,0.6203634916554862,-0.0818550003868943,0.5213320354996672,0.10836041105585524,-0.07277721098272436,-0.2725124771173796,-0.08185500038689442,0.030571346951069868,0.5785336279986404,0.27271868730073184,-0.02450028480260219,-0.22982488451940267,-0.03057134695106931,-0.09744082484321846,0.5413658941187426,0.1502685834518437,-0.0872892136541241,-0.2771547497130833,-0.09744082484321867,0.004170291153549357,0.5126315754280119,0.24152153834027157,0.011483970157798694,-0.2076981206580966,0.004170291153548305,0.5047455249803603,0.5541746473386187,0.6087802665920331,0.5434140925937013,0.3040956803723391,0.5047455249803606,-0.032918605559524416,0.1410385854552572,0.04726700179484567,-0.3816544728003126,-0.05065689226894084,-0.4053439541939806,-0.3295232960113836,-0.06260381739469022,-0.23286429274473633,-0.07642847934353662,-0.3858816357000505,-0.06788684127566968,-0.7358303937799496,-0.006357103104815493,-0.6277231073409336,-0.6645998356114546,-0.757388072783022,-0.6775638626310546,-0.430608491426828,-0.06237652117764961,-0.309827312317767,-0.38136854366624673,-0.515438709405617,-0.41004234070474727,0.41013513173779187,0.021316679240671304,0.4847071049434497,-0.3626063576324279,0.25512117241816534,-0.39928260015476197,-0.338635848800007,-0.21629008590875723,-0.31707832382174916,-0.37633884746043145,-0.2877200112480673,-0.3876137965399143
acc_x_min,0.4098342482526812,-0.886632427755875,-0.4084990327523607,-0.6700951374307265,1.0,-0.5461969568849515,0.3785351437361273,-0.6758170348891374,-0.21105952121136068,-0.49903877059795704,0.7640391362212764,-0.39943388797734264,-0.40594687488080156,-0.6934982216224653,-0.7295174938714016,-0.6227508914000746,0.5430911757712795,-0.5114836882013652,0.0008457194915964776,-0.3884829816173967,-0.36845891128227076,-0.35828784651421963,0.27663159835959045,-0.3598735277324973,0.04750821455156678,-0.30367163585105883,-0.1372207430700019,-0.23647719813135776,0.3080694202885708,-0.22320865278477595,0.1845170336448874,-0.23702207928855581,-0.0837039463629373,-0.12999697024838827,0.48778131052061025,-0.12257920417217266,-0.08564236341976299,-0.08821000341814206,-0.07795312713265953,-0.08463330598521691,-0.013050003920777323,-0.08564236341976274,0.06071803781773359,-0.07893500875023374,-0.004436215101271026,-0.06024281815414663,0.07480941718658578,-0.06071803781773394,0.1690982645807938,-0.15085418217244806,0.07550784938145409,0.16813307036720115,0.16335194175985476,0.16909826458079374,0.08181605909811956,-0.1365280422695834,-0.004307745411682834,0.08118900561450411,0.10186498598056004,0.08181605909812006,-0.1727672153136401,-0.16156764617895938,-0.18434757993717482,-0.18185033597613537,-0.10105187461301388,-0.17276721531363992,-0.0578276948107359,-0.3985732096084552,-0.18052468364737528,0.045150247990567945,0.03936927665565436,0.08289955018390059,0.17648182470774004,-0.07262400122163921,0.07991125045226982,-0.01028261296616848,0.28381017030936634,-0.007593363863788943,0.3328004760384968,-0.2537482175794141,0.1824771380389881,0.3226968446358813,0.42849613797802133,0.34539086647488165,0.22637194893342572,-0.0859524631463997,0.10822882832577548,0.17246007560739668,0.34956554385894495,0.20158141733347462,-0.20641783114900725,-0.15354095433959766,-0.3136236117753792,0.15201280603896405,-0.05774695646985354,0.1895247839697429,0.16441899977012034,0.018354422730087264,0.11326499721936549,0.16747734545049556,0.22889207462314937,0.18515626851909567
acc_x_abs_sum,0.09951439706522332,0.7875011444402539,0.7004339879424893,0.982166513421765,-0.5461969568849515,1.0,0.1547180693659964,0.6465942041487631,0.5463884979063995,0.8450319994321093,-0.42433303432908476,0.8794011337555598,-0.2500575404646585,0.7374761766666121,0.5183643593735415,0.7989160699574968,-0.8812046401943546,0.8567203471447196,-0.3991364680711124,0.5090940936079672,0.11466681739144846,0.5027067461725284,-0.6181272155336094,0.49082085881306886,0.3186862706354342,0.6898711737864337,0.6316888391023207,0.5622901629461377,-0.23061722886537123,0.5218992795269459,0.33770208019892556,0.786426395436305,0.6987694787059076,0.7111246723695843,-0.42794038679589125,0.674400180601012,-0.08903521017821536,0.565121774952386,0.12184851681045708,-0.07886744567893202,-0.2906483623655639,-0.08903521017821549,0.024841449477561783,0.6361549282465827,0.2894500323439612,-0.018019113644803096,-0.2601060783218695,-0.02484144947756096,-0.10078479560846369,0.5839243643260845,0.16199335027780448,-0.08971845103017873,-0.29796858744870097,-0.10078479560846397,-0.003151103928083447,0.5522239474974431,0.2491330248678795,0.00486608517397294,-0.2311165615244546,-0.0031511039280845738,0.5479938595357416,0.6050456276283666,0.6617145555786942,0.5894891051539288,0.32426131959290017,0.5479938595357415,-0.06611138225731544,0.07387014643383207,-0.00027124002662053587,-0.44000140257264075,-0.06291829441728063,-0.4595389263819967,-0.3296741732694107,-0.08024631208543391,-0.23898285548343537,-0.08332775508237901,-0.3716939809462045,-0.0733149367404709,-0.7611029025466035,-0.05652154242066244,-0.666170331691557,-0.6791900824786884,-0.7628721746593274,-0.6892171472946106,-0.4324856575233891,-0.08306542653644396,-0.31840273140987563,-0.38737533092448617,-0.5023567521932809,-0.41422031808440324,0.41430134390842055,-0.001068647608262008,0.47713316704261394,-0.3693802711715054,0.2680510654349044,-0.4035230945728565,-0.34580642478663476,-0.23547392763082053,-0.3298710317650883,-0.3850864548442787,-0.2782846597511072,-0.3944890674507011
acc_y_mean,0.9426017496000324,-0.06855219142186489,0.5377420419227402,0.08937496110629853,0.3785351437361273,0.1547180693659964,1.0,-0.06943809690467631,0.5656066862946764,0.12730174222627566,0.39646167693806506,0.19839130011990483,-0.41092905777727334,0.10102896430671714,0.06424043190139878,0.18912308165633615,-0.14791102908359163,0.24682062856110337,-0.11928021800770544,-0.19389549500740005,-0.22293723427237722,-0.16867128287198513,0.036085744697757285,-0.18267327190574514,0.19681058544330604,-0.06755726738151271,0.12179519068896769,-0.0484461330096897,0.2175583561399239,-0.06771097600474109,0.5296986718293113,0.17490186334755636,0.41397622767458614,0.25926705976134357,0.4196980591581862,0.2299208834594462,-0.6282300531397399,0.2536090626914119,-0.4570562876315062,-0.6193406859436162,-0.6650393502965576,-0.6282300531397399,0.4615744484511637,0.32180221920388397,0.5533445087244409,-0.4565229089703488,0.2574632488505995,-0.46157444845116585,0.5885812490675707,0.1383382047754712,0.6700347170644236,0.5988552756797796,0.39069285976226314,0.5885812490675711,0.5263139165188452,0.09503476563386794,0.5864043435646059,0.5332808567340817,0.36131212849022953,0.5263139165188465,0.02874774831446854,0.0586341263723825,0.053782527727024826,0.030628669363531924,-0.009680493778615946,0.028747748314468496,0.09039092176770339,-0.3061275362227106,0.054248843681820286,-0.10780019436045964,0.21323300432449585,-0.0884988007587203,-0.18335260959735725,-0.3334212423856629,-0.2717092365373265,-0.24298923449912163,-0.021584261770250256,-0.22418512812767105,-0.23785449230710787,-0.35413283826447867,-0.3495492106357206,-0.2352306730558022,-0.12853235779314673,-0.20912581735367147,-0.22163456564804074,-0.34860354003665217,-0.3147193964807345,-0.2695587050369472,-0.08976807298783493,-0.24342193663900025,0.22217679026248802,-0.3673300126925083,0.08811602699394085,-0.2821497827425061,0.3172550654495118,-0.2534227127679811,-0.17618038133039662,-0.3221864149545,-0.26487420801206574,-0.2502297369354574,0.03907094453775693,-0.2251980210373738
acc_y_std,-0.10311627523009918,0.7837823329243179,0.5371497410621853,0.7020565792693242,-0.6758170348891374,0.6465942041487631,-0.06943809690467631,1.0,0.6630147429834475,0.8730507480654558,-0.8741551272656942,0.7641418502397277,0.2536599851281692,0.7918877874443225,0.7144105676768004,0.7631694863031271,-0.6847761547764508,0.6847672402221396,-0.16443857601942274,0.5495188751345761,0.38881231915365677,0.5190875162506847,-0.4958399881296895,0.5208249607738185,0.15991365026222099,0.5170329999668418,0.4118184826619454,0.48308499812695305,-0.30628189365029124,0.45344960388783256,0.08605582400352506,0.5020228192699705,0.4189916655848494,0.3931569551676246,-0.4148263046230485,0.3635065170092008,-0.10241085846078586,0.3055295858594433,-0.006445183842417147,-0.09855879972132683,-0.23734959691096735,-0.10241085846078629,-0.02067183095441621,0.2919564414819782,0.12199866943003766,0.022638931582619592,-0.1449545836187716,0.020671830954416066,-0.0851069371657154,0.36953803164212273,0.11028128204365273,-0.07822814442343917,-0.1834801773114157,-0.08510693716571593,0.020349379802709795,0.28996382322961733,0.1824870469424445,0.024303538441866116,-0.08865395102856717,0.02034937980270889,0.38350380436532966,0.332461197299892,0.40545843243459434,0.39719336091316426,0.2677142890083061,0.3835038043653296,0.03809035836677478,0.2567614036567831,0.13190432232096766,-0.21700401207341177,-0.017405853155206336,-0.24641659775100164,-0.23831210209701326,-0.007109382631708736,-0.14649690275914562,-0.03498416551339099,-0.3302061562982716,-0.031025548156609788,-0.5174755261624402,0.11406024436824208,-0.39578145360495154,-0.4892792179081925,-0.5763110686879248,-0.5024901874681036,-0.31216447316310647,0.010140056613926265,-0.18630070040192442,-0.2633752876715517,-0.4415422637441768,-0.2899711098212584,0.31098418331666144,0.0254227858635133,0.3908014888053578,-0.2730427263762478,0.1912891454891611,-0.29957952901106527,-0.2276870704439621,-0.10541865734754445,-0.18808394266932835,-0.24781370885211831,-0.25137113799535604,-0.2594629176995279
acc_y_max,0.4993906570731526,0.49823721459349624,0.7552564419432073,0.5493175011665427,-0.21105952121136068,0.5463884979063995,0.5656066862946764,0.6630147429834475,1.0,0.6935701588581744,-0.2852306422259485,0.6412427364307536,-0.04881150776117261,0.621460762375611,0.5423729497005362,0.6425571058800859,-0.5970963713031923,0.6351701580779175,-0.16533930395710975,0.30822517469557287,0.18054020071676202,0.3199593634935409,-0.3599344551116799,0.31503127064532904,0.2432014011403341,0.32317799801670255,0.3580585429767639,0.2700891411923319,-0.09313319614414946,0.23715552679660135,0.36869245977293663,0.4540862925766206,0.5372721435986033,0.40890247768504556,-0.022092265845621104,0.36196331346667554,-0.5288485078828432,0.33180672844019143,-0.3604719540335275,-0.5213213894832416,-0.6268926355475224,-0.5288485078828442,0.3796619141374531,0.3879098429005785,0.5229699252452047,-0.375277645082542,0.1650704861115739,-0.37966191413745387,0.3471477784357268,0.29047452162961623,0.5137581281325669,0.3574399479184624,0.16743293056317213,0.34714777843572636,0.4417702328657185,0.2484569644478727,0.5889920223958381,0.4489664703918231,0.2449675295164013,0.44177023286571776,0.21329291640083756,0.25337144311761295,0.27397888131341197,0.23326201506972277,0.11228277950452059,0.2132929164008377,0.12696022957351952,0.02359462591724196,0.17384022894336584,-0.18320277192579548,0.14664709284398236,-0.1926418934304943,-0.2820311515756392,-0.1784239791448789,-0.2603609741490827,-0.15067307494198653,-0.28170286663475574,-0.13819464442951393,-0.5041009891517614,-0.1136823962371728,-0.4864555382950718,-0.491039427775372,-0.4974129016000034,-0.4856975814112255,-0.35934641222810837,-0.1708324585683977,-0.3191367276680652,-0.3437394303936956,-0.4219330229344709,-0.3502622556505615,0.35874012414594847,-0.18815685988348385,0.3493312428112279,-0.36416067636419513,0.32340767203105764,-0.3670266935968341,-0.25816922526961383,-0.24823351454526618,-0.2735038039189451,-0.32150838327019154,-0.15269277953742733,-0.3156841789256954
acc_y_rms,0.07487948382080604,0.7089368671099177,0.6011341293277952,0.8453823061053327,-0.49903877059795704,0.8450319994321093,0.12730174222627566,0.8730507480654558,0.6935701588581744,1.0,-0.652737594840527,0.9761704452374976,-0.08459608509997205,0.7573673504031971,0.5641334344007015,0.8009563069582175,-0.8180903170436998,0.8109075477485361,-0.3034486555595102,0.5537919160751726,0.2508270642921368,0.5374513748041743,-0.5922639030874711,0.5344267004825236,0.2755144962438531,0.7536434473052813,0.6421789201757292,0.6296066234742212,-0.3388221732350819,0.5821175058959447,0.2732443308353455,0.7035935129095344,0.6268778887108087,0.6159227155602172,-0.4090025392768625,0.5792835660874461,-0.11412723937501569,0.490369481552609,0.06908732338896705,-0.10602619909611365,-0.2915170276176883,-0.11412723937501608,-0.02234165596166295,0.49994653836397723,0.1838231692967361,0.027294161651866794,-0.2508579860115977,0.02234165596166302,-0.09278010804310129,0.5352133540091156,0.1522559928068361,-0.08262050688501996,-0.2716955934179054,-0.09278010804310188,-0.005256514192071842,0.46334743989006777,0.2107687047320077,0.001406027690589357,-0.19464486745829576,-0.005256514192072843,0.5281251142593472,0.5282853383087133,0.6084880601157951,0.5590107584500823,0.35677886657521396,0.5281251142593476,-0.051995413516536006,0.11849173235174172,0.013895223506105234,-0.38564032349354255,-0.07130499000232164,-0.4067891757743196,-0.24820676467186634,-0.00916982937891517,-0.1543182109201583,-0.017897157863134932,-0.33723657603465224,-0.010926114286207579,-0.6717208538507271,0.017137867188294516,-0.5664255282865368,-0.6059488000818739,-0.7043099917627599,-0.6177974078755201,-0.34551347389548986,-0.0018223516954917808,-0.21818849489763795,-0.2958664144320783,-0.468483835983256,-0.32442701902928556,0.3354268528983594,0.03254450096811944,0.4183683232762823,-0.2969493181445014,0.20619190409875274,-0.32749443922965843,-0.2589177969444339,-0.15200907945758996,-0.2325122745431991,-0.2923109321908766,-0.248211073533002,-0.3030683986073743
