,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.6046452658622004,-0.13763167888127395,-0.6925330409157215,0.6941208340431388,-0.6695416027580734,-0.385571958620568,-0.3392776276236713,-0.40753513088916615,-0.3698469690626264,0.08980733825714884,-0.38291937189361114,0.5995592606292643,-0.3845853722000592,-0.10107003702536925,-0.19560897265780747,0.796062229413082,-0.1323788882254703,0.2529004355016415,-0.21317197887800568,-0.16944495063637174,-0.10133719684227457,0.2759786937962037,-0.07842789422592106,0.4804650233962289,-0.6759859161652767,0.06164512155545586,-0.17132033618575512,0.5780419218112715,-0.10274264714484044,0.08344614060368617,-0.7193636980557847,-0.35168468737574626,-0.1731908736579474,0.3636315722463605,-0.08344614060368616,0.12264490801638762,0.24243193793681378,0.11783011032145595,0.1231954834326231,-0.1149064656515015,0.12264490801639022,0.04219944694532823,-0.2348917613372894,-0.07048489982434503,0.041724451121483576,0.07893670165069458,0.04219944694532796,-0.32697502884828095,-0.11738661792322852,-0.3511314228115561,-0.3276544426457206,-0.10661593692985044,-0.32697502884828133,-0.026045164392315842,-0.11259246118216787,-0.07100461537329893,0.02601477173631582,-0.05953922873429398,0.026045164392315384,,,,,,,0.20307680490978255,0.05743625889222047,0.10216504936816528,0.14345539247800115,0.15356538445232307,0.1333519212462889,0.06147049476438842,-0.2779038719909911,-0.19375696579670854,-0.02864709552378919,0.16224127076390815,0.07038767970824114,0.08979352027836027,-0.6081152766059232,-0.2356535126228862,0.05084083847477229,0.47857252118275323,0.08979352027836057,0.06627078271576696,-0.24485936694789245,-0.25782733324066975,0.04789481085428466,0.1272779869258825,0.06627078271576681,-0.07409785557894366,0.13581331682969014,-0.0006071882681853329,0.09574136096757865,-0.16765429258155548,0.074097855578944,0.24889698054677947,-0.07484794859498058,0.30858868088667024,0.2943278174477028,0.2240238188634684,0.2862088201834
acc_x_std,-0.6046452658622004,1.0,0.8060411963115868,0.982699147554548,-0.9696567972963512,0.9779080557866935,0.7206473261204398,0.5716738244729659,0.8710989291149338,0.6471482832792554,-0.13704810872347806,0.7190475024085077,0.001683000856559961,0.8687734621827092,0.6207079213841376,0.7680652850154396,-0.9239236666073168,0.7330063952964534,0.28509064064373374,0.8242598739112138,0.716208867103866,0.7407933559691852,-0.7746808389381269,0.7392791499389203,-0.20389539513622926,0.8257124340194986,0.27079662771959984,0.7208247158727372,-0.5185620794802602,0.6937946269150973,-0.7411939686348779,0.8746090189730501,-0.364805091977931,0.7869193795844627,-0.8644252014571574,0.7411939686348775,0.5616727563752916,0.3995637948383172,0.5687736217749126,0.5614583492926395,0.6592924716465722,0.5616727563752905,0.6452971635812343,0.8159621292547656,0.7290263137963682,0.6458334449667256,0.5362045205527244,0.6452971635812345,-0.358351228582524,0.7141190065069247,-0.08920205605533456,-0.3572596783137801,-0.5542418631770255,-0.3583512285825246,0.6757491367661856,0.7328015511230073,0.7255693966707927,-0.6754916554121313,0.6511610458085978,-0.6757491367661856,,,,,,,0.46122385194359194,0.6714257995462716,0.6217622204514138,-0.6332656474886423,0.31739784577246266,-0.6728854714923805,0.14452475138655826,0.7023409669714498,0.5475485509866338,0.6979004544756546,-0.3302692354041882,0.6212819026257217,0.5226525961406251,0.9041994597667766,0.7626874455182358,0.5527693999476935,0.07893936340666198,0.5226525961406244,0.12740004103920058,0.6964265010652316,0.5919078808703611,0.18567838385478322,-0.41426151799201866,0.12740004103920094,0.6025990280161461,0.38520084610900496,0.572236394195568,-0.6167393338624304,0.6583155479003239,-0.6025990280161464,-0.7960010349481946,0.7570418383165061,-0.7658818637551341,-0.8071929530565409,-0.821244323460374,-0.8189899807783374
acc_x_max,-0.13763167888127395,0.8060411963115868,1.0,0.7477641372970238,-0.689369309511895,0.7663239282990586,0.5011008684575692,0.6314986310307198,0.8471078859377905,0.6918964064251721,-0.26616555798587754,0.7723592827088287,0.26329289849817167,0.7338250141130099,0.5930973068023573,0.7706186423508263,-0.5893435307735289,0.757131453859451,0.6361379007564638,0.878910363580157,0.8671613631025604,0.9053973540250027,-0.7114483448949636,0.8917821008276551,-0.1770539723137253,0.6401009296735839,0.184568347765066,0.8980534883239067,-0.44478724044787465,0.9004150562792008,-0.7522982297257949,0.6530089369161935,-0.5498177795857231,0.7674325308501427,-0.7815720976852613,0.7522982297257952,0.759758164417519,0.5425819076751427,0.7109325111408071,0.7595496183137491,0.7333273930267393,0.7597581644175185,0.7592522835118439,0.8597651192609299,0.8008735334269665,0.7595832550204339,0.6411610273719232,0.7592522835118435,-0.6368379367518364,0.7195057550366539,-0.36084718546135175,-0.63634088879315,-0.6910205029223375,-0.6368379367518376,0.7642798418692494,0.8251815503258412,0.7978047318481998,-0.7640821673375624,0.7013193290187345,-0.7642798418692487,,,,,,,0.7120364828295749,0.751615083698086,0.7947453467044879,-0.7992473918013479,0.5771336869456767,-0.8349725714402445,-0.031085092822921326,0.6926968324655794,0.38290891111144437,0.8443223759310597,-0.5039827583754524,0.8191315252429419,0.520444014024863,0.7003236672407338,0.6707165547848958,0.5378583881743105,0.19179898181759822,0.5204440140248623,-0.0815585902052934,0.7186159010415805,0.3966328531925958,-0.017059924335367484,-0.6421803819397297,-0.08155859020529309,0.8039414216258174,0.5963696376771731,0.7736883161278483,-0.8117737341009357,0.8235397977202277,-0.8039414216258173,-0.8732617527171905,0.87795718876711,-0.8107522049054392,-0.8711371765731617,-0.9089561861028223,-0.881752251440052
acc_x_rms,-0.6925330409157215,0.982699147554548,0.7477641372970238,1.0,-0.9770642925454325,0.9972875335318894,0.7391696397787455,0.5737207295662048,0.8602529702031175,0.6539232479007085,-0.13736011132859421,0.7190820301020957,-0.04792188481180786,0.8632633199810222,0.6192890031327525,0.7622252200672198,-0.9418068378436201,0.7220697210754959,0.2044982840867354,0.7982356067679919,0.6894323512448878,0.696618051898265,-0.7810195766214549,0.6933098682315281,-0.23817691687441594,0.8483315307254448,0.26608256150185483,0.689888885601757,-0.5468222153848095,0.6540294369512469,-0.7121791692330235,0.9375644052491487,-0.31016661844468324,0.7701119141572053,-0.8762437304607255,0.7121791692330236,0.5132822422507007,0.35625584389746484,0.5221243812872145,0.5130567010719128,0.621129599780626,0.5132822422506993,0.6037367435534792,0.7984118500671975,0.7022551325228629,0.6042997621448294,0.4963000342214307,0.603736743553479,-0.29792870232931007,0.6875161777955913,-0.05407154778853376,-0.29684282492908176,-0.5125188845061254,-0.2979287023293105,0.6465960134756442,0.6901805443552406,0.6924529335960224,-0.6463748120631796,0.625236818089304,-0.6465960134756439,,,,,,,0.4139709032513677,0.6375659342926627,0.5771510833738952,-0.608978618649996,0.2660428034205409,-0.6449579810409317,0.13323236705888042,0.7133127982513141,0.5523896601885885,0.6397941189854272,-0.34538953938139766,0.5508063015729078,0.49270691164414576,0.9134408411656396,0.7567244091152452,0.5255107031026667,0.04224048618671755,0.4927069116441452,0.12813824819116187,0.6994092925981398,0.6142448944355167,0.18585933890112036,-0.4139113477487256,0.12813824819116207,0.5741735758985665,0.38050553974963364,0.554850513941447,-0.5891746112283899,0.625403727417298,-0.5741735758985665,-0.7807360483871074,0.7291217830431425,-0.7584277225038939,-0.7949994850322424,-0.8026454294157777,-0.8054013186696423
acc_x_min,0.6941208340431388,-0.9696567972963512,-0.689369309511895,-0.9770642925454325,1.0,-0.9656665620156305,-0.7400690941599171,-0.5278174633642089,-0.8324614407052445,-0.5976267795344117,0.07538031992377221,-0.6632466797221126,0.08878379364223532,-0.8156917452155533,-0.5644181366423056,-0.7003509578309908,0.9496730650193717,-0.6602402348743475,-0.16060958843183218,-0.7328398395100265,-0.6138608470804121,-0.6276579914705965,0.7280607337952748,-0.6249502469336028,0.23982677582988385,-0.8252914077527745,-0.22880430171109817,-0.6376231954337328,0.539963093362675,-0.599693907517355,0.6615529814144335,-0.8793286307398761,0.2758531520745992,-0.7169722516856328,0.824367848137671,-0.6615529814144333,-0.4456613563165938,-0.30001788259789214,-0.4605125095100939,-0.44547124066203464,-0.572682186299651,-0.4456613563165924,-0.5463227157835311,-0.7367216915333312,-0.6504655054583937,-0.546872327307678,-0.4531230775893314,-0.5463227157835309,0.22512339998846448,-0.6505770539885738,-0.03890313017320641,0.22394129531122975,0.44903843658319076,0.2251233999884651,-0.5877517711033545,-0.6522212215383041,-0.635937828372351,0.5874840101864932,-0.5717461738469922,0.5877517711033545,,,,,,,-0.34288005061076876,-0.6031407757179728,-0.5177205329016575,0.5566361509724386,-0.18715278791338838,0.5907511950509016,-0.166369394789371,-0.6356797414664173,-0.5405271875122345,-0.5872060758845516,0.2618929612523569,-0.5014728030351437,-0.46220079246806706,-0.8743069189797323,-0.7203798058986349,-0.4940387742286793,-0.03490533474064525,-0.46220079246806645,-0.1596183050982275,-0.6154423643594832,-0.5881947438479864,-0.20829712329242386,0.3205881246695752,-0.15961830509822783,-0.5005469748518954,-0.2988821335953729,-0.47436708586109405,0.5172461875516484,-0.5636779705746311,0.5005469748518957,0.718612401656051,-0.664167429240999,0.6991202898844464,0.735594992762066,0.7416550800406805,0.7453014722795358
acc_x_abs_sum,-0.6695416027580734,0.9779080557866935,0.7663239282990586,0.9972875335318894,-0.9656665620156305,1.0,0.7421731462879639,0.5944176120019642,0.8761400403709212,0.6693459618132961,-0.1605751730229985,0.7344942923552159,-0.0035444492765479003,0.8793325895459956,0.6484868923202618,0.7938757103973617,-0.9204573264121081,0.7546777899548819,0.23066172303176843,0.8267358157857717,0.7202602544045875,0.727441267831434,-0.8081032956478268,0.7248190511975003,-0.21828903140960404,0.8359050613274962,0.2852629116870128,0.7154420983406236,-0.5283083751935789,0.6829334266580602,-0.7360364053099385,0.9462332381938431,-0.3452309173881293,0.7928824052424815,-0.8978351081436781,0.7360364053099382,0.5555074242336488,0.387362573098784,0.5619369022258975,0.5552729668406329,0.6562766877045919,0.5555074242336474,0.640480196371324,0.8155933153365478,0.7346839907896807,0.6410112959942302,0.5356235813592716,0.6404801963713243,-0.34346635658255026,0.7135526222379135,-0.10662915417662247,-0.34241938340943334,-0.5520443825525272,-0.3434663565825506,0.6832401372071956,0.7047734825885181,0.7248607925869146,-0.6830509808693553,0.6623141076782343,-0.6832401372071953,,,,,,,0.4606944619561665,0.6600017884750374,0.6136602368449879,-0.6261613285573414,0.31091223650172534,-0.6640846369935498,0.12329254542590931,0.7537220722413767,0.5627891871324112,0.6588747532550313,-0.3806586064134852,0.5682667011333058,0.5186290949848085,0.9257188003564552,0.7801119665915359,0.5511657031462265,0.06519826123970669,0.5186290949848077,0.1194147428058025,0.7406802718544387,0.6316959120941936,0.18222036106689807,-0.45448194174643003,0.11941474280580287,0.6107217329965305,0.43052014568317043,0.5976591920757311,-0.6237602139083336,0.6513364052327455,-0.6107217329965308,-0.8115276590964682,0.7560934575112146,-0.7854294538919429,-0.8231147308237518,-0.8304331839309164,-0.8336272146777153
acc_y_mean,-0.385571958620568,0.7206473261204398,0.5011008684575692,0.7391696397787455,-0.7400690941599171,0.7421731462879639,1.0,0.05466452917382106,0.6745854333947408,0.12289661968186731,0.4267819189670055,0.21479330556314105,0.3197171993716409,0.7963659378166127,0.795859420620541,0.7148666722291235,-0.6056367980216167,0.7158650123875518,-0.202961762518649,0.6286130316287517,0.33549864704599464,0.3935436011423747,-0.7707311747045438,0.4245956673760086,0.27363686062388926,0.4543188969833413,0.6035576142107913,0.40473634605412423,-0.029854013926596604,0.40917482036192526,-0.7240902328152117,0.7532198952716516,-0.4482442672716725,0.7561839583442798,-0.775531603035318,0.7240902328152116,0.4703660844438034,0.3584384130553564,0.5124981108336087,0.47052071091416126,0.561071580383743,0.4703660844438036,0.6331092277364624,0.6057093796533668,0.6831742844353903,0.6334955427906201,0.5532994795503754,0.6331092277364622,-0.27348925199184415,0.5350867079057605,-0.11257747752126168,-0.27232844442514653,-0.46637007545719056,-0.27348925199184226,0.6014216054403371,0.6323328132784213,0.6392145940644096,-0.6010535880677108,0.5269870648605409,-0.6014216054403381,,,,,,,0.31402464928329915,0.6430259967300168,0.4939788816637294,-0.17082595439066922,0.05943177571721724,-0.2350412064630505,0.6603978928014229,0.6063917965740108,0.8791495665586424,0.5038251922284613,0.160713135326556,0.4340408627057526,0.7623764850086182,0.7153782513137099,0.8552563812989603,0.778456942253556,0.5311560522829275,0.7623764850086182,0.643603390181639,0.5546786717152141,0.8610116573158653,0.690023357382999,0.035616866132006,0.6436033901816388,0.22169392811229474,0.25026532395867257,0.2980475114132496,-0.21855646952893193,0.21713321753608142,-0.22169392811229494,-0.5100387196866887,0.5950084979409198,-0.41496946687193237,-0.4811112183303334,-0.5354748260870841,-0.5115534261541933
acc_y_std,-0.3392776276236713,0.5716738244729659,0.6314986310307198,0.5737207295662048,-0.5278174633642089,0.5944176120019642,0.05466452917382106,1.0,0.7298401024084843,0.941880739855741,-0.8072308717465619,0.9321241801832123,-0.12173873075602881,0.440619324441603,0.18998106844320425,0.4896752916327266,-0.5399356957914309,0.44359405148090875,0.7002592104804151,0.621305585475453,0.7993354495673199,0.7550815045377067,-0.40100435873566564,0.709571207635088,-0.5482547080920954,0.6763795802541426,-0.2238903973552675,0.801991062036067,-0.6760237619551691,0.76185777251374,-0.36591186040019114,0.5030199570342191,-0.21700351185925154,0.4006560102721802,-0.5114421745174583,0.3659118604001911,0.4945563139719021,0.2738429470240219,0.43001303491614945,0.494030650850198,0.5683882954906959,0.4945563139719006,0.4111735844907794,0.5150622532003322,0.4626764271201362,0.4112163163306758,0.3859097672121371,0.4111735844907794,-0.4070697784921351,0.6400172810175793,-0.215360443382765,-0.40683067779264037,-0.4798098235984479,-0.407069778492137,0.4836451066082214,0.379143194380527,0.5033500763550934,-0.483878075519287,0.5200057258446248,-0.48364510660821997,,,,,,,0.5599449145709327,0.35870722136520694,0.5250948570102464,-0.8411656576772072,0.597518947853969,-0.8263061194850188,-0.5783032158572238,0.58314698010643,-0.09598309211133133,0.5510445553645281,-0.8665712184066885,0.5014145737855348,0.031244925820891608,0.5696094096436117,0.2974743575811513,0.056619250018596176,-0.34784807236150705,0.031244925820891,-0.5876407859734211,0.6161699988343482,0.029163011502715365,-0.5296890413522392,-0.8691047241058879,-0.5876407859734204,0.8185611197896311,0.56510744628681,0.7343429558898205,-0.8339096231427245,0.8293103019108018,-0.8185611197896316,-0.7609107088365105,0.603267331436867,-0.7684327393117134,-0.7960042015933348,-0.7415700253174394,-0.7792090118465536
acc_y_max,-0.40753513088916615,0.8710989291149338,0.8471078859377905,0.8602529702031175,-0.8324614407052445,0.8761400403709212,0.6745854333947408,0.7298401024084843,1.0,0.709724676392746,-0.24601889474632882,0.7777619930906783,0.13564444382294727,0.7963262166693763,0.6170799447842266,0.7897814468699035,-0.7369192775093705,0.7593993639604053,0.4274168559290827,0.8567634120033372,0.8029378751248578,0.8159284297621937,-0.7595011568788648,0.7952085739864944,-0.248553293455974,0.7395570837796159,0.14997452603544903,0.8936782341559812,-0.5114933604115598,0.87598997923111,-0.7072587940867776,0.7903295122322773,-0.4428369675109776,0.7472201004118587,-0.8264486810498725,0.7072587940867777,0.6850166922834353,0.3793827081235943,0.6368566757041381,0.6846273775393419,0.8146309685584724,0.6850166922834346,0.7168115998147071,0.7479116021021394,0.767889211632201,0.7170289074674816,0.6410351829427745,0.7168115998147065,-0.49001945059663127,0.7635537689867031,-0.2502069308542048,-0.4892170897582997,-0.6301593568644023,-0.4900194505966318,0.7415212079551144,0.7197937204253076,0.7768839066412756,-0.7414312606402585,0.7022654313226443,-0.7415212079551138,,,,,,,0.6308718763570199,0.6675035157213828,0.7074562979368976,-0.7360540145531634,0.5062717097776337,-0.7655306924968635,-0.01872794665355648,0.770482491247777,0.45407836972287174,0.7370409766554138,-0.5151801605984202,0.6724240550343455,0.49395487211443995,0.8332931066431573,0.7340183886492593,0.5209848108345978,0.09434110456811161,0.4939548721144393,-0.05965497746567024,0.7637671958948684,0.5030427169343243,0.011030387425709035,-0.612190393575182,-0.05965497746566998,0.758881783974893,0.5337135631253832,0.7180721415892304,-0.7685756465054161,0.7875894794657099,-0.7588817839748931,-0.8884631938384709,0.8186126897203334,-0.8360848006291453,-0.8945565812295285,-0.8855326990938566,-0.9013963165016652
acc_y_rms,-0.3698469690626264,0.6471482832792554,0.6918964064251721,0.6539232479007085,-0.5976267795344117,0.6693459618132961,0.12289661968186731,0.941880739855741,0.709724676392746,1.0,-0.7555619864505437,0.9905558336413732,-0.11262133727897261,0.5254617528345781,0.2772691579148056,0.5410145107520345,-0.63441089237413,0.4994189381976898,0.7101137412410419,0.6763674051447954,0.8442046298268884,0.8056847879795804,-0.4490811181473186,0.7725911795640185,-0.5094552483052501,0.7967989706654407,-0.09907640191057082,0.7640627597354581,-0.7256221918389055,0.7167486085296446,-0.4898268884036012,0.6081203133550841,-0.266699522236697,0.5245720615554078,-0.6033725491824771,0.48982688840360106,0.5003107410753155,0.4137596070784082,0.4849702482082445,0.500031657033396,0.505311771700002,0.5003107410753134,0.44300392856184784,0.6678423098849183,0.5270012015050004,0.44333529168734054,0.35822467781507805,0.44300392856184806,-0.4245114127853474,0.7065558882618135,-0.1526769743720011,-0.4240839878235406,-0.5261389634059546,-0.4245114127853497,0.5247077441223145,0.4792038897526524,0.5567434847181243,-0.5247807503691005,0.5412316918993175,-0.5247077441223129,,,,,,,0.5456093783798085,0.4637196339899538,0.5794298833340074,-0.8976859021475955,0.5374199025676588,-0.8862461824552376,-0.4791562683788193,0.5881388782543926,-0.015643729157255194,0.6335490467413949,-0.8068645969276149,0.5791150154049592,0.11392979285579125,0.6200105911813297,0.3651216628636602,0.13912423560683362,-0.28936313668331043,0.11392979285579062,-0.4586809248965528,0.6306855589828793,0.10901766449804431,-0.4070213993773473,-0.8094013018383285,-0.4586809248965523,0.8094530504101849,0.5745413058120061,0.7546928376114925,-0.8290868709396673,0.8266461700509997,-0.809453050410185,-0.7724278551028974,0.707921502914589,-0.7633322788258574,-0.8049602436472959,-0.7968866615900042,-0.7952581408062402
