,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,0.06155295096532341,0.5626693047918453,0.012827850070927379,0.40003892359020393,-0.009847405314294384,0.9261493129178099,-0.08549520031611461,0.5442113276135069,-0.005911884635298053,0.46566412220536263,0.02656851463118848,0.06724345343446791,0.06290996767664685,0.08218075475764297,0.04669505229809823,0.013218749930030827,0.0345328005274042,-0.24746692384531627,-0.14073883860676792,-0.29541776474853226,-0.020818957790182585,-0.03059565077619213,-0.022599949740690083,0.09040503650918665,-0.2533586773881161,-0.08337478380339185,-0.23185022775555036,0.25877508744206623,-0.2629440276944805,0.5387985574234826,0.17794617255733605,0.39680739476616717,0.20826709344269947,0.44623283743421616,0.16557322126008556,-0.5953679204195664,0.2263713236691792,-0.3981288084642585,-0.5818850212656803,-0.6573649224746454,-0.5953679204195697,0.41733821120839387,0.22140894208996312,0.42845380676836886,-0.41494605160711845,0.28911140240122996,-0.41733821120838843,0.5824006185081342,0.07559879850915854,0.5944806991870518,0.5910719904298585,0.42355435256330554,0.5824006185081326,0.5394480344685914,0.037652612577312804,0.6284976461990462,0.5438598739355395,0.3642289230048518,0.5394480344685916,-0.12888490073059955,-0.15068359776003298,-0.13775669998626222,-0.13365821005294473,0.011928608543196136,-0.12888490073059963,0.06895184108775429,0.01361026995711828,0.12665192462856512,0.03259544025972281,0.07436361798040866,0.03609014788832787,-0.06019794998602879,-0.19409824250370009,-0.1335203743927081,-0.12388392539663594,0.036852488892719276,-0.11365256074216325,-0.04495806387393347,-0.08251014017086285,-0.07151803219189526,-0.05079272907829336,-0.017982331102783772,-0.042822628347180904,-0.0568561669124513,-0.1736799591862534,-0.12458698422241474,-0.09602336347377309,0.03479889783310231,-0.08225478986918977,0.06436735504109588,-0.13486682040886724,0.02188832469903553,-0.09298792592705572,0.10094791754802215,-0.08198421129881331,-0.04628279860257374,-0.13969521443251184,-0.10361222585115812,-0.09282288620138343,0.03230555031340261,-0.0817342967852721
acc_x_std,0.06155295096532341,1.0,0.78112393689887,0.8930972777046542,-0.8151368906296316,0.8130602193847963,0.069901469040093,0.8793312571498196,0.6906671125199874,0.745168749520104,-0.7107400597723075,0.6671761108675279,0.29121815619220226,0.688508892341174,0.6558261605080375,0.6715263830898439,-0.4908977830760932,0.6581664902196792,-0.27752038361464715,0.47436006570973466,0.21191624976666937,0.48966683709001774,-0.5152973543079639,0.46823867600070923,0.15907739395334045,0.3450155324465825,0.34247588279583135,0.32594118712284537,-0.22258051287844885,0.31560173153298887,0.10345881668710522,0.5323168731570853,0.4259236794910456,0.45291706638177925,-0.4568698311340716,0.42635137531209116,-0.0885443779471942,0.358846940262378,0.04736355804336903,-0.08083613847521112,-0.257446276939612,-0.08854437794719448,0.1892796187442671,0.40586937225246633,0.3392607377461505,-0.18713977909090554,-0.0027598561314266306,-0.18927961874426535,0.0467080863329826,0.3646359154267948,0.2348389196258773,0.06183718432186306,-0.08950757781736197,0.04670808633298271,-0.004827884003118504,0.37058413462270273,0.19812082855298027,-0.0009133618308921209,-0.15818814382593782,-0.0048278840031193,0.3138822647074154,0.34139431830419514,0.3701357952881887,0.3379371276534942,0.16390206521126102,0.3138822647074154,0.3156557106968793,0.2979360817681273,0.5049146695975436,-0.009554385025017846,0.17156737480638432,-0.04539792947667509,-0.30896361690663027,0.034276426447707536,-0.19947527161029124,-0.10051550238705115,-0.4165533020859251,-0.10998452923957941,-0.28327860662762416,0.21728482110601807,-0.13868185533170446,-0.2520901048026657,-0.38599605448307645,-0.27544954271901456,-0.3666263779141231,0.0644832904720231,-0.22533282670580435,-0.3133953526157183,-0.5079821216302284,-0.347299529163191,0.3281400976357803,0.11601407594435055,0.43048740573821315,-0.2799106369985629,0.1730897113292,-0.3126709961012284,-0.3085971225259012,-0.007300552840768141,-0.21454423288003163,-0.25414464931080966,-0.36295712671000774,-0.2751081842888631
acc_x_max,0.5626693047918453,0.78112393689887,1.0,0.6899876515502787,-0.35001784954689735,0.5955576795191708,0.5224713146281704,0.6070600910750487,0.8944309818094004,0.5463629895173558,-0.23883036354136436,0.489479498695844,0.31897970255182984,0.5891604562508087,0.5810724434145284,0.5767881251418576,-0.3674627347675858,0.5590053884702639,-0.3496769473605649,0.3463713192661003,0.05383504417874126,0.42323386808420327,-0.45145498197170925,0.39925516212534623,0.13607594697718803,0.14159613860649853,0.1975058998588417,0.08749771376455658,-0.07358329407627952,0.05983867654408704,0.322037876673629,0.4669123523708758,0.4919335534791941,0.4284390016270287,-0.11495254399280128,0.38518918681710007,-0.3178196552879654,0.3735151510467095,-0.1185243595349225,-0.3056759026925783,-0.4611177612011128,-0.317819655287968,0.3277837722359653,0.41361115497337075,0.44304109826758875,-0.32486540618299614,0.11633228334066857,-0.32778377223596156,0.2710615287725305,0.27009604791465863,0.3903841932428088,0.2829214883339975,0.10770206967947538,0.27106152877253,0.26320067161995025,0.31270691138548856,0.45870692319782463,0.26826885896659397,0.04925544231199214,0.2632006716199462,0.11272186608128378,0.17148272616038376,0.17099366585936876,0.13473683541442336,0.04906303763863801,0.11272186608128386,0.2741905822386584,0.21922178716544347,0.42719578118802753,0.011496725662217034,0.16157341108713102,-0.007480033963846669,-0.26632357547547525,-0.06690145406198883,-0.21605462181312837,-0.12798343591945807,-0.29666801264673304,-0.13044405933732955,-0.2825752556074171,0.14928270593483017,-0.17236632282921274,-0.2597847029415916,-0.3594982520035817,-0.2782003321469104,-0.30083925633904757,-0.018739828691976167,-0.21797060069754598,-0.2758551056561843,-0.3629325173256892,-0.2985701342925593,0.269917971662995,0.04919490253690643,0.3336459307162137,-0.24352786558418177,0.1597379050440398,-0.2662192333478187,-0.2814957779779428,-0.060400291338310076,-0.22345437795993453,-0.2507814949833977,-0.2884313661811463,-0.26524704588482967
acc_x_rms,0.012827850070927379,0.8930972777046542,0.6899876515502787,1.0,-0.7004612245318427,0.9801881844682562,0.06087981433041603,0.839187680489656,0.6408910933830423,0.8984036299104605,-0.6351011526349316,0.8649132262596395,0.0169316510393237,0.5929693592646638,0.491272283722274,0.6407189264169217,-0.47102148030616714,0.7129385672819485,-0.35306082229086005,0.5835371924475312,0.21772884657809227,0.6552481120060156,-0.6431822199656385,0.6385799972913605,0.17065629948061867,0.5464015691462112,0.508148756152437,0.4778844421836015,-0.33341581088254135,0.45967510540796147,0.1533661690239287,0.6902334662424021,0.5494264181379486,0.6305188784232839,-0.5540605676944304,0.6001544966352155,0.012777240660414428,0.5005401568501465,0.20699414924044574,0.024882841105400583,-0.18933364324682778,0.012777240660414682,0.1953962455211316,0.5701930229578834,0.3900643302659721,-0.19141229883446936,-0.09272232325352225,-0.1953962455211295,-0.046453100842456886,0.5054261961115304,0.18249493526914734,-0.02796057902247862,-0.23862590422034763,-0.046453100842456664,-0.1353734919132146,0.5384178326868561,0.10682116352005609,-0.13005784223642114,-0.34384915945058664,-0.13537349191321554,0.42600226661898133,0.5791690119874189,0.5812786497189091,0.48351841021719777,0.15288214522028537,0.42600226661898194,0.34122719032202936,0.1673812133267268,0.4619256620769409,-0.10731817303492025,0.23981656604531862,-0.13143871506659185,-0.36897603113612004,0.0291211412500347,-0.23897471271321555,-0.10359607400389723,-0.4777453027747964,-0.11104984411587919,-0.4614838436603694,0.09845427936441056,-0.3267133016922433,-0.4120099618634557,-0.5292251650278521,-0.433122539808371,-0.44904246655500574,0.05225932985503211,-0.28525575849672413,-0.3869962280411193,-0.5864525582521042,-0.4257729370329348,0.39562578361693473,0.1003507207884747,0.48988000535410386,-0.3397569789941214,0.22680471536351968,-0.37666147649188375,-0.39893570828215075,-0.04980036110530807,-0.2953685815456993,-0.3380278241891104,-0.4348681511667596,-0.3617731766757469
acc_x_min,0.40003892359020393,-0.8151368906296316,-0.35001784954689735,-0.7004612245318427,1.0,-0.6308292289347496,0.352804495839432,-0.7580682095871393,-0.2795941965575076,-0.5726135878486084,0.8722815590180758,-0.48191048659967234,-0.24345635652169237,-0.5906647111649405,-0.5809395254109322,-0.552594012707562,0.4600692732706118,-0.5082214232594681,0.07174672068237814,-0.32296672900938456,-0.25120713559045904,-0.2732943587929849,0.3022494019606249,-0.26156591108357635,-0.01937050877542175,-0.3151388108136165,-0.2151124356565714,-0.2948971533486466,0.28337024001467664,-0.303461743618245,0.20795070178919606,-0.25393246172379974,-0.08929341580443569,-0.1931672281763384,0.5273354874253184,-0.19748237627186727,-0.06165966310376375,-0.12384886450894246,-0.07193629306197183,-0.060320989845221946,0.02794531306184561,-0.061659663103765125,-0.058283298281648584,-0.16319945439098607,-0.14277384915125077,0.05849277131876162,0.004474697787499194,0.05828329828164929,0.08939263995936453,-0.21069382230193193,-0.04420320233117877,0.08098980629283496,0.12555607922794182,0.08939263995936415,0.12316886889380098,-0.18578664207979764,0.030954553278547053,0.12222747226266348,0.1582781671874356,0.1231688688937989,-0.25738374237414025,-0.26927231983218286,-0.2894867807891125,-0.27266533263955833,-0.11998864014811786,-0.25738374237414013,-0.23949585225945547,-0.25077265976610336,-0.396879349295494,-0.007035764333144182,-0.12229826827951391,0.02892692601635759,0.2257083745140069,-0.09349070610796119,0.11706133287681805,0.030846188744324852,0.3572796907288779,0.04078434940641231,0.14733238177683194,-0.21747009180729773,0.023660277193708962,0.13432725842751975,0.23824477423629284,0.15327955416290712,0.26064699469111313,-0.09923142195085441,0.13501906305840727,0.20616255596050104,0.4150155484107106,0.23344171549246018,-0.23717310810961656,-0.11113567820176244,-0.32848479806310454,0.19224637149565169,-0.11272242054371101,0.21749443489784498,0.2041982023030166,-0.0379785476679386,0.12079391124668527,0.14777346125950533,0.27575537499712466,0.1641997008811196
acc_x_abs_sum,-0.009847405314294384,0.8130602193847963,0.5955576795191708,0.9801881844682562,-0.6308292289347496,1.0,0.05766561985073064,0.7925542739559199,0.5740570136371871,0.9087699920501259,-0.5884709804125349,0.9003923296847198,-0.113373933229562,0.5205021875433813,0.3928684753082052,0.5868052524654849,-0.4560140919109283,0.6886678350928723,-0.36473685975251796,0.5809069166232153,0.1953905130389942,0.6714508608609738,-0.6505412936732828,0.6601929330585736,0.21295803437453223,0.5867199477595892,0.5652811751422462,0.5200298586709882,-0.3212949488129598,0.5019617497542966,0.18502139715951585,0.7273841047803027,0.5882457464496981,0.6710460801517267,-0.5533491257100185,0.6415847014698197,0.04884043925597466,0.5315902573021763,0.2499482812629696,0.06198977742141611,-0.16465442828030366,0.048840439255975254,0.17850184368881805,0.600982604966538,0.3853171872142403,-0.174080974509585,-0.12527993820746522,-0.17850184368881625,-0.07763643997781525,0.545041968223508,0.16692720238545355,-0.05747242638164617,-0.28020062146508545,-0.07763643997781484,-0.19049453265603028,0.5807666907013777,0.0663752816247624,-0.18485787933068373,-0.40133280766814017,-0.1904945326560306,0.4828950506318193,0.6465222902403815,0.6501757821263787,0.5449582625261643,0.17596398794920923,0.4828950506318202,0.3309084050275343,0.10544508091755195,0.4211620396342894,-0.14285907612674384,0.256965565968363,-0.16223834647312535,-0.37843908791302117,-0.004320490581562508,-0.2589876955021942,-0.11310532601219471,-0.4692695268562658,-0.11663595897733907,-0.48693697180690654,0.024436823171834227,-0.3751070438405367,-0.4347399046973959,-0.5312324962773892,-0.4503877327232415,-0.46396191930491837,0.009283220458872121,-0.31338086941353205,-0.40685353844669664,-0.578281278010085,-0.44051183528009474,0.40667196009388074,0.054623982247005876,0.4794664842468321,-0.3549772194573078,0.2528051339994439,-0.38746086902923604,-0.4084201016236772,-0.08912888860695148,-0.3209318032747025,-0.3554379902286174,-0.4257261879020373,-0.3747155427534888
acc_y_mean,0.9261493129178099,0.069901469040093,0.5224713146281704,0.06087981433041603,0.352804495839432,0.05766561985073064,1.0,-0.0863784634792449,0.5514022886545213,0.033077122576620835,0.4840532002461337,0.08128963552413326,-0.06058226394531475,0.09291408129200691,0.07207747720096927,0.09336256263922997,-0.06473286549403859,0.10951027394470446,-0.2997893425151941,-0.11680474064807927,-0.3251048734298194,0.04955445881678048,-0.0862345984856729,0.060084196459859386,0.23896942714072802,-0.23658417034904347,0.032786963242545784,-0.18495194252212274,0.3733957918731043,-0.22148281781748297,0.6334333185535431,0.2354283489502585,0.48391434929976607,0.3057146935043,0.47575763715940445,0.27018794946866187,-0.5588325951345915,0.32885306746182985,-0.33522420700119,-0.5407271833278487,-0.6678810052386328,-0.5588325951345939,0.3411574469683908,0.3197559305682218,0.42027449372821846,-0.33742791147192014,0.18750297326181956,-0.34115744696838685,0.5459539682431355,0.18171924136654122,0.6063317506827464,0.5601130089540085,0.35721429142804634,0.5459539682431357,0.43974728985876776,0.13896709367591376,0.5856427184914916,0.4453286467991235,0.25589294891842695,0.43974728985876765,-0.006503412643674408,-0.03480871372607761,-0.010145154887950047,-0.008830890170292888,0.0753910077324549,-0.006503412643674425,0.1599271395420922,-0.13182013935137402,0.15749910213456308,-0.0524992165967105,0.2092108624476362,-0.03932763767796805,-0.17894528117497158,-0.3416441470644796,-0.2827431026858837,-0.23278665484243263,-0.023610079503198437,-0.21314932977896622,-0.16090474498263177,-0.23909715324706296,-0.22719882015463644,-0.17137783487805147,-0.09049209185126367,-0.15258361524253497,-0.18617217774375308,-0.34022409527304553,-0.2914908391160235,-0.24277418474514684,-0.030565670105310562,-0.21607692604970266,0.19012157492642584,-0.2987095915874423,0.09705305674969408,-0.2283995898656258,0.260866614352154,-0.2052445352367773,-0.15547417034544964,-0.30384039189679257,-0.25791449006812106,-0.22395419263219907,0.0039079743123766626,-0.20006535906807865
acc_y_std,-0.08549520031611461,0.8793312571498196,0.6070600910750487,0.839187680489656,-0.7580682095871393,0.7925542739559199,-0.0863784634792449,1.0,0.670885380114441,0.8690976739577769,-0.8489470195269087,0.7853169772542509,0.20332369695596797,0.6489525500238068,0.6020751626498125,0.6225859978774404,-0.5082169533972765,0.5949348768815051,-0.3976916223933843,0.49618113353359056,0.13331624991541816,0.5533720177417502,-0.5985784490398618,0.5358191151187149,0.2691088971276183,0.5186942354713907,0.5180319143155813,0.534690569788696,-0.30149428607106393,0.5361047167359372,0.11022988444493724,0.6296015666286483,0.48187528745173835,0.5383149162925912,-0.570276088581379,0.5200070419406354,0.08971784663589552,0.41368662517022425,0.21488243302867377,0.09720586349855385,-0.11001396920017031,0.08971784663589676,0.09318693176150818,0.43420962601925844,0.27702616867946583,-0.0908289633743989,-0.10732150111113228,-0.09318693176150819,-0.13102967582734298,0.48025352456124965,0.11808001905408756,-0.11016607936721974,-0.27322010615411224,-0.13102967582734276,-0.17545340176891583,0.48420577828526584,0.0629377088046283,-0.17069855686623803,-0.32820697491254514,-0.17545340176891502,0.5007354163262326,0.5064321652518955,0.5572881887551195,0.5285775849499814,0.27405865165854554,0.5007354163262334,0.2732481567090051,0.20487792842126248,0.3982529836020887,-0.11365242559600826,0.15627226640456263,-0.14190618932488994,-0.310873160864501,0.07542820380151102,-0.1794169673493992,-0.06578951374166835,-0.4488549130702544,-0.07533024142779267,-0.31579908862586514,0.19088794386966632,-0.1718708898584805,-0.284492619546023,-0.4080591809513293,-0.30768455257807814,-0.3537983610485976,0.10282209063695022,-0.1943323251977218,-0.2878682847468153,-0.5182796877387981,-0.3245168599917036,0.31186284935628117,0.13453693580216194,0.41234007846696963,-0.25797756889479684,0.15202539319509853,-0.2924529313617701,-0.31064370930639085,0.019948883040456764,-0.1994401428686466,-0.24689901721940227,-0.3835798019671215,-0.27091202985703905
acc_y_max,0.5442113276135069,0.6906671125199874,0.8944309818094004,0.6408910933830423,-0.2795941965575076,0.5740570136371871,0.5514022886545213,0.670885380114441,1.0,0.6120443840881026,-0.27234231550189836,0.5469256305667407,0.23141277586935538,0.6292970064287416,0.6013822175817548,0.6069719684830294,-0.4817415552192377,0.5662140723106754,-0.4446985382917346,0.33989706089918953,-0.0179021529099707,0.4546187085481751,-0.50079924000037,0.4341362872804978,0.2583307513267357,0.16861869419459935,0.28632721409547024,0.142269507999153,-0.01857324612444662,0.11873029746736068,0.41308923687201804,0.5381518202105937,0.5902346758415035,0.4882810002925191,-0.08537838533089644,0.44493017522319234,-0.25228606401029163,0.41875385478876437,-0.04742657442671115,-0.2388348616264892,-0.41495322567449294,-0.25228606401029424,0.2300765432318561,0.4265161007661953,0.37249172096440286,-0.22688661369960691,0.022088366402092496,-0.230076543231852,0.19636693093085936,0.3260195369797973,0.345187633592456,0.21155878696186622,0.028223789474510548,0.1963669309308588,0.18499772869568598,0.3850590349926562,0.4114341133990949,0.1907918303862048,-0.03513389008680725,0.1849977286956831,0.2489804192458858,0.28073884699507884,0.3040709654677139,0.2718838281318348,0.15190254085681618,0.24898041924588632,0.2859380628219188,0.07728325130528368,0.37197482165982704,-0.1265149722863199,0.21833703175583108,-0.13501362922949717,-0.34202864223049634,-0.15085771885369878,-0.3061604342658336,-0.1871686918493176,-0.3560637919500611,-0.18335017666652825,-0.34636883955087977,0.05943193991650379,-0.25474909137723817,-0.3326855207098032,-0.3967274252683199,-0.34420997948993537,-0.3678582722401897,-0.11238905407819447,-0.3040423923664275,-0.35011892640944475,-0.40377134152486843,-0.3645923096856842,0.3361434168890523,-0.05719505967694881,0.3650404546198678,-0.31721701484268416,0.2518543682801008,-0.33119513876684403,-0.33646220507833613,-0.14699188743745886,-0.30059624453118505,-0.32343899530083026,-0.3058625746929558,-0.33092807149127446
acc_y_rms,-0.005911884635298053,0.745168749520104,0.5463629895173558,0.8984036299104605,-0.5726135878486084,0.9087699920501259,0.033077122576620835,0.8690976739577769,0.6120443840881026,1.0,-0.6518925855689658,0.9836602878133571,-0.02807885414614428,0.501634341568882,0.39426905181193184,0.5192138534966569,-0.4385796378716813,0.5726436572720891,-0.4949137807138244,0.5440419954343416,0.06556295743984304,0.6891243682672143,-0.6986081651196017,0.6837196252889834,0.24897612488972004,0.726693851327295,0.6748668506311605,0.6783488714039378,-0.4234124037333154,0.6604885972332006,0.26115158174796094,0.790361537190482,0.6517474270864334,0.7632236445036671,-0.5709515350874498,0.7420420580559453,0.08931602289845435,0.6249970659605577,0.31495813305098097,0.10592206843678967,-0.16735547635608083,0.08931602289845585,0.1828555064149869,0.6735365299266339,0.4273446464128177,-0.1774190299317207,-0.1475558050251909,-0.1828555064149867,-0.10949520677687453,0.6689722598786861,0.1906564291815497,-0.08188056086100796,-0.35448201314943406,-0.10949520677687431,-0.21318539713032997,0.671554489855275,0.08813112115420212,-0.20561857831174007,-0.4555185888285231,-0.21318539713032805,0.5822235832981861,0.7295164319950093,0.7433209172206756,0.6457999193971676,0.2368892640889329,0.5822235832981866,0.26933121543058397,0.07569687250698522,0.33662583817427394,-0.155843136342963,0.20399710125037412,-0.17127741108238667,-0.309133581900923,0.0766722392746108,-0.1754639086977136,-0.025086038430800463,-0.44298322769062437,-0.029945616496557886,-0.438253317634145,0.06094399371054854,-0.32286597091935926,-0.39182009771579157,-0.4921336797092058,-0.40993332443624314,-0.3687241224904269,0.09455576682001879,-0.20847619933026054,-0.3026775793343719,-0.5225599657824173,-0.3387784632863171,0.31751837981453646,0.11680208567560417,0.4056016571689751,-0.2634375664335713,0.16223873783871764,-0.29741707220157315,-0.3399852092200227,-0.010401095391482745,-0.23658381175740628,-0.27861644838348737,-0.3990662092092714,-0.30112793547862166
