cluster_id,representative,feature
1,acc_x_mean,acc_x_mean
2,acc_x_std,acc_x_std
3,acc_x_max,acc_x_max
4,acc_x_abs_sum,acc_x_abs_sum
4,acc_x_abs_sum,acc_x_rms
5,acc_x_min,acc_x_min
6,acc_y_mean,acc_y_mean
7,acc_y_std,acc_y_std
8,acc_y_max,acc_y_max
9,acc_y_abs_sum,acc_y_abs_sum
9,acc_y_abs_sum,acc_y_rms
10,acc_y_min,acc_y_min
11,acc_z_mean,acc_z_mean
12,acc_z_rms,acc_z_abs_sum
12,acc_z_rms,acc_z_rms
12,acc_z_rms,acc_z_std
13,acc_z_max,acc_z_max
14,acc_z_min,acc_z_min
15,gyro_x_mean,gyro_x_mean
16,gyro_x_std,gyro_x_std
17,gyro_x_max,gyro_x_max
18,gyro_x_abs_sum,gyro_x_abs_sum
18,gyro_x_abs_sum,gyro_x_rms
19,gyro_x_min,gyro_x_min
20,gyro_y_mean,gyro_y_mean
21,gyro_y_std,gyro_y_std
22,gyro_y_max,gyro_y_max
23,gyro_y_abs_sum,gyro_y_abs_sum
23,gyro_y_abs_sum,gyro_y_rms
24,gyro_y_min,gyro_y_min
25,gyro_z_mean,gyro_z_mean
26,gyro_z_std,gyro_z_std
27,gyro_z_max,gyro_z_max
28,gyro_z_abs_sum,gyro_z_abs_sum
28,gyro_z_abs_sum,gyro_z_rms
28,gyro_z_abs_sum,quat_x_std
28,gyro_z_abs_sum,quat_z_std
29,gyro_z_min,gyro_z_min
30,quat_w_mean,quat_w_abs_sum
30,quat_w_mean,quat_w_mean
30,quat_w_mean,quat_w_rms
31,quat_w_std,quat_w_std
32,quat_w_max,quat_w_max
33,quat_w_min,quat_w_min
34,quat_x_mean,quat_x_mean
34,quat_x_mean,quat_x_min
35,quat_x_max,quat_x_max
36,quat_x_abs_sum,quat_x_abs_sum
36,quat_x_abs_sum,quat_x_rms
37,quat_y_abs_sum,quat_y_abs_sum
37,quat_y_abs_sum,quat_y_mean
37,quat_y_abs_sum,quat_y_rms
38,quat_y_std,quat_y_std
39,quat_y_max,quat_y_max
40,quat_y_min,quat_y_min
41,quat_z_mean,quat_z_mean
42,quat_z_max,quat_z_max
43,quat_z_abs_sum,quat_z_abs_sum
43,quat_z_abs_sum,quat_z_rms
44,quat_z_min,quat_z_min
45,encoder_angle_mean,encoder_angle_abs_sum
45,encoder_angle_mean,encoder_angle_max
45,encoder_angle_mean,encoder_angle_mean
45,encoder_angle_mean,encoder_angle_min
45,encoder_angle_mean,encoder_angle_rms
46,encoder_angle_std,encoder_angle_std
47,grf_x_mean,grf_x_max
47,grf_x_mean,grf_x_mean
47,grf_x_mean,grf_x_min
48,grf_x_std,grf_x_std
49,grf_x_abs_sum,grf_x_abs_sum
49,grf_x_abs_sum,grf_x_rms
50,grf_y_mean,grf_y_mean
51,grf_y_std,grf_y_std
52,grf_y_max,grf_y_max
53,grf_y_abs_sum,grf_y_abs_sum
53,grf_y_abs_sum,grf_y_rms
54,grf_y_min,grf_y_min
55,grf_z_abs_sum,grf_z_abs_sum
55,grf_z_abs_sum,grf_z_mean
55,grf_z_abs_sum,grf_z_rms
56,grf_z_std,grf_z_std
57,grf_z_max,grf_z_max
58,grf_z_min,grf_z_min
59,grt_x_mean,grt_x_mean
60,grt_x_std,grt_x_std
61,grt_x_max,grt_x_max
62,grt_x_abs_sum,grt_x_abs_sum
62,grt_x_abs_sum,grt_x_rms
63,grt_x_min,grt_x_min
64,grt_y_mean,grt_y_mean
65,grt_y_std,grt_y_std
66,grt_y_max,grt_y_max
67,grt_y_abs_sum,grt_y_abs_sum
67,grt_y_abs_sum,grt_y_rms
68,grt_y_min,grt_y_min
69,grt_z_mean,grt_z_mean
70,grt_z_std,grt_z_std
71,grt_z_max,grt_z_max
72,grt_z_abs_sum,grt_z_abs_sum
72,grt_z_abs_sum,grt_z_rms
73,grt_z_min,grt_z_min
