cluster_id,representative,size
1,acc_x_mean,1
2,acc_x_rms,6
3,acc_x_max,1
4,acc_x_min,2
5,acc_y_mean,1
6,acc_y_max,1
7,acc_z_mean,1
8,acc_z_std,4
9,acc_z_min,1
10,gyro_x_mean,1
11,gyro_x_std,1
12,gyro_x_max,1
13,gyro_x_abs_sum,2
14,gyro_x_min,1
15,gyro_y_mean,1
16,gyro_y_std,1
17,gyro_y_max,1
18,gyro_y_abs_sum,2
19,gyro_y_min,1
20,gyro_z_mean,1
21,gyro_z_std,1
22,gyro_z_max,1
23,gyro_z_abs_sum,4
24,gyro_z_min,1
25,quat_w_rms,5
26,quat_w_std,1
27,quat_x_mean,3
28,quat_x_abs_sum,2
29,quat_y_mean,4
30,quat_y_std,1
31,quat_y_max,1
32,quat_z_mean,3
33,quat_z_abs_sum,2
34,encoder_angle_mean,5
35,encoder_angle_std,1
36,grf_x_mean,3
37,grf_x_std,1
38,grf_x_abs_sum,2
39,grt_y_rms,6
40,grf_y_std,2
41,grf_y_abs_sum,2
42,grf_y_min,1
43,grf_z_mean,5
44,grf_z_std,1
45,grt_x_rms,4
46,grt_x_min,1
47,grt_y_std,1
48,grt_y_max,1
49,grt_z_mean,1
50,grt_z_std,1
51,grt_z_max,1
52,grt_z_abs_sum,2
53,grt_z_min,1
