cluster_id,representative,feature
1,encoder_angle_mean,encoder_angle_mean
1,encoder_angle_mean,encoder_angle_max
1,encoder_angle_mean,encoder_angle_rms
1,encoder_angle_mean,encoder_angle_min
1,encoder_angle_mean,encoder_angle_abs_sum
2,quat_w_mean,quat_w_mean
2,quat_w_mean,quat_w_max
2,quat_w_mean,quat_w_rms
2,quat_w_mean,quat_w_min
2,quat_w_mean,quat_w_abs_sum
2,quat_w_mean,quat_x_mean
2,quat_w_mean,quat_x_max
2,quat_w_mean,quat_x_min
2,quat_w_mean,quat_z_mean
2,quat_w_mean,quat_z_max
2,quat_w_mean,quat_z_rms
2,quat_w_mean,quat_z_min
2,quat_w_mean,quat_z_abs_sum
3,grf_x_rms,grf_x_rms
3,grf_x_rms,grf_x_abs_sum
4,grf_x_mean,grf_x_mean
4,grf_x_mean,grf_x_max
4,grf_x_mean,grf_x_min
5,grf_y_rms,grf_y_rms
5,grf_y_rms,grf_y_abs_sum
6,acc_x_mean,acc_x_mean
6,acc_x_mean,acc_y_mean
7,acc_z_mean,acc_z_mean
8,gyro_x_mean,gyro_x_mean
9,gyro_x_rms,gyro_x_std
9,gyro_x_rms,gyro_x_rms
9,gyro_x_rms,gyro_x_min
9,gyro_x_rms,gyro_x_abs_sum
10,gyro_y_rms,gyro_y_std
10,gyro_y_rms,gyro_y_max
10,gyro_y_rms,gyro_y_rms
10,gyro_y_rms,gyro_y_abs_sum
11,gyro_x_max,gyro_x_max
12,gyro_z_rms,gyro_z_std
12,gyro_z_rms,gyro_z_max
12,gyro_z_rms,gyro_z_rms
12,gyro_z_rms,gyro_z_abs_sum
12,gyro_z_rms,quat_w_std
12,gyro_z_rms,quat_x_std
12,gyro_z_rms,quat_z_std
12,gyro_z_rms,encoder_angle_std
13,quat_y_std,quat_y_std
14,gyro_z_mean,gyro_z_mean
15,acc_x_max,acc_x_max
15,acc_x_max,acc_y_max
16,acc_x_min,acc_x_min
16,acc_x_min,acc_y_min
17,acc_x_rms,acc_x_std
17,acc_x_rms,acc_x_rms
17,acc_x_rms,acc_x_abs_sum
17,acc_x_rms,acc_y_std
17,acc_x_rms,acc_y_rms
17,acc_x_rms,acc_y_abs_sum
17,acc_x_rms,acc_z_std
17,acc_x_rms,acc_z_max
17,acc_x_rms,acc_z_rms
17,acc_x_rms,acc_z_min
17,acc_x_rms,acc_z_abs_sum
18,quat_y_rms,quat_x_rms
18,quat_y_rms,quat_x_abs_sum
18,quat_y_rms,quat_y_mean
18,quat_y_rms,quat_y_max
18,quat_y_rms,quat_y_rms
18,quat_y_rms,quat_y_min
18,quat_y_rms,quat_y_abs_sum
19,grt_z_mean,grt_z_mean
19,grt_z_mean,grt_z_max
19,grt_z_mean,grt_z_min
20,grt_y_rms,grf_y_mean
20,grt_y_rms,grf_y_max
20,grt_y_rms,grt_x_mean
20,grt_y_rms,grt_x_max
20,grt_y_rms,grt_x_rms
20,grt_y_rms,grt_x_abs_sum
20,grt_y_rms,grt_y_mean
20,grt_y_rms,grt_y_rms
20,grt_y_rms,grt_y_min
20,grt_y_rms,grt_y_abs_sum
21,grf_y_min,grf_y_min
21,grf_y_min,grt_y_max
22,grt_x_min,grt_x_min
23,grt_z_rms,grt_z_rms
23,grt_z_rms,grt_z_abs_sum
24,grf_z_mean,grf_z_mean
24,grf_z_mean,grf_z_max
24,grf_z_mean,grf_z_rms
24,grf_z_mean,grf_z_min
24,grf_z_mean,grf_z_abs_sum
25,gyro_y_mean,gyro_y_mean
26,gyro_y_min,gyro_y_min
27,grf_y_std,grf_y_std
27,grf_y_std,grt_x_std
27,grf_y_std,grt_y_std
27,grf_y_std,grt_z_std
28,grf_z_std,grf_z_std
29,gyro_z_min,gyro_z_min
30,grf_x_std,grf_x_std
