set_id,true_label,pred_label,count
set-0001,Ramp-ascent,Level-walk,339
set-0001,Level-walk,Stair-ascent,129
set-0001,Ramp-ascent,Stop,115
set-0001,Level-walk,Stair-descent,105
set-0001,Level-walk,Ramp-ascent,102
set-0001,Stop,Level-walk,91
set-0001,Stair-ascent,Stair-descent,91
set-0001,Level-walk,Ramp-descent,79
set-0001,Stop,Stair-descent,69
set-0001,Ramp-descent,Level-walk,38
set-0002,Ramp-ascent,Ramp-descent,214
set-0002,Level-walk,Ramp-descent,146
set-0002,Level-walk,Stair-ascent,133
set-0002,Level-walk,Ramp-ascent,117
set-0002,Level-walk,Stair-descent,78
set-0002,Ramp-ascent,Stop,74
set-0002,Ramp-ascent,Level-walk,65
set-0002,Stop,Ramp-descent,62
set-0002,Level-walk,Stop,60
set-0002,Stair-ascent,Stop,48
set-0003,Stair-descent,Ramp-descent,314
set-0003,Stair-ascent,Level-walk,206
set-0003,Stair-ascent,Ramp-descent,189
set-0003,Level-walk,Ramp-ascent,153
set-0003,Stair-descent,Ramp-ascent,122
set-0003,Stop,Ramp-ascent,120
set-0003,Stair-ascent,Ramp-ascent,98
set-0003,Stop,Level-walk,96
set-0003,Ramp-ascent,Level-walk,92
set-0003,Level-walk,Stop,72
set-0004,Level-walk,Stop,188
set-0004,Level-walk,Ramp-ascent,140
set-0004,Level-walk,Stair-ascent,87
set-0004,Level-walk,Stair-descent,69
set-0004,Ramp-descent,Level-walk,63
set-0004,Stop,Stair-ascent,57
set-0004,Ramp-ascent,Level-walk,46
set-0004,Stop,Ramp-ascent,45
set-0004,Stop,Level-walk,40
set-0004,Stair-ascent,Stair-descent,36
set-0005,Level-walk,Ramp-ascent,274
set-0005,Level-walk,Stair-descent,116
set-0005,Level-walk,Stop,90
set-0005,Ramp-ascent,Level-walk,76
set-0005,Stair-descent,Stair-ascent,70
set-0005,Level-walk,Stair-ascent,65
set-0005,Ramp-descent,Level-walk,53
set-0005,Ramp-descent,Stop,37
set-0005,Level-walk,Ramp-descent,36
set-0005,Ramp-descent,Stair-descent,26
set-0006,Ramp-ascent,Level-walk,470
set-0006,Ramp-descent,Ramp-ascent,278
set-0006,Ramp-descent,Level-walk,191
set-0006,Level-walk,Ramp-descent,164
set-0006,Level-walk,Stop,100
set-0006,Ramp-descent,Stop,99
set-0006,Stop,Level-walk,96
set-0006,Level-walk,Stair-descent,79
set-0006,Level-walk,Stair-ascent,60
set-0006,Level-walk,Ramp-ascent,54
set-0007,Ramp-ascent,Level-walk,247
set-0007,Stop,Level-walk,218
set-0007,Level-walk,Ramp-ascent,118
set-0007,Ramp-ascent,Stop,92
set-0007,Level-walk,Stop,87
set-0007,Stair-ascent,Stop,80
set-0007,Level-walk,Stair-descent,61
set-0007,Level-walk,Stair-ascent,59
set-0007,Stair-descent,Stair-ascent,54
set-0007,Stop,Ramp-descent,33
set-0008,Stair-descent,Ramp-descent,395
set-0008,Level-walk,Ramp-ascent,213
set-0008,Stair-ascent,Level-walk,193
set-0008,Stop,Level-walk,159
set-0008,Stop,Ramp-ascent,144
set-0008,Ramp-ascent,Level-walk,132
set-0008,Stair-ascent,Ramp-ascent,117
set-0008,Stair-ascent,Ramp-descent,102
set-0008,Level-walk,Stop,83
set-0008,Stair-descent,Stop,71
set-0009,Ramp-ascent,Level-walk,227
set-0009,Stop,Level-walk,197
set-0009,Level-walk,Ramp-ascent,95
set-0009,Ramp-ascent,Stop,82
set-0009,Level-walk,Stair-ascent,68
set-0009,Level-walk,Ramp-descent,53
set-0009,Ramp-ascent,Ramp-descent,50
set-0009,Level-walk,Stair-descent,46
set-0009,Level-walk,Stop,43
set-0009,Ramp-descent,Stop,29
set-0010,Ramp-ascent,Ramp-descent,179
set-0010,Level-walk,Ramp-descent,116
set-0010,Level-walk,Stair-ascent,63
set-0010,Level-walk,Stair-descent,59
set-0010,Stop,Level-walk,49
set-0010,Level-walk,Ramp-ascent,48
set-0010,Ramp-ascent,Stop,42
set-0010,Ramp-descent,Level-walk,40
set-0010,Level-walk,Stop,39
set-0010,Stop,Ramp-descent,38
set-0011,Level-walk,Ramp-ascent,106
set-0011,Level-walk,Stop,60
set-0011,Level-walk,Stair-ascent,36
set-0011,Ramp-descent,Stair-descent,20
set-0011,Level-walk,Stair-descent,19
set-0011,Stop,Ramp-ascent,17
set-0011,Ramp-ascent,Level-walk,15
set-0011,Stop,Level-walk,13
set-0011,Stair-ascent,Stair-descent,9
set-0011,Ramp-descent,Level-walk,8
