subject,true_label,pred_label,count
kaneishi,Ramp-ascent,Level-walk,1356
kaneishi,Level-walk,Ramp-ascent,856
kaneishi,Stop,Level-walk,674
kaneishi,Level-walk,Stop,513
kaneishi,Ramp-ascent,Stop,463
kaneishi,Level-walk,Stair-ascent,424
kaneishi,Level-walk,Ramp-descent,389
kaneishi,Ramp-ascent,Ramp-descent,376
kaneishi,Level-walk,Stair-descent,346
kaneishi,Stair-descent,Ramp-descent,311
kaneishi,Ramp-descent,Ramp-ascent,287
kaneishi,Stop,Ramp-ascent,253
kaneishi,Ramp-descent,Level-walk,235
kaneishi,Stair-ascent,Level-walk,227
kaneishi,Stair-ascent,Stop,161
kaneishi,Ramp-descent,Stop,158
kaneishi,Stair-ascent,Stair-descent,120
kaneishi,Ramp-descent,Stair-descent,116
kaneishi,Stair-ascent,Ramp-ascent,114
kaneishi,Stair-descent,Stop,113
kaneishi,Stop,Ramp-descent,110
kaneishi,Stop,Stair-descent,107
kaneishi,Stair-descent,Stair-ascent,107
kaneishi,Stair-ascent,Ramp-descent,97
kaneishi,Stop,Stair-ascent,96
kaneishi,Stair-descent,Level-walk,55
kaneishi,Stair-descent,Ramp-ascent,44
kaneishi,Ramp-ascent,Stair-ascent,29
kaneishi,Ramp-ascent,Stair-descent,11
kaneishi,Ramp-descent,Stair-ascent,4
kanoga,Level-walk,Ramp-ascent,564
kanoga,Stair-descent,Ramp-descent,426
kanoga,Ramp-ascent,Level-walk,377
kanoga,Level-walk,Stair-descent,375
kanoga,Level-walk,Ramp-descent,363
kanoga,Level-walk,Stair-ascent,353
kanoga,Level-walk,Stop,341
kanoga,Stop,Level-walk,308
kanoga,Ramp-descent,Level-walk,295
kanoga,Stair-ascent,Level-walk,281
kanoga,Stair-ascent,Ramp-descent,203
kanoga,Stair-ascent,Stair-descent,192
kanoga,Stop,Ramp-ascent,173
kanoga,Ramp-ascent,Ramp-descent,172
kanoga,Ramp-descent,Stop,168
kanoga,Stair-descent,Stair-ascent,161
kanoga,Stair-descent,Ramp-ascent,129
kanoga,Ramp-ascent,Stop,115
kanoga,Stair-ascent,Ramp-ascent,104
kanoga,Ramp-descent,Ramp-ascent,97
kanoga,Stair-descent,Level-walk,96
kanoga,Stair-descent,Stop,91
kanoga,Stair-ascent,Stop,81
kanoga,Stop,Stair-descent,73
kanoga,Stop,Ramp-descent,60
kanoga,Stop,Stair-ascent,45
kanoga,Ramp-descent,Stair-descent,20
kanoga,Ramp-ascent,Stair-ascent,2
