true_label,pred_label,count,rank,ratio_%
Ramp-ascent,Level-walk,1733,1,12.54
Level-walk,Ramp-ascent,1420,2,10.28
Stop,Level-walk,982,3,7.11
Level-walk,Stop,854,4,6.18
Level-walk,Stair-ascent,777,5,5.62
Level-walk,Ramp-descent,752,6,5.44
Stair-descent,Ramp-descent,737,7,5.33
Level-walk,Stair-descent,721,8,5.22
Ramp-ascent,Stop,578,9,4.18
Ramp-ascent,Ramp-descent,548,10,3.97
Ramp-descent,Level-walk,530,11,3.84
Stair-ascent,Level-walk,508,12,3.68
Stop,Ramp-ascent,426,13,3.08
Ramp-descent,Ramp-ascent,384,14,2.78
Ramp-descent,Stop,326,15,2.36
Stair-ascent,Stair-descent,312,16,2.26
Stair-ascent,Ramp-descent,300,17,2.17
Stair-descent,Stair-ascent,268,18,1.94
Stair-ascent,Stop,242,19,1.75
Stair-ascent,Ramp-ascent,218,20,1.58
