subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters,mean_abs_dz
kaneishi,stance,gyro_z,stop,level,True,2,0.0,15.657308371608366,55.0,3.358193863142649,2.136279925958367
kaneishi,stance,grf_z,stop,level,True,2,0.0,14.850524228090546,51.0,2.9071300496141337,1.63127357340365
kaneishi,stance,gyro_y,stop,level,True,6,0.0,7.541180437431746,46.0,1.8257469945569171,1.2239089170070754
kaneishi,stance,grt_y,stop,level,True,3,4.440892098500626e-16,12.661839655297245,45.0,2.4834479318928095,1.3157861124991024
kaneishi,stance,grt_x,stop,level,True,3,7.247840909663239e-07,10.455660200606285,36.0,2.068017143720702,1.0395774291476094
kaneishi,stance,grf_y,stop,level,True,1,0.0,9.640760704565754,23.0,2.2669124881221205,1.0000216217705957
kaneishi,stance,acc_z,stop,level,True,4,4.3520742565306136e-14,13.717021753416116,8.0,2.63777002170992,0.780636158090557
kaneishi,stance,grt_z,stop,level,True,3,0.03310584582749021,5.085816660544907,8.0,1.3741440179060025,0.5935853030571147
kaneishi,stance,grf_x,stop,level,True,1,0.023179337772798014,7.280563728735743,7.0,1.719593985456446,0.5949378112308414
kaneishi,stance,gyro_x,stop,level,True,1,0.00012233728882504735,6.352980734670665,5.0,1.722700532419138,0.43845323997979246
kaneishi,stance,encoder_angle,stop,level,True,1,0.049822018449869,4.066898498365903,1.0,1.1399559177472987,0.2393184583376712
kaneishi,stance,acc_x,stop,level,False,0,1.0,0.0,0.0,,0.18818854293561535
kaneishi,stance,acc_y,stop,level,False,0,1.0,0.0,0.0,,0.20478197664278416
kaneishi,stance,quat_w,stop,level,False,0,1.0,0.0,0.0,,0.06956662025293822
kaneishi,stance,quat_x,stop,level,False,0,1.0,0.0,0.0,,0.19285064897541787
kaneishi,stance,quat_y,stop,level,False,0,1.0,0.0,0.0,,0.3585784137022333
kaneishi,stance,quat_z,stop,level,False,0,1.0,0.0,0.0,,0.17362646397159695
