subject,phase,channel,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters
kaneishi,swing,encoder_angle,True,1,0.0,8.559342386730387,45.0,2.1873852154155413
kaneishi,swing,acc_z,True,5,0.0,10.369254302777321,41.0,2.1668038229780087
kaneishi,swing,gyro_x,True,2,1.0157185381665101e-07,9.107832170675026,27.0,2.159970011851786
kaneishi,swing,gyro_y,True,2,5.684047232890066e-08,8.527735111356183,25.0,2.012159421262779
kaneishi,swing,gyro_z,True,2,2.94749070262057e-07,8.251469554629468,20.0,1.9587630195077068
kaneishi,swing,grt_x,True,3,5.3512749786932545e-14,13.667037695851093,13.0,3.0359472059760204
kaneishi,swing,grt_z,True,2,0.048216182016707965,5.431610661490123,0.0,1.7176261053569806
kaneishi,swing,grt_y,True,2,0.048323707280323314,5.049394906098594,0.0,1.5967588708923806
kaneishi,swing,grf_z,True,1,0.04804337858028562,5.264985157815632,0.0,1.6649344945678461
kaneishi,swing,grf_y,True,1,0.04856873543043494,5.59616035349306,0.0,1.769661286857109
kaneishi,swing,acc_x,False,0,1.0,0.0,0.0,
kaneishi,swing,acc_y,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_w,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_x,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_y,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_z,False,0,1.0,0.0,0.0,
kaneishi,swing,grf_x,False,0,1.0,0.0,0.0,
