subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters
kaneishi,swing,gyro_y,level,stair_ascent,True,1,0.0,15.599865117353318,80.0,3.001402621835603
kaneishi,swing,gyro_z,level,stair_ascent,True,2,0.0,21.812293193485814,56.0,4.280888568979579
kaneishi,swing,encoder_angle,level,stair_ascent,True,1,1.4499747114093964e-07,17.67985099437749,56.0,4.137669751458029
kaneishi,swing,acc_z,level,stair_ascent,True,3,0.0,18.410330961705917,48.0,3.736926548702791
kaneishi,swing,grt_y,level,stair_ascent,True,3,0.0,11.90436490427842,46.0,2.6294570873076495
kaneishi,swing,gyro_x,level,stair_ascent,True,2,0.0,11.153054116794623,43.0,2.4444151843205946
kaneishi,swing,grf_x,level,stair_ascent,True,3,0.0,10.536236411709268,34.0,2.113413492251832
kaneishi,swing,grt_x,level,stair_ascent,True,5,0.0008665331464436932,6.858021754114715,7.0,2.022904095975511
kaneishi,swing,grf_z,level,stair_ascent,True,2,0.027252102277472323,5.322719782896097,0.0,1.6048603985516652
kaneishi,swing,grt_z,level,stair_ascent,True,1,0.049926996006746105,4.8292061465492555,0.0,1.4560604384892952
kaneishi,swing,grf_y,level,stair_ascent,True,1,0.04996263927617073,4.743597251395137,0.0,1.4302483854035322
kaneishi,swing,acc_x,level,stair_ascent,False,0,1.0,0.0,0.0,
kaneishi,swing,acc_y,level,stair_ascent,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_w,level,stair_ascent,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_x,level,stair_ascent,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_y,level,stair_ascent,False,0,1.0,0.0,0.0,
kaneishi,swing,quat_z,level,stair_ascent,False,0,1.0,0.0,0.0,
