subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters,mean_abs_dz
kaneishi,swing,encoder_angle,ramp_ascent,stair_ascent,True,1,0.0,58.21321309799835,62.0,9.85462422795853,6.369252560867076
kaneishi,swing,gyro_z,ramp_ascent,stair_ascent,True,2,0.0,26.505230006579136,60.0,4.908848808841644,2.921911697670554
kaneishi,swing,gyro_y,ramp_ascent,stair_ascent,True,3,3.531397396727698e-12,12.146711974616599,48.0,2.411633109191758,1.2815097938432451
kaneishi,swing,acc_z,ramp_ascent,stair_ascent,True,2,0.0,18.282561329674007,45.0,3.3680547803275793,1.444102791182788
kaneishi,swing,grt_y,ramp_ascent,stair_ascent,True,2,0.0,16.09580238276692,44.0,3.6439476019383408,1.7854109655723869
kaneishi,swing,grf_x,ramp_ascent,stair_ascent,True,3,0.0,11.483330474658377,19.0,2.2582159315756747,1.010035750567393
kaneishi,swing,gyro_x,ramp_ascent,stair_ascent,True,2,3.735405246452217e-05,5.840494407148169,14.0,1.6356904944700832,0.8618426616921583
kaneishi,swing,grt_x,ramp_ascent,stair_ascent,True,3,4.047248748717536e-05,9.300120467715384,10.0,2.2646125018537115,0.8783609531715514
kaneishi,swing,grf_y,ramp_ascent,stair_ascent,True,2,0.012329405427943696,6.5733437537856645,2.0,1.8098775244855867,0.42839485782815695
kaneishi,swing,grt_z,ramp_ascent,stair_ascent,True,1,0.0026488712523033975,7.657762908214844,2.0,2.0105237600015005,0.6442134853053997
kaneishi,swing,acc_x,ramp_ascent,stair_ascent,False,0,1.0,0.0,0.0,,0.10667513034561278
kaneishi,swing,acc_y,ramp_ascent,stair_ascent,False,0,1.0,0.0,0.0,,0.28972598098047025
kaneishi,swing,quat_w,ramp_ascent,stair_ascent,False,0,1.0,0.0,0.0,,0.256933185809324
kaneishi,swing,quat_x,ramp_ascent,stair_ascent,False,0,1.0,0.0,0.0,,0.07656791610896592
kaneishi,swing,quat_y,ramp_ascent,stair_ascent,False,0,1.0,0.0,0.0,,0.19863289356729713
kaneishi,swing,quat_z,ramp_ascent,stair_ascent,False,0,1.0,0.0,0.0,,0.13696247712557988
kaneishi,swing,grf_z,ramp_ascent,stair_ascent,False,0,1.0,0.0,0.0,,0.8728897901101452
