subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters,mean_abs_dz
kaneishi,swing,acc_x,stop,level,False,0,1.0,0.0,0.0,,0.5405690770229028
kaneishi,swing,acc_y,stop,level,False,0,1.0,0.0,0.0,,0.3745954890529723
kaneishi,swing,acc_z,stop,level,False,0,1.0,0.0,0.0,,0.3680685527335005
kaneishi,swing,gyro_x,stop,level,False,0,1.0,0.0,0.0,,0.80488619469279
kaneishi,swing,gyro_y,stop,level,False,0,1.0,0.0,0.0,,1.1328761901416156
kaneishi,swing,gyro_z,stop,level,False,0,1.0,0.0,0.0,,0.17655047315792832
kaneishi,swing,quat_w,stop,level,False,0,1.0,0.0,0.0,,0.5883402148837282
kaneishi,swing,quat_x,stop,level,False,0,1.0,0.0,0.0,,1.0776523239030515
kaneishi,swing,quat_y,stop,level,False,0,1.0,0.0,0.0,,0.5327821057338019
kaneishi,swing,quat_z,stop,level,False,0,1.0,0.0,0.0,,0.8933844800797139
kaneishi,swing,encoder_angle,stop,level,False,0,1.0,0.0,0.0,,0.21013428005152576
kaneishi,swing,grf_x,stop,level,False,0,1.0,0.0,0.0,,0.30876849126009975
kaneishi,swing,grf_y,stop,level,False,0,1.0,0.0,0.0,,0.47042193157488016
kaneishi,swing,grf_z,stop,level,False,0,1.0,0.0,0.0,,0.26954376263561547
kaneishi,swing,grt_x,stop,level,False,0,1.0,0.0,0.0,,0.6287427385306731
kaneishi,swing,grt_y,stop,level,False,0,1.0,0.0,0.0,,0.2995929366071851
kaneishi,swing,grt_z,stop,level,False,0,1.0,0.0,0.0,,0.35996680611265613
