subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters,mean_abs_dz
kanoga,stance,grt_x,stop,level,True,4,0.0,19.529365199551126,61.0,4.20395083223913,2.209081400933877
kanoga,stance,grf_z,stop,level,True,4,5.802915925556817e-10,8.28633159005295,59.0,2.103409264235713,1.4354034753838953
kanoga,stance,gyro_z,stop,level,True,1,0.0,22.650235198089536,45.0,3.2978583913474564,1.7860780968200631
kanoga,stance,grt_y,stop,level,True,2,0.0,11.579440260425404,36.0,2.765233256168826,1.2809343644022957
kanoga,stance,grt_z,stop,level,True,3,0.0,13.932124442675267,34.0,3.2835970453581576,1.138194769267209
kanoga,stance,grf_y,stop,level,True,2,0.0,21.233408173983438,34.0,4.284112577968862,1.9270528428843658
kanoga,stance,gyro_y,stop,level,True,2,0.0,17.755181820306095,28.0,3.74591172612711,1.1777945184541254
kanoga,stance,gyro_x,stop,level,True,1,0.0,10.377492440130412,28.0,2.1216056977932904,0.9727193650079087
kanoga,stance,grf_x,stop,level,True,1,0.014781042318756876,10.580489688875184,7.0,2.0781227111027007,0.5674953607353925
kanoga,stance,acc_z,stop,level,True,3,2.110117196751915e-06,8.756465704956074,6.0,1.984448853634084,0.6744371956726826
kanoga,stance,quat_x,stop,level,True,1,0.049304591142427245,3.0682167016864614,6.0,0.9025503337612164,0.7026974047509921
kanoga,stance,acc_x,stop,level,False,0,1.0,0.0,0.0,,0.22632660297770046
kanoga,stance,acc_y,stop,level,False,0,1.0,0.0,0.0,,0.22095605139010743
kanoga,stance,quat_w,stop,level,False,0,1.0,0.0,0.0,,0.13574537033940717
kanoga,stance,quat_y,stop,level,False,0,1.0,0.0,0.0,,0.032160399773349814
kanoga,stance,quat_z,stop,level,False,0,1.0,0.0,0.0,,0.5284443222834934
