subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters
kanoga,swing,acc_z,level,stair_ascent,True,2,0.0,23.169890967978034,56.0,4.224121296649468
kanoga,swing,encoder_angle,level,stair_ascent,True,2,1.4699352846037073e-13,33.59089549078548,56.0,6.42454535218207
kanoga,swing,gyro_z,level,stair_ascent,True,2,0.0,19.692528596660647,55.0,4.360543195891934
kanoga,swing,gyro_y,level,stair_ascent,True,2,0.0,24.500282335745684,52.0,4.186559525941752
kanoga,swing,gyro_x,level,stair_ascent,True,2,0.0,9.532050093633941,44.0,2.3824064446909845
kanoga,swing,grt_y,level,stair_ascent,True,6,0.0,41.118488316120136,37.0,4.732597931952704
kanoga,swing,grf_x,level,stair_ascent,True,4,0.0,33.752192902037606,31.0,5.383166331660845
kanoga,swing,grt_x,level,stair_ascent,True,6,0.0,13.021991380699669,23.0,3.033972120801584
kanoga,swing,grf_y,level,stair_ascent,True,3,0.0,20.8115127393066,16.0,4.0223599907719265
kanoga,swing,grt_z,level,stair_ascent,True,2,0.0,10.485890000246073,7.0,2.545095571512919
kanoga,swing,grf_z,level,stair_ascent,True,4,9.556600380267177e-05,11.983645523756138,3.0,2.770355694188369
kanoga,swing,acc_x,level,stair_ascent,False,0,1.0,0.0,0.0,
kanoga,swing,acc_y,level,stair_ascent,False,0,1.0,0.0,0.0,
kanoga,swing,quat_w,level,stair_ascent,False,0,1.0,0.0,0.0,
kanoga,swing,quat_x,level,stair_ascent,False,0,1.0,0.0,0.0,
kanoga,swing,quat_y,level,stair_ascent,False,0,1.0,0.0,0.0,
kanoga,swing,quat_z,level,stair_ascent,False,0,1.0,0.0,0.0,
